"state","State_name","Population","date","category","count","dataQualityGrade"
"AK","Alaska ",731545,2020-06-02,"posNeg",56203,"A"
"AL","Alabama *",4903185,2020-06-02,"posNeg",223802,"B"
"AR","Arkansas ",3017804,2020-06-02,"posNeg",133236,"A"
"AZ","Arizona ",7278717,2020-06-02,"posNeg",237833,"A+"
"CA","California *",39512223,2020-06-02,"posNeg",2071591,"B"
"CO","Colorado ",5758736,2020-06-02,"posNeg",190537,"A"
"CT","Connecticut *",3565287,2020-06-02,"posNeg",270610,"B"
"DC","District of Columbia ",705749,2020-06-02,"posNeg",47701,"A+"
"DE","Delaware ",973764,2020-06-02,"posNeg",64062,"A"
"FL","Florida ",21477737,2020-06-02,"posNeg",1049752,"A"
"GA","Georgia ",10617423,2020-06-02,"posNeg",474287,"A"
"GU","Guam *",167772,2020-06-02,"posNeg",6391,"B"
"IA","Iowa ",3155070,2020-06-02,"posNeg",163690,"A+"
"ID","Idaho ",1787065,2020-06-02,"posNeg",48133,"A"
"IL","Illinois ",16980127,2020-06-02,"posNeg",934704,"A"
"IN","Indiana ",6732219,2020-06-02,"posNeg",271919,"A+"
"KS","Kansas ",2913314,2020-06-02,"posNeg",103312,"A"
"KY","Kentucky ",4467673,2020-06-02,"posNeg",227271,"A"
"LA","Louisiana *",4648794,2020-06-02,"posNeg",393133,"B"
"MA","Massachusetts ",6892503,2020-06-02,"posNeg",609395,"A+"
"MD","Maryland *",6045680,2020-06-02,"posNeg",315815,"B"
"ME","Maine *",1344212,2020-06-02,"posNeg",52968,"B"
"MI","Michigan ",9986857,2020-06-02,"posNeg",577268,"A+"
"MN","Minnesota ",5639632,2020-06-02,"posNeg",258747,"A"
"MO","Missouri *",6840439,2020-06-02,"posNeg",205430,"B"
"MS","Mississippi ",2976149,2020-06-02,"posNeg",179498,"A"
"NC","North Carolina ",10488084,2020-06-02,"posNeg",434921,"A"
"NH","New Hampshire *",1359711,2020-06-02,"posNeg",74344,"B"
"NJ","New Jersey ",8882190,2020-06-02,"posNeg",817677,"A+"
"NV","Nevada ",3080156,2020-06-02,"posNeg",152091,"A+"
"NY","New York ",19453561,2020-06-02,"posNeg",2167831,"A"
"OH","Ohio *",11689100,2020-06-02,"posNeg",409908,"B"
"OK","Oklahoma ",3956971,2020-06-02,"posNeg",204657,"A+"
"OR","Oregon ",4217737,2020-06-02,"posNeg",134209,"A+"
"PA","Pennsylvania ",12801989,2020-06-02,"posNeg",472871,"A+"
"PR","Puerto Rico *",2933408,2020-06-02,"posNeg",3935,"B"
"RI","Rhode Island ",1059361,2020-06-02,"posNeg",159560,"A+"
"SC","South Carolina ",5148714,2020-06-02,"posNeg",218777,"A"
"SD","South Dakota *",884659,2020-06-02,"posNeg",46846,"B"
"TN","Tennessee *",6829174,2020-06-02,"posNeg",462136,"B"
"TX","Texas *",28995881,2020-06-02,"posNeg",986224,"B"
"UT","Utah *",3205958,2020-06-02,"posNeg",221791,"B"
"VA","Virginia ",8535519,2020-06-02,"posNeg",328889,"A+"
"VT","Vermont *",623989,2020-06-02,"posNeg",36619,"B"
"WA","Washington *",7614893,2020-06-02,"posNeg",365272,"B"
"WI","Wisconsin ",5822434,2020-06-02,"posNeg",282660,"A+"
"WV","West Virginia *",1792147,2020-06-02,"posNeg",100543,"B"
"AK","Alaska ",731545,2020-06-01,"posNeg",54190,"A"
"AL","Alabama *",4903185,2020-06-01,"posNeg",223523,"B"
"AR","Arkansas ",3017804,2020-06-01,"posNeg",133236,"A"
"AZ","Arizona ",7278717,2020-06-01,"posNeg",228070,"A+"
"CA","California *",39512223,2020-06-01,"posNeg",2012583,"B"
"CO","Colorado ",5758736,2020-06-01,"posNeg",186376,"A"
"CT","Connecticut *",3565287,2020-06-01,"posNeg",261390,"B"
"DC","District of Columbia ",705749,2020-06-01,"posNeg",47263,"A+"
"DE","Delaware ",973764,2020-06-01,"posNeg",62447,"A"
"FL","Florida ",21477737,2020-06-01,"posNeg",1040400,"A"
"GA","Georgia ",10617423,2020-06-01,"posNeg",471631,"A"
"GU","Guam *",167772,2020-06-01,"posNeg",6316,"B"
"IA","Iowa ",3155070,2020-06-01,"posNeg",159081,"A+"
"ID","Idaho ",1787065,2020-06-01,"posNeg",46697,"A"
"IL","Illinois ",16980127,2020-06-01,"posNeg",918273,"A"
"IN","Indiana ",6732219,2020-06-01,"posNeg",265896,"A+"
"KS","Kansas ",2913314,2020-06-01,"posNeg",95241,"A"
"KY","Kentucky ",4467673,2020-06-01,"posNeg",216046,"A"
"LA","Louisiana *",4648794,2020-06-01,"posNeg",387370,"B"
"MA","Massachusetts ",6892503,2020-06-01,"posNeg",592853,"A+"
"MD","Maryland *",6045680,2020-06-01,"posNeg",308730,"B"
"ME","Maine *",1344212,2020-06-01,"posNeg",49633,"B"
"MI","Michigan ",9986857,2020-06-01,"posNeg",568023,"A+"
"MN","Minnesota ",5639632,2020-06-01,"posNeg",255592,"A"
"MO","Missouri *",6840439,2020-06-01,"posNeg",199708,"B"
"MS","Mississippi ",2976149,2020-06-01,"posNeg",176254,"A"
"NC","North Carolina ",10488084,2020-06-01,"posNeg",421908,"A"
"NH","New Hampshire *",1359711,2020-06-01,"posNeg",72456,"B"
"NJ","New Jersey ",8882190,2020-06-01,"posNeg",795600,"A+"
"NV","Nevada ",3080156,2020-06-01,"posNeg",146783,"A+"
"NY","New York ",19453561,2020-06-01,"posNeg",2113777,"A"
"OH","Ohio *",11689100,2020-06-01,"posNeg",398066,"B"
"OK","Oklahoma ",3956971,2020-06-01,"posNeg",193273,"A+"
"OR","Oregon ",4217737,2020-06-01,"posNeg",131618,"A+"
"PA","Pennsylvania ",12801989,2020-06-01,"posNeg",462329,"A+"
"PR","Puerto Rico *",2933408,2020-06-01,"posNeg",3873,"B"
"RI","Rhode Island ",1059361,2020-06-01,"posNeg",156835,"A+"
"SC","South Carolina ",5148714,2020-06-01,"posNeg",204688,"A"
"SD","South Dakota *",884659,2020-06-01,"posNeg",45661,"B"
"TN","Tennessee *",6829174,2020-06-01,"posNeg",448493,"B"
"TX","Texas *",28995881,2020-06-01,"posNeg",970031,"B"
"UT","Utah *",3205958,2020-06-01,"posNeg",218112,"B"
"VA","Virginia ",8535519,2020-06-01,"posNeg",324719,"A+"
"VT","Vermont *",623989,2020-06-01,"posNeg",35326,"B"
"WA","Washington *",7614893,2020-06-01,"posNeg",360899,"B"
"WI","Wisconsin ",5822434,2020-06-01,"posNeg",272138,"A+"
"WV","West Virginia *",1792147,2020-06-01,"posNeg",98095,"B"
"AK","Alaska ",731545,2020-05-31,"posNeg",51695,"A"
"AL","Alabama *",4903185,2020-05-31,"posNeg",217553,"B"
"AR","Arkansas ",3017804,2020-05-31,"posNeg",129515,"A"
"AZ","Arizona ",7278717,2020-05-31,"posNeg",225206,"A+"
"CA","California *",39512223,2020-05-31,"posNeg",1944848,"B"
"CO","Colorado ",5758736,2020-05-31,"posNeg",180627,"A"
"CT","Connecticut *",3565287,2020-05-31,"posNeg",250046,"B"
"DC","District of Columbia ",705749,2020-05-31,"posNeg",46483,"A+"
"DE","Delaware ",973764,2020-05-31,"posNeg",60671,"A"
"FL","Florida ",21477737,2020-05-31,"posNeg",1021349,"A"
"GA","Georgia ",10617423,2020-05-31,"posNeg",465525,"A"
"GU","Guam *",167772,2020-05-31,"posNeg",6102,"B"
"IA","Iowa ",3155070,2020-05-31,"posNeg",156296,"A+"
"ID","Idaho ",1787065,2020-05-31,"posNeg",46697,"A"
"IL","Illinois ",16980127,2020-05-31,"posNeg",898259,"A"
"IN","Indiana ",6732219,2020-05-31,"posNeg",261546,"A+"
"KS","Kansas ",2913314,2020-05-31,"posNeg",94949,"A"
"KY","Kentucky ",4467673,2020-05-31,"posNeg",213753,"A"
"LA","Louisiana *",4648794,2020-05-31,"posNeg",375109,"B"
"MA","Massachusetts ",6892503,2020-05-31,"posNeg",592853,"A+"
