"state","dataQualityGrade"
"AK","A"
"AL","B"
"AR","A"
"AS","C"
"AZ","A+"
"CA","B"
"CO","A"
"CT","B"
"DC","A+"
"DE","A"
"FL","A"
"GA","A"
"GU","B"
"HI","D"
"IA","A+"
"ID","A"
"IL","A"
"IN","A+"
"KS","A"
"KY","A"
"LA","B"
"MA","A+"
"MD","B"
"ME","B"
"MI","A+"
"MN","A"
"MO","B"
"MP","D"
"MS","A"
"MT","C"
"NC","A"
"ND","C"
"NE","D"
"NH","B"
"NJ","A+"
"NM","C"
"NV","A+"
"NY","A"
"OH","B"
"OK","A+"
"OR","A+"
"PA","A+"
"PR","B"
"RI","A+"
"SC","A"
"SD","B"
"TN","B"
"TX","B"
"UT","B"
"VA","A+"
"VI","C"
"VT","B"
"WA","B"
"WI","A+"
"WV","B"
"WY","C"
