POPESTIMATE2019,fips
4903185,1000
55869,1001
223234,1003
24686,1005
22394,1007
57826,1009
10101,1011
19448,1013
113605,1015
33254,1017
26196,1019
44428,1021
12589,1023
23622,1025
13235,1027
14910,1029
52342,1031
55241,1033
12067,1035
10663,1037
37049,1039
13772,1041
83768,1043
49172,1045
37196,1047
71513,1049
81209,1051
36633,1053
102268,1055
16302,1057
31362,1059
26271,1061
8111,1063
14651,1065
17205,1067
105882,1069
51626,1071
658573,1073
13805,1075
92729,1077
32924,1079
164542,1081
98915,1083
9726,1085
18068,1087
372909,1089
18863,1091
29709,1093
96774,1095
413210,1097
20733,1099
226486,1101
119679,1103
8923,1105
19930,1107
33114,1109
22722,1111
57961,1113
89512,1115
217702,1117
12427,1119
79978,1121
40367,1123
209355,1125
63521,1127
16326,1129
10373,1131
23629,1133
731545,2000
3337,2013
5634,2016
288000,2020
18386,2050
836,2060
2097,2068
4916,2070
96849,2090
2530,2100
2148,2105
31974,2110
58708,2122
13901,2130
12998,2150
8314,2158
1592,2164
108317,2170
10004,2180
9832,2185
7621,2188
3266,2195
6203,2198
8493,2220
1183,2230
6893,2240
9202,2261
2502,2275
579,2282
5230,2290
7278717,4000
71887,4001
125922,4003
143476,4005
54018,4007
38837,4009
9498,4011
21108,4012
4485414,4013
212181,4015
110924,4017
1047279,4019
462789,4021
46498,4023
235099,4025
213787,4027
3017804,5000
17486,5001
19657,5003
41932,5005
279141,5007
37432,5009
10763,5011
5189,5013
28380,5015
10118,5017
22320,5019
14551,5021
24919,5023
7956,5025
23457,5027
20846,5029
110332,5031
63257,5033
47955,5035
16419,5037
7009,5039
11361,5041
18219,5043
126007,5045
17715,5047
12477,5049
99386,5051
18265,5053
45325,5055
21532,5057
33771,5059
13202,5061
37825,5063
13629,5065
16719,5067
66824,5069
26578,5071
6624,5073
16406,5075
8857,5077
13024,5079
12259,5081
21466,5083
73309,5085
16576,5087
16694,5089
43257,5091
40651,5093
6701,5095
8986,5097
8252,5099
7753,5101
23382,5103
10455,5105
17782,5107
10718,5109
23528,5111
19964,5113
64072,5115
8062,5117
391911,5119
17958,5121
24994,5123
122437,5125
10281,5127
7881,5129
127827,5131
17007,5133
17442,5135
12506,5137
38682,5139
16545,5141
239187,5143
78753,5145
6320,5147
21341,5149
39512223,6000
1671329,6001
1129,6003
39752,6005
219186,6007
45905,6009
21547,6011
1153526,6013
27812,6015
192843,6017
999101,6019
28393,6021
135558,6023
181215,6025
18039,6027
900202,6029
152940,6031
64386,6033
30573,6035
10039107,6037
157327,6039
258826,6041
17203,6043
86749,6045
277680,6047
8841,6049
14444,6051
434061,6053
137744,6055
99755,6057
3175692,6059
398329,6061
18807,6063
2470546,6065
1552058,6067
62808,6069
2180085,6071
3338330,6073
881549,6075
762148,6077
283111,6079
766573,6081
446499,6083
1927852,6085
273213,6087
180080,6089
3005,6091
43539,6093
447643,6095
494336,6097
550660,6099
96971,6101
65084,6103
12285,6105
466195,6107
54478,6109
846006,6111
220500,6113
78668,6115
5758736,8000
517421,8001
16233,8003
656590,8005
14029,8007
3581,8009
5577,8011
326196,8013
70465,8014
20356,8015
1831,8017
9700,8019
8205,8021
3887,8023
6061,8025
5068,8027
31162,8029
727211,8031
2055,8033
351154,8035
55127,8037
26729,8039
720403,8041
47839,8043
60061,8045
6243,8047
15734,8049
17462,8051
820,8053
6897,8055
1392,8057
582881,8059
1406,8061
7097,8063
8127,8065
56221,8067
356899,8069
14506,8071
5701,8073
22409,8075
154210,8077
769,8079
13283,8081
26183,8083
42758,8085
29068,8087
18278,8089
4952,8091
18845,8093
4265,8095
17767,8097
12172,8099
168424,8101
6324,8103
11267,8105
25638,8107
6824,8109
728,8111
8179,8113
2248,8115
31011,8117
25388,8119
4908,8121
324492,8123
10019,8125
3565287,9000
943332,9001
891720,9003
180333,9005
162436,9007
854757,9009
265206,9011
150721,9013
116782,9015
973764,10000
180786,10001
558753,10003
234225,10005
705749,11000
705749,11001
21477737,12000
269043,12001
29210,12003
174705,12005
28201,12007
601942,12009
1952778,12011
