"State","State_code","State_name","County_code","County","POPESTIMATE2019","CBSA.Code","Metropolitan.Division.Code","CSA.Code","CBSA.Title","Metropolitan/Micropolitan.Statistical.Area","Metropolitan.Division.Title","CSA.Title","Central/Outlying.County","FIPS","Country"
"AL","01","Alabama","001","Autauga County",55869,"33860",NA,"388","Montgomery, AL","Metropolitan Statistical Area",NA,"Montgomery-Selma-Alexander City, AL","Central","01001","USA"
"AL","01","Alabama","003","Baldwin County",223234,"19300",NA,"380","Daphne-Fairhope-Foley, AL","Metropolitan Statistical Area",NA,"Mobile-Daphne-Fairhope, AL","Central","01003","USA"
"AL","01","Alabama","005","Barbour County",24686,"21640",NA,NA,"Eufaula, AL-GA","Micropolitan Statistical Area",NA,NA,"Central","01005","USA"
"AL","01","Alabama","007","Bibb County",22394,"13820",NA,"142","Birmingham-Hoover, AL","Metropolitan Statistical Area",NA,"Birmingham-Hoover-Talladega, AL","Outlying","01007","USA"
"AL","01","Alabama","009","Blount County",57826,"13820",NA,"142","Birmingham-Hoover, AL","Metropolitan Statistical Area",NA,"Birmingham-Hoover-Talladega, AL","Outlying","01009","USA"
"AL","01","Alabama","011","Bullock County",10101,NA,NA,NA,NA,NA,NA,NA,NA,"01011","USA"
"AL","01","Alabama","013","Butler County",19448,NA,NA,NA,NA,NA,NA,NA,NA,"01013","USA"
"AL","01","Alabama","015","Calhoun County",113605,"11500",NA,NA,"Anniston-Oxford, AL","Metropolitan Statistical Area",NA,NA,"Central","01015","USA"
"AL","01","Alabama","017","Chambers County",33254,"29300",NA,"122","LaGrange, GA-AL","Micropolitan Statistical Area",NA,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Outlying","01017","USA"
"AL","01","Alabama","019","Cherokee County",26196,NA,NA,NA,NA,NA,NA,NA,NA,"01019","USA"
"AL","01","Alabama","021","Chilton County",44428,"13820",NA,"142","Birmingham-Hoover, AL","Metropolitan Statistical Area",NA,"Birmingham-Hoover-Talladega, AL","Outlying","01021","USA"
"AL","01","Alabama","023","Choctaw County",12589,NA,NA,NA,NA,NA,NA,NA,NA,"01023","USA"
"AL","01","Alabama","025","Clarke County",23622,NA,NA,NA,NA,NA,NA,NA,NA,"01025","USA"
"AL","01","Alabama","027","Clay County",13235,NA,NA,NA,NA,NA,NA,NA,NA,"01027","USA"
"AL","01","Alabama","029","Cleburne County",14910,NA,NA,NA,NA,NA,NA,NA,NA,"01029","USA"
"AL","01","Alabama","031","Coffee County",52342,"21460",NA,NA,"Enterprise, AL","Micropolitan Statistical Area",NA,NA,"Central","01031","USA"
"AL","01","Alabama","033","Colbert County",55241,"22520",NA,NA,"Florence-Muscle Shoals, AL","Metropolitan Statistical Area",NA,NA,"Central","01033","USA"
"AL","01","Alabama","035","Conecuh County",12067,NA,NA,NA,NA,NA,NA,NA,NA,"01035","USA"
"AL","01","Alabama","037","Coosa County",10663,"10760",NA,"388","Alexander City, AL","Micropolitan Statistical Area",NA,"Montgomery-Selma-Alexander City, AL","Outlying","01037","USA"
"AL","01","Alabama","039","Covington County",37049,NA,NA,NA,NA,NA,NA,NA,NA,"01039","USA"
"AL","01","Alabama","041","Crenshaw County",13772,NA,NA,NA,NA,NA,NA,NA,NA,"01041","USA"
"AL","01","Alabama","043","Cullman County",83768,"18980",NA,"142","Cullman, AL","Micropolitan Statistical Area",NA,"Birmingham-Hoover-Talladega, AL","Central","01043","USA"
"AL","01","Alabama","045","Dale County",49172,"37120",NA,"222","Ozark, AL","Micropolitan Statistical Area",NA,"Dothan-Ozark, AL","Central","01045","USA"
"AL","01","Alabama","047","Dallas County",37196,"42820",NA,"388","Selma, AL","Micropolitan Statistical Area",NA,"Montgomery-Selma-Alexander City, AL","Central","01047","USA"
"AL","01","Alabama","049","DeKalb County",71513,"22840",NA,"497","Fort Payne, AL","Micropolitan Statistical Area",NA,"Scottsboro-Fort Payne, AL","Central","01049","USA"
"AL","01","Alabama","051","Elmore County",81209,"33860",NA,"388","Montgomery, AL","Metropolitan Statistical Area",NA,"Montgomery-Selma-Alexander City, AL","Central","01051","USA"
"AL","01","Alabama","053","Escambia County",36633,"12120",NA,"426","Atmore, AL","Micropolitan Statistical Area",NA,"Pensacola-Ferry Pass, FL-AL","Central","01053","USA"
"AL","01","Alabama","055","Etowah County",102268,"23460",NA,NA,"Gadsden, AL","Metropolitan Statistical Area",NA,NA,"Central","01055","USA"
"AL","01","Alabama","057","Fayette County",16302,NA,NA,NA,NA,NA,NA,NA,NA,"01057","USA"
"AL","01","Alabama","059","Franklin County",31362,NA,NA,NA,NA,NA,NA,NA,NA,"01059","USA"
"AL","01","Alabama","061","Geneva County",26271,"20020",NA,"222","Dothan, AL","Metropolitan Statistical Area",NA,"Dothan-Ozark, AL","Outlying","01061","USA"
"AL","01","Alabama","063","Greene County",8111,"46220",NA,NA,"Tuscaloosa, AL","Metropolitan Statistical Area",NA,"Tuscaloosa, AL","Outlying","01063","USA"
"AL","01","Alabama","065","Hale County",14651,"46220",NA,NA,"Tuscaloosa, AL","Metropolitan Statistical Area",NA,"Tuscaloosa, AL","Outlying","01065","USA"
"AL","01","Alabama","067","Henry County",17205,"20020",NA,"222","Dothan, AL","Metropolitan Statistical Area",NA,"Dothan-Ozark, AL","Outlying","01067","USA"
"AL","01","Alabama","069","Houston County",105882,"20020",NA,"222","Dothan, AL","Metropolitan Statistical Area",NA,"Dothan-Ozark, AL","Central","01069","USA"
"AL","01","Alabama","071","Jackson County",51626,"42460",NA,"497","Scottsboro, AL","Micropolitan Statistical Area",NA,"Scottsboro-Fort Payne, AL","Central","01071","USA"
"AL","01","Alabama","073","Jefferson County",658573,"13820",NA,"142","Birmingham-Hoover, AL","Metropolitan Statistical Area",NA,"Birmingham-Hoover-Talladega, AL","Central","01073","USA"
"AL","01","Alabama","075","Lamar County",13805,NA,NA,NA,NA,NA,NA,NA,NA,"01075","USA"
"AL","01","Alabama","077","Lauderdale County",92729,"22520",NA,NA,"Florence-Muscle Shoals, AL","Metropolitan Statistical Area",NA,NA,"Central","01077","USA"
