"stateName","state","county","FIPS"
"Alabama","AL","Unknown","01000"
"Alaska","AK","Unknown","02000"
"Arizona","AZ","Unknown","04000"
"Arkansas","AR","Unknown","05000"
"California","CA","Unknown","06000"
"Colorado","CO","Unknown","08000"
"Connecticut","CT","Unknown","09000"
"Delaware","DE","Unknown","10000"
"District of Columbia","DC","Unknown","11000"
"Florida","FL","Unknown","12000"
"Georgia","GA","Unknown","13000"
"Hawaii","HI","Unknown","15000"
"Idaho","ID","Unknown","16000"
"Illinois","IL","Unknown","17000"
"Indiana","IN","Unknown","18000"
"Iowa","IA","Unknown","19000"
"Kansas","KS","Unknown","20000"
"Kentucky","KY","Unknown","21000"
"Louisiana","LA","Unknown","22000"
"Maine","ME","Unknown","23000"
"Maryland","MD","Unknown","24000"
"Massachusetts","MA","Unknown","25000"
"Michigan","MI","Unknown","26000"
"Minnesota","MN","Unknown","27000"
"Mississippi","MS","Unknown","28000"
"Missouri","MO","Unknown","29000"
"Montana","MT","Unknown","30000"
"Nebraska","NE","Unknown","31000"
"Nevada","NV","Unknown","32000"
"New Hampshire","NH","Unknown","33000"
"New Jersey","NJ","Unknown","34000"
"New Mexico","NM","Unknown","35000"
"New York","NY","Unknown","36000"
"North Carolina","NC","Unknown","37000"
"North Dakota","ND","Unknown","38000"
"Ohio","OH","Unknown","39000"
"Oklahoma","OK","Unknown","40000"
"Oregon","OR","Unknown","41000"
"Pennsylvania","PA","Unknown","42000"
"Rhode Island","RI","Unknown","44000"
"South Carolina","SC","Unknown","45000"
"South Dakota","SD","Unknown","46000"
"Tennessee","TN","Unknown","47000"
"Texas","TX","Unknown","48000"
"Utah","UT","Unknown","49000"
"Vermont","VT","Unknown","50000"
"Virginia","VA","Unknown","51000"
"Washington","WA","Unknown","53000"
"West Virginia","WV","Unknown","54000"
"Wisconsin","WI","Unknown","55000"
"Wyoming","WY","Unknown","56000"
"American Samoa","AS","Unknown","60000"
"Guam","GU","Unknown","66000"
"Northern Mariana Islands","MP","Unknown","69000"
"Puerto Rico","PR","Unknown","72000"
"U.S. Minor Outlying Islands","UM","Unknown","74000"
"Virgin Islands","VI","Unknown","78000"
