"","death_province","recovered_province","confirmed_province"
"2020-01-22"," 0"," 0"," 10"
"2020-01-23"," 0"," 0"," 22"
"2020-01-24"," 0"," 1"," 36"
"2020-01-25"," 0"," 2"," 41"
"2020-01-26"," 0"," 2","  68"
"2020-01-27"," 1"," 2","  80"
"2020-01-28","  1"," 4","  91"
"2020-01-29","  1"," 4"," 111"
"2020-01-30","  1"," 4"," 114"
"2020-01-31","  1","  5"," 139"
"2020-02-01","  1","  9"," 168"
"2020-02-02","  1","  9"," 191"
"2020-02-03","  1"," 12","  212"
"2020-02-04","  1"," 23","  228"
"2020-02-05","  1"," 24","  253"
"2020-02-06","  1"," 31","  274"
"2020-02-07","  1"," 33","  297"
"2020-02-08","  2","  34","  315"
"2020-02-09","  2","  37","  326"
"2020-02-10","  2","  44","  337"
"2020-02-11","  3","  48","  342"
"2020-02-12","   3","  56","  352"
"2020-02-13","   3","  69","  366"
"2020-02-14","   3","  80","  372"
"2020-02-15","   4","  98","  375"
"2020-02-16","   4"," 108","  380"
"2020-02-17","   4"," 114","  381"
"2020-02-18","   4"," 122","  387"
"2020-02-19","   4"," 147","  393"
"2020-02-20","   4","  153","  395"
"2020-02-21","   4","  169","  396"
"2020-02-22","   4","  178","  399"
"2020-02-23","   4","  189","  399"
"2020-02-24","   4","  198","  399"
"2020-02-25","   4","  215","  400"
"2020-02-26","   4","  235","  400"
"2020-02-27","   5","  248","  410"
"2020-02-28","   7","  257","  410"
"2020-02-29","   8","  271","  411"
"2020-03-01","   8","  276","  413"
"2020-03-02","   8","  282","  414"
"2020-03-03","   8","  288","  414"
"2020-03-04","   8","  294","  417"
"2020-03-05","   8","  297","  418"
"2020-03-06","   8","  299","  422"
"2020-03-07","   8","  303","  426"
"2020-03-08","   8","  308","  428"
"2020-03-09","   8","  315","  428"
"2020-03-10","   8","  320","  429"
"2020-03-11","   8","  326","  435"
"2020-03-12","   8","  334","  435"
"2020-03-13","   8","  342","  436"
"2020-03-14","   8","  349","  437"
"2020-03-15","   8","  353","  442"
"2020-03-16","   8","  360","  452"
"2020-03-17","   8","  369","  456"
"2020-03-18","   8","  378","  469"
"2020-03-19","   8","  380","  480"
"2020-03-20","   8","  390","  491"
"2020-03-21","   8","  396","  504"
"2020-03-22","   8","  400","  514"
"2020-03-23","   8","  401","  537"
"2020-03-24","   8","  401","  558"
"2020-03-25","   8","  403","  561"
"2020-03-26","   8","  406","  566"
"2020-03-27","   8","  408","  569"
"2020-03-28","   8","  410","  573"
"2020-03-29","   8","  412","  577"
"2020-03-30","   8","  415","  577"
"2020-03-31","   8","  418","  580"
"2020-04-01","   8","  418","  580"
"2020-04-02","   8","  424","  582"
"2020-04-03","   8","  434","  584"
"2020-04-04","   8","  438","  585"
"2020-04-05","   8","  441","  586"
"2020-04-06","   8","  443","  587"
"2020-04-07","   8","  448","  587"
"2020-04-08","   8","  455","  588"
"2020-04-09","   8","  464","  588"
"2020-04-10","   8","  469","  588"
"2020-04-11","   8","  474","  589"
"2020-04-12","   8","  479","  589"
"2020-04-13","   8","  484","  589"
"2020-04-14","   8","  491","  589"
"2020-04-15","   8","  495","  590"
"2020-04-16","   8","  503","  593"
"2020-04-17","   8","  509","  593"
"2020-04-18","   8","  509","  593"
"2020-04-19","   8","  510","  593"
"2020-04-20","   8","  514","  593"
"2020-04-21","   8","  516","  593"
"2020-04-22","   8","  518","  593"
"2020-04-23","   8","  522","  593"
"2020-04-24","   8","  524","  593"
"2020-04-25","   8","  525","  593"
"2020-04-26","   8","  525","  593"
"2020-04-27","   9","  525","  593"
"2020-04-28","   9","  538","  593"
"2020-04-29","   9","  538","  593"
"2020-04-30","   9","  542","  593"
"2020-05-01","   9","  547","  593"
"2020-05-02","   9","  547","  593"
"2020-05-03","   9","  551","  593"
"2020-05-04","   9","  553","  593"
"2020-05-05","   9","  554","  593"
"2020-05-06","   9","  555","  593"
"2020-05-07","   9","  557","  593"
"2020-05-08","   9","  560","  593"
"2020-05-09","   9","  563","  593"
"2020-05-10","   9","  565","  593"
"2020-05-11","   9","  568","  593"
"2020-05-12","   9","  571","  593"
"2020-05-13","   9","  573","  593"
"2020-05-14","   9","  574","  593"
"2020-05-15","   9","  574","  593"
"2020-05-16","   9","  576","  593"
"2020-05-17","   9","  577","  593"
"2020-05-18","   9","  578","  593"
"2020-05-19","   9","  578","  593"
"2020-05-20","   9","  578","  593"
