"","death_province","recovered_province","confirmed_province"
"2020-01-22"," 0"," 0","  6"
"2020-01-23"," 0"," 0","  9"
"2020-01-24"," 0"," 0"," 27"
"2020-01-25"," 0"," 0"," 57"
"2020-01-26"," 0"," 0","  75"
"2020-01-27"," 0"," 0"," 110"
"2020-01-28","  0"," 0"," 132"
"2020-01-29","  0"," 1"," 147"
"2020-01-30","  0"," 1"," 182"
"2020-01-31","  0","  1"," 211"
"2020-02-01","  1","  3"," 247"
"2020-02-02","  1","  7"," 275"
"2020-02-03","  2","  8","  312"
"2020-02-04","  2","  9","  344"
"2020-02-05","  2"," 15","  376"
"2020-02-06","  2"," 24","  400"
"2020-02-07","  2"," 31","  415"
"2020-02-08","  2","  39","  428"
"2020-02-09","  2","  50","  450"
"2020-02-10","  2","  66","  473"
"2020-02-11","  2","  72","  489"
"2020-02-12","   3","  87","  509"
"2020-02-13","   3"," 128","  525"
"2020-02-14","   5"," 139","  532"
"2020-02-15","   5"," 184","  538"
"2020-02-16","   5"," 187","  547"
"2020-02-17","   5"," 214","  552"
"2020-02-18","   5"," 235","  553"
"2020-02-19","   5"," 254","  555"
"2020-02-20","   5","  274","  560"
"2020-02-21","   6","  299","  567"
"2020-02-22","   6","  316","  572"
"2020-02-23","   6","  328","  573"
"2020-02-24","   6","  335","  575"
"2020-02-25","   6","  349","  576"
"2020-02-26","   6","  373","  576"
"2020-02-27","   6","  384","  576"
"2020-02-28","   6","  402","  576"
"2020-02-29","   6","  422","  576"
"2020-03-01","   6","  442","  576"
"2020-03-02","   6","  450","  576"
"2020-03-03","   6","  469","  576"
"2020-03-04","   6","  490","  576"
"2020-03-05","   6","  502","  576"
"2020-03-06","   6","  513","  576"
"2020-03-07","   6","  521","  576"
"2020-03-08","   6","  526","  576"
"2020-03-09","   6","  535","  576"
"2020-03-10","   6","  542","  576"
"2020-03-11","   6","  549","  576"
"2020-03-12","   6","  554","  576"
"2020-03-13","   6","  564","  576"
"2020-03-14","   6","  566","  576"
"2020-03-15","   6","  570","  576"
"2020-03-16","   6","  570","  576"
"2020-03-17","   6","  570","  576"
"2020-03-18","   6","  570","  576"
"2020-03-19","   6","  570","  576"
"2020-03-20","   6","  570","  576"
"2020-03-21","   6","  570","  576"
"2020-03-22","   6","  570","  577"
"2020-03-23","   6","  570","  577"
"2020-03-24","   6","  570","  578"
"2020-03-25","   6","  570","  578"
"2020-03-26","   6","  570","  578"
"2020-03-27","   6","  570","  578"
"2020-03-28","   6","  570","  578"
"2020-03-29","   6","  570","  579"
"2020-03-30","   6","  570","  579"
"2020-03-31","   6","  570","  579"
"2020-04-01","   6","  570","  579"
"2020-04-02","   6","  570","  579"
"2020-04-03","   6","  570","  579"
"2020-04-04","   6","  570","  579"
"2020-04-05","   6","  570","  579"
"2020-04-06","   6","  570","  579"
"2020-04-07","   6","  570","  579"
"2020-04-08","   6","  570","  579"
"2020-04-09","   6","  570","  579"
"2020-04-10","   6","  570","  579"
"2020-04-11","   6","  570","  579"
"2020-04-12","   6","  570","  579"
"2020-04-13","   6","  570","  579"
"2020-04-14","   6","  570","  579"
"2020-04-15","   6","  570","  579"
"2020-04-16","   6","  570","  579"
"2020-04-17","   6","  570","  579"
"2020-04-18","   6","  570","  579"
"2020-04-19","   6","  570","  579"
"2020-04-20","   6","  570","  579"
"2020-04-21","   6","  570","  579"
"2020-04-22","   6","  570","  579"
"2020-04-23","   6","  570","  579"
"2020-04-24","   6","  573","  579"
"2020-04-25","   6","  573","  579"
"2020-04-26","   6","  573","  579"
"2020-04-27","   6","  573","  579"
"2020-04-28","   6","  573","  579"
"2020-04-29","   6","  573","  579"
"2020-04-30","   6","  573","  579"
"2020-05-01","   6","  573","  579"
"2020-05-02","   6","  573","  579"
"2020-05-03","   6","  573","  579"
"2020-05-04","   6","  573","  579"
"2020-05-05","   6","  573","  579"
"2020-05-06","   6","  573","  579"
"2020-05-07","   6","  573","  579"
"2020-05-08","   6","  573","  579"
"2020-05-09","   6","  573","  579"
"2020-05-10","   6","  573","  579"
"2020-05-11","   6","  573","  579"
"2020-05-12","   6","  573","  579"
"2020-05-13","   6","  573","  579"
"2020-05-14","   6","  573","  579"
"2020-05-15","   6","  573","  579"
"2020-05-16","   6","  573","  579"
"2020-05-17","   6","  573","  579"
"2020-05-18","   6","  573","  579"
"2020-05-19","   6","  573","  579"
"2020-05-20","   6","  573","  579"
"2020-05-21","   6","  573","  579"
"2020-05-22","   6","  573","  579"
"2020-05-23","   6","  573","  579"
"2020-05-24","   6","  573","  579"
"2020-05-25","   6","  573","  579"
"2020-05-26","   6","  573","  579"
