"","death_province","recovered_province","confirmed_province"
"2020-01-22"," 0"," 0","  1"
"2020-01-23"," 0"," 0","  5"
"2020-01-24"," 0"," 0"," 10"
"2020-01-25"," 0"," 0"," 18"
"2020-01-26"," 0"," 0","  35"
"2020-01-27"," 0"," 0","  59"
"2020-01-28","  0"," 0","  80"
"2020-01-29","  0"," 0","  84"
"2020-01-30","  0"," 0"," 101"
"2020-01-31","  0","  0"," 120"
"2020-02-01","  0","  0"," 144"
"2020-02-02","  0","  0"," 159"
"2020-02-03","  0","  1","  179"
"2020-02-04","  0","  3","  194"
"2020-02-05","  0"," 11","  205"
"2020-02-06","  0"," 14","  215"
"2020-02-07","  0"," 20","  224"
"2020-02-08","  0","  24","  239"
"2020-02-09","  0","  35","  250"
"2020-02-10","  0","  39","  261"
"2020-02-11","  0","  45","  267"
"2020-02-12","   0","  53","  272"
"2020-02-13","   0","  57","  279"
"2020-02-14","   0","  63","  281"
"2020-02-15","   0","  71","  285"
"2020-02-16","   0","  82","  287"
"2020-02-17","   0","  90","  290"
"2020-02-18","   0","  93","  292"
"2020-02-19","   0"," 112","  293"
"2020-02-20","   1","  126","  293"
"2020-02-21","   1","  149","  293"
"2020-02-22","   1","  162","  293"
"2020-02-23","   1","  170","  293"
"2020-02-24","   1","  183","  293"
"2020-02-25","   1","  199","  294"
"2020-02-26","   1","  218","  294"
"2020-02-27","   1","  228","  296"
"2020-02-28","   1","  235","  296"
"2020-02-29","   1","  243","  296"
"2020-03-01","   1","  247","  296"
"2020-03-02","   1","  255","  296"
"2020-03-03","   1","  260","  296"
"2020-03-04","   1","  270","  296"
"2020-03-05","   1","  277","  296"
"2020-03-06","   1","  284","  296"
"2020-03-07","   1","  295","  296"
"2020-03-08","   1","  295","  296"
"2020-03-09","   1","  295","  296"
"2020-03-10","   1","  295","  296"
"2020-03-11","   1","  295","  296"
"2020-03-12","   1","  295","  296"
"2020-03-13","   1","  295","  296"
"2020-03-14","   1","  295","  296"
"2020-03-15","   1","  295","  296"
"2020-03-16","   1","  295","  296"
"2020-03-17","   1","  295","  296"
"2020-03-18","   1","  295","  296"
"2020-03-19","   1","  295","  296"
"2020-03-20","   1","  295","  299"
"2020-03-21","   1","  295","  303"
"2020-03-22","   1","  295","  307"
"2020-03-23","   1","  295","  313"
"2020-03-24","   1","  295","  318"
"2020-03-25","   1","  295","  322"
"2020-03-26","   1","  295","  328"
"2020-03-27","   1","  295","  331"
"2020-03-28","   1","  295","  337"
"2020-03-29","   1","  295","  338"
"2020-03-30","   1","  295","  340"
"2020-03-31","   1","  295","  343"
"2020-04-01","   1","  298","  345"
"2020-04-02","   1","  299","  345"
"2020-04-03","   1","  300","  349"
"2020-04-04","   1","  301","  350"
"2020-04-05","   1","  303","  350"
"2020-04-06","   1","  305","  350"
"2020-04-07","   1","  305","  351"
"2020-04-08","   1","  308","  351"
"2020-04-09","   1","  308","  351"
"2020-04-10","   1","  311","  351"
"2020-04-11","   1","  317","  351"
"2020-04-12","   1","  321","  352"
"2020-04-13","   1","  325","  352"
"2020-04-14","   1","  329","  353"
"2020-04-15","   1","  331","  353"
"2020-04-16","   1","  333","  353"
"2020-04-17","   1","  334","  354"
"2020-04-18","   1","  336","  355"
"2020-04-19","   1","  339","  355"
"2020-04-20","   1","  339","  355"
"2020-04-21","   1","  341","  355"
"2020-04-22","   1","  342","  355"
"2020-04-23","   1","  342","  355"
"2020-04-24","   1","  346","  355"
"2020-04-25","   1","  349","  355"
"2020-04-26","   1","  349","  355"
"2020-04-27","   1","  349","  355"
"2020-04-28","   1","  349","  355"
"2020-04-29","   1","  352","  355"
"2020-04-30","   1","  353","  355"
"2020-05-01","   1","  353","  356"
"2020-05-02","   1","  353","  356"
"2020-05-03","   1","  353","  356"
"2020-05-04","   1","  353","  356"
"2020-05-05","   1","  353","  356"
"2020-05-06","   1","  353","  356"
"2020-05-07","   1","  354","  356"
"2020-05-08","   1","  354","  356"
"2020-05-09","   1","  354","  356"
"2020-05-10","   1","  354","  356"
"2020-05-11","   1","  354","  356"
"2020-05-12","   1","  354","  356"
"2020-05-13","   1","  354","  356"
"2020-05-14","   1","  354","  356"
"2020-05-15","   1","  355","  356"
"2020-05-16","   1","  355","  356"
"2020-05-17","   1","  355","  356"
"2020-05-18","   1","  355","  356"
"2020-05-19","   1","  355","  356"
"2020-05-20","   1","  355","  356"
"2020-05-21","   1","  355","  356"
"2020-05-22","   1","  355","  356"
"2020-05-23","   1","  355","  356"
"2020-05-24","   1","  355","  356"
"2020-05-25","   1","  355","  356"
"2020-05-26","   1","  355","  357"
"2020-05-27","   1","  355","  357"
"2020-05-28","   1","  355","  358"
"2020-05-29","   1","  355","  358"
"2020-05-30","   1","  355","  358"
"2020-05-31","   1","  355","  358"
"2020-06-01","   1","  356","  358"
"2020-06-02","   1","  356","  358"
"2020-06-03","   1","  356","  358"
"2020-06-04","   1","  356","  358"
"2020-06-05","   1","  356","  358"
"2020-06-06","   1","  356","  358"
"2020-06-07","   1","  356","  359"
"2020-06-08","   1","  356","  359"
"2020-06-09","   1","  356","  359"
"2020-06-10","   1","  356","  359"
"2020-06-11","   1","  356","  360"
"2020-06-12","   1","  356","  361"
"2020-06-13","   1","  356","  361"
"2020-06-14","   1","  356","  361"
"2020-06-15","   1","  356","  362"
"2020-06-16","   1","  356","  362"
"2020-06-17","   1","  356","  362"
"2020-06-18","   1","  356","  362"
"2020-06-19","   1","  357","  362"
"2020-06-20","   1","  357","  362"
"2020-06-21","   1","  357","  363"
"2020-06-22","   1","  357","  363"
"2020-06-23","   1","  357","  363"
"2020-06-24","   1","  357","  363"
"2020-06-25","   1","  357","  363"
"2020-06-26","   1","  357","  363"
"2020-06-27","   1","  357","  363"
"2020-06-28","   1","  357","  363"
"2020-06-29","   1","  357","  363"
"2020-06-30","   1","  357","  363"
"2020-07-01","   1","  359","  363"
"2020-07-02","   1","  359","  363"
"2020-07-03","   1","  359","  363"
"2020-07-04","   1","  360","  363"
"2020-07-05","   1","  360","  363"
"2020-07-06","   1","  360","  363"
"2020-07-07","   1","  360","  363"
"2020-07-08","   1","  360","  363"
"2020-07-09","   1","  360","  363"
"2020-07-10","   1","  360","  363"
"2020-07-11","   1","  361","  363"
"2020-07-12","   1","  361","  363"
"2020-07-13","   1","  361","  363"
"2020-07-14","   1","  361","  363"
"2020-07-15","   1","  361","  363"
"2020-07-16","   1","  361","  363"
"2020-07-17","   1","  361","  363"
"2020-07-18","   1","  361","  363"
"2020-07-19","   1","  361","  364"
"2020-07-20","   1","  361","  364"
"2020-07-21","   1","  361","  364"
"2020-07-22","   1","  361","  364"
"2020-07-23","   1","  361","  364"
"2020-07-24","   1","  361","  364"
"2020-07-25","   1","  361","  364"
"2020-07-26","   1","  361","  365"
"2020-07-27","   1","  361","  366"
"2020-07-28","   1","  361","  366"
"2020-07-29","   1","  361","  366"
"2020-07-30","   1","  362","  366"
"2020-07-31","   1","  363","  366"
"2020-08-01","   1","  363","  366"
"2020-08-02","   1","  363","  367"
"2020-08-03","   1","  363","  367"
"2020-08-04","   1","  363","  367"
"2020-08-05","   1","  363","  367"
"2020-08-06","   1","  363","  367"
"2020-08-07","   1","  363","  367"
"2020-08-08","   1","  363","  367"
"2020-08-09","   1","  363","  367"
"2020-08-10","   1","  363","  367"
"2020-08-11","   1","  363","  367"
"2020-08-12","   1","  363","  368"
"2020-08-13","   1","  364","  368"
"2020-08-14","   1","  365","  368"
"2020-08-15","   1","  365","  368"
"2020-08-16","   1","  365","  369"
"2020-08-17","   1","  365","  370"
"2020-08-18","   1","  365","  370"
"2020-08-19","   1","  365","  370"
"2020-08-20","   1","  365","  370"
"2020-08-21","   1","  365","  370"
"2020-08-22","   1","  365","  371"
"2020-08-23","   1","  365","  372"
"2020-08-24","   1","  365","  375"
"2020-08-25","   1","  365","  375"
"2020-08-26","   1","  365","  375"
"2020-08-27","   1","  366","  375"
"2020-08-28","   1","  366","  376"
"2020-08-29","   1","  366","  378"
"2020-08-30","   1","  366","  380"
"2020-08-31","   1","  366","  382"
"2020-09-01","   1","  368","  383"
"2020-09-02","   1","  369","  383"
"2020-09-03","   1","  369","  383"
"2020-09-04","   1","  370","  384"
"2020-09-05","   1","  370","  385"
"2020-09-06","   1","  372","  386"
"2020-09-07","   1","  372","  386"
"2020-09-08","   1","  372","  387"
"2020-09-09","   1","  372","  387"
"2020-09-10","   1","  373","  387"
"2020-09-11","   1","  374","  387"
"2020-09-12","   1","  375","  388"
"2020-09-13","   1","  376","  388"
"2020-09-14","   1","  376","  390"
"2020-09-15","   1","  377","  390"
"2020-09-16","   1","  377","  392"
"2020-09-17","   1","  377","  392"
"2020-09-18","   1","  379","  393"
"2020-09-19","   1","  380","  394"
"2020-09-20","   1","  380","  395"
"2020-09-21","   1","  380","  396"
"2020-09-22","   1","  380","  396"
"2020-09-23","   1","  381","  396"
"2020-09-24","   1","  381","  396"
"2020-09-25","   1","  384","  396"
"2020-09-26","   1","  385","  397"
"2020-09-27","   1","  385","  401"
"2020-09-28","   1","  387","  403"
"2020-09-29","   1","  387","  404"
"2020-09-30","   1","  388","  409"
"2020-10-01","   1","  390","  409"
"2020-10-02","   1","  390","  411"
"2020-10-03","   1","  391","  411"
"2020-10-04","   1","  393","  411"
"2020-10-05","   1","  394","  413"
"2020-10-06","   1","  394","  413"
"2020-10-07","   1","  397","  413"
"2020-10-08","   1","  399","  414"
"2020-10-09","   1","  399","  414"
"2020-10-10","   1","  400","  414"
"2020-10-11","   1","  400","  415"
"2020-10-12","   1","  402","  416"
"2020-10-13","   1","  406","  416"
"2020-10-14","   1","  406","  416"
"2020-10-15","   1","  406","  416"
"2020-10-16","   1","  406","  417"
"2020-10-17","   1","  406","  417"
"2020-10-18","   1","  407","  417"
"2020-10-19","   1","  409","  417"
"2020-10-20","   1","  409","  418"
"2020-10-21","   1","  409","  419"
"2020-10-22","   1","  409","  420"
"2020-10-23","   1","  409","  427"
"2020-10-24","   1","  409","  429"
"2020-10-25","   1","  410","  429"
"2020-10-26","   1","  410","  430"
"2020-10-27","   1","  410","  431"
"2020-10-28","   1","  410","  431"
"2020-10-29","   1","  410","  432"
"2020-10-30","   1","  410","  436"
"2020-10-31","   1","  410","  436"
"2020-11-01","   1","  411","  437"
"2020-11-02","   1","  411","  437"
"2020-11-03","   1","  412","  441"
"2020-11-04","   1","  413","  443"
"2020-11-05","   1","  414","  444"
"2020-11-06","   1","  415","  446"
"2020-11-07","   1","  417","  455"
"2020-11-08","   1","  418","  456"
"2020-11-09","   1","  419","  456"
"2020-11-10","   1","  419","  459"
"2020-11-11","   1","  420","  459"
"2020-11-12","   1","  420","  460"
"2020-11-13","   1","  420","  460"
"2020-11-14","   1","  423","  461"
"2020-11-15","   1","  426","  461"
"2020-11-16","   1","  426","  461"
"2020-11-17","   1","  430","  461"
"2020-11-18","   1","  431","  461"
"2020-11-19","   1","  431","  463"
"2020-11-20","   1","  433","  469"
"2020-11-21","   1","  434","  469"
"2020-11-22","   1","  434","  473"
"2020-11-23","   1","  434","  474"
"2020-11-24","   1","  434","  478"
"2020-11-25","   1","  437","  479"
"2020-11-26","   1","  437","  480"
"2020-11-27","   1","  438","  481"
"2020-11-28","   1","  440","  483"
"2020-11-29","   1","  442","  487"
"2020-11-30","   1","  443","  487"
"2020-12-01","   1","  443","  489"
"2020-12-02","   1","  447","  490"
"2020-12-03","   1","  450","  490"
"2020-12-04","   1","  450","  492"
"2020-12-05","   1","  450","  493"
"2020-12-06","   1","  452","  499"
"2020-12-07","   1","  452","  499"
"2020-12-08","   1","  452","  499"
"2020-12-09","   1","  454","  500"
"2020-12-10","   1","  455","  501"
"2020-12-11","   1","  458","  501"
"2020-12-12","   1","  458","  502"
"2020-12-13","   1","  460","  502"
"2020-12-14","   1","  463","  502"
"2020-12-15","   1","  469","  502"
"2020-12-16","   1","  471","  503"
"2020-12-17","   1","  473","  503"
"2020-12-18","   1","  475","  503"
"2020-12-19","   1","  477","  504"
"2020-12-20","   1","  478","  505"
"2020-12-21","   1","  480","  507"
"2020-12-22","   1","  482","  507"
"2020-12-23","   1","  484","  507"
"2020-12-24","   1","  485","  507"
"2020-12-25","   1","  486","  507"
"2020-12-26","   1","  486","  508"
"2020-12-27","   1","  486","  508"
"2020-12-28","   1","  486","  508"
"2020-12-29","   1","  486","  509"
"2020-12-30","   1","  486","  511"
"2020-12-31","   1","  487","  512"
"2021-01-01","   1","  488","  513"
"2021-01-02","   1","  488","  513"
"2021-01-03","   1","  488","  516"
"2021-01-04","   1","  489","  517"
"2021-01-05","   1","  490","  518"
"2021-01-06","   1","  493","  518"
"2021-01-07","   1","  494","  518"
"2021-01-08","   1","  495","  519"
"2021-01-09","   1","  495","  520"
"2021-01-10","   1","  497","  526"
