"","death_province","recovered_province","confirmed_province"
"2020-01-22"," 0"," 0","  0"
"2020-01-23"," 0"," 0","  2"
"2020-01-24"," 0"," 0","  2"
"2020-01-25"," 0"," 0","  4"
"2020-01-26"," 0"," 0","   7"
"2020-01-27"," 0"," 0","  14"
"2020-01-28","  0"," 0","  19"
"2020-01-29","  0"," 0","  24"
"2020-01-30","  0"," 0","  26"
"2020-01-31","  0","  0","  29"
"2020-02-01","  0","  0","  40"
"2020-02-02","  0","  3","  40"
"2020-02-03","  0","  3","   51"
"2020-02-04","  0","  4","   57"
"2020-02-05","  0","  6","   57"
"2020-02-06","  0","  6","   62"
"2020-02-07","  0","  9","   67"
"2020-02-08","  1","  12","   79"
"2020-02-09","  1","  15","   79"
"2020-02-10","  2","  17","   83"
"2020-02-11","  2","  24","   86"
"2020-02-12","   2","  29","   86"
"2020-02-13","   2","  39","   90"
"2020-02-14","   2","  39","   90"
"2020-02-15","   2","  49","   90"
"2020-02-16","   2","  54","   90"
"2020-02-17","   2","  58","   91"
"2020-02-18","   2","  62","   91"
"2020-02-19","   2","  65","   91"
"2020-02-20","   2","   71","   91"
"2020-02-21","   2","   76","   91"
"2020-02-22","   2","   76","   91"
"2020-02-23","   2","   78","   91"
"2020-02-24","   2","   80","   91"
"2020-02-25","   2","   80","   91"
"2020-02-26","   2","   81","   91"
"2020-02-27","   2","   81","   91"
"2020-02-28","   2","   82","   91"
"2020-02-29","   2","   82","   91"
"2020-03-01","   2","   84","   91"
"2020-03-02","   2","   85","   91"
"2020-03-03","   2","   86","   91"
"2020-03-04","   2","   87","   91"
"2020-03-05","   2","   87","  102"
"2020-03-06","   2","   87","  119"
"2020-03-07","   2","   87","  120"
"2020-03-08","   2","   87","  124"
"2020-03-09","   2","   88","  124"
"2020-03-10","   2","   88","  125"
"2020-03-11","   2","   88","  127"
"2020-03-12","   2","   88","  127"
"2020-03-13","   2","   88","  127"
"2020-03-14","   2","   89","  129"
"2020-03-15","   2","   91","  133"
"2020-03-16","   2","   91","  133"
"2020-03-17","   2","   91","  133"
"2020-03-18","   2","   91","  133"
"2020-03-19","   2","   91","  134"
"2020-03-20","   2","   98","  134"
"2020-03-21","   2","  113","  134"
"2020-03-22","   2","  114","  136"
"2020-03-23","   2","  114","  136"
"2020-03-24","   2","  119","  136"
"2020-03-25","   2","  119","  136"
"2020-03-26","   2","  121","  136"
"2020-03-27","   2","  123","  136"
"2020-03-28","   2","  125","  136"
"2020-03-29","   2","  125","  138"
"2020-03-30","   2","  125","  138"
"2020-03-31","   2","  125","  138"
"2020-04-01","   2","  127","  138"
"2020-04-02","   2","  127","  138"
"2020-04-03","   2","  127","  138"
"2020-04-04","   2","  131","  138"
"2020-04-05","   2","  131","  138"
"2020-04-06","   2","  132","  139"
"2020-04-07","   2","  132","  139"
"2020-04-08","   2","  133","  139"
"2020-04-09","   2","  135","  139"
"2020-04-10","   2","  135","  139"
"2020-04-11","   2","  135","  139"
"2020-04-12","   2","  135","  139"
"2020-04-13","   2","  135","  139"
"2020-04-14","   2","  136","  139"
"2020-04-15","   2","  136","  139"
"2020-04-16","   2","  137","  139"
"2020-04-17","   2","  137","  139"
"2020-04-18","   2","  137","  139"
"2020-04-19","   2","  137","  139"
"2020-04-20","   2","  137","  139"
"2020-04-21","   2","  137","  139"
"2020-04-22","   2","  137","  139"
"2020-04-23","   2","  137","  139"
"2020-04-24","   2","  137","  139"
"2020-04-25","   2","  137","  139"
"2020-04-26","   2","  137","  139"
"2020-04-27","   2","  137","  139"
"2020-04-28","   2","  137","  139"
"2020-04-29","   2","  137","  139"
"2020-04-30","   2","  137","  139"
"2020-05-01","   2","  137","  139"
"2020-05-02","   2","  137","  139"
"2020-05-03","   2","  137","  139"
"2020-05-04","   2","  137","  139"
"2020-05-05","   2","  137","  139"
"2020-05-06","   2","  137","  139"
"2020-05-07","   2","  137","  139"
"2020-05-08","   2","  137","  139"
"2020-05-09","   2","  137","  139"
"2020-05-10","   2","  137","  139"
"2020-05-11","   2","  137","  139"
"2020-05-12","   2","  137","  139"
"2020-05-13","   2","  137","  139"
"2020-05-14","   2","  137","  139"
"2020-05-15","   2","  137","  139"
"2020-05-16","   2","  137","  139"
"2020-05-17","   2","  137","  139"
"2020-05-18","   2","  137","  139"
"2020-05-19","   2","  137","  139"
"2020-05-20","   2","  137","  139"
"2020-05-21","   2","  137","  139"
"2020-05-22","   2","  137","  139"
"2020-05-23","   2","  137","  139"
"2020-05-24","   2","  137","  139"
"2020-05-25","   2","  137","  139"
"2020-05-26","   2","  137","  139"
"2020-05-27","   2","  137","  139"
"2020-05-28","   2","  137","  139"
"2020-05-29","   2","  137","  139"
"2020-05-30","   2","  137","  139"
"2020-05-31","   2","  137","  139"
"2020-06-01","   2","  137","  139"
"2020-06-02","   2","  137","  139"
"2020-06-03","   2","  137","  139"
"2020-06-04","   2","  137","  139"
"2020-06-05","   2","  137","  139"
"2020-06-06","   2","  137","  139"
"2020-06-07","   2","  137","  139"
"2020-06-08","   2","  137","  139"
"2020-06-09","   2","  137","  139"
"2020-06-10","   2","  137","  139"
"2020-06-11","   2","  137","  139"
"2020-06-12","   2","  137","  139"
"2020-06-13","   2","  137","  139"
"2020-06-14","   2","  137","  139"
"2020-06-15","   2","  137","  139"
"2020-06-16","   2","  137","  139"
"2020-06-17","   2","  137","  150"
"2020-06-18","   2","  137","  150"
"2020-06-19","   2","  137","  151"
"2020-06-20","   2","  137","  151"
"2020-06-21","   2","  137","  151"
"2020-06-22","   2","  137","  158"
"2020-06-23","   2","  137","  158"
"2020-06-24","   2","  138","  161"
"2020-06-25","   2","  138","  161"
"2020-06-26","   2","  139","  161"
"2020-06-27","   2","  139","  162"
"2020-06-28","   2","  140","  163"
"2020-06-29","   2","  140","  163"
"2020-06-30","   2","  143","  164"
"2020-07-01","   2","  149","  164"
"2020-07-02","   2","  149","  164"
"2020-07-03","   2","  153","  164"
"2020-07-04","   2","  154","  164"
"2020-07-05","   2","  154","  167"
"2020-07-06","   2","  154","  167"
"2020-07-07","   2","  156","  167"
"2020-07-08","   2","  159","  167"
"2020-07-09","   2","  162","  167"
"2020-07-10","   2","  162","  167"
"2020-07-11","   2","  162","  167"
"2020-07-12","   2","  162","  167"
"2020-07-13","   2","  162","  167"
"2020-07-14","   2","  162","  167"
"2020-07-15","   2","  164","  167"
"2020-07-16","   2","  165","  167"
"2020-07-17","   2","  165","  167"
"2020-07-18","   2","  165","  167"
"2020-07-19","   2","  165","  167"
"2020-07-20","   2","  165","  167"
"2020-07-21","   2","  165","  167"
"2020-07-22","   2","  165","  167"
"2020-07-23","   2","  165","  167"
"2020-07-24","   2","  165","  167"
"2020-07-25","   2","  165","  167"
"2020-07-26","   2","  165","  167"
"2020-07-27","   2","  165","  167"
"2020-07-28","   2","  165","  167"
"2020-07-29","   2","  165","  167"
"2020-07-30","   2","  165","  167"
"2020-07-31","   2","  165","  167"
"2020-08-01","   2","  165","  167"
"2020-08-02","   2","  165","  167"
"2020-08-03","   2","  165","  167"
"2020-08-04","   2","  165","  167"
"2020-08-05","   2","  165","  167"
"2020-08-06","   2","  165","  167"
"2020-08-07","   2","  165","  167"
"2020-08-08","   2","  165","  167"
"2020-08-09","   2","  165","  167"
"2020-08-10","   2","  165","  167"
"2020-08-11","   2","  165","  169"
"2020-08-12","   2","  165","  169"
"2020-08-13","   2","  165","  169"
"2020-08-14","   2","  165","  169"
"2020-08-15","   2","  165","  169"
"2020-08-16","   2","  167","  169"
"2020-08-17","   2","  167","  169"
"2020-08-18","   2","  167","  169"
"2020-08-19","   2","  167","  169"
"2020-08-20","   2","  167","  169"
