"","death_province","recovered_province","confirmed_province"
"2020-01-22"," 0"," 0","  2"
"2020-01-23"," 0"," 0","  5"
"2020-01-24"," 0"," 0"," 13"
"2020-01-25"," 0"," 0"," 23"
"2020-01-26"," 0"," 0","  36"
"2020-01-27"," 0"," 0","  46"
"2020-01-28","  0"," 2","  51"
"2020-01-29","  0"," 2","  58"
"2020-01-30","  0"," 2","  78"
"2020-01-31","  0","  2","  87"
"2020-02-01","  0","  2"," 100"
"2020-02-02","  0","  2"," 111"
"2020-02-03","  0","  7","  127"
"2020-02-04","  0"," 10","  139"
"2020-02-05","  0"," 13","  150"
"2020-02-06","  0"," 14","  168"
"2020-02-07","  0"," 17","  172"
"2020-02-08","  0","  17","  183"
"2020-02-09","  1","  18","  195"
"2020-02-10","  1","  24","  210"
"2020-02-11","  1","  33","  215"
"2020-02-12","   1","  32","  222"
"2020-02-13","   2","  33","  222"
"2020-02-14","   2","  36","  226"
"2020-02-15","   2","  44","  235"
"2020-02-16","   2","  49","  237"
"2020-02-17","   2","  53","  238"
"2020-02-18","   2","  69","  242"
"2020-02-19","   2","  86","  244"
"2020-02-20","   2","   90","  245"
"2020-02-21","   2","   97","  246"
"2020-02-22","   2","  104","  249"
"2020-02-23","   2","  106","  249"
"2020-02-24","   2","  112","  251"
"2020-02-25","   2","  134","  252"
"2020-02-26","   2","  147","  252"
"2020-02-27","   2","  161","  252"
"2020-02-28","   2","  168","  252"
"2020-02-29","   2","  176","  252"
"2020-03-01","   2","  181","  252"
"2020-03-02","   2","  192","  252"
"2020-03-03","   2","  202","  252"
"2020-03-04","   2","  210","  252"
"2020-03-05","   2","  214","  252"
"2020-03-06","   2","  217","  252"
"2020-03-07","   2","  218","  252"
"2020-03-08","   2","  223","  252"
"2020-03-09","   2","  230","  252"
"2020-03-10","   2","  234","  252"
"2020-03-11","   2","  238","  252"
"2020-03-12","   2","  241","  252"
"2020-03-13","   2","  243","  252"
"2020-03-14","   2","  243","  252"
"2020-03-15","   2","  243","  252"
"2020-03-16","   2","  248","  252"
"2020-03-17","   2","  248","  253"
"2020-03-18","   2","  250","  253"
"2020-03-19","   2","  250","  253"
"2020-03-20","   2","  250","  254"
"2020-03-21","   2","  250","  254"
"2020-03-22","   2","  250","  254"
"2020-03-23","   2","  250","  254"
"2020-03-24","   2","  250","  254"
"2020-03-25","   2","  250","  254"
"2020-03-26","   2","  250","  254"
"2020-03-27","   2","  250","  254"
"2020-03-28","   2","  250","  254"
"2020-03-29","   2","  250","  254"
"2020-03-30","   2","  250","  254"
"2020-03-31","   2","  250","  254"
"2020-04-01","   2","  250","  254"
"2020-04-02","   2","  252","  254"
"2020-04-03","   2","  252","  254"
"2020-04-04","   2","  252","  254"
"2020-04-05","   2","  252","  254"
"2020-04-06","   2","  252","  254"
"2020-04-07","   2","  252","  254"
"2020-04-08","   2","  252","  254"
"2020-04-09","   2","  252","  254"
"2020-04-10","   2","  252","  254"
"2020-04-11","   2","  252","  254"
"2020-04-12","   2","  252","  254"
"2020-04-13","   2","  252","  254"
"2020-04-14","   2","  252","  254"
"2020-04-15","   2","  252","  254"
"2020-04-16","   2","  252","  254"
"2020-04-17","   2","  252","  254"
"2020-04-18","   2","  252","  254"
"2020-04-19","   2","  252","  254"
"2020-04-20","   2","  252","  254"
"2020-04-21","   2","  252","  254"
"2020-04-22","   2","  252","  254"
"2020-04-23","   2","  252","  254"
"2020-04-24","   2","  252","  254"
"2020-04-25","   2","  252","  254"
"2020-04-26","   2","  252","  254"
"2020-04-27","   2","  252","  254"
"2020-04-28","   2","  252","  254"
"2020-04-29","   2","  252","  254"
"2020-04-30","   2","  252","  254"
"2020-05-01","   2","  252","  254"
"2020-05-02","   2","  252","  254"
"2020-05-03","   2","  252","  254"
"2020-05-04","   2","  252","  254"
"2020-05-05","   2","  252","  254"
"2020-05-06","   2","  252","  254"
"2020-05-07","   2","  252","  254"
"2020-05-08","   2","  252","  254"
"2020-05-09","   2","  252","  254"
"2020-05-10","   2","  252","  254"
"2020-05-11","   2","  252","  254"
"2020-05-12","   2","  252","  254"
"2020-05-13","   2","  252","  254"
"2020-05-14","   2","  252","  254"
"2020-05-15","   2","  252","  254"
"2020-05-16","   2","  252","  254"
"2020-05-17","   2","  252","  254"
"2020-05-18","   2","  252","  254"
"2020-05-19","   2","  252","  254"
"2020-05-20","   2","  252","  254"
"2020-05-21","   2","  252","  254"
"2020-05-22","   2","  252","  254"
"2020-05-23","   2","  252","  254"
"2020-05-24","   2","  252","  254"
"2020-05-25","   2","  252","  254"
"2020-05-26","   2","  252","  254"
"2020-05-27","   2","  252","  254"
"2020-05-28","   2","  252","  254"
"2020-05-29","   2","  252","  254"
"2020-05-30","   2","  252","  254"
"2020-05-31","   2","  252","  254"
"2020-06-01","   2","  252","  254"
"2020-06-02","   2","  252","  254"
"2020-06-03","   2","  252","  254"
"2020-06-04","   2","  252","  254"
"2020-06-05","   2","  252","  254"
"2020-06-06","   2","  252","  254"
"2020-06-07","   2","  252","  254"
"2020-06-08","   2","  252","  254"
"2020-06-09","   2","  252","  254"
"2020-06-10","   2","  252","  254"
"2020-06-11","   2","  252","  254"
"2020-06-12","   2","  252","  254"
"2020-06-13","   2","  252","  254"
"2020-06-14","   2","  252","  254"
"2020-06-15","   2","  252","  254"
"2020-06-16","   2","  252","  254"
"2020-06-17","   2","  252","  254"
"2020-06-18","   2","  252","  254"
"2020-06-19","   2","  252","  254"
"2020-06-20","   2","  252","  254"
"2020-06-21","   2","  252","  254"
"2020-06-22","   2","  252","  254"
"2020-06-23","   2","  252","  254"
"2020-06-24","   2","  252","  254"
"2020-06-25","   2","  252","  254"
"2020-06-26","   2","  252","  254"
"2020-06-27","   2","  252","  254"
"2020-06-28","   2","  252","  254"
"2020-06-29","   2","  252","  254"
"2020-06-30","   2","  252","  254"
"2020-07-01","   2","  252","  254"
"2020-07-02","   2","  252","  254"
"2020-07-03","   2","  252","  254"
"2020-07-04","   2","  252","  254"
"2020-07-05","   2","  252","  254"
"2020-07-06","   2","  252","  254"
"2020-07-07","   2","  252","  254"
"2020-07-08","   2","  252","  254"
"2020-07-09","   2","  252","  254"
"2020-07-10","   2","  252","  254"
"2020-07-11","   2","  252","  254"
"2020-07-12","   2","  252","  254"
"2020-07-13","   2","  252","  254"
"2020-07-14","   2","  252","  254"
"2020-07-15","   2","  252","  254"
"2020-07-16","   2","  252","  254"
"2020-07-17","   2","  252","  254"
"2020-07-18","   2","  252","  254"
"2020-07-19","   2","  252","  255"
"2020-07-20","   2","  252","  255"
"2020-07-21","   2","  252","  255"
"2020-07-22","   2","  252","  255"
"2020-07-23","   2","  253","  255"
"2020-07-24","   2","  253","  255"
"2020-07-25","   2","  253","  255"
"2020-07-26","   2","  253","  255"
"2020-07-27","   2","  253","  255"
"2020-07-28","   2","  253","  255"
"2020-07-29","   2","  253","  255"
"2020-07-30","   2","  253","  255"
"2020-07-31","   2","  253","  255"
"2020-08-01","   2","  253","  255"
"2020-08-02","   2","  253","  255"
"2020-08-03","   2","  253","  255"
"2020-08-04","   2","  253","  255"
"2020-08-05","   2","  253","  255"
"2020-08-06","   2","  253","  255"
"2020-08-07","   2","  253","  255"
"2020-08-08","   2","  253","  255"
"2020-08-09","   2","  253","  255"
"2020-08-10","   2","  253","  255"
"2020-08-11","   2","  253","  255"
"2020-08-12","   2","  253","  255"
"2020-08-13","   2","  253","  255"
"2020-08-14","   2","  253","  255"
"2020-08-15","   2","  253","  255"
"2020-08-16","   2","  253","  255"
"2020-08-17","   2","  253","  255"
"2020-08-18","   2","  253","  255"
"2020-08-19","   2","  253","  255"
"2020-08-20","   2","  253","  255"
"2020-08-21","   2","  253","  255"
"2020-08-22","   2","  253","  255"
"2020-08-23","   2","  253","  255"
"2020-08-24","   2","  253","  255"
"2020-08-25","   2","  253","  255"
"2020-08-26","   2","  253","  255"
"2020-08-27","   2","  253","  255"
"2020-08-28","   2","  253","  255"
"2020-08-29","   2","  253","  255"
"2020-08-30","   2","  253","  255"
"2020-08-31","   2","  253","  255"
"2020-09-01","   2","  253","  255"
"2020-09-02","   2","  253","  255"
"2020-09-03","   2","  253","  255"
"2020-09-04","   2","  253","  257"
"2020-09-05","   2","  253","  257"
"2020-09-06","   2","  253","  257"
"2020-09-07","   2","  253","  257"
"2020-09-08","   2","  253","  257"
"2020-09-09","   2","  253","  257"
"2020-09-10","   2","  253","  257"
"2020-09-11","   2","  253","  257"
"2020-09-12","   2","  253","  257"
"2020-09-13","   2","  253","  258"
"2020-09-14","   2","  253","  258"
"2020-09-15","   2","  253","  258"
"2020-09-16","   2","  253","  258"
"2020-09-17","   2","  253","  258"
"2020-09-18","   2","  253","  258"
"2020-09-19","   2","  253","  258"
"2020-09-20","   2","  253","  258"
"2020-09-21","   2","  253","  258"
"2020-09-22","   2","  254","  258"
"2020-09-23","   2","  254","  258"
"2020-09-24","   2","  254","  259"
"2020-09-25","   2","  254","  259"
"2020-09-26","   2","  254","  259"
"2020-09-27","   2","  254","  259"
"2020-09-28","   2","  254","  259"
"2020-09-29","   2","  254","  259"
"2020-09-30","   2","  254","  259"
"2020-10-01","   2","  255","  259"
"2020-10-02","   2","  255","  259"
"2020-10-03","   2","  255","  259"
"2020-10-04","   2","  255","  260"
"2020-10-05","   2","  255","  260"
"2020-10-06","   2","  255","  260"
"2020-10-07","   2","  255","  260"
"2020-10-08","   2","  255","  260"
"2020-10-09","   2","  255","  260"
"2020-10-10","   2","  256","  260"
"2020-10-11","   2","  256","  260"
"2020-10-12","   2","  256","  260"
"2020-10-13","   2","  256","  260"
"2020-10-14","   2","  256","  260"
"2020-10-15","   2","  256","  260"
"2020-10-16","   2","  256","  260"
"2020-10-17","   2","  256","  260"
"2020-10-18","   2","  258","  260"
"2020-10-19","   2","  258","  260"
"2020-10-20","   2","  258","  260"
"2020-10-21","   2","  258","  260"
"2020-10-22","   2","  258","  260"
"2020-10-23","   2","  258","  260"
"2020-10-24","   2","  258","  260"
"2020-10-25","   2","  258","  260"
"2020-10-26","   2","  258","  260"
"2020-10-27","   2","  258","  260"
"2020-10-28","   2","  258","  260"
"2020-10-29","   2","  258","  260"
"2020-10-30","   2","  258","  260"
"2020-10-31","   2","  258","  260"
"2020-11-01","   2","  258","  260"
"2020-11-02","   2","  258","  260"
"2020-11-03","   2","  258","  260"
"2020-11-04","   2","  258","  260"
"2020-11-05","   2","  258","  260"
"2020-11-06","   2","  258","  260"
"2020-11-07","   2","  258","  260"
"2020-11-08","   2","  258","  260"
"2020-11-09","   2","  258","  260"
"2020-11-10","   2","  258","  260"
"2020-11-11","   2","  258","  260"
"2020-11-12","   2","  258","  260"
"2020-11-13","   2","  258","  260"
"2020-11-14","   2","  258","  260"
"2020-11-15","   2","  258","  260"
"2020-11-16","   2","  258","  260"
"2020-11-17","   2","  258","  260"
"2020-11-18","   2","  258","  260"
"2020-11-19","   2","  258","  262"
"2020-11-20","   2","  258","  262"
"2020-11-21","   2","  258","  262"
"2020-11-22","   2","  258","  263"
"2020-11-23","   2","  258","  263"
"2020-11-24","   2","  258","  263"
"2020-11-25","   2","  258","  263"
"2020-11-26","   2","  258","  263"
"2020-11-27","   2","  258","  263"
"2020-11-28","   2","  258","  263"
"2020-11-29","   2","  258","  263"
"2020-11-30","   2","  258","  263"
"2020-12-01","   2","  259","  263"
"2020-12-02","   2","  259","  263"
"2020-12-03","   2","  260","  263"
"2020-12-04","   2","  260","  263"
"2020-12-05","   2","  260","  263"
"2020-12-06","   2","  260","  263"
"2020-12-07","   2","  260","  263"
"2020-12-08","   2","  260","  263"
"2020-12-09","   2","  261","  264"
