"","death_province","recovered_province","confirmed_province"
"2020-01-22"," 0"," 0","  1"
"2020-01-23"," 0"," 0","  3"
"2020-01-24"," 0"," 0","  3"
"2020-01-25"," 0"," 0","  4"
"2020-01-26"," 0"," 0","   5"
"2020-01-27"," 0"," 0","   7"
"2020-01-28","  0"," 0","   9"
"2020-01-29","  0"," 1","   9"
"2020-01-30","  0"," 1","  12"
"2020-01-31","  0","  2","  29"
"2020-02-01","  0","  2","  29"
"2020-02-02","  0","  2","  38"
"2020-02-03","  0","  2","   46"
"2020-02-04","  0","  2","   58"
"2020-02-05","  1","  9","   64"
"2020-02-06","  1","  6","   71"
"2020-02-07","  1","  6","   81"
"2020-02-08","  1","   7","   89"
"2020-02-09","  1","   7","   99"
"2020-02-10","  1","  10","  109"
"2020-02-11","  1","  17","  127"
"2020-02-12","   1","  18","  133"
"2020-02-13","   1","  27","  135"
"2020-02-14","   1","  28","  140"
"2020-02-15","   1","  41","  143"
"2020-02-16","   1","  46","  144"
"2020-02-17","   1","  57","  146"
"2020-02-18","   2","  66","  146"
"2020-02-19","   2","  70","  146"
"2020-02-20","   2","   72","  146"
"2020-02-21","   2","   77","  146"
"2020-02-22","   2","   90","  146"
"2020-02-23","   2","  102","  146"
"2020-02-24","   2","  102","  146"
"2020-02-25","   2","  104","  146"
"2020-02-26","   2","  104","  146"
"2020-02-27","   2","  112","  146"
"2020-02-28","   2","  112","  146"
"2020-02-29","   2","  112","  146"
"2020-03-01","   2","  112","  146"
"2020-03-02","   2","  114","  146"
"2020-03-03","   2","  114","  146"
"2020-03-04","   2","  114","  146"
"2020-03-05","   2","  114","  146"
"2020-03-06","   2","  114","  146"
"2020-03-07","   2","  115","  146"
"2020-03-08","   2","  117","  146"
"2020-03-09","   2","  123","  146"
"2020-03-10","   2","  129","  146"
"2020-03-11","   2","  133","  146"
"2020-03-12","   2","  137","  146"
"2020-03-13","   2","  140","  146"
"2020-03-14","   2","  143","  146"
"2020-03-15","   2","  143","  146"
"2020-03-16","   2","  144","  146"
"2020-03-17","   2","  144","  147"
"2020-03-18","   2","  144","  146"
"2020-03-19","   2","  144","  146"
"2020-03-20","   2","  144","  146"
"2020-03-21","   2","  144","  146"
"2020-03-22","   2","  144","  146"
"2020-03-23","   2","  144","  146"
"2020-03-24","   2","  144","  146"
"2020-03-25","   2","  144","  146"
