"","death_province","recovered_province","confirmed_province"
"2020-01-22"," 0"," 0","  1"
"2020-01-23"," 0"," 0","  1"
"2020-01-24"," 1"," 0","  2"
"2020-01-25"," 1"," 0","  8"
"2020-01-26"," 1"," 0","  13"
"2020-01-27"," 1"," 0","  18"
"2020-01-28","  1"," 0","  33"
"2020-01-29","  1"," 0","  48"
"2020-01-30","  1"," 0","  65"
"2020-01-31","  1","  0","  82"
"2020-02-01","  1","  0","  96"
"2020-02-02","  1","  3"," 104"
"2020-02-03","  1","  3","  113"
"2020-02-04","  1","  4","  126"
"2020-02-05","  1","  6","  135"
"2020-02-06","  1"," 13","  157"
"2020-02-07","  1"," 22","  172"
"2020-02-08","  1","  30","  195"
"2020-02-09","  2","  34","  206"
"2020-02-10","  2","  41","  218"
"2020-02-11","  2","  48","  239"
"2020-02-12","   2","  54","  251"
"2020-02-13","   3","  68","  265"
"2020-02-14","   3","  87","  283"
"2020-02-15","   3"," 101","  291"
"2020-02-16","   3"," 105","  300"
"2020-02-17","   3"," 122","  301"
"2020-02-18","   4"," 136","  302"
"2020-02-19","   4"," 152","  306"
"2020-02-20","   5","  169","  307"
"2020-02-21","   5","  184","  308"
"2020-02-22","   6","  203","  309"
"2020-02-23","   6","  219","  311"
"2020-02-24","   6","  234","  311"
"2020-02-25","   6","  248","  311"
"2020-02-26","   6","  261","  312"
"2020-02-27","   6","  274","  317"
"2020-02-28","   6","  277","  318"
"2020-02-29","   6","  282","  318"
"2020-03-01","   6","  294","  318"
"2020-03-02","   6","  296","  318"
"2020-03-03","   6","  300","  318"
"2020-03-04","   6","  301","  318"
"2020-03-05","   6","  304","  318"
"2020-03-06","   6","  305","  318"
"2020-03-07","   6","  307","  318"
"2020-03-08","   6","  307","  318"
"2020-03-09","   6","  307","  318"
"2020-03-10","   6","  307","  318"
"2020-03-11","   6","  307","  318"
"2020-03-12","   6","  308","  318"
"2020-03-13","   6","  310","  318"
"2020-03-14","   6","  310","  318"
"2020-03-15","   6","  310","  318"
"2020-03-16","   6","  310","  318"
"2020-03-17","   6","  310","  318"
"2020-03-18","   6","  310","  318"
"2020-03-19","   6","  310","  318"
"2020-03-20","   6","  310","  318"
"2020-03-21","   6","  310","  318"
"2020-03-22","   6","  310","  319"
"2020-03-23","   6","  310","  319"
"2020-03-24","   6","  310","  319"
"2020-03-25","   6","  310","  319"
"2020-03-26","   6","  310","  319"
