"","death_province","recovered_province","confirmed_province"
"2020-01-22"," 0"," 0","  0"
"2020-01-23"," 0"," 0","  2"
"2020-01-24"," 1"," 0","  4"
"2020-01-25"," 1"," 0","  9"
"2020-01-26"," 1"," 0","  15"
"2020-01-27"," 1"," 0","  21"
"2020-01-28","  1"," 0","  30"
"2020-01-29","  1"," 0","  38"
"2020-01-30","  2"," 0","  44"
"2020-01-31","  2","  0","  59"
"2020-02-01","  2","  2","  80"
"2020-02-02","  2","  2","  95"
"2020-02-03","  2","  2","  121"
"2020-02-04","  2","  4","  155"
"2020-02-05","  2","  7","  190"
"2020-02-06","  3","  8","  227"
"2020-02-07","  3"," 12","  277"
"2020-02-08","  5","  13","  295"
"2020-02-09","  6","  14","  307"
"2020-02-10","  7","  30","  331"
"2020-02-11","  8","  28","  360"
"2020-02-12","   8","  31","  378"
"2020-02-13","   9","  33","  395"
"2020-02-14","  11","  47","  419"
"2020-02-15","  11","  68","  425"
"2020-02-16","  11","  79","  445"
"2020-02-17","  11","  85","  457"
"2020-02-18","  11"," 111","  464"
"2020-02-19","  12"," 120","  470"
"2020-02-20","  12","  136","  476"
"2020-02-21","  12","  175","  479"
"2020-02-22","  12","  204","  479"
"2020-02-23","  12","  222","  480"
"2020-02-24","  12","  227","  480"
"2020-02-25","  12","  243","  480"
"2020-02-26","  12","  249","  480"
"2020-02-27","  13","  270","  480"
"2020-02-28","  13","  283","  480"
"2020-02-29","  13","  301","  480"
"2020-03-01","  13","  342","  480"
"2020-03-02","  13","  356","  480"
"2020-03-03","  13","  366","  480"
"2020-03-04","  13","  373","  480"
"2020-03-05","  13","  379","  481"
"2020-03-06","  13","  396","  481"
"2020-03-07","  13","  403","  481"
"2020-03-08","  13","  412","  481"
"2020-03-09","  13","  430","  481"
"2020-03-10","  13","  434","  481"
"2020-03-11","  13","  436","  482"
"2020-03-12","  13","  441","  482"
"2020-03-13","  13","  446","  482"
"2020-03-14","  13","  447","  482"
"2020-03-15","  13","  453","  482"
"2020-03-16","  13","  455","  482"
"2020-03-17","  13","  456","  482"
"2020-03-18","  13","  463","  482"
"2020-03-19","  13","  460","  483"
"2020-03-20","  13","  463","  484"
"2020-03-21","  13","  463","  484"
"2020-03-22","  13","  466","  484"
"2020-03-23","  13","  465","  484"
"2020-03-24","  13","  468","  484"
"2020-03-25","  13","  468","  484"
"2020-03-26","  13","  469","  484"
"2020-03-27","  13","  469","  484"
"2020-03-28","  13","  469","  484"
"2020-03-29","  13","  469","  484"
"2020-03-30","  13","  469","  484"
"2020-03-31","  13","  469","  484"
"2020-04-01","  13","  469","  484"
"2020-04-02","  13","  469","  488"
"2020-04-03","  13","  469","  489"
"2020-04-04","  13","  469","  491"
"2020-04-05","  13","  469","  504"
"2020-04-06","  13","  469","  524"
"2020-04-07","  13","  469","  544"
"2020-04-08","  13","  470","  569"
"2020-04-09","  13","  470","  609"
"2020-04-10","  13","  470","  638"
"2020-04-11","  13","  470","  661"
"2020-04-12","  13","  470","  684"
"2020-04-13","  13","  470","  740"
"2020-04-14","  13","  470","  819"
"2020-04-15","  13","  470","  841"
"2020-04-16","  13","  471","  861"
"2020-04-17","  13","  471","  872"
"2020-04-18","  13","  472","  892"
"2020-04-19","  13","  472","  898"
"2020-04-20","  13","  472","  905"
"2020-04-21","  13","  475","  913"
"2020-04-22","  13","  479","  921"
"2020-04-23","  13","  487","  925"
"2020-04-24","  13","  485","  928"
"2020-04-25","  13","  509","  930"
"2020-04-26","  13","  511","  935"
"2020-04-27","  13","  556","  936"
"2020-04-28","  13","  586","  939"
"2020-04-29","  13","  587","  939"
"2020-04-30","  13","  587","  939"
"2020-05-01","  13","  605","  944"
"2020-05-02","  13","  604","  944"
"2020-05-03","  13","  620","  944"
"2020-05-04","  13","  657","  944"
"2020-05-05","  13","  753","  944"
"2020-05-06","  13","  783","  944"
"2020-05-07","  13","  793","  944"
"2020-05-08","  13","  815","  944"
"2020-05-09","  13","  835","  944"
"2020-05-10","  13","  891","  944"
"2020-05-11","  13","  904","  945"
"2020-05-12","  13","  924","  945"
"2020-05-13","  13","  929","  945"
"2020-05-14","  13","  930","  945"
"2020-05-15","  13","  930","  945"
"2020-05-16","  13","  931","  945"
"2020-05-17","  13","  932","  945"
"2020-05-18","  13","  932","  945"
"2020-05-19","  13","  932","  945"
"2020-05-20","  13","  932","  945"
"2020-05-21","  13","  932","  945"
"2020-05-22","  13","  932","  945"
"2020-05-23","  13","  932","  945"
"2020-05-24","  13","  932","  945"
"2020-05-25","  13","  932","  945"
"2020-05-26","  13","  932","  945"
"2020-05-27","  13","  932","  945"
"2020-05-28","  13","  932","  945"
"2020-05-29","  13","  932","  945"
"2020-05-30","  13","  932","  945"
"2020-05-31","  13","  932","  945"
"2020-06-01","  13","  932","  945"
"2020-06-02","  13","  932","  945"
"2020-06-03","  13","  934","  947"
"2020-06-04","  13","  934","  947"
"2020-06-05","  13","  934","  947"
"2020-06-06","  13","  934","  947"
"2020-06-07","  13","  934","  947"
"2020-06-08","  13","  934","  947"
"2020-06-09","  13","  934","  947"
"2020-06-10","  13","  934","  947"
"2020-06-11","  13","  934","  947"
"2020-06-12","  13","  934","  947"
"2020-06-13","  13","  934","  947"
"2020-06-14","  13","  934","  947"
"2020-06-15","  13","  934","  947"
"2020-06-16","  13","  934","  947"
"2020-06-17","  13","  934","  947"
"2020-06-18","  13","  934","  947"
"2020-06-19","  13","  934","  947"
"2020-06-20","  13","  934","  947"
"2020-06-21","  13","  934","  947"
"2020-06-22","  13","  934","  947"
"2020-06-23","  13","  934","  947"
"2020-06-24","  13","  934","  947"
"2020-06-25","  13","  934","  947"
"2020-06-26","  13","  934","  947"
"2020-06-27","  13","  934","  947"
"2020-06-28","  13","  934","  947"
"2020-06-29","  13","  934","  947"
"2020-06-30","  13","  934","  947"
"2020-07-01","  13","  934","  947"
"2020-07-02","  13","  934","  947"
"2020-07-03","  13","  934","  947"
"2020-07-04","  13","  934","  947"
"2020-07-05","  13","  934","  947"
"2020-07-06","  13","  934","  947"
"2020-07-07","  13","  934","  947"
"2020-07-08","  13","  934","  947"
"2020-07-09","  13","  934","  947"
"2020-07-10","  13","  934","  947"
"2020-07-11","  13","  934","  947"
"2020-07-12","  13","  934","  947"
"2020-07-13","  13","  934","  947"
"2020-07-14","  13","  934","  947"
"2020-07-15","  13","  934","  947"
"2020-07-16","  13","  934","  947"
"2020-07-17","  13","  934","  947"
"2020-07-18","  13","  934","  947"
"2020-07-19","  13","  934","  947"
"2020-07-20","  13","  934","  947"
"2020-07-21","  13","  934","  947"
"2020-07-22","  13","  934","  947"
"2020-07-23","  13","  934","  947"
"2020-07-24","  13","  934","  947"
"2020-07-25","  13","  934","  947"
"2020-07-26","  13","  934","  947"
"2020-07-27","  13","  934","  947"
"2020-07-28","  13","  934","  947"
"2020-07-29","  13","  934","  947"
"2020-07-30","  13","  934","  947"
"2020-07-31","  13","  934","  947"
"2020-08-01","  13","  934","  947"
"2020-08-02","  13","  934","  947"
"2020-08-03","  13","  934","  947"
"2020-08-04","  13","  934","  947"
"2020-08-05","  13","  934","  947"
"2020-08-06","  13","  934","  947"
"2020-08-07","  13","  934","  947"
"2020-08-08","  13","  934","  947"
"2020-08-09","  13","  934","  947"
"2020-08-10","  13","  934","  947"
"2020-08-11","  13","  934","  948"
"2020-08-12","  13","  934","  948"
"2020-08-13","  13","  934","  948"
"2020-08-14","  13","  934","  948"
"2020-08-15","  13","  934","  948"
"2020-08-16","  13","  934","  948"
"2020-08-17","  13","  934","  948"
"2020-08-18","  13","  934","  948"
"2020-08-19","  13","  934","  948"
"2020-08-20","  13","  934","  948"
