"","death_province","recovered_province","confirmed_province"
"2020-01-22","17","28","444"
"2020-01-23","17","28","444"
"2020-01-24","24","31","549"
"2020-01-25","39","32","730"
"2020-01-26","52","42","1058"
"2020-01-27","76","47","1423"
"2020-01-28","100","52","2714"
"2020-01-29","125","87","3554"
"2020-01-30","162","90","4903"
"2020-01-31","204","141","5806"
"2020-02-01","249","168","7153"
"2020-02-02","294","267","9074"
"2020-02-03","350","300","11177"
"2020-02-04","414","397","13522"
"2020-02-05","479","536","16678"
"2020-02-06","549","712","19665"
"2020-02-07","618","867","22112"
"2020-02-08","699","1218","24953"
"2020-02-09","780","1480","27100"
"2020-02-10","871","1854","29631"
"2020-02-11","974","2310","31728"
"2020-02-12","1068","2686","33366"
"2020-02-13","1310","3459","48206"
"2020-02-14","1318","3900","51986"
"2020-02-15","1457","4821","54406"
"2020-02-16","1596","5666","56249"
"2020-02-17","1696","6693","58182"
"2020-02-18","1789","7943","59989"
"2020-02-19","1921","9336","61682"
"2020-02-20","2029","10521","62031"
"2020-02-21","2144","11881","62662"
"2020-02-22","2250","13690","63454"
"2020-02-23","2346","15343","64084"
"2020-02-24","2495","16748","64287"
"2020-02-25","2563","18971","64786"
"2020-02-26","2615","20969","65187"
"2020-02-27","2641","23383","65596"
"2020-02-28","2682","26403","65914"
"2020-02-29","2727","28993","66337"
"2020-03-01","2761","31536","66907"
"2020-03-02","2803","33934","67103"
"2020-03-03","2835","36208","67217"
"2020-03-04","2871","38557","67332"
"2020-03-05","2902","40592","67466"
"2020-03-06","2931","42033","67592"
"2020-03-07","2959","43500","67666"
"2020-03-08","2986","45235","67707"
"2020-03-09","3008","46488","67743"
"2020-03-10","3024","47743","67760"
"2020-03-11","3046","49134","67773"
"2020-03-12","3056","50318","67781"
"2020-03-13","3062","51553","67786"
"2020-03-14","3075","52960","67790"
"2020-03-15","3085","54288","67794"
"2020-03-16","3099","55142","67798"
"2020-03-17","3111","56003","67799"
"2020-03-18","3122","56927","67800"
"2020-03-19","3130","57682","67800"
"2020-03-20","3133","58382","67800"
"2020-03-21","3139","58946","67800"
"2020-03-22","3144","59433","67800"
"2020-03-23","3153","59882","67800"
"2020-03-24","3160","60324","67801"
"2020-03-25","3163","60811","67801"
"2020-03-26","3169","61201","67801"
"2020-03-27","3174","61732","67801"
"2020-03-28","3177","62098","67801"
"2020-03-29","3182","62570","67801"
"2020-03-30","3186","62889","67801"
"2020-03-31","3187","63153","67801"
"2020-04-01","3193","63326","67802"
"2020-04-02","3199","63471","67802"
"2020-04-03","3203","63612","67802"
"2020-04-04","3207","63762","67803"
"2020-04-05","3210","63945","67803"
"2020-04-06","3212","64014","67803"
"2020-04-07","3212","64073","67803"
"2020-04-08","3213","64142","67803"
"2020-04-09","3215","64187","67803"
"2020-04-10","3216","64236","67803"
"2020-04-11","3219","64264","67803"
"2020-04-12","3219","64281","67803"
"2020-04-13","3221","64338","67803"
"2020-04-14","3221","64363","67803"
"2020-04-15","3222","64402","67803"
"2020-04-16","3222","64435","67803"
"2020-04-17","4512","63487","68128"
"2020-04-18","4512","63494","68128"
"2020-04-19","4512","63507","68128"
"2020-04-20","4512","63511","68128"
"2020-04-21","4512","63514","68128"
"2020-04-22","4512","63519","68128"
"2020-04-23","4512","63547","68128"
"2020-04-24","4512","63569","68128"
"2020-04-25","4512","63593","68128"
"2020-04-26","4512","63604","68128"
"2020-04-27","4512","63616","68128"
"2020-04-28","4512","63616","68128"
"2020-04-29","4512","63616","68128"
"2020-04-30","4512","63616","68128"
"2020-05-01","4512","63616","68128"
"2020-05-02","4512","63616","68128"
"2020-05-03","4512","63616","68128"
"2020-05-04","4512","63616","68128"
"2020-05-05","4512","63616","68128"
"2020-05-06","4512","63616","68128"
"2020-05-07","4512","63616","68128"
"2020-05-08","4512","63616","68128"
"2020-05-09","4512","63616","68128"
"2020-05-10","4512","63616","68129"
"2020-05-11","4512","63616","68134"
"2020-05-12","4512","63616","68134"
"2020-05-13","4512","63616","68134"
"2020-05-14","4512","63616","68134"
"2020-05-15","4512","63616","68134"
"2020-05-16","4512","63616","68134"
"2020-05-17","4512","63616","68134"
"2020-05-18","4512","63616","68134"
"2020-05-19","4512","63616","68135"
"2020-05-20","4512","63616","68135"
"2020-05-21","4512","63616","68135"
"2020-05-22","4512","63616","68135"
"2020-05-23","4512","63616","68135"
"2020-05-24","4512","63616","68135"
"2020-05-25","4512","63617","68135"
"2020-05-26","4512","63617","68135"
"2020-05-27","4512","63618","68135"
"2020-05-28","4512","63618","68135"
"2020-05-29","4512","63618","68135"
"2020-05-30","4512","63619","68135"
"2020-05-31","4512","63619","68135"
"2020-06-01","4512","63620","68135"
"2020-06-02","4512","63620","68135"
"2020-06-03","4512","63620","68135"
"2020-06-04","4512","63620","68135"
"2020-06-05","4512","63623","68135"
"2020-06-06","4512","63623","68135"
"2020-06-07","4512","63623","68135"
"2020-06-08","4512","63623","68135"
"2020-06-09","4512","63623","68135"
"2020-06-10","4512","63623","68135"
"2020-06-11","4512","63623","68135"
"2020-06-12","4512","63623","68135"
"2020-06-13","4512","63623","68135"
"2020-06-14","4512","63623","68135"
"2020-06-15","4512","63623","68135"
"2020-06-16","4512","63623","68135"
"2020-06-17","4512","63623","68135"
"2020-06-18","4512","63623","68135"
"2020-06-19","4512","63623","68135"
"2020-06-20","4512","63623","68135"
"2020-06-21","4512","63623","68135"
"2020-06-22","4512","63623","68135"
"2020-06-23","4512","63623","68135"
"2020-06-24","4512","63623","68135"
"2020-06-25","4512","63623","68135"
"2020-06-26","4512","63623","68135"
"2020-06-27","4512","63623","68135"
"2020-06-28","4512","63623","68135"
"2020-06-29","4512","63623","68135"
"2020-06-30","4512","63623","68135"
"2020-07-01","4512","63623","68135"
"2020-07-02","4512","63623","68135"
"2020-07-03","4512","63623","68135"
"2020-07-04","4512","63623","68135"
"2020-07-05","4512","63623","68135"
"2020-07-06","4512","63623","68135"
"2020-07-07","4512","63623","68135"
"2020-07-08","4512","63623","68135"
"2020-07-09","4512","63623","68135"
"2020-07-10","4512","63623","68135"
"2020-07-11","4512","63623","68135"
"2020-07-12","4512","63623","68135"
"2020-07-13","4512","63623","68135"
"2020-07-14","4512","63623","68135"
"2020-07-15","4512","63623","68135"
"2020-07-16","4512","63623","68135"
"2020-07-17","4512","63623","68135"
"2020-07-18","4512","63623","68135"
"2020-07-19","4512","63623","68135"
"2020-07-20","4512","63623","68135"
"2020-07-21","4512","63623","68135"
"2020-07-22","4512","63623","68135"
"2020-07-23","4512","63623","68135"
"2020-07-24","4512","63623","68135"
"2020-07-25","4512","63623","68135"
"2020-07-26","4512","63623","68135"
"2020-07-27","4512","63623","68135"
"2020-07-28","4512","63623","68135"
"2020-07-29","4512","63623","68135"
"2020-07-30","4512","63623","68135"
"2020-07-31","4512","63623","68135"
"2020-08-01","4512","63623","68135"
"2020-08-02","4512","63623","68138"
"2020-08-03","4512","63623","68138"
"2020-08-04","4512","63623","68138"
"2020-08-05","4512","63623","68138"
"2020-08-06","4512","63623","68138"
"2020-08-07","4512","63623","68138"
"2020-08-08","4512","63623","68139"
"2020-08-09","4512","63623","68139"
"2020-08-10","4512","63623","68139"
"2020-08-11","4512","63623","68139"
"2020-08-12","4512","63623","68139"
"2020-08-13","4512","63623","68139"
"2020-08-14","4512","63623","68139"
"2020-08-15","4512","63625","68139"
"2020-08-16","4512","63625","68139"
"2020-08-17","4512","63625","68139"
"2020-08-18","4512","63625","68139"
"2020-08-19","4512","63626","68139"
"2020-08-20","4512","63626","68139"
"2020-08-21","4512","63626","68139"
"2020-08-22","4512","63626","68139"
"2020-08-23","4512","63626","68139"
"2020-08-24","4512","63626","68139"
"2020-08-25","4512","63626","68139"
"2020-08-26","4512","63626","68139"
"2020-08-27","4512","63626","68139"
"2020-08-28","4512","63626","68139"
"2020-08-29","4512","63626","68139"
"2020-08-30","4512","63626","68139"
"2020-08-31","4512","63627","68139"
"2020-09-01","4512","63627","68139"
"2020-09-02","4512","63627","68139"
"2020-09-03","4512","63627","68139"
"2020-09-04","4512","63627","68139"
"2020-09-05","4512","63627","68139"
"2020-09-06","4512","63627","68139"
"2020-09-07","4512","63627","68139"
"2020-09-08","4512","63627","68139"
"2020-09-09","4512","63627","68139"
"2020-09-10","4512","63627","68139"
"2020-09-11","4512","63627","68139"
"2020-09-12","4512","63627","68139"
"2020-09-13","4512","63627","68139"
"2020-09-14","4512","63627","68139"
"2020-09-15","4512","63627","68139"
"2020-09-16","4512","63627","68139"
"2020-09-17","4512","63627","68139"
"2020-09-18","4512","63627","68139"
"2020-09-19","4512","63627","68139"
"2020-09-20","4512","63627","68139"
"2020-09-21","4512","63627","68139"
"2020-09-22","4512","63627","68139"
"2020-09-23","4512","63627","68139"
"2020-09-24","4512","63627","68139"
"2020-09-25","4512","63627","68139"
"2020-09-26","4512","63627","68139"
"2020-09-27","4512","63627","68139"
"2020-09-28","4512","63627","68139"
"2020-09-29","4512","63627","68139"
"2020-09-30","4512","63627","68139"
"2020-10-01","4512","63627","68139"
"2020-10-02","4512","63627","68139"
"2020-10-03","4512","63627","68139"
"2020-10-04","4512","63627","68139"
"2020-10-05","4512","63627","68139"
"2020-10-06","4512","63627","68139"
"2020-10-07","4512","63627","68139"
"2020-10-08","4512","63627","68139"
"2020-10-09","4512","63627","68139"
"2020-10-10","4512","63627","68139"
"2020-10-11","4512","63627","68139"
"2020-10-12","4512","63627","68139"
"2020-10-13","4512","63627","68139"
"2020-10-14","4512","63627","68139"
"2020-10-15","4512","63627","68139"
"2020-10-16","4512","63627","68139"
"2020-10-17","4512","63627","68139"
"2020-10-18","4512","63627","68139"
"2020-10-19","4512","63627","68139"
"2020-10-20","4512","63627","68139"
"2020-10-21","4512","63627","68139"
"2020-10-22","4512","63627","68139"
"2020-10-23","4512","63627","68139"
"2020-10-24","4512","63627","68139"
"2020-10-25","4512","63627","68139"
"2020-10-26","4512","63627","68139"
"2020-10-27","4512","63627","68139"
"2020-10-28","4512","63627","68139"
"2020-10-29","4512","63627","68139"
"2020-10-30","4512","63627","68139"
"2020-10-31","4512","63627","68139"
"2020-11-01","4512","63627","68139"
"2020-11-02","4512","63627","68139"
"2020-11-03","4512","63627","68143"
"2020-11-04","4512","63627","68143"
"2020-11-05","4512","63627","68143"
"2020-11-06","4512","63627","68143"
"2020-11-07","4512","63627","68143"
"2020-11-08","4512","63627","68147"
"2020-11-09","4512","63627","68147"
"2020-11-10","4512","63627","68147"
"2020-11-11","4512","63627","68147"
"2020-11-12","4512","63627","68147"
"2020-11-13","4512","63627","68147"
"2020-11-14","4512","63627","68147"
"2020-11-15","4512","63627","68148"
"2020-11-16","4512","63627","68148"
"2020-11-17","4512","63627","68148"
"2020-11-18","4512","63628","68148"
"2020-11-19","4512","63628","68148"
"2020-11-20","4512","63628","68148"
"2020-11-21","4512","63628","68148"
"2020-11-22","4512","63628","68148"
"2020-11-23","4512","63628","68148"
"2020-11-24","4512","63628","68148"
"2020-11-25","4512","63628","68148"
"2020-11-26","4512","63629","68148"
"2020-11-27","4512","63629","68148"
"2020-11-28","4512","63630","68148"
"2020-11-29","4512","63630","68148"
"2020-11-30","4512","63633","68148"
"2020-12-01","4512","63633","68148"
"2020-12-02","4512","63633","68148"
"2020-12-03","4512","63633","68149"
"2020-12-04","4512","63633","68149"
"2020-12-05","4512","63633","68149"
"2020-12-06","4512","63633","68149"
"2020-12-07","4512","63633","68149"
"2020-12-08","4512","63633","68149"
"2020-12-09","4512","63635","68149"
"2020-12-10","4512","63635","68149"
"2020-12-11","4512","63636","68149"
"2020-12-12","4512","63636","68149"
"2020-12-13","4512","63636","68149"
"2020-12-14","4512","63636","68149"
"2020-12-15","4512","63636","68149"
"2020-12-16","4512","63637","68149"
"2020-12-17","4512","63637","68149"
"2020-12-18","4512","63637","68149"
"2020-12-19","4512","63637","68149"
"2020-12-20","4512","63637","68149"
"2020-12-21","4512","63637","68149"
"2020-12-22","4512","63637","68149"
"2020-12-23","4512","63637","68149"
"2020-12-24","4512","63637","68149"
"2020-12-25","4512","63637","68149"
"2020-12-26","4512","63637","68149"
"2020-12-27","4512","63637","68149"
"2020-12-28","4512","63637","68149"
"2020-12-29","4512","63637","68149"
"2020-12-30","4512","63637","68149"
"2020-12-31","4512","63637","68149"
"2021-01-01","4512","63637","68149"
"2021-01-02","4512","63637","68149"
"2021-01-03","4512","63637","68149"
"2021-01-04","4512","63637","68149"
"2021-01-05","4512","63637","68149"
"2021-01-06","4512","63637","68149"
"2021-01-07","4512","63637","68149"
"2021-01-08","4512","63637","68149"
"2021-01-09","4512","63637","68149"
"2021-01-10","4512","63637","68149"
"2021-01-11","4512","63637","68149"
"2021-01-12","4512","63637","68149"
"2021-01-13","4512","63637","68149"
"2021-01-14","4512","63637","68149"
"2021-01-15","4512","63637","68149"
"2021-01-16","4512","63637","68149"
"2021-01-17","4512","63637","68149"
"2021-01-18","4512","63637","68149"
"2021-01-19","4512","63637","68149"
