"","death_province","recovered_province","confirmed_province"
"2020-01-22"," 0"," 0","  4"
"2020-01-23"," 0"," 0","  9"
"2020-01-24"," 0"," 0"," 24"
"2020-01-25"," 0"," 0"," 43"
"2020-01-26"," 0"," 0","  69"
"2020-01-27"," 0"," 0"," 100"
"2020-01-28","  0"," 0"," 143"
"2020-01-29","  0"," 0"," 221"
"2020-01-30","  0"," 2"," 277"
"2020-01-31","  0","  2"," 332"
"2020-02-01","  0","  8"," 389"
"2020-02-02","  0"," 16"," 463"
"2020-02-03","  0"," 22","  521"
"2020-02-04","  0"," 31","  593"
"2020-02-05","  0"," 54","  661"
"2020-02-06","  0"," 81","  711"
"2020-02-07","  0","112","  772"
"2020-02-08","  1"," 156","  803"
"2020-02-09","  1"," 186","  838"
"2020-02-10","  1"," 208","  879"
"2020-02-11","  1"," 247","  912"
"2020-02-12","   2"," 304","  946"
"2020-02-13","   2"," 339","  968"
"2020-02-14","   2"," 364","  988"
"2020-02-15","   2"," 425"," 1001"
"2020-02-16","   3"," 464"," 1004"
"2020-02-17","   3"," 498"," 1006"
"2020-02-18","   4"," 527"," 1007"
"2020-02-19","   4"," 561"," 1008"
"2020-02-20","   4","  634"," 1010"
"2020-02-21","   4","  661"," 1011"
"2020-02-22","   4","  692"," 1013"
"2020-02-23","   4","  714"," 1016"
"2020-02-24","   4","  731"," 1016"
"2020-02-25","   4","  768"," 1016"
"2020-02-26","   4","  783"," 1016"
"2020-02-27","   4","  804"," 1017"
"2020-02-28","   4","  830"," 1017"
"2020-02-29","   4","  846"," 1018"
"2020-03-01","   4","  866"," 1018"
"2020-03-02","   4","  887"," 1018"
"2020-03-03","   4","  906"," 1018"
"2020-03-04","   4","  916"," 1018"
"2020-03-05","   4","  938"," 1018"
"2020-03-06","   4","  955"," 1018"
"2020-03-07","   4","  960"," 1018"
"2020-03-08","   4","  968"," 1018"
"2020-03-09","   4","  979"," 1018"
"2020-03-10","   4","  990"," 1018"
"2020-03-11","   4","  995"," 1018"
"2020-03-12","   4","  999"," 1018"
"2020-03-13","   4"," 1005"," 1018"
"2020-03-14","   4"," 1014"," 1018"
"2020-03-15","   4"," 1014"," 1018"
"2020-03-16","   4"," 1014"," 1018"
"2020-03-17","   4"," 1014"," 1018"
"2020-03-18","   4"," 1014"," 1018"
"2020-03-19","   4"," 1014"," 1018"
"2020-03-20","   4"," 1014"," 1018"
"2020-03-21","   4"," 1014"," 1018"
"2020-03-22","   4"," 1014"," 1018"
"2020-03-23","   4"," 1014"," 1018"
"2020-03-24","   4"," 1014"," 1018"
"2020-03-25","   4"," 1014"," 1018"
"2020-03-26","   4"," 1014"," 1018"
"2020-03-27","   4"," 1014"," 1018"
"2020-03-28","   4"," 1014"," 1018"
"2020-03-29","   4"," 1014"," 1018"
"2020-03-30","   4"," 1014"," 1018"
"2020-03-31","   4"," 1014"," 1018"
"2020-04-01","   4"," 1014"," 1018"
"2020-04-02","   4"," 1014"," 1019"
"2020-04-03","   4"," 1014"," 1019"
"2020-04-04","   4"," 1014"," 1019"
"2020-04-05","   4"," 1014"," 1019"
"2020-04-06","   4"," 1014"," 1019"
"2020-04-07","   4"," 1014"," 1019"
"2020-04-08","   4"," 1014"," 1019"
"2020-04-09","   4"," 1014"," 1019"
"2020-04-10","   4"," 1014"," 1019"
"2020-04-11","   4"," 1014"," 1019"
"2020-04-12","   4"," 1014"," 1019"
"2020-04-13","   4"," 1014"," 1019"
"2020-04-14","   4"," 1014"," 1019"
"2020-04-15","   4"," 1014"," 1019"
"2020-04-16","   4"," 1014"," 1019"
"2020-04-17","   4"," 1014"," 1019"
"2020-04-18","   4"," 1015"," 1019"
"2020-04-19","   4"," 1015"," 1019"
"2020-04-20","   4"," 1015"," 1019"
"2020-04-21","   4"," 1015"," 1019"
"2020-04-22","   4"," 1015"," 1019"
"2020-04-23","   4"," 1015"," 1019"
"2020-04-24","   4"," 1015"," 1019"
"2020-04-25","   4"," 1015"," 1019"
"2020-04-26","   4"," 1015"," 1019"
"2020-04-27","   4"," 1015"," 1019"
"2020-04-28","   4"," 1015"," 1019"
"2020-04-29","   4"," 1015"," 1019"
"2020-04-30","   4"," 1015"," 1019"
"2020-05-01","   4"," 1015"," 1019"
"2020-05-02","   4"," 1015"," 1019"
"2020-05-03","   4"," 1015"," 1019"
"2020-05-04","   4"," 1015"," 1019"
"2020-05-05","   4"," 1015"," 1019"
"2020-05-06","   4"," 1015"," 1019"
"2020-05-07","   4"," 1015"," 1019"
"2020-05-08","   4"," 1015"," 1019"
"2020-05-09","   4"," 1015"," 1019"
"2020-05-10","   4"," 1015"," 1019"
"2020-05-11","   4"," 1015"," 1019"
"2020-05-12","   4"," 1015"," 1019"
"2020-05-13","   4"," 1015"," 1019"
"2020-05-14","   4"," 1015"," 1019"
"2020-05-15","   4"," 1015"," 1019"
"2020-05-16","   4"," 1015"," 1019"
"2020-05-17","   4"," 1015"," 1019"
"2020-05-18","   4"," 1015"," 1019"
"2020-05-19","   4"," 1015"," 1019"
"2020-05-20","   4"," 1015"," 1019"
"2020-05-21","   4"," 1015"," 1019"
"2020-05-22","   4"," 1015"," 1019"
"2020-05-23","   4"," 1015"," 1019"
"2020-05-24","   4"," 1015"," 1019"
"2020-05-25","   4"," 1015"," 1019"
"2020-05-26","   4"," 1015"," 1019"
"2020-05-27","   4"," 1015"," 1019"
"2020-05-28","   4"," 1015"," 1019"
"2020-05-29","   4"," 1015"," 1019"
"2020-05-30","   4"," 1015"," 1019"
"2020-05-31","   4"," 1015"," 1019"
"2020-06-01","   4"," 1015"," 1019"
"2020-06-02","   4"," 1015"," 1019"
"2020-06-03","   4"," 1015"," 1019"
"2020-06-04","   4"," 1015"," 1019"
"2020-06-05","   4"," 1015"," 1019"
"2020-06-06","   4"," 1015"," 1019"
"2020-06-07","   4"," 1015"," 1019"
"2020-06-08","   4"," 1015"," 1019"
"2020-06-09","   4"," 1015"," 1019"
"2020-06-10","   4"," 1015"," 1019"
"2020-06-11","   4"," 1015"," 1019"
"2020-06-12","   4"," 1015"," 1019"
"2020-06-13","   4"," 1015"," 1019"
"2020-06-14","   4"," 1015"," 1019"
"2020-06-15","   4"," 1015"," 1019"
"2020-06-16","   4"," 1015"," 1019"
"2020-06-17","   4"," 1015"," 1019"
"2020-06-18","   4"," 1015"," 1019"
"2020-06-19","   4"," 1015"," 1019"
"2020-06-20","   4"," 1015"," 1019"
"2020-06-21","   4"," 1015"," 1019"
"2020-06-22","   4"," 1015"," 1019"
"2020-06-23","   4"," 1015"," 1019"
"2020-06-24","   4"," 1015"," 1019"
"2020-06-25","   4"," 1015"," 1019"
"2020-06-26","   4"," 1015"," 1019"
"2020-06-27","   4"," 1015"," 1019"
"2020-06-28","   4"," 1015"," 1019"
"2020-06-29","   4"," 1015"," 1019"
"2020-06-30","   4"," 1015"," 1019"
"2020-07-01","   4"," 1015"," 1019"
"2020-07-02","   4"," 1015"," 1019"
"2020-07-03","   4"," 1015"," 1019"
"2020-07-04","   4"," 1015"," 1019"
"2020-07-05","   4"," 1015"," 1019"
"2020-07-06","   4"," 1015"," 1019"
"2020-07-07","   4"," 1015"," 1019"
"2020-07-08","   4"," 1015"," 1019"
"2020-07-09","   4"," 1015"," 1019"
"2020-07-10","   4"," 1015"," 1019"
"2020-07-11","   4"," 1015"," 1019"
"2020-07-12","   4"," 1015"," 1019"
"2020-07-13","   4"," 1015"," 1019"
"2020-07-14","   4"," 1015"," 1019"
"2020-07-15","   4"," 1015"," 1019"
"2020-07-16","   4"," 1015"," 1019"
"2020-07-17","   4"," 1015"," 1019"
"2020-07-18","   4"," 1015"," 1019"
"2020-07-19","   4"," 1015"," 1019"
"2020-07-20","   4"," 1015"," 1019"
"2020-07-21","   4"," 1015"," 1019"
"2020-07-22","   4"," 1015"," 1019"
"2020-07-23","   4"," 1015"," 1019"
"2020-07-24","   4"," 1015"," 1019"
"2020-07-25","   4"," 1015"," 1019"
"2020-07-26","   4"," 1015"," 1019"
"2020-07-27","   4"," 1015"," 1019"
"2020-07-28","   4"," 1015"," 1019"
"2020-07-29","   4"," 1015"," 1019"
"2020-07-30","   4"," 1015"," 1019"
"2020-07-31","   4"," 1015"," 1019"
"2020-08-01","   4"," 1015"," 1019"
"2020-08-02","   4"," 1015"," 1019"
"2020-08-03","   4"," 1015"," 1019"
"2020-08-04","   4"," 1015"," 1019"
"2020-08-05","   4"," 1015"," 1019"
"2020-08-06","   4"," 1015"," 1019"
"2020-08-07","   4"," 1015"," 1019"
"2020-08-08","   4"," 1015"," 1019"
"2020-08-09","   4"," 1015"," 1019"
"2020-08-10","   4"," 1015"," 1019"
"2020-08-11","   4"," 1015"," 1019"
"2020-08-12","   4"," 1015"," 1019"
"2020-08-13","   4"," 1015"," 1019"
"2020-08-14","   4"," 1015"," 1019"
"2020-08-15","   4"," 1015"," 1019"
"2020-08-16","   4"," 1015"," 1019"
"2020-08-17","   4"," 1015"," 1019"
"2020-08-18","   4"," 1015"," 1019"
"2020-08-19","   4"," 1015"," 1019"
"2020-08-20","   4"," 1015"," 1019"
"2020-08-21","   4"," 1015"," 1019"
"2020-08-22","   4"," 1015"," 1019"
"2020-08-23","   4"," 1015"," 1019"
"2020-08-24","   4"," 1015"," 1019"
"2020-08-25","   4"," 1015"," 1019"
"2020-08-26","   4"," 1015"," 1019"
"2020-08-27","   4"," 1015"," 1019"
"2020-08-28","   4"," 1015"," 1019"
"2020-08-29","   4"," 1015"," 1019"
"2020-08-30","   4"," 1015"," 1019"
"2020-08-31","   4"," 1015"," 1019"
"2020-09-01","   4"," 1015"," 1019"
"2020-09-02","   4"," 1015"," 1019"
"2020-09-03","   4"," 1015"," 1019"
"2020-09-04","   4"," 1015"," 1019"
"2020-09-05","   4"," 1015"," 1019"
"2020-09-06","   4"," 1015"," 1019"
"2020-09-07","   4"," 1015"," 1019"
"2020-09-08","   4"," 1015"," 1019"
"2020-09-09","   4"," 1015"," 1019"
"2020-09-10","   4"," 1015"," 1019"
"2020-09-11","   4"," 1015"," 1019"
"2020-09-12","   4"," 1015"," 1019"
"2020-09-13","   4"," 1015"," 1019"
"2020-09-14","   4"," 1015"," 1019"
"2020-09-15","   4"," 1015"," 1019"
"2020-09-16","   4"," 1015"," 1019"
"2020-09-17","   4"," 1015"," 1019"
"2020-09-18","   4"," 1015"," 1019"
"2020-09-19","   4"," 1015"," 1019"
"2020-09-20","   4"," 1015"," 1019"
"2020-09-21","   4"," 1015"," 1019"
"2020-09-22","   4"," 1015"," 1019"
"2020-09-23","   4"," 1015"," 1019"
"2020-09-24","   4"," 1015"," 1019"
"2020-09-25","   4"," 1015"," 1019"
"2020-09-26","   4"," 1015"," 1019"
"2020-09-27","   4"," 1015"," 1019"
"2020-09-28","   4"," 1015"," 1019"
"2020-09-29","   4"," 1015"," 1019"
"2020-09-30","   4"," 1015"," 1019"
"2020-10-01","   4"," 1015"," 1019"
"2020-10-02","   4"," 1015"," 1019"
"2020-10-03","   4"," 1015"," 1019"
"2020-10-04","   4"," 1015"," 1019"
"2020-10-05","   4"," 1015"," 1019"
"2020-10-06","   4"," 1015"," 1019"
"2020-10-07","   4"," 1015"," 1019"
"2020-10-08","   4"," 1015"," 1019"
"2020-10-09","   4"," 1015"," 1019"
"2020-10-10","   4"," 1015"," 1019"
"2020-10-11","   4"," 1015"," 1019"
"2020-10-12","   4"," 1015"," 1019"
"2020-10-13","   4"," 1015"," 1019"
"2020-10-14","   4"," 1015"," 1019"
"2020-10-15","   4"," 1015"," 1019"
"2020-10-16","   4"," 1015"," 1019"
"2020-10-17","   4"," 1015"," 1019"
"2020-10-18","   4"," 1015"," 1019"
"2020-10-19","   4"," 1015"," 1019"
"2020-10-20","   4"," 1015"," 1019"
"2020-10-21","   4"," 1015"," 1019"
"2020-10-22","   4"," 1015"," 1019"
"2020-10-23","   4"," 1015"," 1019"
"2020-10-24","   4"," 1015"," 1019"
"2020-10-25","   4"," 1015"," 1019"
"2020-10-26","   4"," 1015"," 1019"
"2020-10-27","   4"," 1015"," 1019"
"2020-10-28","   4"," 1015"," 1019"
"2020-10-29","   4"," 1015"," 1019"
"2020-10-30","   4"," 1015"," 1019"
"2020-10-31","   4"," 1015"," 1020"
"2020-11-01","   4"," 1015"," 1020"
"2020-11-02","   4"," 1015"," 1020"
"2020-11-03","   4"," 1015"," 1020"
"2020-11-04","   4"," 1015"," 1020"
"2020-11-05","   4"," 1015"," 1020"
"2020-11-06","   4"," 1015"," 1020"
"2020-11-07","   4"," 1015"," 1020"
"2020-11-08","   4"," 1015"," 1020"
"2020-11-09","   4"," 1015"," 1020"
"2020-11-10","   4"," 1015"," 1020"
"2020-11-11","   4"," 1015"," 1020"
"2020-11-12","   4"," 1015"," 1020"
"2020-11-13","   4"," 1015"," 1020"
"2020-11-14","   4"," 1015"," 1020"
"2020-11-15","   4"," 1015"," 1020"
"2020-11-16","   4"," 1015"," 1020"
"2020-11-17","   4"," 1015"," 1020"
"2020-11-18","   4"," 1015"," 1020"
"2020-11-19","   4"," 1015"," 1020"
"2020-11-20","   4"," 1015"," 1020"
"2020-11-21","   4"," 1015"," 1020"
"2020-11-22","   4"," 1015"," 1020"
"2020-11-23","   4"," 1016"," 1020"
"2020-11-24","   4"," 1016"," 1020"
"2020-11-25","   4"," 1016"," 1020"
"2020-11-26","   4"," 1016"," 1020"
"2020-11-27","   4"," 1016"," 1020"
"2020-11-28","   4"," 1016"," 1020"
"2020-11-29","   4"," 1016"," 1020"
"2020-11-30","   4"," 1016"," 1020"
"2020-12-01","   4"," 1016"," 1020"
"2020-12-02","   4"," 1016"," 1020"
"2020-12-03","   4"," 1016"," 1020"
"2020-12-04","   4"," 1016"," 1020"
"2020-12-05","   4"," 1016"," 1020"
"2020-12-06","   4"," 1016"," 1020"
"2020-12-07","   4"," 1016"," 1020"
"2020-12-08","   4"," 1016"," 1020"
"2020-12-09","   4"," 1016"," 1020"
"2020-12-10","   4"," 1016"," 1020"
"2020-12-11","   4"," 1016"," 1020"
"2020-12-12","   4"," 1016"," 1020"
"2020-12-13","   4"," 1016"," 1020"
"2020-12-14","   4"," 1016"," 1020"
"2020-12-15","   4"," 1016"," 1020"
"2020-12-16","   4"," 1016"," 1020"
"2020-12-17","   4"," 1016"," 1020"
"2020-12-18","   4"," 1016"," 1020"
"2020-12-19","   4"," 1016"," 1020"
"2020-12-20","   4"," 1016"," 1020"
"2020-12-21","   4"," 1016"," 1020"
"2020-12-22","   4"," 1016"," 1020"
"2020-12-23","   4"," 1016"," 1020"
"2020-12-24","   4"," 1016"," 1020"
"2020-12-25","   4"," 1016"," 1020"
"2020-12-26","   4"," 1016"," 1021"
"2020-12-27","   4"," 1016"," 1021"
"2020-12-28","   4"," 1016"," 1021"
"2020-12-29","   4"," 1016"," 1021"
"2020-12-30","   4"," 1016"," 1021"
"2020-12-31","   4"," 1016"," 1021"
"2021-01-01","   4"," 1016"," 1021"
"2021-01-02","   4"," 1016"," 1021"
"2021-01-03","   4"," 1016"," 1021"
"2021-01-04","   4"," 1016"," 1021"
"2021-01-05","   4"," 1016"," 1021"
"2021-01-06","   4"," 1016"," 1021"
"2021-01-07","   4"," 1016"," 1021"
"2021-01-08","   4"," 1016"," 1022"
"2021-01-09","   4"," 1017"," 1022"
"2021-01-10","   4"," 1017"," 1022"
"2021-01-11","   4"," 1017"," 1022"
"2021-01-12","   4"," 1017"," 1022"
"2021-01-13","   4"," 1017"," 1022"
"2021-01-14","   4"," 1017"," 1022"
"2021-01-15","   4"," 1017"," 1022"
"2021-01-16","   4"," 1017"," 1023"
"2021-01-17","   4"," 1017"," 1024"
"2021-01-18","   4"," 1017"," 1026"
"2021-01-19","   4"," 1017"," 1026"
"2021-01-20","   4"," 1017"," 1026"
"2021-01-21","   4"," 1017"," 1026"
"2021-01-22","   4"," 1017"," 1026"
"2021-01-23","   4"," 1017"," 1027"
"2021-01-24","   4"," 1017"," 1027"
"2021-01-25","   4"," 1017"," 1027"
"2021-01-26","   4"," 1017"," 1027"
"2021-01-27","   4"," 1017"," 1028"
"2021-01-28","   4"," 1017"," 1028"
"2021-01-29","   4"," 1017"," 1029"
"2021-01-30","   4"," 1017"," 1031"
"2021-01-31","   4"," 1017"," 1031"
"2021-02-01","   4"," 1017"," 1032"
"2021-02-02","   4"," 1017"," 1032"
"2021-02-03","   4"," 1017"," 1032"
"2021-02-04","   4"," 1017"," 1032"
"2021-02-05","   4"," 1018"," 1032"
"2021-02-06","   4"," 1018"," 1032"
"2021-02-07","   4"," 1018"," 1033"
"2021-02-08","   4"," 1018"," 1033"
"2021-02-09","   4"," 1018"," 1033"
"2021-02-10","   4"," 1020"," 1033"
"2021-02-11","   4"," 1020"," 1033"
"2021-02-12","   4"," 1020"," 1033"
"2021-02-13","   4"," 1020"," 1033"
"2021-02-14","   4"," 1020"," 1033"
"2021-02-15","   4"," 1022"," 1033"
"2021-02-16","   4"," 1022"," 1033"
"2021-02-17","   4"," 1022"," 1033"
"2021-02-18","   4"," 1023"," 1033"
"2021-02-19","   4"," 1023"," 1034"
"2021-02-20","   4"," 1023"," 1035"
"2021-02-21","   4"," 1023"," 1035"
"2021-02-22","   4"," 1023"," 1036"
"2021-02-23","   4"," 1025"," 1036"
"2021-02-24","   4"," 1025"," 1036"
"2021-02-25","   4"," 1026"," 1036"
"2021-02-26","   4"," 1026"," 1036"
"2021-02-27","   4"," 1026"," 1036"
"2021-02-28","   4"," 1026"," 1036"
"2021-03-01","   4"," 1026"," 1036"
"2021-03-02","   4"," 1027"," 1036"
"2021-03-03","   4"," 1027"," 1036"
"2021-03-04","   4"," 1027"," 1036"
"2021-03-05","   4"," 1027"," 1037"
"2021-03-06","   4"," 1028"," 1037"
"2021-03-07","   4"," 1028"," 1037"
"2021-03-08","   4"," 1028"," 1037"
"2021-03-09","   4"," 1028"," 1037"
"2021-03-10","   4"," 1028"," 1037"
"2021-03-11","   4"," 1029"," 1037"
"2021-03-12","   4"," 1029"," 1037"
"2021-03-13","   4"," 1029"," 1038"
"2021-03-14","   4"," 1029"," 1038"
"2021-03-15","   4"," 1029"," 1038"
"2021-03-16","   4"," 1029"," 1038"
"2021-03-17","   4"," 1029"," 1038"
"2021-03-18","   4"," 1029"," 1038"
"2021-03-19","   4"," 1031"," 1039"
"2021-03-20","   4"," 1031"," 1039"
"2021-03-21","   4"," 1031"," 1039"
"2021-03-22","   4"," 1031"," 1039"
"2021-03-23","   4"," 1031"," 1039"
