"","death_province","recovered_province","confirmed_province"
"2020-01-22"," 0"," 0","  0"
"2020-01-23"," 0"," 0","  5"
"2020-01-24"," 0"," 0","  9"
"2020-01-25"," 0"," 1"," 18"
"2020-01-26"," 0"," 1","  33"
"2020-01-27"," 0"," 1","  47"
"2020-01-28","  0"," 1","  70"
"2020-01-29","  0"," 1","  99"
"2020-01-30","  0"," 1"," 129"
"2020-01-31","  0","  5"," 168"
"2020-02-01","  0","  6"," 202"
"2020-02-02","  0","  7"," 236"
"2020-02-03","  0","  8","  271"
"2020-02-04","  0"," 12","  308"
"2020-02-05","  0"," 23","  341"
"2020-02-06","  0"," 34","  373"
"2020-02-07","  0"," 43","  408"
"2020-02-08","  0","  51","  439"
"2020-02-09","  0","  71","  468"
"2020-02-10","  0","  81","  492"
"2020-02-11","  0","  93","  515"
"2020-02-12","   0"," 125","  543"
"2020-02-13","   0"," 139","  570"
"2020-02-14","   0"," 157","  593"
"2020-02-15","   0"," 186","  604"
"2020-02-16","   0"," 218","  617"
"2020-02-17","   0"," 258","  626"
"2020-02-18","   0"," 280","  629"
"2020-02-19","   0"," 318","  631"
"2020-02-20","   0","  356","  631"
"2020-02-21","   0","  373","  631"
"2020-02-22","   0","  401","  631"
"2020-02-23","   0","  418","  631"
"2020-02-24","   0","  452","  631"
"2020-02-25","   0","  458","  631"
"2020-02-26","   0","  478","  631"
"2020-02-27","   0","  498","  631"
"2020-02-28","   0","  515","  631"
"2020-02-29","   0","  523","  631"
"2020-03-01","   0","  536","  631"
"2020-03-02","   0","  543","  631"
"2020-03-03","   0","  562","  631"
"2020-03-04","   0","  577","  631"
"2020-03-05","   0","  583","  631"
"2020-03-06","   0","  594","  631"
"2020-03-07","   0","  606","  631"
"2020-03-08","   0","  612","  631"
"2020-03-09","   0","  621","  631"
"2020-03-10","   0","  627","  631"
"2020-03-11","   0","  627","  631"
"2020-03-12","   0","  629","  631"
"2020-03-13","   0","  630","  631"
"2020-03-14","   0","  630","  631"
"2020-03-15","   0","  631","  631"
"2020-03-16","   0","  631","  631"
"2020-03-17","   0","  631","  631"
"2020-03-18","   0","  631","  631"
"2020-03-19","   0","  631","  631"
"2020-03-20","   0","  631","  631"
"2020-03-21","   0","  631","  631"
"2020-03-22","   0","  631","  633"
"2020-03-23","   0","  631","  633"
"2020-03-24","   0","  631","  636"
"2020-03-25","   0","  631","  638"
"2020-03-26","   0","  631","  640"
"2020-03-27","   0","  631","  641"
"2020-03-28","   0","  631","  641"
"2020-03-29","   0","  631","  644"
"2020-03-30","   0","  631","  645"
"2020-03-31","   0","  631","  646"
"2020-04-01","   0","  631","  646"
"2020-04-02","   0","  631","  647"
"2020-04-03","   0","  632","  651"
"2020-04-04","   0","  632","  651"
"2020-04-05","   0","  633","  651"
"2020-04-06","   0","  633","  651"
"2020-04-07","   0","  633","  651"
"2020-04-08","   0","  633","  651"
"2020-04-09","   0","  633","  651"
"2020-04-10","   0","  634","  651"
"2020-04-11","   0","  636","  652"
"2020-04-12","   0","  638","  653"
"2020-04-13","   0","  638","  653"
"2020-04-14","   0","  641","  653"
"2020-04-15","   0","  642","  653"
"2020-04-16","   0","  642","  653"
"2020-04-17","   0","  643","  653"
"2020-04-18","   0","  643","  653"
"2020-04-19","   0","  643","  653"
"2020-04-20","   0","  643","  653"
"2020-04-21","   0","  644","  653"
"2020-04-22","   0","  645","  653"
"2020-04-23","   0","  645","  653"
"2020-04-24","   0","  646","  653"
"2020-04-25","   0","  646","  653"
"2020-04-26","   0","  646","  653"
"2020-04-27","   0","  646","  653"
"2020-04-28","   0","  646","  653"
"2020-04-29","   0","  647","  653"
"2020-04-30","   0","  648","  653"
"2020-05-01","   0","  650","  653"
"2020-05-02","   0","  650","  653"
"2020-05-03","   0","  650","  653"
"2020-05-04","   0","  650","  653"
"2020-05-05","   0","  650","  653"
"2020-05-06","   0","  650","  653"
"2020-05-07","   0","  651","  653"
"2020-05-08","   0","  652","  653"
"2020-05-09","   0","  652","  653"
"2020-05-10","   0","  652","  653"
"2020-05-11","   0","  653","  653"
"2020-05-12","   0","  653","  653"
"2020-05-13","   0","  653","  653"
"2020-05-14","   0","  653","  653"
"2020-05-15","   0","  653","  653"
"2020-05-16","   0","  653","  653"
"2020-05-17","   0","  653","  653"
"2020-05-18","   0","  653","  653"
"2020-05-19","   0","  653","  653"
"2020-05-20","   0","  653","  653"
"2020-05-21","   0","  653","  653"
"2020-05-22","   0","  653","  653"
"2020-05-23","   0","  653","  653"
"2020-05-24","   0","  653","  653"
"2020-05-25","   0","  653","  653"
"2020-05-26","   0","  653","  653"
"2020-05-27","   0","  653","  653"
"2020-05-28","   0","  653","  653"
"2020-05-29","   0","  653","  653"
"2020-05-30","   0","  653","  653"
"2020-05-31","   0","  653","  653"
"2020-06-01","   0","  653","  653"
"2020-06-02","   0","  653","  653"
"2020-06-03","   0","  653","  653"
"2020-06-04","   0","  653","  653"
"2020-06-05","   0","  653","  653"
"2020-06-06","   0","  653","  653"
"2020-06-07","   0","  653","  653"
"2020-06-08","   0","  653","  653"
"2020-06-09","   0","  653","  653"
"2020-06-10","   0","  653","  653"
"2020-06-11","   0","  653","  653"
"2020-06-12","   0","  653","  653"
