"","death_province","recovered_province","confirmed_province"
"2020-01-22"," 0"," 0","  0"
"2020-01-23"," 0"," 0","  1"
"2020-01-24"," 0"," 0","  3"
"2020-01-25"," 0"," 0","  4"
"2020-01-26"," 0"," 0","   4"
"2020-01-27"," 0"," 0","   6"
"2020-01-28","  0"," 0","   8"
"2020-01-29","  0"," 0","   9"
"2020-01-30","  0"," 1","  14"
"2020-01-31","  0","  1","  14"
"2020-02-01","  0","  1","  17"
"2020-02-02","  0","  1","  23"
"2020-02-03","  0","  1","   31"
"2020-02-04","  0","  1","   42"
"2020-02-05","  0","  2","   54"
"2020-02-06","  0","  4","   59"
"2020-02-07","  1","  4","   65"
"2020-02-08","  1","   4","   69"
"2020-02-09","  1","  12","   78"
"2020-02-10","  1","  13","   80"
"2020-02-11","  1","  18","   81"
"2020-02-12","   1","  22","   83"
"2020-02-13","   1","  24","   84"
"2020-02-14","   1","  25","   86"
"2020-02-15","   1","  26","   88"
"2020-02-16","   1","  30","   89"
"2020-02-17","   1","  34","   89"
"2020-02-18","   1","  36","   89"
"2020-02-19","   1","  37","   90"
"2020-02-20","   1","   43","   91"
"2020-02-21","   1","   45","   91"
"2020-02-22","   1","   52","   91"
"2020-02-23","   1","   54","   91"
"2020-02-24","   1","   60","   93"
"2020-02-25","   1","   63","   93"
"2020-02-26","   1","   65","   93"
"2020-02-27","   1","   67","   93"
"2020-02-28","   1","   73","   93"
"2020-02-29","   1","   75","   93"
"2020-03-01","   1","   78","   93"
"2020-03-02","   1","   83","   93"
"2020-03-03","   1","   83","   93"
"2020-03-04","   1","   86","   93"
"2020-03-05","   1","   88","   93"
"2020-03-06","   1","   90","   93"
"2020-03-07","   1","   90","   93"
"2020-03-08","   1","   90","   93"
"2020-03-09","   1","   91","   93"
"2020-03-10","   1","   91","   93"
"2020-03-11","   1","   91","   93"
"2020-03-12","   1","   92","   93"
"2020-03-13","   1","   92","   93"
"2020-03-14","   1","   92","   93"
"2020-03-15","   1","   92","   93"
"2020-03-16","   1","   92","   93"
"2020-03-17","   1","   92","   93"
"2020-03-18","   1","   92","   93"
"2020-03-19","   1","   92","   93"
"2020-03-20","   1","   92","   93"
"2020-03-21","   1","   92","   93"
"2020-03-22","   1","   92","   93"
"2020-03-23","   1","   92","   93"
"2020-03-24","   1","   92","   93"
"2020-03-25","   1","   92","   94"
"2020-03-26","   1","   92","   95"
"2020-03-27","   1","   92","   95"
"2020-03-28","   1","   92","   97"
"2020-03-29","   1","   92","   98"
"2020-03-30","   1","   92","   98"
"2020-03-31","   1","   92","   98"
"2020-04-01","   1","   92","   98"
"2020-04-02","   1","   92","   98"
"2020-04-03","   1","   92","   98"
"2020-04-04","   1","   92","   98"
"2020-04-05","   1","   92","   98"
"2020-04-06","   1","   92","   98"
"2020-04-07","   1","   92","   98"
"2020-04-08","   1","   93","   98"
"2020-04-09","   1","   93","   98"
"2020-04-10","   1","   95","   98"
"2020-04-11","   1","   96","   98"
"2020-04-12","   1","   96","   99"
"2020-04-13","   1","   96","  100"
"2020-04-14","   1","   96","  100"
"2020-04-15","   1","   96","  102"
"2020-04-16","   1","   96","  102"
"2020-04-17","   1","   97","  102"
"2020-04-18","   1","   97","  102"
"2020-04-19","   1","   97","  104"
"2020-04-20","   1","   97","  104"
"2020-04-21","   1","   97","  106"
"2020-04-22","   1","   98","  106"
"2020-04-23","   1","   98","  107"
"2020-04-24","   1","   99","  108"
"2020-04-25","   1","   99","  109"
"2020-04-26","   1","   99","  109"
"2020-04-27","   1","   99","  110"
"2020-04-28","   1","   99","  110"
"2020-04-29","   1","   99","  110"
"2020-04-30","   1","   99","  111"
"2020-05-01","   1","  101","  111"
"2020-05-02","   1","  102","  112"
"2020-05-03","   1","  103","  112"
"2020-05-04","   1","  103","  112"
"2020-05-05","   1","  103","  112"
"2020-05-06","   1","  103","  112"
"2020-05-07","   1","  103","  112"
"2020-05-08","   1","  104","  113"
"2020-05-09","   1","  105","  113"
"2020-05-10","   1","  105","  124"
"2020-05-11","   1","  105","  127"
"2020-05-12","   1","  105","  127"
"2020-05-13","   1","  108","  133"
"2020-05-14","   1","  108","  134"
"2020-05-15","   1","  108","  138"
"2020-05-16","   1","  108","  140"
"2020-05-17","   2","  113","  144"
"2020-05-18","   2","  122","  146"
"2020-05-19","   2","  123","  151"
"2020-05-20","   2","  125","  152"
"2020-05-21","   2","  125","  152"
"2020-05-22","   2","  127","  154"
"2020-05-23","   2","  128","  154"
"2020-05-24","   2","  128","  155"
"2020-05-25","   2","  128","  155"
"2020-05-26","   2","  128","  155"
"2020-05-27","   2","  128","  155"
"2020-05-28","   2","  136","  155"
"2020-05-29","   2","  142","  155"
"2020-05-30","   2","  142","  155"
"2020-05-31","   2","  144","  155"
"2020-06-01","   2","  147","  155"
"2020-06-02","   2","  147","  155"
"2020-06-03","   2","  148","  155"
"2020-06-04","   2","  149","  155"
"2020-06-05","   2","  150","  155"
"2020-06-06","   2","  150","  155"
"2020-06-07","   2","  153","  155"
"2020-06-08","   2","  153","  155"
"2020-06-09","   2","  153","  155"
"2020-06-10","   2","  153","  155"
"2020-06-11","   2","  153","  155"
"2020-06-12","   2","  153","  155"
"2020-06-13","   2","  153","  155"
"2020-06-14","   2","  153","  155"
"2020-06-15","   2","  153","  155"
"2020-06-16","   2","  153","  155"
"2020-06-17","   2","  153","  155"
"2020-06-18","   2","  153","  155"
"2020-06-19","   2","  153","  155"
