"","death_province","recovered_province","confirmed_province"
"2020-01-22"," 0"," 0","  2"
"2020-01-23"," 0"," 0","  3"
"2020-01-24"," 0"," 0","  4"
"2020-01-25"," 0"," 0"," 16"
"2020-01-26"," 0"," 0","  21"
"2020-01-27"," 0"," 0","  27"
"2020-01-28","  0"," 0","  34"
"2020-01-29","  0"," 1","  39"
"2020-01-30","  0"," 1","  41"
"2020-01-31","  0","  1","  48"
"2020-02-01","  0","  1","  64"
"2020-02-02","  0","  1","  70"
"2020-02-03","  0","  1","   74"
"2020-02-04","  0","  2","   81"
"2020-02-05","  0","  4","   89"
"2020-02-06","  0","  5","   94"
"2020-02-07","  0","  7","   99"
"2020-02-08","  0","   8","  105"
"2020-02-09","  0","  12","  107"
"2020-02-10","  0","  13","  108"
"2020-02-11","  0","  19","  111"
"2020-02-12","   1","  20","  116"
"2020-02-13","   1","  22","  117"
"2020-02-14","   1","  29","  119"
"2020-02-15","   1","  31","  119"
"2020-02-16","   1","  40","  121"
"2020-02-17","   1","  43","  121"
"2020-02-18","   1","  53","  121"
"2020-02-19","   1","  55","  121"
"2020-02-20","   1","   59","  121"
"2020-02-21","   1","   61","  121"
"2020-02-22","   1","   66","  121"
"2020-02-23","   1","   73","  121"
"2020-02-24","   1","   80","  121"
"2020-02-25","   1","   83","  121"
"2020-02-26","   1","   88","  121"
"2020-02-27","   1","   93","  121"
"2020-02-28","   1","   93","  121"
"2020-02-29","   1","   96","  121"
"2020-03-01","   1","  103","  122"
"2020-03-02","   1","  103","  122"
"2020-03-03","   1","  106","  125"
"2020-03-04","   1","  106","  125"
"2020-03-05","   1","  106","  125"
"2020-03-06","   1","  106","  125"
"2020-03-07","   1","  107","  125"
"2020-03-08","   1","  109","  125"
"2020-03-09","   1","  109","  125"
"2020-03-10","   1","  111","  125"
"2020-03-11","   1","  111","  125"
"2020-03-12","   1","  112","  125"
"2020-03-13","   1","  112","  125"
"2020-03-14","   1","  113","  125"
"2020-03-15","   1","  114","  125"
"2020-03-16","   1","  115","  125"
"2020-03-17","   1","  120","  125"
"2020-03-18","   1","  122","  125"
"2020-03-19","   1","  122","  125"
"2020-03-20","   2","  122","  126"
"2020-03-21","   2","  122","  126"
"2020-03-22","   2","  124","  126"
"2020-03-23","   2","  124","  127"
"2020-03-24","   2","  124","  127"
"2020-03-25","   2","  124","  127"
"2020-03-26","   2","  124","  128"
"2020-03-27","   2","  124","  128"
"2020-03-28","   2","  124","  132"
"2020-03-29","   2","  124","  134"
"2020-03-30","   2","  124","  136"
"2020-03-31","   2","  124","  139"
"2020-04-01","   2","  124","  140"
"2020-04-02","   2","  124","  141"
"2020-04-03","   2","  124","  141"
"2020-04-04","   2","  125","  141"
"2020-04-05","   2","  126","  142"
"2020-04-06","   2","  128","  142"
"2020-04-07","   2","  130","  144"
"2020-04-08","   2","  131","  144"
"2020-04-09","   2","  132","  144"
"2020-04-10","   2","  132","  144"
"2020-04-11","   2","  133","  145"
"2020-04-12","   2","  136","  145"
"2020-04-13","   2","  136","  145"
"2020-04-14","   2","  138","  145"
"2020-04-15","   2","  138","  145"
"2020-04-16","   2","  140","  145"
"2020-04-17","   2","  140","  146"
"2020-04-18","   2","  142","  146"
"2020-04-19","   2","  142","  146"
"2020-04-20","   2","  143","  146"
"2020-04-21","   2","  143","  146"
"2020-04-22","   2","  143","  146"
"2020-04-23","   2","  143","  146"
"2020-04-24","   2","  143","  146"
"2020-04-25","   2","  143","  146"
"2020-04-26","   2","  143","  146"
"2020-04-27","   2","  143","  146"
"2020-04-28","   2","  143","  146"
"2020-04-29","   2","  143","  146"
"2020-04-30","   2","  143","  146"
"2020-05-01","   2","  143","  146"
"2020-05-02","   2","  144","  146"
"2020-05-03","   2","  144","  146"
"2020-05-04","   2","  144","  146"
"2020-05-05","   2","  144","  146"
"2020-05-06","   2","  144","  146"
"2020-05-07","   2","  144","  146"
"2020-05-08","   2","  144","  146"
"2020-05-09","   2","  144","  146"
"2020-05-10","   2","  144","  147"
"2020-05-11","   2","  144","  147"
"2020-05-12","   2","  144","  147"
"2020-05-13","   2","  144","  147"
"2020-05-14","   2","  144","  149"
"2020-05-15","   2","  144","  149"
"2020-05-16","   2","  144","  149"
"2020-05-17","   2","  144","  149"
"2020-05-18","   2","  144","  149"
"2020-05-19","   2","  144","  149"
"2020-05-20","   2","  144","  149"
"2020-05-21","   2","  144","  149"
"2020-05-22","   2","  144","  149"
"2020-05-23","   2","  144","  149"
"2020-05-24","   2","  145","  149"
"2020-05-25","   2","  145","  149"
"2020-05-26","   2","  147","  149"
"2020-05-27","   2","  147","  149"
"2020-05-28","   2","  147","  149"
"2020-05-29","   2","  147","  149"
"2020-05-30","   2","  147","  149"
"2020-05-31","   2","  147","  149"
"2020-06-01","   2","  147","  149"
"2020-06-02","   2","  147","  149"
"2020-06-03","   2","  147","  149"
"2020-06-04","   2","  147","  149"
"2020-06-05","   2","  147","  149"
"2020-06-06","   2","  147","  149"
"2020-06-07","   2","  147","  149"
"2020-06-08","   2","  147","  149"
"2020-06-09","   2","  147","  149"
"2020-06-10","   2","  147","  149"
"2020-06-11","   2","  147","  149"
"2020-06-12","   2","  147","  149"
"2020-06-13","   2","  147","  149"
"2020-06-14","   2","  147","  151"
"2020-06-15","   2","  147","  151"
"2020-06-16","   2","  147","  152"
"2020-06-17","   2","  147","  152"
"2020-06-18","   2","  147","  152"
"2020-06-19","   2","  147","  153"
"2020-06-20","   2","  147","  153"
"2020-06-21","   2","  147","  153"
"2020-06-22","   2","  147","  154"
"2020-06-23","   2","  147","  154"
"2020-06-24","   2","  147","  154"
"2020-06-25","   2","  147","  154"
"2020-06-26","   2","  147","  154"
"2020-06-27","   2","  147","  154"
"2020-06-28","   2","  147","  154"
"2020-06-29","   2","  147","  155"
"2020-06-30","   2","  147","  155"
"2020-07-01","   2","  148","  155"
"2020-07-02","   2","  148","  155"
"2020-07-03","   2","  148","  156"
"2020-07-04","   2","  149","  156"
"2020-07-05","   2","  150","  156"
"2020-07-06","   2","  150","  157"
"2020-07-07","   2","  150","  159"
"2020-07-08","   2","  150","  159"
"2020-07-09","   2","  150","  162"
"2020-07-10","   2","  150","  162"
"2020-07-11","   2","  150","  164"
"2020-07-12","   2","  150","  164"
"2020-07-13","   2","  150","  164"
"2020-07-14","   2","  150","  164"
"2020-07-15","   2","  150","  164"
"2020-07-16","   2","  150","  164"
"2020-07-17","   2","  150","  164"
"2020-07-18","   2","  150","  164"
"2020-07-19","   2","  153","  164"
"2020-07-20","   2","  154","  164"
"2020-07-21","   2","  156","  164"
"2020-07-22","   2","  157","  165"
"2020-07-23","   2","  158","  165"
"2020-07-24","   2","  158","  165"
"2020-07-25","   2","  158","  165"
"2020-07-26","   2","  159","  189"
