"","death_province","recovered_province","confirmed_province"
"2020-01-22"," 0"," 0","  0"
"2020-01-23"," 0"," 0","  0"
"2020-01-24"," 0"," 0","  2"
"2020-01-25"," 0"," 0","  7"
"2020-01-26"," 0"," 0","   7"
"2020-01-27"," 0"," 0","  11"
"2020-01-28","  0"," 0","  15"
"2020-01-29","  0"," 0","  16"
"2020-01-30","  0"," 0","  18"
"2020-01-31","  0","  1","  20"
"2020-02-01","  0","  1","  23"
"2020-02-02","  0","  1","  27"
"2020-02-03","  0","  1","   34"
"2020-02-04","  0","  1","   35"
"2020-02-05","  0","  3","   42"
"2020-02-06","  0","  4","   46"
"2020-02-07","  0","  5","   50"
"2020-02-08","  0","   5","   52"
"2020-02-09","  0","   5","   54"
"2020-02-10","  0","   5","   58"
"2020-02-11","  0","   5","   58"
"2020-02-12","   0","   6","   60"
"2020-02-13","   0","   6","   61"
"2020-02-14","   0","   6","   65"
"2020-02-15","   0","   7","   68"
"2020-02-16","   0","   8","   70"
"2020-02-17","   0","   8","   72"
"2020-02-18","   0","   8","   73"
"2020-02-19","   0","  10","   75"
"2020-02-20","   0","   16","   75"
"2020-02-21","   0","   17","   75"
"2020-02-22","   0","   23","   75"
"2020-02-23","   0","   27","   75"
"2020-02-24","   0","   34","   75"
"2020-02-25","   0","   34","   75"
"2020-02-26","   0","   38","   75"
"2020-02-27","   0","   42","   75"
"2020-02-28","   0","   45","   75"
"2020-02-29","   0","   49","   75"
"2020-03-01","   0","   52","   75"
"2020-03-02","   0","   54","   75"
"2020-03-03","   1","   59","   75"
"2020-03-04","   1","   63","   75"
"2020-03-05","   1","   64","   75"
"2020-03-06","   1","   65","   75"
"2020-03-07","   1","   67","   75"
"2020-03-08","   1","   70","   75"
"2020-03-09","   1","   70","   75"
"2020-03-10","   1","   70","   75"
"2020-03-11","   1","   71","   75"
"2020-03-12","   1","   71","   75"
"2020-03-13","   1","   71","   75"
"2020-03-14","   1","   71","   75"
"2020-03-15","   1","   71","   75"
"2020-03-16","   1","   73","   75"
"2020-03-17","   1","   73","   75"
"2020-03-18","   1","   73","   75"
"2020-03-19","   1","   74","   75"
"2020-03-20","   1","   74","   75"
"2020-03-21","   1","   74","   75"
"2020-03-22","   1","   74","   75"
"2020-03-23","   1","   74","   75"
"2020-03-24","   1","   74","   75"
"2020-03-25","   1","   74","   77"
"2020-03-26","   1","   74","   89"
"2020-03-27","   1","   74","   92"
"2020-03-28","   1","   74","   94"
"2020-03-29","   1","   74","   95"
"2020-03-30","   1","   74","   97"
"2020-03-31","   1","   74","  107"
"2020-04-01","   1","   74","  111"
"2020-04-02","   1","   74","  117"
"2020-04-03","   1","   74","  117"
"2020-04-04","   1","   74","  117"
"2020-04-05","   1","   74","  117"
"2020-04-06","   1","   74","  118"
"2020-04-07","   1","   74","  121"
"2020-04-08","   1","   74","  124"
"2020-04-09","   1","   79","  126"
"2020-04-10","   1","   79","  128"
"2020-04-11","   1","   79","  155"
"2020-04-12","   1","   83","  189"
"2020-04-13","   1","   83","  190"
"2020-04-14","   1","   91","  190"
"2020-04-15","   1","   94","  190"
"2020-04-16","   1","   94","  193"
"2020-04-17","   1","  103","  193"
"2020-04-18","   1","  104","  193"
"2020-04-19","   1","  104","  193"
"2020-04-20","   1","  104","  194"
"2020-04-21","   1","  108","  194"
"2020-04-22","   1","  108","  194"
"2020-04-23","   1","  108","  194"
