"","death_province","recovered_province","confirmed_province"
"2020-01-22"," 0"," 0","  0"
"2020-01-23"," 0"," 0","  3"
"2020-01-24"," 0"," 0","  5"
"2020-01-25"," 0"," 0"," 15"
"2020-01-26"," 0"," 0","  22"
"2020-01-27"," 0"," 0","  35"
"2020-01-28","  0"," 0","  46"
"2020-01-29","  0"," 0","  56"
"2020-01-30","  0"," 0","  63"
"2020-01-31","  0","  0","  87"
"2020-02-01","  0","  0"," 101"
"2020-02-02","  0","  0"," 116"
"2020-02-03","  0","  0","  128"
"2020-02-04","  0","  2","  142"
"2020-02-05","  0","  6","  165"
"2020-02-06","  0","  9","  173"
"2020-02-07","  0"," 17","  184"
"2020-02-08","  0","  20","  195"
"2020-02-09","  0","  25","  208"
"2020-02-10","  0","  30","  213"
"2020-02-11","  0","  32","  219"
"2020-02-12","   0","  43","  225"
"2020-02-13","   0","  46","  229"
"2020-02-14","   0","  54","  230"
"2020-02-15","   0","  60","  232"
"2020-02-16","   0","  71","  236"
"2020-02-17","   0","  79","  240"
"2020-02-18","   0","  89","  240"
"2020-02-19","   0"," 102","  242"
"2020-02-20","   1","  118","  245"
"2020-02-21","   1","  134","  245"
"2020-02-22","   1","  149","  245"
"2020-02-23","   1","  163","  245"
"2020-02-24","   1","  173","  245"
"2020-02-25","   1","  186","  245"
"2020-02-26","   1","  192","  245"
"2020-02-27","   1","  195","  245"
"2020-02-28","   1","  199","  245"
"2020-02-29","   1","  207","  245"
"2020-03-01","   1","  208","  245"
"2020-03-02","   1","  216","  245"
"2020-03-03","   1","  216","  245"
"2020-03-04","   1","  223","  245"
"2020-03-05","   1","  224","  245"
"2020-03-06","   1","  226","  245"
"2020-03-07","   1","  226","  245"
"2020-03-08","   1","  227","  245"
"2020-03-09","   1","  227","  245"
"2020-03-10","   1","  228","  245"
"2020-03-11","   1","  232","  245"
"2020-03-12","   2","  232","  245"
"2020-03-13","   2","  232","  245"
"2020-03-14","   2","  232","  245"
"2020-03-15","   2","  232","  245"
