"","death_province","recovered_province","confirmed_province"
"2020-01-22"," 0"," 0","  2"
"2020-01-23"," 0"," 0","  6"
"2020-01-24"," 0"," 0"," 15"
"2020-01-25"," 0"," 0"," 27"
"2020-01-26"," 0"," 0","  46"
"2020-01-27"," 0"," 1","  75"
"2020-01-28","  0"," 0","  95"
"2020-01-29","  0"," 1"," 130"
"2020-01-30","  0"," 1"," 158"
"2020-01-31","  0","  2"," 184"
"2020-02-01","  0","  3"," 206"
"2020-02-02","  0","  6"," 230"
"2020-02-03","  0","  7","  259"
"2020-02-04","  0"," 11","  275"
"2020-02-05","  0"," 15","  307"
"2020-02-06","  0"," 27","  347"
"2020-02-07","  0"," 37","  386"
"2020-02-08","  0","  44","  416"
"2020-02-09","  1","  63","  444"
"2020-02-10","  1","  66","  466"
"2020-02-11","  1","  80","  487"
"2020-02-12","   2","  92","  497"
"2020-02-13","   2"," 105","  509"
"2020-02-14","   2"," 136","  523"
"2020-02-15","   2"," 156","  532"
"2020-02-16","   2"," 173","  537"
"2020-02-17","   2"," 191","  541"
"2020-02-18","   3"," 211","  543"
"2020-02-19","   3"," 231","  544"
"2020-02-20","   4","  254","  546"
"2020-02-21","   4","  281","  749"
"2020-02-22","   4","  302","  750"
"2020-02-23","   4","  321","  754"
"2020-02-24","   5","  343","  755"
"2020-02-25","   6","  355","  756"
"2020-02-26","   6","  377","  756"
"2020-02-27","   6","  387","  756"
"2020-02-28","   6","  405","  756"
"2020-02-29","   6","  421","  756"
"2020-03-01","   6","  443","  758"
"2020-03-02","   6","  460","  758"
"2020-03-03","   6","  511","  758"
"2020-03-04","   6","  516","  758"
"2020-03-05","   6","  578","  758"
"2020-03-06","   6","  618","  758"
"2020-03-07","   6","  627","  758"
"2020-03-08","   6","  642","  758"
"2020-03-09","   6","  700","  758"
"2020-03-10","   6","  719","  758"
"2020-03-11","   6","  726","  760"
"2020-03-12","   6","  734","  760"
"2020-03-13","   7","  739","  760"
"2020-03-14","   7","  741","  760"
"2020-03-15","   7","  741","  760"
"2020-03-16","   7","  746","  760"
"2020-03-17","   7","  746","  761"
"2020-03-18","   7","  746","  761"
"2020-03-19","   7","  747","  761"
"2020-03-20","   7","  748","  762"
"2020-03-21","   7","  749","  764"
"2020-03-22","   7","  750","  766"
"2020-03-23","   7","  752","  768"
"2020-03-24","   7","  752","  768"
"2020-03-25","   7","  752","  769"
"2020-03-26","   7","  752","  771"
"2020-03-27","   7","  752","  772"
"2020-03-28","   7","  752","  772"
"2020-03-29","   7","  752","  772"
"2020-03-30","   7","  753","  773"
"2020-03-31","   7","  753","  774"
"2020-04-01","   7","  753","  774"
"2020-04-02","   7","  753","  775"
"2020-04-03","   7","  754","  778"
"2020-04-04","   7","  755","  778"
"2020-04-05","   7","  755","  779"
"2020-04-06","   7","  755","  780"
"2020-04-07","   7","  755","  781"
"2020-04-08","   7","  755","  783"
"2020-04-09","   7","  756","  783"
"2020-04-10","   7","  756","  783"
"2020-04-11","   7","  757","  784"
"2020-04-12","   7","  757","  784"
"2020-04-13","   7","  758","  784"
"2020-04-14","   7","  759","  784"
"2020-04-15","   7","  761","  784"
"2020-04-16","   7","  761","  784"
"2020-04-17","   7","  761","  787"
