"","death_province","recovered_province","confirmed_province"
"2020-01-22"," 0"," 0","  9"
"2020-01-23"," 0"," 0"," 16"
"2020-01-24"," 0"," 1"," 20"
"2020-01-25"," 0"," 1"," 33"
"2020-01-26"," 1"," 1","  40"
"2020-01-27"," 1"," 3","  53"
"2020-01-28","  1"," 4","  66"
"2020-01-29","  1"," 5","  96"
"2020-01-30","  1"," 5"," 112"
"2020-01-31","  1","  9"," 135"
"2020-02-01","  1"," 10"," 169"
"2020-02-02","  1"," 10"," 182"
"2020-02-03","  1"," 10","  203"
"2020-02-04","  1"," 12","  219"
"2020-02-05","  1"," 15","  243"
"2020-02-06","  1"," 25","  257"
"2020-02-07","  1"," 30","  277"
"2020-02-08","  1","  41","  286"
"2020-02-09","  1","  44","  293"
"2020-02-10","  1","  48","  299"
"2020-02-11","  1","  52","  303"
"2020-02-12","   1","  57","  311"
"2020-02-13","   1","  62","  315"
"2020-02-14","   1","  90","  318"
"2020-02-15","   1"," 124","  326"
"2020-02-16","   1"," 140","  328"
"2020-02-17","   1"," 161","  332"
"2020-02-18","   1"," 177","  333"
"2020-02-19","   2"," 186","  333"
"2020-02-20","   2","  199","  334"
"2020-02-21","   2","  211","  334"
"2020-02-22","   3","  227","  335"
"2020-02-23","   3","  249","  335"
"2020-02-24","   3","  261","  335"
"2020-02-25","   3","  268","  336"
"2020-02-26","   3","  272","  336"
"2020-02-27","   3","  276","  337"
"2020-02-28","   3","  279","  337"
"2020-02-29","   3","  287","  337"
"2020-03-01","   3","  290","  337"
"2020-03-02","   3","  292","  337"
"2020-03-03","   3","  294","  338"
"2020-03-04","   3","  298","  338"
"2020-03-05","   3","  303","  339"
"2020-03-06","   3","  306","  342"
"2020-03-07","   3","  313","  342"
"2020-03-08","   3","  314","  342"
"2020-03-09","   3","  315","  342"
"2020-03-10","   3","  319","  344"
"2020-03-11","   3","  320","  344"
"2020-03-12","   3","  321","  344"
"2020-03-13","   3","  324","  346"
"2020-03-14","   3","  324","  352"
"2020-03-15","   3","  324","  353"
"2020-03-16","   3","  325","  355"
"2020-03-17","   3","  325","  358"
"2020-03-18","   3","  326","  361"
"2020-03-19","   3","  326","  363"
"2020-03-20","   3","  326","  371"
"2020-03-21","   3","  327","  380"
"2020-03-22","   4","  328","  394"
"2020-03-23","   4","  329","  404"
"2020-03-24","   4","  330","  414"
"2020-03-25","   5","  330","  433"
"2020-03-26","   5","  331","  451"
"2020-03-27","   5","  334","  468"
"2020-03-28","   5","  334","  485"
"2020-03-29","   5","  334","  492"
"2020-03-30","   5","  338","  498"
"2020-03-31","   5","  341","  509"
"2020-04-01","   6","  341","  516"
"2020-04-02","   6","  343","  522"
"2020-04-03","   6","  348","  526"
"2020-04-04","   6","  356","  529"
"2020-04-05","   6","  383","  531"
"2020-04-06","   6","  389","  536"
"2020-04-07","   6","  406","  538"
"2020-04-08","   7","  418","  543"
"2020-04-09","   7","  422","  552"
"2020-04-10","   7","  435","  555"
"2020-04-11","   7","  438","  555"
"2020-04-12","   7","  446","  607"
"2020-04-13","   7","  446","  618"
"2020-04-14","   7","  468","  618"
"2020-04-15","   7","  485","  622"
"2020-04-16","   7","  489","  628"
"2020-04-17","   7","  512","  628"
"2020-04-18","   7","  512","  628"
"2020-04-19","   7","  521","  635"
"2020-04-20","   7","  530","  638"
"2020-04-21","   7","  530","  638"
"2020-04-22","   7","  534","  639"
"2020-04-23","   7","  533","  640"
"2020-04-24","   7","  547","  641"
"2020-04-25","   7","  558","  641"
"2020-04-26","   7","  568","  642"
"2020-04-27","   7","  581","  642"
"2020-04-28","   7","  584","  644"
"2020-04-29","   7","  597","  645"
"2020-04-30","   7","  599","  647"
"2020-05-01","   7","  612","  652"
"2020-05-02","   7","  612","  652"
"2020-05-03","   7","  615","  653"
"2020-05-04","   7","  619","  655"
"2020-05-05","   7","  620","  656"
"2020-05-06","   7","  620","  656"
"2020-05-07","   7","  623","  657"
"2020-05-08","   7","  623","  657"
"2020-05-09","   7","  626","  657"
"2020-05-10","   7","  627","  659"
"2020-05-11","   7","  627","  659"
"2020-05-12","   7","  631","  659"
"2020-05-13","   7","  633","  660"
"2020-05-14","   7","  638","  660"
"2020-05-15","   7","  640","  660"
"2020-05-16","   7","  641","  665"
"2020-05-17","   7","  641","  665"
"2020-05-18","   7","  641","  666"
"2020-05-19","   7","  642","  666"
"2020-05-20","   7","  645","  667"
"2020-05-21","   7","  645","  667"
"2020-05-22","   7","  646","  667"
"2020-05-23","   7","  647","  667"
"2020-05-24","   7","  648","  668"
"2020-05-25","   7","  652","  668"
"2020-05-26","   7","  653","  669"
"2020-05-27","   7","  655","  670"
"2020-05-28","   7","  655","  671"
"2020-05-29","   7","  657","  671"
"2020-05-30","   7","  657","  672"
"2020-05-31","   7","  657","  672"
"2020-06-01","   7","  660","  672"
"2020-06-02","   7","  661","  673"
"2020-06-03","   7","  661","  673"
"2020-06-04","   7","  662","  673"
"2020-06-05","   7","  663","  677"
"2020-06-06","   7","  663","  677"
"2020-06-07","   7","  664","  677"
"2020-06-08","   7","  664","  678"
"2020-06-09","   7","  665","  678"
"2020-06-10","   7","  665","  678"
"2020-06-11","   7","  666","  684"
"2020-06-12","   7","  666","  689"
"2020-06-13","   7","  666","  690"
"2020-06-14","   7","  667","  691"
"2020-06-15","   7","  667","  692"
"2020-06-16","   7","  667","  695"
"2020-06-17","   7","  668","  695"
"2020-06-18","   7","  668","  697"
"2020-06-19","   7","  668","  697"
"2020-06-20","   7","  668","  698"
"2020-06-21","   7","  668","  698"
"2020-06-22","   7","  669","  701"
"2020-06-23","   7","  669","  701"
"2020-06-24","   7","  670","  703"
"2020-06-25","   7","  672","  703"
"2020-06-26","   7","  674","  705"
"2020-06-27","   7","  674","  706"
"2020-06-28","   7","  675","  707"
"2020-06-29","   7","  675","  708"
"2020-06-30","   7","  675","  712"
"2020-07-01","   7","  677","  712"
"2020-07-02","   7","  677","  713"
"2020-07-03","   7","  678","  714"
"2020-07-04","   7","  681","  715"
"2020-07-05","   7","  681","  716"
"2020-07-06","   7","  685","  716"
"2020-07-07","   7","  688","  718"
