"","death_province","recovered_province","confirmed_province"
"2020-01-22"," 0"," 0","  1"
"2020-01-23"," 0"," 0","  1"
"2020-01-24"," 0"," 0","  1"
"2020-01-25"," 0"," 0","  6"
"2020-01-26"," 0"," 0","   9"
"2020-01-27"," 0"," 0","  13"
"2020-01-28","  0"," 0","  20"
"2020-01-29","  0"," 1","  27"
"2020-01-30","  0"," 1","  35"
"2020-01-31","  0","  1","  39"
"2020-02-01","  0","  1","  47"
"2020-02-02","  0","  2","  56"
"2020-02-03","  0","  2","   66"
"2020-02-04","  0","  4","   74"
"2020-02-05","  0","  5","   81"
"2020-02-06","  0"," 12","   90"
"2020-02-07","  0"," 15","   96"
"2020-02-08","  0","  20","  104"
"2020-02-09","  0","  22","  115"
"2020-02-10","  0","  25","  119"
"2020-02-11","  0","  30","  122"
"2020-02-12","   0","  33","  124"
"2020-02-13","   0","  33","  126"
"2020-02-14","   0","  38","  126"
"2020-02-15","   0","  42","  127"
"2020-02-16","   0","  49","  128"
"2020-02-17","   0","  51","  129"
"2020-02-18","   0","  60","  130"
"2020-02-19","   0","  63","  131"
"2020-02-20","   0","   73","  131"
"2020-02-21","   0","   76","  132"
"2020-02-22","   0","   79","  132"
"2020-02-23","   0","   89","  132"
"2020-02-24","   0","   91","  132"
"2020-02-25","   0","   96","  133"
"2020-02-26","   0","  104","  133"
"2020-02-27","   0","  106","  133"
"2020-02-28","   0","  109","  133"
"2020-02-29","   0","  113","  133"
"2020-03-01","   0","  115","  133"
"2020-03-02","   0","  117","  133"
"2020-03-03","   0","  120","  133"
"2020-03-04","   0","  124","  133"
"2020-03-05","   0","  126","  133"
"2020-03-06","   0","  126","  133"
"2020-03-07","   0","  126","  133"
"2020-03-08","   0","  126","  133"
"2020-03-09","   0","  127","  133"
"2020-03-10","   0","  128","  133"
"2020-03-11","   0","  131","  133"
"2020-03-12","   0","  132","  133"
"2020-03-13","   0","  133","  133"
"2020-03-14","   0","  133","  133"
"2020-03-15","   0","  133","  133"
"2020-03-16","   0","  133","  133"
"2020-03-17","   0","  133","  133"
"2020-03-18","   0","  133","  133"
"2020-03-19","   0","  133","  133"
"2020-03-20","   0","  133","  133"
"2020-03-21","   0","  133","  133"
"2020-03-22","   0","  133","  133"
"2020-03-23","   0","  133","  133"
"2020-03-24","   0","  133","  134"
"2020-03-25","   0","  133","  134"
"2020-03-26","   0","  133","  135"
