"","death_province","recovered_province","confirmed_province"
"2020-01-22"," 0"," 0","  5"
"2020-01-23"," 0"," 0","  8"
"2020-01-24"," 0"," 0"," 15"
"2020-01-25"," 0"," 0"," 28"
"2020-01-26"," 0"," 0","  44"
"2020-01-27"," 0"," 0","  69"
"2020-01-28","  0"," 0","  90"
"2020-01-29","  1"," 1"," 108"
"2020-01-30","  1"," 1"," 142"
"2020-01-31","  1","  1"," 177"
"2020-02-01","  1","  3"," 207"
"2020-02-02","  1"," 11"," 231"
"2020-02-03","  1"," 14","  254"
"2020-02-04","  1"," 14","  282"
"2020-02-05","  1"," 24","  301"
"2020-02-06","  1"," 31","  321"
"2020-02-07","  1"," 42","  344"
"2020-02-08","  1","  60","  364"
"2020-02-09","  1","  71","  386"
"2020-02-10","  1","  80","  405"
"2020-02-11","  1","  85","  417"
"2020-02-12","   1","  92","  436"
"2020-02-13","   1"," 104","  451"
"2020-02-14","   1"," 114","  463"
"2020-02-15","   1"," 119","  470"
"2020-02-16","   3"," 131","  481"
"2020-02-17","   3"," 156","  495"
"2020-02-18","   3"," 169","  508"
"2020-02-19","   3"," 188","  514"
"2020-02-20","   3","  217","  520"
"2020-02-21","   3","  231","  525"
"2020-02-22","   3","  250","  526"
"2020-02-23","   3","  261","  526"
"2020-02-24","   3","  276","  527"
"2020-02-25","   3","  289","  529"
"2020-02-26","   3","  307","  531"
"2020-02-27","   3","  321","  534"
"2020-02-28","   3","  338","  538"
"2020-02-29","   3","  351","  538"
"2020-03-01","   3","  365","  538"
"2020-03-02","   3","  386","  538"
"2020-03-03","   3","  394","  538"
"2020-03-04","   3","  406","  538"
"2020-03-05","   3","  425","  539"
"2020-03-06","   3","  442","  539"
"2020-03-07","   3","  454","  539"
"2020-03-08","   3","  464","  539"
"2020-03-09","   3","  466","  539"
"2020-03-10","   3","  478","  539"
"2020-03-11","   3","  488","  539"
"2020-03-12","   3","  498","  539"
"2020-03-13","   3","  503","  539"
"2020-03-14","   3","  511","  539"
"2020-03-15","   3","  516","  539"
"2020-03-16","   3","  516","  539"
"2020-03-17","   3","  520","  540"
"2020-03-18","   3","  525","  540"
"2020-03-19","   3","  536","  540"
"2020-03-20","   3","  536","  541"
"2020-03-21","   3","  536","  542"
"2020-03-22","   3","  536","  543"
"2020-03-23","   3","  536","  543"
"2020-03-24","   3","  536","  545"
"2020-03-25","   3","  536","  547"
"2020-03-26","   3","  536","  547"
"2020-03-27","   3","  536","  548"
"2020-03-28","   3","  536","  548"
"2020-03-29","   3","  536","  550"
"2020-03-30","   3","  536","  550"
"2020-03-31","   3","  536","  550"
"2020-04-01","   3","  537","  552"
"2020-04-02","   3","  537","  554"
"2020-04-03","   3","  537","  555"
"2020-04-04","   3","  538","  557"
"2020-04-05","   3","  539","  558"
"2020-04-06","   3","  540","  559"
"2020-04-07","   3","  541","  560"
"2020-04-08","   3","  541","  560"
"2020-04-09","   3","  541","  560"
"2020-04-10","   3","  546","  560"
"2020-04-11","   3","  547","  560"
"2020-04-12","   3","  547","  560"
"2020-04-13","   3","  548","  560"
"2020-04-14","   3","  548","  560"
"2020-04-15","   3","  550","  560"
"2020-04-16","   3","  552","  560"
"2020-04-17","   3","  552","  560"
"2020-04-18","   3","  553","  561"
"2020-04-19","   3","  554","  561"
"2020-04-20","   3","  554","  561"
"2020-04-21","   3","  554","  561"
"2020-04-22","   3","  556","  561"
"2020-04-23","   3","  557","  561"
"2020-04-24","   3","  558","  561"
"2020-04-25","   3","  558","  561"
"2020-04-26","   3","  558","  561"
"2020-04-27","   3","  558","  561"
"2020-04-28","   3","  558","  561"
"2020-04-29","   3","  558","  561"
"2020-04-30","   3","  558","  561"
"2020-05-01","   3","  558","  561"
"2020-05-02","   3","  558","  561"
"2020-05-03","   3","  558","  561"
"2020-05-04","   3","  558","  561"
"2020-05-05","   3","  558","  561"
"2020-05-06","   3","  558","  561"
"2020-05-07","   3","  558","  561"
"2020-05-08","   3","  558","  561"
"2020-05-09","   3","  558","  561"
"2020-05-10","   3","  558","  561"
"2020-05-11","   3","  558","  561"
"2020-05-12","   3","  558","  561"
"2020-05-13","   3","  558","  561"
"2020-05-14","   3","  558","  561"
"2020-05-15","   3","  558","  561"
"2020-05-16","   3","  558","  561"
"2020-05-17","   3","  558","  561"
"2020-05-18","   3","  558","  561"
"2020-05-19","   3","  558","  561"
"2020-05-20","   3","  558","  561"
"2020-05-21","   3","  558","  561"
"2020-05-22","   3","  558","  563"
"2020-05-23","   3","  558","  563"
"2020-05-24","   3","  558","  563"
"2020-05-25","   3","  558","  564"
"2020-05-26","   3","  558","  564"
"2020-05-27","   3","  558","  564"
"2020-05-28","   3","  558","  564"
"2020-05-29","   3","  558","  564"
"2020-05-30","   3","  558","  564"
"2020-05-31","   3","  558","  564"
"2020-06-01","   3","  558","  575"
"2020-06-02","   3","  558","  577"
"2020-06-03","   3","  558","  577"
"2020-06-04","   3","  558","  577"
"2020-06-05","   3","  558","  578"
"2020-06-06","   3","  558","  578"
"2020-06-07","   3","  558","  578"
"2020-06-08","   3","  558","  581"
"2020-06-09","   3","  558","  582"
"2020-06-10","   3","  558","  582"
"2020-06-11","   3","  560","  582"
"2020-06-12","   3","  561","  582"
"2020-06-13","   3","  562","  583"
"2020-06-14","   3","  563","  583"
"2020-06-15","   3","  563","  588"
"2020-06-16","   3","  564","  588"
"2020-06-17","   3","  565","  589"
"2020-06-18","   3","  567","  589"
"2020-06-19","   3","  569","  589"
"2020-06-20","   3","  570","  589"
"2020-06-21","   3","  570","  589"
"2020-06-22","   3","  570","  589"
"2020-06-23","   3","  572","  589"
"2020-06-24","   3","  573","  589"
"2020-06-25","   3","  575","  589"
"2020-06-26","   3","  575","  589"
"2020-06-27","   3","  575","  589"
"2020-06-28","   3","  575","  589"
"2020-06-29","   3","  577","  592"
"2020-06-30","   3","  578","  595"
"2020-07-01","   3","  580","  595"
"2020-07-02","   3","  580","  595"
"2020-07-03","   3","  581","  595"
"2020-07-04","   3","  581","  595"
"2020-07-05","   3","  581","  596"
"2020-07-06","   3","  581","  596"
"2020-07-07","   3","  581","  598"
"2020-07-08","   3","  581","  598"
"2020-07-09","   3","  582","  599"
"2020-07-10","   3","  582","  599"
"2020-07-11","   3","  587","  599"
"2020-07-12","   3","  587","  599"
"2020-07-13","   3","  587","  599"
"2020-07-14","   3","  587","  599"
"2020-07-15","   3","  589","  599"
"2020-07-16","   3","  590","  599"
"2020-07-17","   3","  590","  599"
"2020-07-18","   3","  590","  599"
"2020-07-19","   3","  592","  599"
"2020-07-20","   3","  592","  602"
"2020-07-21","   3","  593","  603"
"2020-07-22","   3","  593","  603"
"2020-07-23","   3","  594","  603"
"2020-07-24","   3","  594","  603"
"2020-07-25","   3","  594","  603"
"2020-07-26","   3","  594","  603"
"2020-07-27","   3","  594","  604"
"2020-07-28","   3","  594","  604"
"2020-07-29","   3","  596","  604"
"2020-07-30","   3","  596","  604"
"2020-07-31","   3","  597","  604"
"2020-08-01","   3","  597","  604"
"2020-08-02","   3","  597","  608"
"2020-08-03","   3","  597","  608"
"2020-08-04","   3","  597","  609"
"2020-08-05","   3","  598","  610"
"2020-08-06","   3","  598","  610"
"2020-08-07","   3","  599","  611"
"2020-08-08","   3","  599","  611"
"2020-08-09","   3","  599","  611"
"2020-08-10","   3","  599","  615"
"2020-08-11","   3","  599","  615"
"2020-08-12","   3","  600","  616"
"2020-08-13","   3","  602","  618"
"2020-08-14","   3","  605","  619"
"2020-08-15","   3","  606","  623"
"2020-08-16","   3","  606","  624"
"2020-08-17","   3","  606","  626"
"2020-08-18","   3","  608","  626"
"2020-08-19","   3","  609","  626"
"2020-08-20","   3","  609","  627"
"2020-08-21","   3","  610","  628"
"2020-08-22","   3","  611","  628"
"2020-08-23","   3","  611","  628"
"2020-08-24","   3","  611","  631"
"2020-08-25","   3","  615","  635"
"2020-08-26","   3","  617","  640"
"2020-08-27","   3","  619","  644"
"2020-08-28","   3","  620","  648"
"2020-08-29","   3","  622","  650"
"2020-08-30","   3","  622","  652"
"2020-08-31","   3","  622","  652"
"2020-09-01","   3","  624","  652"
"2020-09-02","   3","  626","  653"
"2020-09-03","   3","  630","  655"
"2020-09-04","   3","  632","  656"
"2020-09-05","   3","  634","  656"
"2020-09-06","   3","  634","  656"
"2020-09-07","   3","  634","  658"
"2020-09-08","   3","  637","  663"
"2020-09-09","   3","  642","  664"
"2020-09-10","   3","  642","  664"
"2020-09-11","   3","  644","  665"
"2020-09-12","   3","  645","  665"
"2020-09-13","   3","  645","  665"
"2020-09-14","   3","  645","  665"
