"","death_province","recovered_province","confirmed_province"
"2020-01-22"," 0"," 0","  4"
"2020-01-23"," 0"," 0","  4"
"2020-01-24"," 0"," 0","  8"
"2020-01-25"," 0"," 0"," 10"
"2020-01-26"," 0"," 0","  14"
"2020-01-27"," 0"," 0","  22"
"2020-01-28","  0"," 0","  24"
"2020-01-29","  0"," 0","  27"
"2020-01-30","  0"," 0","  31"
"2020-01-31","  0","  0","  32"
"2020-02-01","  0","  0","  41"
"2020-02-02","  0","  1","  48"
"2020-02-03","  0","  1","   60"
"2020-02-04","  0","  2","   67"
"2020-02-05","  1","  2","   69"
"2020-02-06","  1","  2","   78"
"2020-02-07","  1","  2","   81"
"2020-02-08","  1","   4","   88"
"2020-02-09","  1","   4","   90"
"2020-02-10","  1","   8","   95"
"2020-02-11","  2","  10","  105"
"2020-02-12","   2","  11","  112"
"2020-02-13","   3","  21","  117"
"2020-02-14","   3","  31","  120"
"2020-02-15","   3","  37","  122"
"2020-02-16","   3","  45","  124"
"2020-02-17","   3","  46","  125"
"2020-02-18","   3","  48","  128"
"2020-02-19","   3","  54","  130"
"2020-02-20","   3","   59","  131"
"2020-02-21","   3","   62","  132"
"2020-02-22","   3","   65","  135"
"2020-02-23","   3","   81","  135"
"2020-02-24","   3","   87","  135"
"2020-02-25","   3","   91","  135"
"2020-02-26","   3","   96","  135"
"2020-02-27","   3","  102","  135"
"2020-02-28","   3","  102","  136"
"2020-02-29","   3","  109","  136"
"2020-03-01","   3","  111","  136"
"2020-03-02","   3","  111","  136"
"2020-03-03","   3","  124","  136"
"2020-03-04","   3","  124","  136"
"2020-03-05","   3","  128","  136"
"2020-03-06","   3","  128","  136"
"2020-03-07","   3","  128","  136"
"2020-03-08","   3","  128","  136"
"2020-03-09","   3","  130","  136"
"2020-03-10","   3","  131","  136"
"2020-03-11","   3","  131","  136"
"2020-03-12","   3","  132","  136"
"2020-03-13","   3","  132","  136"
"2020-03-14","   3","  132","  136"
"2020-03-15","   3","  133","  136"
"2020-03-16","   3","  133","  136"
"2020-03-17","   3","  133","  136"
"2020-03-18","   3","  133","  136"
"2020-03-19","   3","  133","  136"
"2020-03-20","   3","  133","  137"
"2020-03-21","   3","  133","  137"
"2020-03-22","   3","  133","  137"
"2020-03-23","   3","  133","  141"
"2020-03-24","   3","  133","  145"
"2020-03-25","   3","  133","  145"
"2020-03-26","   3","  133","  151"
"2020-03-27","   3","  133","  155"
"2020-03-28","   3","  133","  161"
"2020-03-29","   3","  133","  166"
"2020-03-30","   3","  133","  174"
"2020-03-31","   3","  135","  174"
"2020-04-01","   3","  135","  176"
"2020-04-02","   3","  135","  176"
"2020-04-03","   3","  140","  180"
"2020-04-04","   3","  144","  180"
"2020-04-05","   3","  144","  180"
"2020-04-06","   3","  144","  180"
"2020-04-07","   3","  151","  180"
"2020-04-08","   3","  152","  180"
"2020-04-09","   3","  152","  182"
"2020-04-10","   3","  158","  183"
"2020-04-11","   3","  161","  183"
"2020-04-12","   3","  161","  183"
"2020-04-13","   3","  164","  184"
"2020-04-14","   3","  168","  185"
"2020-04-15","   3","  171","  185"
"2020-04-16","   3","  172","  186"
"2020-04-17","   3","  173","  189"
"2020-04-18","   3","  173","  189"
"2020-04-19","   3","  174","  189"
"2020-04-20","   3","  174","  189"
"2020-04-21","   3","  176","  189"
"2020-04-22","   3","  176","  189"
"2020-04-23","   3","  179","  189"
"2020-04-24","   3","  179","  190"
"2020-04-25","   3","  181","  190"
"2020-04-26","   3","  182","  190"
"2020-04-27","   3","  182","  190"
"2020-04-28","   3","  182","  190"
"2020-04-29","   3","  183","  190"
"2020-04-30","   3","  183","  190"
"2020-05-01","   3","  184","  190"
"2020-05-02","   3","  185","  190"
"2020-05-03","   3","  186","  190"
"2020-05-04","   3","  186","  190"
"2020-05-05","   3","  186","  190"
"2020-05-06","   3","  186","  190"
"2020-05-07","   3","  186","  190"
"2020-05-08","   3","  186","  191"
"2020-05-09","   3","  186","  191"
"2020-05-10","   3","  186","  191"
"2020-05-11","   3","  186","  191"
"2020-05-12","   3","  186","  191"
"2020-05-13","   3","  186","  191"
"2020-05-14","   3","  187","  191"
"2020-05-15","   3","  187","  191"
"2020-05-16","   3","  187","  191"
"2020-05-17","   3","  187","  192"
"2020-05-18","   3","  187","  192"
"2020-05-19","   3","  187","  192"
"2020-05-20","   3","  187","  192"
"2020-05-21","   3","  187","  192"
"2020-05-22","   3","  187","  192"
"2020-05-23","   3","  187","  192"
"2020-05-24","   3","  187","  192"
"2020-05-25","   3","  188","  192"
"2020-05-26","   3","  188","  192"
"2020-05-27","   3","  188","  192"
"2020-05-28","   3","  188","  192"
