"","death_province","recovered_province","confirmed_province"
"2020-01-22"," 0"," 0","  1"
"2020-01-23"," 0"," 0","  1"
"2020-01-24"," 0"," 0","  5"
"2020-01-25"," 0"," 0"," 11"
"2020-01-26"," 0"," 0","  16"
"2020-01-27"," 0"," 0","  26"
"2020-01-28","  0"," 0","  44"
"2020-01-29","  0"," 0","  55"
"2020-01-30","  0"," 0","  70"
"2020-01-31","  0","  1","  83"
"2020-02-01","  0","  2","  93"
"2020-02-02","  0","  3"," 105"
"2020-02-03","  0","  5","  114"
"2020-02-04","  0","  5","  119"
"2020-02-05","  0","  5","  124"
"2020-02-06","  0","  7","  133"
"2020-02-07","  0"," 13","  136"
"2020-02-08","  0","  17","  138"
"2020-02-09","  0","  18","  141"
"2020-02-10","  0","  19","  149"
"2020-02-11","  0","  20","  153"
"2020-02-12","   0","  26","  154"
"2020-02-13","   0","  27","  156"
"2020-02-14","   0","  36","  162"
"2020-02-15","   0","  42","  168"
"2020-02-16","   0","  42","  171"
"2020-02-17","   0","  47","  171"
"2020-02-18","   0","  57","  172"
"2020-02-19","   1","  60","  173"
"2020-02-20","   1","   79","  173"
"2020-02-21","   2","   96","  174"
"2020-02-22","   2","  107","  174"
"2020-02-23","   2","  115","  174"
"2020-02-24","   2","  128","  174"
"2020-02-25","   2","  129","  174"
"2020-02-26","   2","  144","  174"
"2020-02-27","   2","  150","  174"
"2020-02-28","   2","  156","  174"
"2020-02-29","   2","  157","  174"
"2020-03-01","   2","  163","  174"
"2020-03-02","   2","  168","  174"
"2020-03-03","   2","  169","  174"
"2020-03-04","   2","  169","  174"
"2020-03-05","   2","  169","  174"
"2020-03-06","   2","  170","  174"
"2020-03-07","   2","  170","  174"
"2020-03-08","   2","  170","  174"
"2020-03-09","   2","  170","  174"
"2020-03-10","   2","  170","  174"
"2020-03-11","   2","  170","  174"
"2020-03-12","   2","  170","  174"
"2020-03-13","   2","  170","  174"
"2020-03-14","   2","  170","  174"
"2020-03-15","   2","  172","  174"
"2020-03-16","   2","  172","  175"
"2020-03-17","   2","  172","  176"
"2020-03-18","   2","  172","  176"
"2020-03-19","   2","  172","  176"
"2020-03-20","   2","  172","  176"
"2020-03-21","   2","  172","  176"
"2020-03-22","   2","  172","  176"
"2020-03-23","   2","  172","  176"
"2020-03-24","   2","  172","  176"
"2020-03-25","   2","  172","  176"
"2020-03-26","   2","  172","  178"
