"","death_province","recovered_province","confirmed_province"
"2020-01-22"," 0"," 0"," 10"
"2020-01-23"," 0"," 0"," 27"
"2020-01-24"," 0"," 1"," 43"
"2020-01-25"," 0"," 1"," 62"
"2020-01-26"," 0"," 1"," 104"
"2020-01-27"," 0"," 1"," 128"
"2020-01-28","  0"," 3"," 173"
"2020-01-29","  0"," 3"," 296"
"2020-01-30","  0"," 4"," 428"
"2020-01-31","  0"," 14"," 538"
"2020-02-01","  0"," 21"," 599"
"2020-02-02","  0"," 32"," 661"
"2020-02-03","  0"," 43","  724"
"2020-02-04","  0"," 62","  829"
"2020-02-05","  0"," 78","  895"
"2020-02-06","  0"," 94","  954"
"2020-02-07","  0","123"," 1006"
"2020-02-08","  0"," 175"," 1048"
"2020-02-09","  0"," 201"," 1075"
"2020-02-10","  0"," 242"," 1092"
"2020-02-11","  0"," 270"," 1117"
"2020-02-12","   0"," 321"," 1131"
"2020-02-13","   0"," 360"," 1145"
"2020-02-14","   0"," 403"," 1155"
"2020-02-15","   0"," 428"," 1162"
"2020-02-16","   0"," 456"," 1167"
"2020-02-17","   0"," 507"," 1171"
"2020-02-18","   0"," 535"," 1172"
"2020-02-19","   0"," 604"," 1174"
"2020-02-20","   1","  633"," 1175"
"2020-02-21","   1","  679"," 1203"
"2020-02-22","   1","  719"," 1205"
"2020-02-23","   1","  760"," 1205"
"2020-02-24","   1","  782"," 1205"
"2020-02-25","   1","  808"," 1205"
"2020-02-26","   1","  867"," 1205"
"2020-02-27","   1","  932"," 1205"
"2020-02-28","   1","  975"," 1205"
"2020-02-29","   1"," 1016"," 1205"
"2020-03-01","   1"," 1046"," 1205"
"2020-03-02","   1"," 1069"," 1206"
"2020-03-03","   1"," 1093"," 1213"
"2020-03-04","   1"," 1114"," 1213"
"2020-03-05","   1"," 1124"," 1215"
"2020-03-06","   1"," 1147"," 1215"
"2020-03-07","   1"," 1154"," 1215"
"2020-03-08","   1"," 1161"," 1215"
"2020-03-09","   1"," 1176"," 1215"
"2020-03-10","   1"," 1191"," 1215"
"2020-03-11","   1"," 1195"," 1215"
"2020-03-12","   1"," 1197"," 1215"
"2020-03-13","   1"," 1197"," 1215"
"2020-03-14","   1"," 1211"," 1227"
"2020-03-15","   1"," 1211"," 1231"
"2020-03-16","   1"," 1216"," 1231"
"2020-03-17","   1"," 1216"," 1232"
"2020-03-18","   1"," 1216"," 1232"
"2020-03-19","   1"," 1217"," 1234"
"2020-03-20","   1"," 1219"," 1234"
"2020-03-21","   1"," 1219"," 1236"
"2020-03-22","   1"," 1219"," 1237"
"2020-03-23","   1"," 1221"," 1238"
"2020-03-24","   1"," 1221"," 1240"
"2020-03-25","   1"," 1221"," 1241"
"2020-03-26","   1"," 1222"," 1243"
"2020-03-27","   1"," 1222"," 1247"
"2020-03-28","   1"," 1225"," 1251"
"2020-03-29","   1"," 1225"," 1254"
"2020-03-30","   1"," 1225"," 1255"
"2020-03-31","   1"," 1226"," 1257"
"2020-04-01","   1"," 1226"," 1257"
"2020-04-02","   1"," 1228"," 1258"
"2020-04-03","   1"," 1228"," 1260"
"2020-04-04","   1"," 1229"," 1262"
"2020-04-05","   1"," 1230"," 1263"
"2020-04-06","   1"," 1230"," 1264"
"2020-04-07","   1"," 1230"," 1265"
"2020-04-08","   1"," 1232"," 1266"
"2020-04-09","   1"," 1235"," 1267"
"2020-04-10","   1"," 1235"," 1267"
"2020-04-11","   1"," 1236"," 1267"
"2020-04-12","   1"," 1238"," 1267"
"2020-04-13","   1"," 1239"," 1267"
"2020-04-14","   1"," 1242"," 1267"
"2020-04-15","   1"," 1244"," 1268"
"2020-04-16","   1"," 1244"," 1268"
"2020-04-17","   1"," 1246"," 1268"
"2020-04-18","   1"," 1246"," 1268"
"2020-04-19","   1"," 1247"," 1268"
"2020-04-20","   1"," 1249"," 1268"
"2020-04-21","   1"," 1251"," 1268"
"2020-04-22","   1"," 1252"," 1268"
"2020-04-23","   1"," 1254"," 1268"
"2020-04-24","   1"," 1256"," 1268"
"2020-04-25","   1"," 1256"," 1268"
"2020-04-26","   1"," 1257"," 1268"
"2020-04-27","   1"," 1258"," 1268"
"2020-04-28","   1"," 1261"," 1268"
"2020-04-29","   1"," 1262"," 1268"
"2020-04-30","   1"," 1263"," 1268"
"2020-05-01","   1"," 1264"," 1268"
"2020-05-02","   1"," 1265"," 1268"
"2020-05-03","   1"," 1265"," 1268"
"2020-05-04","   1"," 1265"," 1268"
"2020-05-05","   1"," 1267"," 1268"
"2020-05-06","   1"," 1267"," 1268"
"2020-05-07","   1"," 1267"," 1268"
"2020-05-08","   1"," 1267"," 1268"
"2020-05-09","   1"," 1267"," 1268"
"2020-05-10","   1"," 1267"," 1268"
"2020-05-11","   1"," 1267"," 1268"
"2020-05-12","   1"," 1267"," 1268"
"2020-05-13","   1"," 1267"," 1268"
"2020-05-14","   1"," 1267"," 1268"
"2020-05-15","   1"," 1267"," 1268"
"2020-05-16","   1"," 1267"," 1268"
"2020-05-17","   1"," 1267"," 1268"
"2020-05-18","   1"," 1267"," 1268"
"2020-05-19","   1"," 1267"," 1268"
"2020-05-20","   1"," 1267"," 1268"
"2020-05-21","   1"," 1267"," 1268"
"2020-05-22","   1"," 1267"," 1268"
"2020-05-23","   1"," 1267"," 1268"
"2020-05-24","   1"," 1267"," 1268"
"2020-05-25","   1"," 1267"," 1268"
"2020-05-26","   1"," 1267"," 1268"
"2020-05-27","   1"," 1267"," 1268"
"2020-05-28","   1"," 1267"," 1268"
"2020-05-29","   1"," 1267"," 1268"
"2020-05-30","   1"," 1267"," 1268"
"2020-05-31","   1"," 1267"," 1268"
"2020-06-01","   1"," 1267"," 1268"
"2020-06-02","   1"," 1267"," 1268"
"2020-06-03","   1"," 1267"," 1268"
"2020-06-04","   1"," 1267"," 1268"
"2020-06-05","   1"," 1267"," 1268"
"2020-06-06","   1"," 1267"," 1268"
"2020-06-07","   1"," 1267"," 1268"
"2020-06-08","   1"," 1267"," 1268"
"2020-06-09","   1"," 1267"," 1268"
"2020-06-10","   1"," 1267"," 1268"
"2020-06-11","   1"," 1267"," 1268"
"2020-06-12","   1"," 1267"," 1268"
"2020-06-13","   1"," 1267"," 1268"
"2020-06-14","   1"," 1267"," 1268"
"2020-06-15","   1"," 1267"," 1268"
"2020-06-16","   1"," 1267"," 1268"
"2020-06-17","   1"," 1267"," 1269"
"2020-06-18","   1"," 1267"," 1269"
"2020-06-19","   1"," 1267"," 1269"
"2020-06-20","   1"," 1267"," 1269"
"2020-06-21","   1"," 1267"," 1269"
"2020-06-22","   1"," 1267"," 1269"
"2020-06-23","   1"," 1267"," 1269"
"2020-06-24","   1"," 1267"," 1269"
"2020-06-25","   1"," 1267"," 1269"
"2020-06-26","   1"," 1267"," 1269"
"2020-06-27","   1"," 1267"," 1269"
"2020-06-28","   1"," 1267"," 1269"
"2020-06-29","   1"," 1267"," 1269"
"2020-06-30","   1"," 1267"," 1269"
"2020-07-01","   1"," 1267"," 1269"
"2020-07-02","   1"," 1267"," 1269"
"2020-07-03","   1"," 1267"," 1269"
"2020-07-04","   1"," 1267"," 1269"
"2020-07-05","   1"," 1267"," 1269"
"2020-07-06","   1"," 1267"," 1269"
"2020-07-07","   1"," 1267"," 1269"
"2020-07-08","   1"," 1267"," 1269"
"2020-07-09","   1"," 1267"," 1269"
"2020-07-10","   1"," 1267"," 1269"
"2020-07-11","   1"," 1267"," 1269"
"2020-07-12","   1"," 1267"," 1270"
"2020-07-13","   1"," 1267"," 1270"
"2020-07-14","   1"," 1267"," 1270"
"2020-07-15","   1"," 1267"," 1270"
"2020-07-16","   1"," 1267"," 1270"
"2020-07-17","   1"," 1267"," 1270"
"2020-07-18","   1"," 1267"," 1270"
"2020-07-19","   1"," 1267"," 1270"
"2020-07-20","   1"," 1267"," 1270"
"2020-07-21","   1"," 1267"," 1270"
"2020-07-22","   1"," 1267"," 1270"
"2020-07-23","   1"," 1267"," 1270"
"2020-07-24","   1"," 1267"," 1270"
"2020-07-25","   1"," 1267"," 1270"
"2020-07-26","   1"," 1268"," 1270"
"2020-07-27","   1"," 1268"," 1270"
"2020-07-28","   1"," 1268"," 1270"
"2020-07-29","   1"," 1268"," 1270"
"2020-07-30","   1"," 1268"," 1270"
"2020-07-31","   1"," 1268"," 1270"
"2020-08-01","   1"," 1268"," 1270"
"2020-08-02","   1"," 1268"," 1270"
"2020-08-03","   1"," 1268"," 1270"
"2020-08-04","   1"," 1268"," 1270"
"2020-08-05","   1"," 1268"," 1270"
"2020-08-06","   1"," 1268"," 1270"
"2020-08-07","   1"," 1268"," 1270"
"2020-08-08","   1"," 1268"," 1271"
"2020-08-09","   1"," 1268"," 1272"
"2020-08-10","   1"," 1268"," 1273"
"2020-08-11","   1"," 1268"," 1274"
"2020-08-12","   1"," 1268"," 1275"
"2020-08-13","   1"," 1268"," 1275"
"2020-08-14","   1"," 1268"," 1275"
"2020-08-15","   1"," 1268"," 1275"
"2020-08-16","   1"," 1268"," 1275"
"2020-08-17","   1"," 1268"," 1275"
"2020-08-18","   1"," 1268"," 1275"
"2020-08-19","   1"," 1268"," 1277"
"2020-08-20","   1"," 1268"," 1277"
"2020-08-21","   1"," 1268"," 1277"
"2020-08-22","   1"," 1268"," 1277"
"2020-08-23","   1"," 1268"," 1277"
"2020-08-24","   1"," 1268"," 1277"
"2020-08-25","   1"," 1268"," 1277"
"2020-08-26","   1"," 1268"," 1277"
"2020-08-27","   1"," 1268"," 1277"
"2020-08-28","   1"," 1268"," 1277"
"2020-08-29","   1"," 1268"," 1277"
"2020-08-30","   1"," 1268"," 1277"
"2020-08-31","   1"," 1268"," 1278"
"2020-09-01","   1"," 1268"," 1278"
"2020-09-02","   1"," 1268"," 1278"
"2020-09-03","   1"," 1268"," 1278"
"2020-09-04","   1"," 1268"," 1278"
"2020-09-05","   1"," 1268"," 1278"
"2020-09-06","   1"," 1268"," 1278"
"2020-09-07","   1"," 1268"," 1278"
"2020-09-08","   1"," 1268"," 1278"
"2020-09-09","   1"," 1268"," 1278"
"2020-09-10","   1"," 1268"," 1278"
"2020-09-11","   1"," 1268"," 1278"
"2020-09-12","   1"," 1268"," 1278"
"2020-09-13","   1"," 1268"," 1280"
"2020-09-14","   1"," 1268"," 1280"
"2020-09-15","   1"," 1268"," 1281"
"2020-09-16","   1"," 1272"," 1282"
"2020-09-17","   1"," 1272"," 1282"
"2020-09-18","   1"," 1272"," 1282"
"2020-09-19","   1"," 1272"," 1282"
"2020-09-20","   1"," 1272"," 1282"
"2020-09-21","   1"," 1272"," 1282"
"2020-09-22","   1"," 1272"," 1282"
"2020-09-23","   1"," 1272"," 1282"
"2020-09-24","   1"," 1272"," 1282"
"2020-09-25","   1"," 1272"," 1282"
"2020-09-26","   1"," 1272"," 1282"
"2020-09-27","   1"," 1272"," 1282"
"2020-09-28","   1"," 1272"," 1282"
"2020-09-29","   1"," 1272"," 1282"
