States,recovered_counts
Alabama,294
Alaska,284
Arizona,315
Arkansas,329
California,5
Colorado,304
Connecticut,298
Delaware,284
Florida,5
Georgia,5
Hawaii,282
Idaho,324
Illinois,5
Indiana,273
Iowa,329
Kansas,300
Kentucky,329
Louisiana,317
Maine,329
Maryland,329
Massachusetts,251
Michigan,329
Minnesota,328
Mississippi,312
Missouri,6
Montana,329
Nebraska,282
Nevada,204
New Hampshire,329
New Jersey,301
New Mexico,329
New York,317
North Carolina,293
North Dakota,329
Ohio,253
Oklahoma,329
Oregon,264
Pennsylvania,294
Rhode Island,317
South Carolina,323
South Dakota,329
Tennessee,329
Texas,329
Utah,328
Vermont,324
Virginia,315
Washington,5
West Virginia,329
Wisconsin,311
Wyoming,329
