Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,2022-01-22 04:32:02,32.3182,-86.9023,1120881,16824,,,1.0,22860.26327784899,,,1.500962189563388,84000001.0,USA,,,2022-01-21,,
Alabama,US,2022-01-21 04:31:23,32.3182,-86.9023,1104356,16792,,,1.0,22523.237446680065,,,1.5205241787974169,84000001.0,USA,,,2022-01-20,,
Alabama,US,2021-07-05 04:31:17,32.3182,-86.9023,551298,11358,,,1.0,11243.671205553124,,,2.060228769195608,84000001.0,USA,,,2021-07-04,,
Alabama,US,2021-07-06 04:30:55,32.3182,-86.9023,551298,11358,,,1.0,11243.671205553124,,,2.060228769195608,84000001.0,USA,,,2021-07-05,,
Alabama,US,2022-02-13 04:31:01,32.3182,-86.9023,1262018,17571,,,1.0,25738.739207270377,,,1.392293929246651,84000001.0,USA,,,2022-02-12,,
Alabama,US,2022-02-14 04:31:03,32.3182,-86.9023,1263072,17571,,,1.0,25760.235438801512,,,1.3911320969825949,84000001.0,USA,,,2022-02-13,,
Alabama,US,2022-01-01 04:32:44,32.3182,-86.9023,896614,16455,,,1.0,18286.358764762088,,,1.8352379061669792,84000001.0,USA,,,2021-12-31,,
Alabama,US,2021-12-31 04:33:06,32.3182,-86.9023,888563,16455,,,1.0,18122.159371918457,,,1.8518664405337608,84000001.0,USA,,,2021-12-30,,
Alabama,US,2021-11-03 06:26:25,32.3182,-86.9023,833009,15629,,,1.0,16989.140731993593,,,1.8762102210180205,84000001.0,USA,,,2021-11-02,,
Alabama,US,2021-11-04 04:32:32,32.3182,-86.9023,833493,15676,,,1.0,16999.011866776393,,,1.88075964645174,84000001.0,USA,,,2021-11-03,,
Alabama,US,2021-08-22 04:31:19,32.3182,-86.9023,659750,12000,,,1.0,13455.539613536916,,,1.8188707843880256,84000001.0,USA,,,2021-08-21,,
Alabama,US,2021-08-21 04:31:06,32.3182,-86.9023,653540,11942,,,1.0,13328.88724369976,,,1.827279125990758,84000001.0,USA,,,2021-08-20,,
Alabama,US,2022-11-10 04:33:11,32.3182,-86.9023,1534287,20558,,,1.0,31291.64002581995,,,1.3399057673042918,84000001.0,USA,,
Alabama,US,2022-11-09 04:32:08,32.3182,-86.9023,1534287,20558,,,1.0,31291.64002581995,,,1.3399057673042918,84000001.0,USA,,
Alabama,US,2021-03-26 05:30:37,32.3182,-86.9023,513138,10504,,,1.0,10465.401570611755,,,2.0470126944408715,84000001.0,USA,,,2021-03-25,,
