Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Arkansas,US,2022-01-22 04:32:02,34.9697,-92.3731,726716,9484,,,5.0,24080.95423029461,4709066.0,,1.3050490150209986,84000005.0,USA,156042.80463542364,,2022-01-21,,
Arkansas,US,2022-01-21 04:31:23,34.9697,-92.3731,713643,9470,,,5.0,23647.7584362669,4693120.0,,1.3269940292274989,84000005.0,USA,155514.4071649451,,2022-01-20,,
Arkansas,US,2021-07-05 04:31:17,34.9697,-92.3731,350579,5913,,,5.0,11617.023504508576,3135625.0,,1.6866383896354318,84000005.0,USA,103904.19656147316,,2021-07-04,,
Arkansas,US,2021-07-06 04:30:55,34.9697,-92.3731,351825,5920,,,5.0,11658.311805538067,3135625.0,,1.6826547289135223,84000005.0,USA,103904.19656147316,,2021-07-05,,
Arkansas,US,2022-02-13 04:31:01,34.9697,-92.3731,806076,10025,,,5.0,26710.68101175557,4890193.0,,1.243679256050298,84000005.0,USA,162044.75174663428,,2022-02-12,,
Arkansas,US,2022-02-14 04:31:03,34.9697,-92.3731,806877,10065,,,5.0,26737.22349098881,4898463.0,,1.2474020203822886,84000005.0,USA,162318.79207529713,,2022-02-13,,
Arkansas,US,2022-01-01 04:32:44,34.9697,-92.3731,566486,9148,,,5.0,18771.464283300043,4416009.0,,1.61486779902769,84000005.0,USA,146331.86913397955,,2021-12-31,,
Arkansas,US,2021-12-31 04:33:06,34.9697,-92.3731,562529,9131,,,5.0,18640.34244768713,4403164.0,,1.6232052036428344,84000005.0,USA,145906.22850258002,,2021-12-30,,
Arkansas,US,2021-11-03 06:26:25,34.9697,-92.3731,513993,8412,,,5.0,17032.020634872246,4091588.0,,1.6365981637882228,84000005.0,USA,135581.6348576647,,2021-11-02,,
Arkansas,US,2021-11-04 04:32:32,34.9697,-92.3731,514539,8434,,,5.0,17050.113261166065,4096481.0,,1.6391371693885206,84000005.0,USA,135743.77262406706,,2021-11-03,,
Arkansas,US,2021-08-22 04:31:19,34.9697,-92.3731,434027,6645,,,5.0,14382.213026425838,3519200.0,,1.5310107435712526,84000005.0,USA,116614.5978996648,,2021-08-21,,
Arkansas,US,2021-08-21 04:31:06,34.9697,-92.3731,431507,6614,,,5.0,14298.70859737743,3506467.0,,1.532767718716035,84000005.0,USA,116192.66857622298,,2021-08-20,,
Arkansas,US,2022-11-10 04:33:11,34.9697,-92.3731,962764,12523,,,5.0,31902.80084458765,,,1.3007341362992384,84000005.0,USA,,
Arkansas,US,2022-11-09 04:32:08,34.9697,-92.3731,962329,12522,,,5.0,31888.386389573345,,,1.3012181904525375,84000005.0,USA,,
Arkansas,US,2021-03-26 05:30:37,34.9697,-92.3731,329511,5571,,,5.0,10918.899968321335,2827904.0,,1.6906871090798183,84000005.0,USA,93707.344810995,,2021-03-25,,
Arkansas,US,2021-03-25 05:30:43,34.9697,-92.3731,329177,5560,,,5.0,10907.832317804605,2819737.0,,1.689060900366672,84000005.0,USA,93436.71756018617,,2021-03-24,,
Arkansas,US,2020-06-08 03:33:42,34.9697,-92.3731,9426,154,6424,2848.0,5,312.3463286548762,,844,,84000005.0,USA,5310.914824156904,8.953957139826013,2020-06-07,160273,1.6337789093995332
Arkansas,US,2020-06-07 03:53:50,34.9697,-92.3731,9101,154,6266,2681.0,5,301.5769082418872,,838,,84000005.0,USA,5194.406263627459,9.207779364904956,2020-06-06,156757,1.6921217448632018
Arkansas,US,2022-05-02 04:32:00,34.9697,-92.3731,835916,11392,,,5.0,27699.479489058933,5120936.0,,1.3628163595385183,84000005.0,USA,169690.8082831092,,2022-05-01,,
Arkansas,US,2021-02-20 05:30:30,34.9697,-92.3731,314713,5336,302872.0,6505.0,5.0,10428.543404409298,2597383.0,,1.695513054751472,84000005.0,USA,86068.64461707918,,2021-02-19,,
Arkansas,US,2020-10-02 04:30:36,34.9697,-92.3731,84821,1384,76186.0,7251.0,5.0,2810.686181077366,,,,84000005.0,USA,34548.83087171997,,2020-10-01,1042616.0,1.6316714021291896
Arkansas,US,2021-02-19 05:31:04,34.9697,-92.3731,314445,5323,301772.0,7350.0,5.0,10419.662774653358,2595004.0,,1.692823864268791,84000005.0,USA,85989.81245965611,,2021-02-18,,
Arkansas,US,2020-09-23 04:30:25,34.9697,-92.3731,76981,1209,69184.0,6588.0,5.0,2550.8946240378764,,,,84000005.0,USA,29756.637608009,,2020-09-22,897997.0,1.5705174003975009
Arkansas,US,2020-09-24 04:30:25,34.9697,-92.3731,77963,1229,69952.0,6782.0,5.0,2583.4348420242004,,,,84000005.0,USA,30053.210877843623,,2020-09-23,906947.0,1.576388799815297
Arkansas,US,2022-09-17 04:32:41,34.9697,-92.3731,945449,11983,,,5.0,31329.03926166179,5495345.0,,1.2674401263315105,84000005.0,USA,182097.4788289763,,2022-09-16,,
Arkansas,US,2022-09-18 04:33:05,34.9697,-92.3731,946114,11993,,,5.0,31351.07515266068,5498197.0,,1.2676062292704684,84000005.0,USA,182191.98463518504,,2022-09-17,,
Arkansas,US,2021-04-10 04:30:47,34.9697,-92.3731,331882,5661,,,5.0,10997.467032318866,2891136.0,,1.70572673420071,84000005.0,USA,95802.64324654615,,2021-04-09,,
Arkansas,US,2021-04-09 04:30:59,34.9697,-92.3731,331704,5662,,,5.0,10991.568703600366,2885764.0,,1.7069435400236357,84000005.0,USA,95624.633011289,,2021-04-08,,
Arkansas,US,2021-09-24 04:31:40,34.9697,-92.3731,489856,7548,,,5.0,16232.200633308194,3852419.0,,1.5408609877188395,84000005.0,USA,127656.3686707288,,2021-09-23,,
Arkansas,US,2021-09-23 04:31:15,34.9697,-92.3731,488316,7528,,,5.0,16181.170148889723,3842223.0,,1.5416246856543714,84000005.0,USA,127318.50709986468,,2021-09-22,,
Arkansas,US,2021-10-02 04:31:30,34.9697,-92.3731,496934,7718,,,5.0,16466.742041563997,3910410.0,,1.5531237548648311,84000005.0,USA,129577.99777586616,,2021-10-01,,
Arkansas,US,2021-06-07 04:31:14,34.9697,-92.3731,342433,5846,,,5.0,11347.09212394178,3066353.0,,1.7071952761562117,84000005.0,USA,101608.7525896314,,2021-06-06,,
Arkansas,US,2021-06-08 04:31:10,34.9697,-92.3731,342495,5849,,,5.0,11349.146597989797,3068120.0,,1.7077621571117827,84000005.0,USA,101667.30509999988,,2021-06-07,,
Arkansas,US,2022-03-11 04:31:19,34.9697,-92.3731,824988,10836,,,5.0,27337.36186975695,4993488.0,,1.3134736505258258,84000005.0,USA,165467.60492066413,,2022-03-10,,
Arkansas,US,2022-03-12 04:31:16,34.9697,-92.3731,825653,10864,,,5.0,27359.39776075584,4997751.0,,1.3158070036686114,84000005.0,USA,165608.8665798044,,2022-03-11,,
Arkansas,US,2020-08-21 04:30:30,34.9697,-92.3731,54765,641,48458.0,5666.0,5.0,1814.730181284139,,3790.0,,84000005.0,USA,21489.43403879112,6.920478407742172,2020-08-20,648509.0,1.1704555829453118
Arkansas,US,2020-08-22 04:30:29,34.9697,-92.3731,55652,663,49135.0,5854.0,5.0,1844.1224148420504,,3856.0,,84000005.0,USA,21823.51802834114,6.928771652411414,2020-08-21,658591.0,1.1913318479120247
Arkansas,US,2022-12-05 04:33:33,34.9697,-92.3731,971020,12585,,,5.0,32176.37725975577,,,1.296059813392103,84000005.0,USA,,
Arkansas,US,2020-11-04 05:30:25,34.9697,-92.3731,114519,2003,102666.0,9850.0,5.0,3794.779250077208,,,,84000005.0,USA,45360.30172933696,,2020-11-03,1368885.0,1.7490547420078764
Arkansas,US,2022-12-06 04:32:02,34.9697,-92.3731,971190,12585,,,5.0,32182.01049504872,,,1.295832947209094,84000005.0,USA,,
Arkansas,US,2020-11-03 06:00:57,34.9697,-92.3731,113641,1985,101507.0,10149.0,5.0,3765.685246623041,,,,84000005.0,USA,45179.508013111525,,2020-11-02,1363429.0,1.7467287334676744
Arkansas,US,2022-08-15 04:32:40,34.9697,-92.3731,917061,11822,,,5.0,30388.355241095844,5407953.0,,1.2891181720736131,84000005.0,USA,179201.59824826266,,2022-08-14,,
Arkansas,US,2022-08-16 04:32:37,34.9697,-92.3731,917523,11822,,,5.0,30403.664386421384,5410083.0,,1.2884690629008757,84000005.0,USA,179272.17937281547,,2022-08-15,,
Arkansas,US,2020-12-31 05:30:27,34.9697,-92.3731,222430,3637,196914.0,21879.0,5.0,7370.591330649704,2039060.0,,1.6351211617137975,84000005.0,USA,67567.67503787522,,2020-12-30,,
Arkansas,US,2021-01-01 05:30:27,34.9697,-92.3731,225138,3676,199247.0,22215.0,5.0,7460.325455198548,2051488.0,,1.6327763416215832,84000005.0,USA,67979.49767446793,,2020-12-31,,
Arkansas,US,2022-08-01 04:32:09,34.9697,-92.3731,903931,11719,,,5.0,29953.270656411085,5367797.0,,1.2964485121098843,84000005.0,USA,177870.9617987119,,2022-07-31,,
Arkansas,US,2022-09-29 04:31:43,34.9697,-92.3731,950940,12131,,,5.0,31510.992761624017,,,1.2756851115738113,84000005.0,USA,,
Arkansas,US,2022-09-30 04:32:37,34.9697,-92.3731,951283,12148,,,5.0,31522.358642244493,,,1.2770122035188267,84000005.0,USA,,
Arkansas,US,2022-07-31 04:32:23,34.9697,-92.3731,903555,11719,,,5.0,29940.81126541021,5363633.0,,1.2969880084776244,84000005.0,USA,177732.9806707129,,2022-07-30,,
Arkansas,US,2023-02-14 04:32:27,34.9697,-92.3731,999652,12925,,,5.0,33125.146629801005,,,1.2929499465814105,84000005.0,USA,,
Arkansas,US,2021-01-15 05:30:28,34.9697,-92.3731,264511,4228,235513.0,24770.0,5.0,8765.015885723526,2233844.0,,1.5984212376800966,84000005.0,USA,74022.16976317878,,2021-01-14,,
Arkansas,US,2023-02-13 04:32:45,34.9697,-92.3731,999652,12925,,,5.0,33125.146629801005,,,1.2929499465814105,84000005.0,USA,,
Arkansas,US,2021-01-16 05:30:49,34.9697,-92.3731,267635,4263,237729.0,25643.0,5.0,8868.534868400997,2248612.0,,1.5928409961327927,84000005.0,USA,74511.53222674501,,2021-01-15,,
Arkansas,US,2020-07-06 04:34:10,34.9697,-92.3731,23814,287,16726,6801.0,5,789.1168545074498,,1536,,84000005.0,USA,11229.788283135684,6.449987402368355,2020-07-05,338893,1.2051734273956496
Arkansas,US,2022-04-03 04:31:44,34.9697,-92.3731,833090,11251,,,5.0,27605.835236483217,5070214.0,,1.3505143501902557,84000005.0,USA,168010.04969176266,,2022-04-02,,
Arkansas,US,2020-07-05 04:34:00,34.9697,-92.3731,23209,286,16726,6197.0,5,769.0691642001932,,1536,,84000005.0,USA,11229.788283135684,6.618122280149942,2020-07-04,338893,1.2322805808091688
Arkansas,US,2022-04-04 04:31:28,34.9697,-92.3731,833128,11265,,,5.0,27607.09443025459,5072840.0,,1.3521331656120068,84000005.0,USA,168097.06660869956,,2022-04-03,,
Arkansas,US,2021-02-28 05:30:29,34.9697,-92.3731,319195,5417,309268.0,4510.0,5.0,10577.061996073966,2641892.0,,1.697081721204906,84000005.0,USA,87543.52502680758,,2021-02-27,,
Arkansas,US,2023-01-21 04:31:50,34.9697,-92.3731,993713,12781,,,5.0,32928.34789800795,,,1.2861862529724375,84000005.0,USA,,
Arkansas,US,2021-02-27 05:30:48,34.9697,-92.3731,318638,5407,308725.0,4506.0,5.0,10558.604866320013,2634339.0,,1.6969099730728916,84000005.0,USA,87293.24369640971,,2021-02-26,,
Arkansas,US,2023-01-22 04:31:47,34.9697,-92.3731,994080,12788,,,5.0,32940.50905890508,,,1.2864155802349913,84000005.0,USA,,
