Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
California,US,2022-01-22 07:31:28,36.1162,-119.6816,7643131,78398,,,6.0,19339.59271286761,130501798.0,,1.027049259811846,84000006.0,USA,330282.0952392377,,2022-01-21,,
California,US,2022-01-21 07:31:49,36.1162,-119.6816,7564994,78225,,,6.0,19142.043716446933,129980066.0,,1.035334814932927,84000006.0,USA,328961.66333136964,,2022-01-20,,
California,US,2021-07-05 04:31:17,36.1162,-119.6816,3886804,63187,,,6.0,9841.772253613774,69847970.0,,1.6254776978339565,84000006.0,USA,176775.60181820192,,2021-07-04,,
California,US,2021-07-06 04:30:55,36.1162,-119.6816,3890725,63252,,,6.0,9851.70588858035,69847970.0,,1.6257911107868517,84000006.0,USA,176775.60181820192,,2021-07-05,,
California,US,2022-02-13 07:31:28,36.1162,-119.6816,8801199,82454,,,6.0,22270.56422515129,142013279.0,,0.9375658766113668,84000006.0,USA,359416.06980705686,,2022-02-12,,
California,US,2022-02-14 04:31:03,36.1162,-119.6816,8830551,82515,,,6.0,22344.75392589276,142013279.0,,0.935087223121226,84000006.0,USA,359416.06980705686,,2022-02-13,,
California,US,2022-01-01 04:32:44,36.1162,-119.6816,5517985,76440,,,6.0,13968.960946591134,119937941.0,,1.3863707722893253,84000006.0,USA,303546.4266336015,,2021-12-31,,
California,US,2021-12-31 04:33:06,36.1162,-119.6816,5481885,76357,,,6.0,13877.733480092982,119700490.0,,1.3939706397544152,84000006.0,USA,302945.4708230413,,2021-12-30,,
California,US,2021-11-03 06:26:25,36.1162,-119.6816,4934977,72148,,,6.0,12494.07556745162,102990289.0,,1.4622762188487948,84000006.0,USA,260654.25121740176,,2021-11-02,,
California,US,2021-11-04 04:32:32,36.1162,-119.6816,4940469,72241,,,6.0,12507.977594680004,103282146.0,,1.4625327284720508,84000006.0,USA,261392.901128342,,2021-11-03,,
California,US,2021-08-22 04:31:19,36.1162,-119.6816,4323639,64723,,,6.0,10947.2301773555,78486455.0,,1.4965458280603323,84000006.0,USA,198638.4188001773,,2021-08-21,,
California,US,2021-08-21 04:31:06,36.1162,-119.6816,4309624,64647,,,6.0,10911.760140653185,78147191.0,,1.4994158617031417,84000006.0,USA,197779.7882948777,,2021-08-20,,
California,US,2022-11-10 04:33:11,36.1162,-119.6816,11415529,96939,,,6.0,28840.08070110356,,,0.8515222471748801,84000006.0,USA,,
California,US,2022-11-09 04:32:08,36.1162,-119.6816,11412432,96917,,,6.0,28833.32582932628,,,0.8515374071509726,84000006.0,USA,,
California,US,2021-03-26 05:30:37,36.1162,-119.6816,3711171,57526,,,6.0,9396.932690929589,52630376.0,,1.5425793650686774,84000006.0,USA,133200.24034081807,,2021-03-25,,
California,US,2021-03-25 08:31:00,36.1162,-119.6816,3708302,57267,,,6.0,9389.674177532355,52525010.0,,1.5368447325373191,84000006.0,USA,132933.57349192933,,2021-03-24,,
California,US,2020-06-08 03:33:42,36.1162,-119.6816,132445,4570,,,6,335.184886965231,,,,84000006.0,USA,5978.448744835237,,2020-06-07,2362218,3.444604685930881
California,US,2020-06-07 03:53:50,36.1162,-119.6816,129910,4545,,,6,328.7691507511486,,,,84000006.0,USA,5841.989705312201,,2020-06-06,2308300,3.4918093361251388
California,US,2022-05-02 04:32:00,36.1162,-119.6816,9233795,90147,,,6.0,23377.158506115946,161137197.0,,0.9779215499681438,84000006.0,USA,407816.0750408804,,2022-05-01,,
California,US,2021-02-20 08:30:31,36.1162,-119.6816,3576424,48555,,,6.0,9055.61046261558,46621654.0,,1.3525716216522137,84000006.0,USA,117992.9916876608,,2021-02-19,,
California,US,2020-10-02 04:30:36,36.1162,-119.6816,824977,15918,,,6.0,2087.903279954661,,,,84000006.0,USA,37385.52244959743,,2020-10-01,14771851.0,1.926114303792712
California,US,2021-02-19 08:30:54,36.1162,-119.6816,3568732,48085,,,6.0,9036.135476356263,46504255.0,,1.3423788741696256,84000006.0,USA,117695.87097137004,,2021-02-18,,
California,US,2020-09-23 04:30:25,36.1162,-119.6816,794466,15078,,,6.0,2010.6740134565448,,,,84000006.0,USA,34936.16393084236,,2020-09-22,13804055.0,1.8927274054643268
California,US,2020-09-24 04:30:25,36.1162,-119.6816,797833,15193,,,6.0,2019.1928963348885,,,,84000006.0,USA,35126.909969099936,,2020-09-23,13879423.0,1.8989055285099044
California,US,2022-09-17 04:32:41,36.1162,-119.6816,11203487,95451,,,6.0,28343.66975505276,184446097.0,,0.8531848752957127,84000006.0,USA,466807.6939128431,,2022-09-16,,
California,US,2022-09-18 04:33:05,36.1162,-119.6816,11203646,95451,,,6.0,28343.66975505276,184446097.0,,0.8531848752957127,84000006.0,USA,466807.6939128431,,2022-09-17,,
California,US,2021-04-10 07:30:45,36.1162,-119.6816,3754336,59385,,,6.0,9506.288724883943,55610191.0,,1.57467255000205,84000006.0,USA,140741.74211863504,,2021-04-09,,
California,US,2021-04-09 07:31:00,36.1162,-119.6816,3749183,59210,,,6.0,9493.249721738004,55483634.0,,1.5721432772219843,84000006.0,USA,140421.4437643764,,2021-04-08,,
California,US,2021-09-24 07:31:12,36.1162,-119.6816,4689649,68246,,,6.0,11873.401807840575,89905947.0,,1.4520046595451934,84000006.0,USA,227539.5818655913,,2021-09-23,,
California,US,2021-09-23 04:31:15,36.1162,-119.6816,4682101,68094,,,6.0,11854.31657439269,89637562.0,,1.451139903806739,84000006.0,USA,226860.3363571825,,2021-09-22,,
California,US,2021-10-02 04:31:30,36.1162,-119.6816,4744545,69000,,,6.0,12012.454981335775,92523189.0,,1.4504081840759753,84000006.0,USA,234163.4612661505,,2021-10-01,,
California,US,2021-06-07 07:31:21,36.1162,-119.6816,3859566,62581,,,6.0,9772.803722027991,66367363.0,,1.6202713383463008,84000006.0,USA,167966.66439142136,,2021-06-06,,
California,US,2021-06-08 07:31:11,36.1162,-119.6816,3860423,62583,,,6.0,9775.013164913553,66582653.0,,1.6199568912507365,84000006.0,USA,168511.53376007217,,2021-06-07,,
California,US,2022-03-11 04:31:19,36.1162,-119.6816,9032494,86973,,,6.0,22856.15010828421,149897380.0,,0.9642039678338092,84000006.0,USA,379369.6446793186,,2022-03-10,,
California,US,2022-03-12 04:31:16,36.1162,-119.6816,9035207,87117,,,6.0,22868.74114878325,150046091.0,,0.9652445985744936,84000006.0,USA,379746.01175944967,,2022-03-11,,
California,US,2020-08-21 04:30:30,36.1162,-119.6816,656276,11648,,,6.0,1660.9062972741372,,,,84000006.0,USA,25885.574699251923,,2020-08-20,10227966.0,1.7614942835243903
California,US,2020-08-22 04:30:29,36.1162,-119.6816,662858,11806,,,6.0,1677.5619028066328,,,,84000006.0,USA,26142.21933298969,,2020-08-21,10329372.0,1.767238648124289
California,US,2022-12-05 04:33:33,36.1162,-119.6816,11562473,97523,,,6.0,29214.91154775068,,,0.8456475921736124,84000006.0,USA,,
California,US,2020-11-04 05:30:25,36.1162,-119.6816,954691,17740,,,6.0,2416.25230754544,,,,84000006.0,USA,48276.000568229225,,2020-11-03,19074921.0,1.860031527733408
California,US,2022-12-06 04:32:02,36.1162,-119.6816,11573564,97551,,,6.0,29240.321406365823,,,0.8451550746392803,84000006.0,USA,,
California,US,2020-11-03 06:00:57,36.1162,-119.6816,948973,17671,,,6.0,2401.7985523112684,,,,84000006.0,USA,47864.93789529382,,2020-11-02,18912501.0,1.8637434615660209
California,US,2022-08-15 04:32:40,36.1162,-119.6816,10911665,94031,,,6.0,27589.715719107982,180895943.0,,0.8633733010069432,84000006.0,USA,457822.74259790446,,2022-08-14,,
California,US,2022-08-16 04:32:37,36.1162,-119.6816,10943458,94059,,,6.0,27614.97878770324,180895943.0,,0.8628400743010085,84000006.0,USA,457822.74259790446,,2022-08-15,,
California,US,2020-12-31 05:30:27,36.1162,-119.6816,2327253,25461,,,6.0,5891.675596181972,32623076.0,,1.0877465492978318,84000006.0,USA,82564.51680787487,,2020-12-30,,
California,US,2021-01-01 05:30:27,36.1162,-119.6816,2384720,25884,,,6.0,6037.314073672848,32855482.0,,1.0799936448768943,84000006.0,USA,83152.70441756719,,2020-12-31,,
California,US,2022-08-01 04:32:09,36.1162,-119.6816,10709800,93409,,,6.0,27086.716938199097,179165491.0,,0.8735383409059736,84000006.0,USA,453443.2066755647,,2022-07-31,,
California,US,2022-09-29 04:31:43,36.1162,-119.6816,11259120,95767,,,6.0,28444.59295545077,,,0.8529960296611176,84000006.0,USA,,
California,US,2022-09-30 04:32:37,36.1162,-119.6816,11266795,95921,,,6.0,28498.161189260347,,,0.8527602877980494,84000006.0,USA,,
California,US,2022-07-31 04:32:23,36.1162,-119.6816,10709214,93409,,,6.0,27086.716938199097,179165491.0,,0.8735383409059736,84000006.0,USA,453443.2066755647,,2022-07-30,,
California,US,2023-02-14 04:32:27,36.1162,-119.6816,12036521,100210,,,6.0,30451.101169377383,,,0.8336168156884857,84000006.0,USA,,
California,US,2021-01-15 09:30:46,36.1162,-119.6816,2973016,31837,,,6.0,7527.344133484972,37130366.0,,1.0636734795430467,84000006.0,USA,93971.8476482581,,2021-01-14,,
