Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Connecticut,US,2022-01-22 04:32:02,41.5978,-72.7554,671674,9769,,,9.0,18839.26876013067,12553157.0,,1.4544258077579302,84000009.0,USA,352093.8707038171,,2022-01-21,,
Connecticut,US,2022-01-21 04:31:23,41.5978,-72.7554,667230,9683,,,9.0,18714.622413286783,12524279.0,,1.451223715960014,84000009.0,USA,351283.8938351948,,2022-01-20,,
Connecticut,US,2021-07-05 04:31:17,41.5978,-72.7554,349476,8279,,,9.0,9802.184228085986,8812870.0,,2.368975265826552,84000009.0,USA,247185.429952764,,2021-07-04,,
Connecticut,US,2021-07-06 04:30:55,41.5978,-72.7554,349476,8279,,,9.0,9802.184228085986,8812870.0,,2.368975265826552,84000009.0,USA,247185.429952764,,2021-07-05,,
Connecticut,US,2022-02-13 04:31:01,41.5978,-72.7554,712884,10260,,,9.0,19995.13643642153,12982102.0,,1.4392243338327133,84000009.0,USA,364125.0199493056,,2022-02-12,,
Connecticut,US,2022-02-14 04:31:03,41.5978,-72.7554,712884,10260,,,9.0,19995.13643642153,12982102.0,,1.4392243338327133,84000009.0,USA,364125.0199493056,,2022-02-13,,
Connecticut,US,2022-01-01 04:32:44,41.5978,-72.7554,510188,9160,,,9.0,14309.871827990286,11944654.0,,1.795416591530965,84000009.0,USA,335026.4368618852,,2021-12-31,,
Connecticut,US,2021-12-31 04:33:06,41.5978,-72.7554,510188,9160,,,9.0,14309.871827990286,11914711.0,,1.795416591530965,84000009.0,USA,334186.58862526354,,2021-12-30,,
Connecticut,US,2021-11-03 06:26:25,41.5978,-72.7554,403827,8776,,,9.0,11326.63373243164,10654465.0,,2.1732078340477483,84000009.0,USA,298838.9153523966,,2021-11-02,,
Connecticut,US,2021-11-04 04:32:32,41.5978,-72.7554,404218,8776,,,9.0,11337.600591481134,10668084.0,,2.171105690493744,84000009.0,USA,299220.90423576,,2021-11-03,,
Connecticut,US,2021-08-22 04:31:19,41.5978,-72.7554,365856,8337,,,9.0,10261.61428238456,9345106.0,,2.278765415901338,84000009.0,USA,262113.70921892129,,2021-08-21,,
Connecticut,US,2021-08-21 04:31:06,41.5978,-72.7554,365856,8337,,,9.0,10261.61428238456,9335444.0,,2.278765415901338,84000009.0,USA,261842.7071929973,,2021-08-20,,
