Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Delaware,US,2022-01-22 04:32:02,39.3185,-75.5071,236022,2457,,,10.0,24238.11108235671,2969336.0,,1.0410046521087015,84000010.0,USA,3.04933844340107e-05,,2022-01-21,,
Delaware,US,2022-01-21 04:31:23,39.3185,-75.5071,233843,2450,,,10.0,24014.34023028167,2960230.0,,1.047711498740608,84000010.0,USA,3.0399871015975123e-05,,2022-01-20,,
Delaware,US,2021-07-05 04:31:17,39.3185,-75.5071,109875,1695,,,10.0,11283.53481952506,1917721.0,,1.5426621160409557,84000010.0,USA,1.9693899137778764e-05,,2021-07-04,,
Delaware,US,2021-07-06 04:30:55,39.3185,-75.5071,109891,1695,,,10.0,11285.177928122215,1918201.0,,1.5424375062561992,84000010.0,USA,1.9698828463570227e-05,,2021-07-05,,
Delaware,US,2022-02-13 04:31:01,39.3185,-75.5071,253292,2643,,,10.0,26011.64142441084,3084673.0,,1.043459722375756,84000010.0,USA,3.167782953569859e-05,,2022-02-12,,
Delaware,US,2022-02-14 04:31:03,39.3185,-75.5071,253534,2643,,,10.0,26036.49344194281,3086167.0,,1.0424637326749076,84000010.0,USA,3.1693172062224524e-05,,2022-02-13,,
Delaware,US,2022-01-01 04:32:44,39.3185,-75.5071,180366,2286,,,10.0,18522.557827153192,2783839.0,,1.2674229067562623,84000010.0,USA,2.858843621247037e-05,,2021-12-31,,
Delaware,US,2021-12-31 04:33:06,39.3185,-75.5071,176863,2286,,,10.0,18162.819738663577,2773052.0,,1.2925258533441135,84000010.0,USA,2.847765988473593e-05,,2021-12-30,,
Delaware,US,2021-11-03 06:26:25,39.3185,-75.5071,144473,2095,,,10.0,14836.551772298011,2413172.0,,1.4500979421760467,84000010.0,USA,2.4781897872585145e-05,,2021-11-02,,
Delaware,US,2021-11-04 04:32:32,39.3185,-75.5071,144755,2096,,,10.0,14865.511561322866,2420628.0,,1.4479638009049771,84000010.0,USA,2.485846673321257e-05,,2021-11-03,,
