Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Hawaii,US,2022-01-22 04:32:02,21.0943,-157.4983,195151,1137,,,15.0,13783.096212086968,3316785.0,,0.5826257615897433,84000015.0,USA,234257.4046241468,,2022-01-21,,
Hawaii,US,2022-01-21 04:31:23,21.0943,-157.4983,190678,1135,,,15.0,13467.17782398409,3310909.0,,0.5952443386232287,84000015.0,USA,233842.3953577725,,2022-01-20,,
Hawaii,US,2021-07-05 04:31:17,21.0943,-157.4983,37995,518,,,15.0,2683.50528861366,1744892.0,,1.3633372812212132,84000015.0,USA,123237.97631424306,,2021-07-04,,
Hawaii,US,2021-07-06 04:30:55,21.0943,-157.4983,38043,518,,,15.0,2686.8954255751933,1747678.0,,1.361617117472334,84000015.0,USA,123434.74551371876,,2021-07-05,,
Hawaii,US,2022-02-13 04:31:01,21.0943,-157.4983,230978,1258,,,15.0,16313.48031460471,3491225.0,,0.5446406151235182,84000015.0,USA,246577.7273651856,,2022-02-12,,
Hawaii,US,2022-02-14 04:31:03,21.0943,-157.4983,231510,1262,,,15.0,16351.054332595037,3498155.0,,0.5451168416051142,84000015.0,USA,247067.1783890069,,2022-02-13,,
Hawaii,US,2022-01-01 04:32:44,21.0943,-157.4983,112932,1090,,,15.0,7976.144736247345,3016456.0,,0.9651825877519216,84000015.0,USA,213045.8120508068,,2021-12-31,,
Hawaii,US,2021-12-31 04:33:06,21.0943,-157.4983,109642,1085,,,15.0,7743.779098675586,2997729.0,,0.9895842833950492,84000015.0,USA,211723.1642408353,,2021-12-30,,
Hawaii,US,2021-11-03 06:26:25,21.0943,-157.4983,84402,916,,,15.0,5961.132079736021,2565150.0,,1.0852823392810598,84000015.0,USA,181171.0380599376,,2021-11-02,,
Hawaii,US,2021-11-04 04:32:32,21.0943,-157.4983,84578,919,,,15.0,5973.56258192831,2567367.0,,1.0865709759038993,84000015.0,USA,181327.62001084845,,2021-11-03,,
Hawaii,US,2021-08-22 04:31:19,21.0943,-157.4983,55206,563,,,15.0,3899.081272883424,2004969.0,,1.019816686592037,84000015.0,USA,141606.65653392393,,2021-08-21,,
Hawaii,US,2021-08-21 04:31:06,21.0943,-157.4983,54443,562,,,15.0,3845.192220765719,1995587.0,,1.0322722847749022,84000015.0,USA,140944.02601365096,,2021-08-20,,
Hawaii,US,2022-11-10 04:33:11,21.0943,-157.4983,364122,1716,,,15.0,25717.15522307101,,,0.4712706180895414,84000015.0,USA,,
Hawaii,US,2022-11-09 04:32:08,21.0943,-157.4983,362834,1711,,,15.0,25626.186547936537,,,0.4715655092962622,84000015.0,USA,,
Hawaii,US,2021-03-26 05:30:37,21.0943,-157.4983,30095,458,,,15.0,2125.54524702798,1232224.0,,1.521847482970593,84000015.0,USA,87029.3359851738,,2021-03-25,,
Hawaii,US,2021-03-25 05:30:43,21.0943,-157.4983,29974,457,,,15.0,2116.9992767707818,1225693.0,,1.524654700740642,84000015.0,USA,86568.06547484518,,2021-03-24,,
Hawaii,US,2020-06-08 03:33:42,21.0943,-157.4983,675,17,616,42.0,15,47.67380102156127,,83,,84000015.0,USA,3817.788613659992,12.296296296296296,2020-06-07,54055,2.5185185185185186
Hawaii,US,2020-06-07 03:53:50,21.0943,-157.4983,673,17,614,42.0,15,47.53254531483072,,83,,84000015.0,USA,3761.4275866745015,12.332838038632987,2020-06-06,53257,2.526002971768202
Hawaii,US,2022-05-02 04:32:00,21.0943,-157.4983,248405,1418,,,15.0,17544.311915201375,3776634.0,,0.5708419717799561,84000015.0,USA,266735.5523663156,,2022-05-01,,
Hawaii,US,2021-02-20 05:30:30,21.0943,-157.4983,27834,430,,,15.0,1965.855670569091,1053796.0,,1.5448731766903787,84000015.0,USA,74427.34936491435,,2021-02-19,,
Hawaii,US,2020-10-02 04:30:36,21.0943,-157.4983,12515,139,10298.0,2078.0,15.0,883.9075848664286,,,,84000015.0,USA,21079.80099896036,,2020-10-01,298463.0,1.110667199360767
Hawaii,US,2021-02-19 05:31:04,21.0943,-157.4983,27777,428,,,15.0,1961.8298829272703,1049298.0,,1.540843143608021,84000015.0,USA,74109.66528047732,,2021-02-18,,
Hawaii,US,2020-09-23 04:30:25,21.0943,-157.4983,11522,120,4888.0,6514.0,15.0,813.7741264747095,,,,84000015.0,USA,19958.01880395968,,2020-09-22,282580.0,1.0414858531504947
Hawaii,US,2020-09-24 04:30:25,21.0943,-157.4983,11689,122,4992.0,6575.0,15.0,825.5689779867107,,,,84000015.0,USA,20063.18367762057,,2020-09-23,284069.0,1.0437163144837027
Hawaii,US,2022-09-17 04:32:41,21.0943,-157.4983,342072,1665,,,15.0,24159.81105636668,4309403.0,,0.4867396337613134,84000015.0,USA,304363.8831758803,,2022-09-16,,
Hawaii,US,2022-09-18 04:33:05,21.0943,-157.4983,342072,1665,,,15.0,24159.81105636668,4309403.0,,0.4867396337613134,84000015.0,USA,304363.8831758803,,2022-09-17,,
Hawaii,US,2021-04-10 04:30:47,21.0943,-157.4983,31862,470,,,15.0,2250.3446639244225,1315884.0,,1.4751114179900822,84000015.0,USA,92938.0621977128,,2021-04-09,,
Hawaii,US,2021-04-09 04:30:59,21.0943,-157.4983,31687,470,,,15.0,2237.984789585499,1310017.0,,1.4832581184712974,84000015.0,USA,92523.68858201872,,2021-04-08,,
Hawaii,US,2021-09-24 04:31:40,21.0943,-157.4983,76966,738,,,15.0,5435.94336211183,2308634.0,,0.9588649533560272,84000015.0,USA,163053.86362609052,,2021-09-23,,
Hawaii,US,2021-09-23 04:31:15,21.0943,-157.4983,76521,726,,,15.0,5404.513967364282,2302513.0,,0.9487591641510174,84000015.0,USA,162621.55053564164,,2021-09-22,,
Hawaii,US,2021-10-02 04:31:30,21.0943,-157.4983,79572,789,,,15.0,5619.999547981738,2369767.0,,0.991554818277786,84000015.0,USA,167371.5561858699,,2021-10-01,,
Hawaii,US,2021-06-07 04:31:14,21.0943,-157.4983,36616,505,,,15.0,2586.1094788229443,1632135.0,,1.3791785012016604,84000015.0,USA,115274.19145233466,,2021-06-06,,
Hawaii,US,2021-06-08 04:31:10,21.0943,-157.4983,36649,505,,,15.0,2588.4401979839986,1638232.0,,1.377936642200333,84000015.0,USA,115704.80947430276,,2021-06-07,,
Hawaii,US,2022-03-11 04:31:19,21.0943,-157.4983,237672,1354,,,15.0,16786.26316503187,3656412.0,,0.5696926857181326,84000015.0,USA,258244.5305790354,,2022-03-10,,
Hawaii,US,2022-03-12 04:31:16,21.0943,-157.4983,237672,1354,,,15.0,16786.26316503187,3656412.0,,0.5696926857181326,84000015.0,USA,258244.5305790354,,2022-03-11,,
Hawaii,US,2020-08-21 04:30:30,21.0943,-157.4983,5844,45,2031.0,3768.0,15.0,412.7491750666727,,317.0,,84000015.0,USA,11912.941282827824,5.424366872005477,2020-08-20,168672.0,0.7700205338809035
Hawaii,US,2020-08-22 04:30:29,21.0943,-157.4983,6072,46,2031.0,3995.0,15.0,428.8523256339556,,317.0,,84000015.0,USA,11912.941282827824,5.22068511198946,2020-08-21,168672.0,0.7575757575757576
Hawaii,US,2022-12-05 04:33:33,21.0943,-157.4983,367352,1737,,,15.0,25945.28318944085,,,0.4728434852675363,84000015.0,USA,,
