Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Illinois,US,2022-01-22 04:32:02,40.3495,-88.9861,2773401,33415,,,17.0,21886.05726043637,49197443.0,,1.1638581620430366,84000017.0,USA,388242.8815874214,,2022-01-21,,
Illinois,US,2022-01-21 04:31:23,40.3495,-88.9861,2732731,33250,,,17.0,21565.32987642423,48960282.0,,1.1761541614215874,84000017.0,USA,386371.3194812332,,2022-01-20,,
Illinois,US,2021-07-05 04:31:17,40.3495,-88.9861,1392554,25696,,,17.0,10989.359777099124,25868855.0,,1.843952685429341,84000017.0,USA,204144.73184240845,,2021-07-04,,
Illinois,US,2021-07-06 04:30:55,40.3495,-88.9861,1392554,25696,,,17.0,10989.359777099124,25868855.0,,1.843952685429341,84000017.0,USA,204144.73184240845,,2021-07-05,,
Illinois,US,2022-02-13 04:31:01,40.3495,-88.9861,2987514,35725,,,17.0,23575.94855546018,52553574.0,,1.1457063459706471,84000017.0,USA,414727.8753385168,,2022-02-12,,
Illinois,US,2022-02-14 04:31:03,40.3495,-88.9861,2987514,35725,,,17.0,23575.94855546018,52553574.0,,1.1457063459706471,84000017.0,USA,414727.8753385168,,2022-02-13,,
Illinois,US,2022-01-01 04:32:44,40.3495,-88.9861,2149574,31017,,,17.0,16963.213100942634,44469630.0,,1.4074586843373584,84000017.0,USA,350933.2241987951,,2021-12-31,,
Illinois,US,2021-12-31 04:33:06,40.3495,-88.9861,2149574,30995,,,17.0,16963.213100942634,44273181.0,,1.4074586843373584,84000017.0,USA,349382.941883412,,2021-12-30,,
Illinois,US,2021-11-03 06:26:25,40.3495,-88.9861,1704047,28719,,,17.0,13447.404283883114,35600267.0,,1.660239749159493,84000017.0,USA,280940.4189026976,,2021-11-02,,
Illinois,US,2021-11-04 04:32:32,40.3495,-88.9861,1705793,28759,,,17.0,13461.1828876055,35681902.0,,1.6608853326079551,84000017.0,USA,281584.64359621244,,2021-11-03,,
Illinois,US,2021-08-22 04:31:19,40.3495,-88.9861,1482376,26223,,,17.0,11698.152933189318,28072697.0,,1.7640681908485674,84000017.0,USA,221536.4074350482,,2021-08-21,,
Illinois,US,2021-08-21 04:31:06,40.3495,-88.9861,1482376,26215,,,17.0,11698.152933189318,27981948.0,,1.7640681908485674,84000017.0,USA,220820.2593770856,,2021-08-20,,
Illinois,US,2022-11-10 04:33:11,40.3495,-88.9861,3832738,40083,,,17.0,30246.1500995003,,,1.0458058964635726,84000017.0,USA,,
Illinois,US,2022-11-09 04:32:08,40.3495,-88.9861,3828639,40064,,,17.0,30213.80273600772,,,1.0464292924979346,84000017.0,USA,,
Illinois,US,2021-03-26 05:30:37,40.3495,-88.9861,1229898,23442,,,17.0,9705.771569847777,19805516.0,,1.906011718044911,84000017.0,USA,156295.7368163581,,2021-03-25,,
Illinois,US,2021-03-25 05:30:43,40.3495,-88.9861,1227708,23408,,,17.0,9688.489128752686,19726135.0,,1.9066422960508524,84000017.0,USA,155669.29962157767,,2021-03-24,,
Illinois,US,2020-06-08 03:33:42,40.3495,-88.9861,127757,5904,,,17,1008.19763789277,,,,84000017.0,USA,8229.077730817062,,2020-06-07,1042774,4.621273198337469
Illinois,US,2020-06-07 03:53:50,40.3495,-88.9861,126890,5864,,,17,1001.3556851852626,,,,84000017.0,USA,8065.723150603217,,2020-06-06,1022074,4.621325557569548
