Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Iowa,US,2022-01-22 04:32:02,42.0115,-93.2105,669705,8317,,,19.0,21226.311936026777,1881638.0,,1.2418900859333588,84000019.0,USA,59638.55001632294,,2022-01-21,,
Iowa,US,2022-01-21 04:31:23,42.0115,-93.2105,669705,8317,,,19.0,21226.311936026777,1881638.0,,1.2418900859333588,84000019.0,USA,59638.55001632294,,2022-01-20,,
Iowa,US,2021-07-05 04:31:17,42.0115,-93.2105,374180,6146,,,19.0,11859.641782908144,1498255.0,,1.6425249879737025,84000019.0,USA,47487.2189840479,,2021-07-04,,
Iowa,US,2021-07-06 04:30:55,42.0115,-93.2105,374207,6146,,,19.0,11860.497548390367,1498628.0,,1.6424064755603185,84000019.0,USA,47499.04122570973,,2021-07-05,,
Iowa,US,2022-02-13 04:31:01,42.0115,-93.2105,739566,8829,,,19.0,23440.5575787542,1921825.0,,1.1938082605203593,84000019.0,USA,60912.27769906849,,2022-02-12,,
Iowa,US,2022-02-14 04:31:03,42.0115,-93.2105,739566,8829,,,19.0,23440.5575787542,1921825.0,,1.1938082605203593,84000019.0,USA,60912.27769906849,,2022-02-13,,
Iowa,US,2022-01-01 04:32:44,42.0115,-93.2105,575501,7858,,,19.0,18240.514473529907,1828357.0,,1.365419000140747,84000019.0,USA,57949.80776971668,,2021-12-31,,
Iowa,US,2021-12-31 04:33:06,42.0115,-93.2105,575501,7858,,,19.0,18240.514473529907,1828357.0,,1.365419000140747,84000019.0,USA,57949.80776971668,,2021-12-30,,
Iowa,US,2021-11-03 06:26:25,42.0115,-93.2105,488885,6965,,,19.0,15495.218806555797,1715262.0,,1.4246704235147325,84000019.0,USA,54365.259724823845,,2021-11-02,,
Iowa,US,2021-11-04 04:32:32,42.0115,-93.2105,491052,7069,,,19.0,15563.901910258726,1725721.0,,1.439562408869122,84000019.0,USA,54696.757916623086,,2021-11-03,,
Iowa,US,2021-08-22 04:31:19,42.0115,-93.2105,395167,6226,,,19.0,12524.825122738956,1553703.0,,1.575536418779908,84000019.0,USA,49244.64433435708,,2021-08-21,,
Iowa,US,2021-08-21 04:31:06,42.0115,-93.2105,392970,6226,,,19.0,12455.191168500223,1553703.0,,1.58434486093086,84000019.0,USA,49244.64433435708,,2021-08-20,,
Iowa,US,2022-11-10 04:33:11,42.0115,-93.2105,866615,10229,,,19.0,27467.377902867447,,,1.1803395971682926,84000019.0,USA,,
