Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Maryland,US,2022-01-22 04:32:02,39.0639,-76.8021,947784,13022,,,24.0,15677.045427478795,17505199.0,,1.373941742000287,84000024.0,USA,2.895488844927287e-05,,2022-01-21,,
Maryland,US,2022-01-21 04:31:23,39.0639,-76.8021,942772,12943,,,24.0,15594.143256010904,17450479.0,,1.3728663982383864,84000024.0,USA,2.886437753900305e-05,,2022-01-20,,
Maryland,US,2021-07-05 04:31:17,39.0639,-76.8021,462596,9749,,,24.0,7651.67855394265,10907265.0,,2.107454452697386,84000024.0,USA,1.8041419658334547e-05,,2021-07-04,,
Maryland,US,2021-07-06 04:30:55,39.0639,-76.8021,462634,9751,,,24.0,7652.307101930634,10913525.0,,2.107713657016129,84000024.0,USA,1.805177415939977e-05,,2021-07-05,,
Maryland,US,2022-02-13 04:31:01,39.0639,-76.8021,992510,13905,,,24.0,16416.846409336915,18266286.0,,1.4009934408721323,84000024.0,USA,3.021378240330285e-05,,2022-02-12,,
Maryland,US,2022-02-14 04:31:03,39.0639,-76.8021,993228,13917,,,24.0,16428.722658162522,18435127.0,,1.4011888508982833,84000024.0,USA,3.049305785288008e-05,,2022-02-13,,
Maryland,US,2022-01-01 04:32:44,39.0639,-76.8021,720814,11758,,,24.0,11922.794458191634,16203865.0,,1.6312113804670831,84000024.0,USA,2.6802386166651223e-05,,2021-12-31,,
Maryland,US,2021-12-31 04:33:06,39.0639,-76.8021,707707,11758,,,24.0,11705.995024546452,16203865.0,,1.66142202917309,84000024.0,USA,2.6802386166651223e-05,,2021-12-30,,
Maryland,US,2021-11-03 06:26:25,39.0639,-76.8021,562200,10913,,,24.0,9299.20207486999,14139577.0,,1.941124155104945,84000024.0,USA,2.3387901774490213e-05,,2021-11-02,,
Maryland,US,2021-11-04 04:32:32,39.0639,-76.8021,562896,10925,,,24.0,9310.714427492028,14188340.0,,1.940855859696996,84000024.0,USA,2.346855936801154e-05,,2021-11-03,,
Maryland,US,2021-08-22 04:31:19,39.0639,-76.8021,485978,9938,,,24.0,8038.434055391618,11743457.0,,2.044948536765039,84000024.0,USA,1.9424542814042425e-05,,2021-08-21,,
Maryland,US,2021-08-21 04:31:06,39.0639,-76.8021,484847,9922,,,24.0,8019.726482380807,11715327.0,,2.0464187671574745,84000024.0,USA,1.9378013722195024e-05,,2021-08-20,,
Maryland,US,2022-11-10 04:33:11,39.0639,-76.8021,1275208,15603,,,24.0,21092.879543740324,,,1.223565096831262,84000024.0,USA,,
Maryland,US,2022-11-09 04:32:08,39.0639,-76.8021,1273447,15593,,,24.0,21063.751306718183,,,1.2244718468848723,84000024.0,USA,,
Maryland,US,2021-03-26 05:30:37,39.0639,-76.8021,403982,8217,,,24.0,6682.159823212608,8591384.0,,2.0340015149189816,84000024.0,USA,1.4210781913697052e-05,,2021-03-25,,
Maryland,US,2021-03-25 05:30:43,39.0639,-76.8021,402600,8214,,,24.0,6659.300525333792,8550257.0,,2.0402384500745154,84000024.0,USA,1.414275482658692e-05,,2021-03-24,,
Maryland,US,2020-06-08 03:33:42,39.0639,-76.8021,57973,2749,4240,50984.0,24,958.9161186169298,421554.0,9546,,84000024.0,USA,6.972813645446004e-07,16.466286029703483,2020-06-07,364803,4.741862591206251
Maryland,US,2020-06-07 03:53:50,39.0639,-76.8021,57482,2740,4175,50567.0,24,950.794616982705,412303.0,9451,,84000024.0,USA,6.819795291844755e-07,16.441668696287532,2020-06-06,357376,4.766709578650708
Maryland,US,2022-05-02 04:32:00,39.0639,-76.8021,1031533,14456,,,24.0,17062.315570787738,20218538.0,,1.401409358692354,84000024.0,USA,3.344295099972212e-05,,2022-05-01,,
Maryland,US,2021-02-20 05:30:30,39.0639,-76.8021,374974,7677,9591.0,357706.0,24.0,6202.346138068836,7597220.0,,2.0473419490418,84000024.0,USA,1.2566361434941974e-05,,2021-02-19,,
Maryland,US,2020-10-02 04:30:36,39.0639,-76.8021,125510,3949,7568.0,113993.0,24.0,2076.0278413677206,2629898.0,,,84000024.0,USA,4.35004499080335e-06,,2020-10-01,1628200.0,3.146362839614373
Maryland,US,2021-02-19 05:31:04,39.0639,-76.8021,373966,7661,9587.0,356718.0,24.0,6185.673075650712,7555013.0,,2.0485819566484653,84000024.0,USA,1.249654794828704e-05,,2021-02-18,,
