Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Massachusetts,US,2022-01-22 04:32:02,42.2302,-71.5301,1535901,17819,,,25.0,22283.646448902524,38159109.0,,1.3933840787915366,84000025.0,USA,5.536320985279223e-05,,2022-01-21,,
Massachusetts,US,2022-01-21 04:31:23,42.2302,-71.5301,1519783,17724,,,25.0,22049.798164759595,38031854.0,,1.401186879969048,84000025.0,USA,5.517858171407397e-05,,2022-01-20,,
Massachusetts,US,2021-07-05 04:31:17,42.2302,-71.5301,710138,14509,,,25.0,10303.04955978982,23882251.0,,2.534296150888982,84000025.0,USA,3.464960552066499e-05,,2021-07-04,,
Massachusetts,US,2021-07-06 04:30:55,42.2302,-71.5301,710138,14509,,,25.0,10303.04955978982,23882251.0,,2.534296150888982,84000025.0,USA,3.464960552066499e-05,,2021-07-05,,
Massachusetts,US,2022-02-13 04:31:01,42.2302,-71.5301,1648656,19106,,,25.0,23919.5543331646,39893083.0,,1.382398753894081,84000025.0,USA,5.787894905522711e-05,,2022-02-12,,
Massachusetts,US,2022-02-14 04:31:03,42.2302,-71.5301,1648656,19106,,,25.0,23919.5543331646,39893083.0,,1.382398753894081,84000025.0,USA,5.787894905522711e-05,,2022-02-13,,
Massachusetts,US,2022-01-01 04:32:44,42.2302,-71.5301,1140614,16706,,,25.0,16548.618114493383,36269164.0,,1.777376044831994,84000025.0,USA,5.262117985295037e-05,,2021-12-31,,
Massachusetts,US,2021-12-31 04:33:06,42.2302,-71.5301,1117911,16655,,,25.0,16219.231242989666,36155201.0,,1.808820201250368,84000025.0,USA,5.245583643561708e-05,,2021-12-30,,
Massachusetts,US,2021-11-03 06:26:25,42.2302,-71.5301,856494,15530,,,25.0,12426.458138647164,31279628.0,,2.2219653611116947,84000025.0,USA,4.538210284420624e-05,,2021-11-02,,
Massachusetts,US,2021-11-04 04:32:32,42.2302,-71.5301,857959,15545,,,25.0,12447.713116700856,31370724.0,,2.2199195998876404,84000025.0,USA,4.55142696347031e-05,,2021-11-03,,
Massachusetts,US,2021-08-22 04:31:19,42.2302,-71.5301,743735,14703,,,25.0,10790.49222031532,25534877.0,,2.443612308147391,84000025.0,USA,3.704732083540624e-05,,2021-08-21,,
Massachusetts,US,2021-08-21 04:31:06,42.2302,-71.5301,743735,14703,,,25.0,10790.49222031532,25534877.0,,2.443612308147391,84000025.0,USA,3.704732083540624e-05,,2021-08-20,,
Massachusetts,US,2022-11-10 04:33:11,42.2302,-71.5301,2092838,22106,,,25.0,30363.97662793908,,,1.0562690471025469,84000025.0,USA,,
Massachusetts,US,2022-11-09 04:32:08,42.2302,-71.5301,2092838,22106,,,25.0,30363.97662793908,,,1.0562690471025469,84000025.0,USA,,
Massachusetts,US,2021-03-26 05:30:37,42.2302,-71.5301,622226,13746,,,25.0,9027.57677435904,18944348.0,,2.7337334023329145,84000025.0,USA,2.748544034003322e-05,,2021-03-25,,
Massachusetts,US,2021-03-25 05:30:43,42.2302,-71.5301,619816,13733,,,25.0,8992.61124732191,18830063.0,,2.737909315022523,84000025.0,USA,2.731962974843827e-05,,2021-03-24,,
Massachusetts,US,2020-06-08 03:33:42,42.2302,-71.5301,103436,7316,,,25,1500.7030102126903,823299.0,10393,,84000025.0,USA,1.1944847902133666e-06,10.047759000734754,2020-06-07,652490,7.072972659422251
Massachusetts,US,2020-06-07 03:53:50,42.2302,-71.5301,103132,7289,,,25,1496.2924209100815,818324.0,10369,,84000025.0,USA,1.1872668027855772e-06,10.05410541829888,2020-06-06,644639,7.067641469185122
Massachusetts,US,2022-05-02 04:32:00,42.2302,-71.5301,1757103,20263,,,25.0,25492.959524283124,43746632.0,,1.1532050198537025,84000025.0,USA,6.346987734354269e-05,,2022-05-01,,
Massachusetts,US,2021-02-20 05:30:30,42.2302,-71.5301,565794,13120,477796.0,72272.0,25.0,8208.83211802737,15880794.0,,2.779456834112769,84000025.0,USA,2.304067767543953e-05,,2021-02-19,,
Massachusetts,US,2020-10-02 04:30:36,42.2302,-71.5301,132870,8453,113768.0,9622.0,25.0,1927.7467126238464,4258793.0,,,84000025.0,USA,6.178877252574283e-06,,2020-10-01,4125104.0,7.134793407089637
Massachusetts,US,2021-02-19 05:31:04,42.2302,-71.5301,563976,13092,477796.0,70494.0,25.0,8182.455633316373,15771435.0,,2.781324027972821,84000025.0,USA,2.2882013979536897e-05,,2021-02-18,,
