Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Mississippi,US,2022-01-22 04:32:02,32.7416,-89.6787,681382,10721,,,28.0,22894.754261295384,3138034.0,,1.5734199024922877,84000028.0,USA,105439.41180364288,,2022-01-21,,
Mississippi,US,2022-01-21 04:31:23,32.7416,-89.6787,673873,10707,,,28.0,22642.448345160137,3134052.0,,1.5888750550919832,84000028.0,USA,105305.614739047,,2022-01-20,,
Mississippi,US,2021-07-05 04:31:17,32.7416,-89.6787,322186,7419,,,28.0,10825.600465568088,1986872.0,,2.302707131905173,84000028.0,USA,66759.82956498483,,2021-07-04,,
Mississippi,US,2021-07-06 04:30:55,32.7416,-89.6787,322186,7419,,,28.0,10825.600465568088,1986872.0,,2.302707131905173,84000028.0,USA,66759.82956498483,,2021-07-05,,
Mississippi,US,2022-02-13 04:31:01,32.7416,-89.6787,776717,11558,,,28.0,26098.05490249312,3413878.0,,1.488058070056404,84000028.0,USA,114707.89936928565,,2022-02-12,,
Mississippi,US,2022-02-14 04:31:03,32.7416,-89.6787,776717,11558,,,28.0,26098.05490249312,3413878.0,,1.488058070056404,84000028.0,USA,114707.89936928565,,2022-02-13,,
Mississippi,US,2022-01-01 04:32:44,32.7416,-89.6787,543737,10450,,,28.0,18269.81780818097,2798800.0,,1.9218850289754053,84000028.0,USA,94040.99055524438,,2021-12-31,,
Mississippi,US,2021-12-31 04:33:06,32.7416,-89.6787,543737,10450,,,28.0,18269.81780818097,2796741.0,,1.9218850289754053,84000028.0,USA,93971.80719110502,,2021-12-30,,
Mississippi,US,2021-11-03 06:26:25,32.7416,-89.6787,505266,10129,,,28.0,16977.174193899566,2584453.0,,2.004686640304315,84000028.0,USA,86838.83098594862,,2021-11-02,,
Mississippi,US,2021-11-04 04:32:32,32.7416,-89.6787,505661,10134,,,28.0,16990.446378860735,2584762.0,,2.004109472551769,84000028.0,USA,86849.21353063977,,2021-11-03,,
Mississippi,US,2021-08-22 04:31:19,32.7416,-89.6787,406249,7991,,,28.0,13650.156628582776,2179053.0,,1.9670202265113268,84000028.0,USA,73217.2011549153,,2021-08-21,,
Mississippi,US,2021-08-21 04:31:06,32.7416,-89.6787,406249,7991,,,28.0,13650.156628582776,2176060.0,,1.9670202265113268,84000028.0,USA,73116.63495342471,,2021-08-20,,
Mississippi,US,2022-11-10 04:33:11,32.7416,-89.6787,935770,13005,,,28.0,31442.31018003467,,,1.3897645789029356,84000028.0,USA,,
Mississippi,US,2022-11-09 04:32:08,32.7416,-89.6787,934401,12992,,,28.0,31396.31113899204,,,1.3904094708802752,84000028.0,USA,,
Mississippi,US,2021-03-26 05:30:37,32.7416,-89.6787,303942,6987,,,28.0,10212.593522703331,1818761.0,,2.298793848826421,84000028.0,USA,61111.221245979286,,2021-03-25,,
Mississippi,US,2021-03-25 05:30:43,32.7416,-89.6787,303625,6981,,,28.0,10201.94217426614,1818531.0,,2.299217785096748,84000028.0,USA,61103.49313828037,,2021-03-24,,
Mississippi,US,2020-06-08 03:33:42,32.7416,-89.6787,17270,817,11203,5250.0,28,580.2800867832894,,2522,,84000028.0,USA,6829.261572589276,14.603358425014475,2020-06-07,203249,4.730746960046323
Mississippi,US,2020-06-07 03:53:50,32.7416,-89.6787,17039,811,11203,5025.0,28,572.5183786161244,,2475,,84000028.0,USA,6489.023231027748,14.525500322788895,2020-06-06,193123,4.759668994659311
Mississippi,US,2022-05-02 04:32:00,32.7416,-89.6787,797575,12444,,,28.0,26798.89346937939,,,1.560229445506692,84000028.0,USA,,,2022-05-01,,
Mississippi,US,2021-02-20 05:30:30,32.7416,-89.6787,289892,6534,264456.0,18902.0,28.0,9740.506943704768,1683275.0,,2.2539428476812056,84000028.0,USA,56558.82820382986,,2021-02-19,,
Mississippi,US,2020-10-02 04:30:36,32.7416,-89.6787,98886,2979,89737.0,6170.0,28.0,3322.615903975238,,,,84000028.0,USA,24788.03984612329,,2020-10-01,737729.0,3.012559917480736
Mississippi,US,2021-02-19 05:31:04,32.7416,-89.6787,289532,6531,264456.0,18545.0,28.0,9728.410775132565,1682915.0,,2.255709213489355,84000028.0,USA,56546.73203525764,,2021-02-18,,
Mississippi,US,2020-09-23 04:30:25,32.7416,-89.6787,94021,2846,85327.0,5848.0,28.0,3159.149625909187,,,,84000028.0,USA,23940.36723295776,,2020-09-22,712501.0,3.0269833335105987
Mississippi,US,2020-09-24 04:30:25,32.7416,-89.6787,94573,2870,85327.0,6376.0,28.0,3177.697084386568,,,,84000028.0,USA,24081.82520431605,,2020-09-23,716711.0,3.034692777008237
Mississippi,US,2022-09-17 04:32:41,32.7416,-89.6787,922493,12853,,,28.0,30996.19676299809,,,1.3932897051793347,84000028.0,USA,,,2022-09-16,,
Mississippi,US,2022-09-18 04:33:05,32.7416,-89.6787,922493,12853,,,28.0,30996.19676299809,,,1.3932897051793347,84000028.0,USA,,,2022-09-17,,
Mississippi,US,2021-04-10 04:30:47,32.7416,-89.6787,307094,7086,,,28.0,10318.50219864664,1845610.0,,2.307436810878753,84000028.0,USA,62013.360218188,,2021-04-09,,
Mississippi,US,2021-04-09 04:30:59,32.7416,-89.6787,306851,7082,,,28.0,10310.3372848604,1845515.0,,2.3079605411095288,84000028.0,USA,62010.16817370367,,2021-04-08,,
Mississippi,US,2021-09-24 04:31:40,32.7416,-89.6787,481397,9395,,,28.0,16175.164617094104,2428127.0,,1.9516116635541976,84000028.0,USA,81586.20418534153,,2021-09-23,,
Mississippi,US,2021-09-23 04:31:15,32.7416,-89.6787,479326,9353,,,28.0,16105.578047335668,2427101.0,,1.9512815912343584,84000028.0,USA,81551.73010491075,,2021-09-22,,
Mississippi,US,2021-10-02 04:31:30,32.7416,-89.6787,489216,9646,,,28.0,16437.88667838875,2459877.0,,1.9717261904761905,84000028.0,USA,82653.01905247352,,2021-10-01,,
Mississippi,US,2021-06-07 04:31:14,32.7416,-89.6787,318189,7325,,,28.0,10691.299393948357,1945236.0,,2.3020908956626407,84000028.0,USA,65360.84046867277,,2021-06-06,,
Mississippi,US,2021-06-08 04:31:10,32.7416,-89.6787,318521,7333,,,28.0,10702.454749409388,1945236.0,,2.302202994465043,84000028.0,USA,65360.84046867277,,2021-06-07,,
Mississippi,US,2022-03-11 04:31:19,32.7416,-89.6787,792289,12247,,,28.0,26621.28139417751,3526589.0,,1.545774332345899,84000028.0,USA,118495.04174690176,,2022-03-10,,
Mississippi,US,2022-03-12 04:31:16,32.7416,-89.6787,792560,12255,,,28.0,26630.38712107492,3526678.0,,1.5462551731099223,84000028.0,USA,118498.03218857654,,2022-03-11,,
Mississippi,US,2020-08-21 04:30:30,32.7416,-89.6787,75449,2190,56577.0,16682.0,28.0,2535.1217294564217,,5097.0,,84000028.0,USA,17728.480664106533,6.755556733687657,2020-08-20,527626.0,2.90262296385638
Mississippi,US,2020-08-22 04:30:29,32.7416,-89.6787,76323,2214,56577.0,17532.0,28.0,2564.4885387122754,,5127.0,,84000028.0,USA,17801.595283031864,6.71750324279706,2020-08-21,529802.0,2.9008293699147045
Mississippi,US,2022-12-05 04:33:33,32.7416,-89.6787,940023,13036,,,28.0,31585.21297152797,,,1.3867745789198775,84000028.0,USA,,
Mississippi,US,2020-11-04 05:30:25,32.7416,-89.6787,121509,3384,105839.0,12286.0,28.0,4082.759297333568,,,,84000028.0,USA,32213.340125107985,,2020-11-03,958717.0,2.784978890452559
Mississippi,US,2022-12-06 04:32:02,32.7416,-89.6787,940023,13036,,,28.0,31585.21297152797,,,1.3867745789198775,84000028.0,USA,,
Mississippi,US,2020-11-03 06:00:57,32.7416,-89.6787,120865,3348,105839.0,11678.0,28.0,4061.120595776623,,,,84000028.0,USA,32191.70142355104,,2020-11-02,958073.0,2.770032681090473
Mississippi,US,2022-08-15 04:32:40,32.7416,-89.6787,892291,12720,,,28.0,29981.39542072658,,,1.4255439088817436,84000028.0,USA,,,2022-08-14,,
Mississippi,US,2022-08-16 04:32:37,32.7416,-89.6787,894772,12729,,,28.0,30064.758182470032,,,1.4225970414809583,84000028.0,USA,,,2022-08-15,,
Mississippi,US,2020-12-31 05:30:27,32.7416,-89.6787,213055,4747,167263.0,41045.0,28.0,7158.747764308843,1340713.0,,2.228063176175166,84000028.0,USA,45048.58459707494,,2020-12-30,,
Mississippi,US,2021-01-01 05:30:27,32.7416,-89.6787,215811,4787,167263.0,43761.0,28.0,7251.350654822726,1343469.0,,2.218144580211389,84000028.0,USA,45141.18748758882,,2020-12-31,,
Mississippi,US,2022-08-01 04:32:09,32.7416,-89.6787,875132,12648,,,28.0,29404.844985919724,,,1.4452676853320414,84000028.0,USA,,,2022-07-31,,
Mississippi,US,2022-09-29 04:31:43,32.7416,-89.6787,927465,12912,,,28.0,31163.258291167545,,,1.3921819152205204,84000028.0,USA,,
Mississippi,US,2022-09-30 04:32:37,32.7416,-89.6787,927465,12912,,,28.0,31163.258291167545,,,1.3921819152205204,84000028.0,USA,,
Mississippi,US,2022-07-31 04:32:23,32.7416,-89.6787,875132,12648,,,28.0,29404.844985919724,,,1.4452676853320414,84000028.0,USA,,,2022-07-30,,
Mississippi,US,2023-02-14 04:32:27,32.7416,-89.6787,981020,13257,,,28.0,32962.73136862435,,,1.3513485963588918,84000028.0,USA,,
Mississippi,US,2021-01-15 05:30:28,32.7416,-89.6787,245847,5356,198888.0,41603.0,28.0,8260.574319363715,1468773.0,,2.1785907495312125,84000028.0,USA,49351.4605619544,,2021-01-14,,
Mississippi,US,2023-02-13 04:32:45,32.7416,-89.6787,981020,13257,,,28.0,32962.73136862435,,,1.3513485963588918,84000028.0,USA,,
Mississippi,US,2021-01-16 05:30:49,32.7416,-89.6787,248189,5411,198888.0,43890.0,28.0,8339.26661601956,1471115.0,,2.180193320413072,84000028.0,USA,49430.15285861024,,2021-01-15,,
Mississippi,US,2020-07-06 04:34:10,32.7416,-89.6787,30900,1111,19388,10401.0,28,1038.2544691142816,,3268,,84000028.0,USA,10420.882825423056,10.576051779935275,2020-07-05,310141,3.5954692556634305
Mississippi,US,2022-04-03 04:31:44,32.7416,-89.6787,794721,12399,,,28.0,26702.997732976408,,,1.5601701729286126,84000028.0,USA,,,2022-04-02,,
Mississippi,US,2020-07-05 04:34:00,32.7416,-89.6787,30674,1107,19388,10179.0,28,1030.6607632883972,,3268,,84000028.0,USA,10413.289119597172,10.653974049683772,2020-07-04,309915,3.6089196061811295
Mississippi,US,2022-04-04 04:31:28,32.7416,-89.6787,794721,12399,,,28.0,26702.997732976408,,,1.5601701729286126,84000028.0,USA,,,2022-04-03,,
Mississippi,US,2021-02-28 05:30:29,32.7416,-89.6787,294091,6669,273437.0,13985.0,28.0,9881.59530991224,1730277.0,,2.2676654504898144,84000028.0,USA,58138.117412804255,,2021-02-27,,
Mississippi,US,2023-01-21 04:31:50,32.7416,-89.6787,970585,13151,,,28.0,32612.11048237168,,,1.3549560316716207,84000028.0,USA,,
Mississippi,US,2021-02-27 05:30:48,32.7416,-89.6787,293542,6638,273437.0,13467.0,28.0,9863.148652839624,1729728.0,,2.2613459062076298,84000028.0,USA,58119.67075573166,,2021-02-26,,
Mississippi,US,2023-01-22 04:31:47,32.7416,-89.6787,970585,13151,,,28.0,32612.11048237168,,,1.3549560316716207,84000028.0,USA,,
Mississippi,US,2021-01-21 05:30:34,32.7416,-89.6787,256827,5638,207769.0,43420.0,28.0,8629.507460815974,1512942.0,,2.195252056832031,84000028.0,USA,50835.5596443592,,2021-01-20,,
Mississippi,US,2023-02-28 04:31:32,32.7416,-89.6787,987105,13320,,,28.0,33167.190217962874,,,1.3494005197015515,84000028.0,USA,,
Mississippi,US,2021-01-22 05:30:39,32.7416,-89.6787,259117,5668,207769.0,45680.0,28.0,8706.452533122501,1515232.0,,2.187428844884743,84000028.0,USA,50912.50471666573,,2021-01-21,,
Mississippi,US,2023-02-27 04:31:24,32.7416,-89.6787,987105,13320,,,28.0,33167.190217962874,,,1.3494005197015515,84000028.0,USA,,
Mississippi,US,2022-07-06 04:32:28,32.7416,-89.6787,839997,12527,,,28.0,28224.29253374075,,,1.491314849933988,84000028.0,USA,,,2022-07-05,,
Mississippi,US,2022-07-05 04:32:23,32.7416,-89.6787,836757,12526,,,28.0,28115.427016590904,,,1.4969698490720722,84000028.0,USA,,,2022-07-04,,
Mississippi,US,2023-01-15 04:31:18,32.7416,-89.6787,960923,13112,,,28.0,32287.462758081,,,1.3645214028595425,84000028.0,USA,,
Mississippi,US,2021-02-14 05:30:42,32.7416,-89.6787,286343,6461,253140.0,26742.0,28.0,9621.258881863778,1646980.0,,2.2563848251921645,84000028.0,USA,55339.29920847377,,2021-02-13,,
Mississippi,US,2023-01-16 04:31:46,32.7416,-89.6787,960923,13112,,,28.0,32287.462758081,,,1.3645214028595425,84000028.0,USA,,
Mississippi,US,2021-02-13 05:30:30,32.7416,-89.6787,285648,6429,253140.0,26079.0,28.0,9597.90655642577,1646285.0,,2.2506721559401783,84000028.0,USA,55315.94688303577,,2021-02-12,,
Mississippi,US,2020-09-29 04:30:25,32.7416,-89.6787,97049,2921,89737.0,4391.0,28.0,3260.891843788735,,,,84000028.0,USA,24726.3157859368,,2020-09-28,735892.0,3.0098197817597296
Mississippi,US,2020-08-01 04:36:46,32.7416,-89.6787,58747,1663,35071,22013.0,28,1973.926708642612,,4276,,84000028.0,USA,15271.580824750374,7.278669549083357,2020-07-31,454505,2.83078284848588
Mississippi,US,2020-07-31 04:35:31,32.7416,-89.6787,57579,1611,35071,20897.0,28,1934.6813617194568,,4213,,84000028.0,USA,15116.21225953405,7.316903732263499,2020-07-30,449881,2.7978950659094464
Mississippi,US,2020-09-30 04:30:25,32.7416,-89.6787,97638,2957,89737.0,4944.0,28.0,3280.682519591593,,,,84000028.0,USA,24746.106461739648,,2020-09-29,736481.0,3.028533972428768
Mississippi,US,2022-12-31 04:32:10,32.7416,-89.6787,955145,13097,,,28.0,32093.319252497105,,,1.371205419072497,84000028.0,USA,,
Mississippi,US,2023-01-01 04:31:23,32.7416,-89.6787,955145,13097,,,28.0,32093.319252497105,,,1.371205419072497,84000028.0,USA,,
Mississippi,US,2020-08-15 04:30:23,32.7416,-89.6787,70930,2043,49836.0,19051.0,28.0,2383.28121340699,,4873.0,,84000028.0,USA,17171.25049854695,6.870153672634992,2020-08-14,511042.0,2.8803045255886084
Mississippi,US,2020-08-16 04:30:18,32.7416,-89.6787,71755,2080,49836.0,19839.0,28.0,2411.0015997182936,,4916.0,,84000028.0,USA,17464.34738314513,6.851090516340324,2020-08-15,519765.0,2.8987527001602675
Mississippi,US,2022-11-04 04:31:41,32.7416,-89.6787,934401,12992,,,28.0,31396.31113899204,,,1.3904094708802752,84000028.0,USA,,
Mississippi,US,2020-12-05 05:30:31,32.7416,-89.6787,161516,3916,128746.0,28854.0,28.0,5427.013230856385,1143911.0,,2.424527600980708,84000028.0,USA,38435.94524333291,,2020-12-04,,
