Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Missouri,US,2022-01-22 04:32:02,38.4561,-92.2884,1255363,17241,,,29.0,20454.21958514218,8996226.0,,1.3733876177647422,84000029.0,USA,146579.73991711184,,2022-01-21,,
Missouri,US,2022-01-21 04:31:23,38.4561,-92.2884,1240160,17025,,,29.0,20206.509958243096,8960003.0,,1.3728067346148884,84000029.0,USA,145989.5415473713,,2022-01-20,,
Missouri,US,2021-07-05 04:31:17,38.4561,-92.2884,629742,9758,,,29.0,10260.682487843442,5756247.0,,1.549523455637388,84000029.0,USA,93789.23874952178,,2021-07-04,,
Missouri,US,2021-07-06 04:30:55,38.4561,-92.2884,630744,9758,,,29.0,10277.008544947492,5765539.0,,1.547061882475299,84000029.0,USA,93940.6376742831,,2021-07-05,,
Missouri,US,2022-02-13 04:31:01,38.4561,-92.2884,1379156,18217,,,29.0,22471.23713711998,9426083.0,,1.320880306506298,84000029.0,USA,153583.60212127946,,2022-02-12,,
Missouri,US,2022-02-14 04:31:03,38.4561,-92.2884,1379156,18217,,,29.0,22471.23713711998,9426083.0,,1.320880306506298,84000029.0,USA,153583.60212127946,,2022-02-13,,
Missouri,US,2022-01-01 04:32:44,38.4561,-92.2884,1013458,16227,,,29.0,16512.747685186692,8404783.0,,1.601151700415804,84000029.0,USA,136943.08104306884,,2021-12-31,,
Missouri,US,2021-12-31 04:33:06,38.4561,-92.2884,1012928,16221,,,29.0,16504.11214599992,8379864.0,,1.6013971378024894,84000029.0,USA,136537.06406005906,,2021-12-30,,
Missouri,US,2021-11-03 06:26:25,38.4561,-92.2884,861943,12678,,,29.0,14044.042553330157,7482320.0,,1.4708629224902343,84000029.0,USA,121912.95767543017,,2021-11-02,,
Missouri,US,2021-11-04 04:32:32,38.4561,-92.2884,863242,12687,,,29.0,14065.207771072834,7492847.0,,1.469692160483387,84000029.0,USA,122084.47903584367,,2021-11-03,,
Missouri,US,2021-08-22 04:31:19,38.4561,-92.2884,742751,10658,,,29.0,12101.99125757565,6399319.0,,1.4349357994805796,84000029.0,USA,104267.11319464768,,2021-08-21,,
Missouri,US,2021-08-21 04:31:06,38.4561,-92.2884,740269,10635,,,29.0,12061.550864629287,6382935.0,,1.4366399241356858,84000029.0,USA,104000.1609794852,,2021-08-20,,
Missouri,US,2022-11-10 04:33:11,38.4561,-92.2884,1684433,21937,,,29.0,27445.25882829094,,,1.3023373443764164,84000029.0,USA,,
Missouri,US,2022-11-09 04:32:08,38.4561,-92.2884,1684306,21933,,,29.0,27443.189557580143,,,1.302198056647664,84000029.0,USA,,
Missouri,US,2021-03-26 05:30:37,38.4561,-92.2884,578148,8788,,,29.0,9420.037188216302,4784242.0,,1.5200260141001958,84000029.0,USA,77951.90428303191,,2021-03-25,,
Missouri,US,2021-03-25 05:30:43,38.4561,-92.2884,576914,8785,,,29.0,9399.931046034268,4770293.0,,1.5227572913813845,84000029.0,USA,77724.62666771814,,2021-03-24,,
Missouri,US,2020-06-08 03:33:42,38.4561,-92.2884,15023,823,,,29,244.7768022696152,,,,84000029.0,USA,3859.238756039175,,2020-06-07,236858,5.478266657791386
Missouri,US,2020-06-07 03:53:50,38.4561,-92.2884,14948,823,,,29,243.554792007336,,,,84000029.0,USA,3748.5572132170014,,2020-06-06,230065,5.505753278030506
Missouri,US,2022-05-02 04:32:00,38.4561,-92.2884,1431297,20516,,,29.0,23158.72381720812,9853234.0,,1.4219579976782637,84000029.0,USA,160543.37419518403,,2022-05-01,,
Missouri,US,2021-02-20 05:30:30,38.4561,-92.2884,555909,8048,,,29.0,9057.68670524526,4373021.0,,1.4477189611968866,84000029.0,USA,71251.68718883545,,2021-02-19,,
Missouri,US,2020-10-02 04:30:36,38.4561,-92.2884,130729,2103,,,29.0,2130.029061033384,,,,84000029.0,USA,21432.723935824582,,2020-10-01,1315418.0,1.6086713736049385
Missouri,US,2021-02-19 05:31:04,38.4561,-92.2884,554986,7997,,,29.0,9042.647832284145,4359840.0,,1.440937248867539,84000029.0,USA,71036.92295860742,,2021-02-18,,
