Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Nebraska,US,2022-01-22 04:32:02,41.1254,-98.2681,413056,3569,,,31.0,21353.0961410416,4807538.0,,0.8640474899287264,84000031.0,USA,248527.6115483393,,2022-01-21,,
Nebraska,US,2022-01-21 04:31:23,41.1254,-98.2681,407804,3562,,,31.0,21081.59188754389,4784278.0,,0.8734588184520015,84000031.0,USA,247325.1764881039,,2022-01-20,,
Nebraska,US,2021-07-05 04:31:17,41.1254,-98.2681,224682,2261,,,31.0,11615.026406011557,3062488.0,,1.0063111419695392,84000031.0,USA,158316.54955934838,,2021-07-04,,
Nebraska,US,2021-07-06 04:30:55,41.1254,-98.2681,224682,2261,,,31.0,11615.026406011557,3062488.0,,1.0063111419695392,84000031.0,USA,158316.54955934838,,2021-07-05,,
Nebraska,US,2022-02-13 04:31:01,41.1254,-98.2681,450661,3815,,,31.0,23297.101748958856,5092911.0,,0.8465343129314495,84000031.0,USA,263280.0836224829,,2022-02-12,,
Nebraska,US,2022-02-14 04:31:03,41.1254,-98.2681,450661,3815,,,31.0,23297.101748958856,5092911.0,,0.8465343129314495,84000031.0,USA,263280.0836224829,,2022-02-13,,
Nebraska,US,2022-01-01 04:32:44,41.1254,-98.2681,338257,3338,,,31.0,17486.33173560076,4461389.0,,0.9868236281880346,84000031.0,USA,230633.29969685816,,2021-12-31,,
Nebraska,US,2021-12-31 04:33:06,41.1254,-98.2681,338257,3338,,,31.0,17486.33173560076,4448619.0,,0.9868236281880346,84000031.0,USA,229973.14940798425,,2021-12-30,,
Nebraska,US,2021-11-03 06:26:25,41.1254,-98.2681,286373,2984,,,31.0,14804.167476561304,3932935.0,,1.041997674361759,84000031.0,USA,203314.65750761988,,2021-11-02,,
Nebraska,US,2021-11-04 04:32:32,41.1254,-98.2681,287345,2987,,,31.0,14854.4154077113,3944186.0,,1.0395169569681046,84000031.0,USA,203896.28248022133,,2021-11-03,,
Nebraska,US,2021-08-22 04:31:19,41.1254,-98.2681,237492,2302,,,31.0,12277.244510982173,3273512.0,,0.969295807858791,84000031.0,USA,169225.52015913912,,2021-08-21,,
Nebraska,US,2021-08-21 04:31:06,41.1254,-98.2681,236755,2302,,,31.0,12239.144999400334,3268747.0,,0.9723131507254336,84000031.0,USA,168979.19156661886,,2021-08-20,,
Nebraska,US,2022-11-10 04:33:11,41.1254,-98.2681,535394,4562,,,31.0,27677.40828201703,,,0.8520827652158971,84000031.0,USA,,
Nebraska,US,2022-11-09 04:32:08,41.1254,-98.2681,535394,4562,,,31.0,27677.40828201703,,,0.8520827652158971,84000031.0,USA,,
Nebraska,US,2021-03-26 05:30:37,41.1254,-98.2681,207227,2174,,,31.0,10712.683156810766,2544052.0,,1.0490910933420838,84000031.0,USA,131515.79191153054,,2021-03-25,,
Nebraska,US,2021-03-25 05:30:43,41.1254,-98.2681,206939,2165,,,31.0,10697.794880914473,2534469.0,,1.0462020208853815,84000031.0,USA,131020.39487016182,,2021-03-24,,
Nebraska,US,2020-06-08 03:33:42,41.1254,-98.2681,15664,187,8255,7222.0,31,809.7567834707053,,928,,84000031.0,USA,6191.506652164383,5.9244126659857,2020-06-07,119769,1.1938202247191012
Nebraska,US,2020-06-07 03:53:50,41.1254,-98.2681,15572,187,7957,7428.0,31,805.0008064482777,,919,,84000031.0,USA,6076.639467992275,5.901618289237092,2020-06-06,117547,1.2008733624454149
Nebraska,US,2022-05-02 04:32:00,41.1254,-98.2681,479989,4197,,,31.0,24813.224511064884,5477713.0,,0.8743950382196258,84000031.0,USA,283172.5778636151,,2022-05-01,,
Nebraska,US,2021-02-20 05:30:30,41.1254,-98.2681,198442,2043,142336.0,54063.0,31.0,10258.539046571354,2301258.0,,1.0295199604922345,84000031.0,USA,118964.4583769298,,2021-02-19,,
Nebraska,US,2020-10-02 04:30:36,41.1254,-98.2681,46185,493,33362.0,12330.0,31.0,2387.55216066104,,,,84000031.0,USA,23756.208617830365,,2020-10-01,459542.0,1.0674461405218143
Nebraska,US,2021-02-19 05:31:04,41.1254,-98.2681,198042,2025,142336.0,53681.0,31.0,10237.860885604276,2290311.0,,1.022510376586785,84000031.0,USA,118398.54880666333,,2021-02-18,,
Nebraska,US,2020-09-23 04:30:25,41.1254,-98.2681,41785,461,31047.0,10277.0,31.0,2160.092390023201,,,,84000031.0,USA,22128.010223282785,,2020-09-22,428046.0,1.103266722508077
Nebraska,US,2020-09-24 04:30:25,41.1254,-98.2681,42278,462,31212.0,10604.0,31.0,2185.5782234151225,,,,84000031.0,USA,22285.991373071247,,2020-09-23,431102.0,1.092766923695539
Nebraska,US,2022-09-17 04:32:41,41.1254,-98.2681,534818,4490,,,31.0,27647.63173022444,,,0.8395379362699087,84000031.0,USA,,,2022-09-16,,
Nebraska,US,2022-09-18 04:33:05,41.1254,-98.2681,534818,4490,,,31.0,27647.63173022444,,,0.8395379362699087,84000031.0,USA,,,2022-09-17,,
Nebraska,US,2021-04-10 04:30:47,41.1254,-98.2681,213574,2219,,,31.0,11040.793875955847,2676047.0,,1.0389841460102822,84000031.0,USA,138339.32655365366,,2021-04-09,,
Nebraska,US,2021-04-09 04:30:59,41.1254,-98.2681,213188,2207,,,31.0,11020.83945062262,2666366.0,,1.035236504868942,84000031.0,USA,137838.86336284794,,2021-04-08,,
Nebraska,US,2021-09-24 04:31:40,41.1254,-98.2681,261080,2382,,,31.0,13496.635663210656,3611696.0,,0.912364026352076,84000031.0,USA,186708.0781303634,,2021-09-23,,
Nebraska,US,2021-09-23 04:31:15,41.1254,-98.2681,261080,2382,,,31.0,13496.635663210656,3599037.0,,0.912364026352076,84000031.0,USA,186053.66603115783,,2021-09-22,,
Nebraska,US,2021-10-02 04:31:30,41.1254,-98.2681,267079,2840,,,31.0,13806.756382314385,3686498.0,,1.0633557861157186,84000031.0,USA,190574.9976220115,,2021-10-01,,
Nebraska,US,2021-06-07 04:31:14,41.1254,-98.2681,223558,2249,,,31.0,11556.920773694072,2993425.0,,1.0060029164691042,84000031.0,USA,154746.3099821754,,2021-06-06,,
Nebraska,US,2021-06-08 04:31:10,41.1254,-98.2681,223648,2251,,,31.0,11561.573359911665,2993425.0,,1.0064923451137502,84000031.0,USA,154746.3099821754,,2021-06-07,,
Nebraska,US,2022-03-11 04:31:19,41.1254,-98.2681,476807,4025,,,31.0,24648.72974057179,5323736.0,,0.8441570698416759,84000031.0,USA,275212.6748855464,,2022-03-10,,
Nebraska,US,2022-03-12 04:31:16,41.1254,-98.2681,476844,4026,,,31.0,24650.642470461247,5328918.0,,0.8443012809220626,84000031.0,USA,275480.56046087487,,2022-03-11,,
Nebraska,US,2020-08-21 04:30:30,41.1254,-98.2681,31348,373,22941.0,8034.0,31.0,1620.5474749897644,,1851.0,,84000031.0,USA,17080.574522024308,5.904682914380503,2020-08-20,330408.0,1.1898685721577134
Nebraska,US,2020-08-22 04:30:29,41.1254,-98.2681,31626,376,23292.0,7958.0,31.0,1634.9187968618824,,1877.0,,84000031.0,USA,17254.219378745333,5.934990197938405,2020-08-21,333767.0,1.188895212799595
Nebraska,US,2022-12-05 04:33:33,41.1254,-98.2681,543135,4663,,,31.0,28077.58239213237,,,0.8585342502324468,84000031.0,USA,,
Nebraska,US,2020-11-04 05:30:25,41.1254,-98.2681,74060,660,45108.0,28292.0,31.0,3828.561503054165,,,,84000031.0,USA,49651.57298770476,,2020-11-03,960464.0,0.8911693221712126
Nebraska,US,2022-12-06 04:32:02,41.1254,-98.2681,543135,4663,,,31.0,28077.58239213237,,,0.8585342502324468,84000031.0,USA,,
Nebraska,US,2020-11-03 06:00:57,41.1254,-98.2681,72620,656,44773.0,27191.0,31.0,3754.12012357269,,,,84000031.0,USA,49136.32491180764,,2020-11-02,950497.0,0.903332415312586
Nebraska,US,2022-08-15 04:32:40,41.1254,-98.2681,522491,4394,,,31.0,27010.382504621568,,,0.840971423431217,84000031.0,USA,,,2022-08-14,,
Nebraska,US,2022-08-16 04:32:37,41.1254,-98.2681,522491,4394,,,31.0,27010.382504621568,,,0.840971423431217,84000031.0,USA,,,2022-08-15,,
Nebraska,US,2020-12-31 05:30:27,41.1254,-98.2681,165297,1611,105135.0,58551.0,31.0,8545.094933437,1726330.0,,0.974609339552442,84000031.0,USA,89243.32405573178,,2020-12-30,,
Nebraska,US,2021-01-01 05:30:27,41.1254,-98.2681,166798,1651,105574.0,59573.0,31.0,8622.689732465953,1743719.0,,0.9898200218228036,84000031.0,USA,90142.255408373,,2020-12-31,,
Nebraska,US,2022-08-01 04:32:09,41.1254,-98.2681,515858,4366,,,31.0,26667.48690038503,,,0.8463569431897925,84000031.0,USA,,,2022-07-31,,
Nebraska,US,2022-09-29 04:31:43,41.1254,-98.2681,537089,4523,,,31.0,27765.031989115017,,,0.8421323095427388,84000031.0,USA,,
Nebraska,US,2022-09-30 04:32:37,41.1254,-98.2681,537243,4536,,,31.0,27772.99308108734,,,0.8443106750576554,84000031.0,USA,,
Nebraska,US,2022-07-31 04:32:23,41.1254,-98.2681,515858,4366,,,31.0,26667.48690038503,,,0.8463569431897925,84000031.0,USA,,,2022-07-30,,
Nebraska,US,2023-02-14 04:32:27,41.1254,-98.2681,561712,4790,,,31.0,29037.92788284581,,,0.8527501637850001,84000031.0,USA,,
Nebraska,US,2021-01-15 05:30:28,41.1254,-98.2681,180131,1818,123234.0,55079.0,31.0,9311.94453290102,1887154.0,,1.0092654790124964,84000031.0,USA,97557.18545415445,,2021-01-14,,
Nebraska,US,2023-02-13 04:32:45,41.1254,-98.2681,561712,4790,,,31.0,29037.92788284581,,,0.8527501637850001,84000031.0,USA,,
Nebraska,US,2021-01-16 05:30:49,41.1254,-98.2681,180910,1837,124233.0,54840.0,31.0,9352.215251384405,1894614.0,,1.0154220330551105,84000031.0,USA,97942.83315619043,,2021-01-15,,
Nebraska,US,2020-07-06 04:34:10,41.1254,-98.2681,19929,284,14340,5305.0,31,1030.2376747821556,,1368,,84000031.0,USA,9818.404390387135,6.864368508204125,2020-07-05,189928,1.4250589593055347
Nebraska,US,2022-04-03 04:31:44,41.1254,-98.2681,477724,4162,,,31.0,24696.13442458881,5399843.0,,0.8712143413351643,84000031.0,USA,279147.0568773496,,2022-04-02,,
Nebraska,US,2020-07-05 04:34:00,41.1254,-98.2681,19827,284,14200,5343.0,31,1024.964743735551,,1365,,84000031.0,USA,9697.43714872974,6.884551369344833,2020-07-04,187588,1.43239017501387
Nebraska,US,2022-04-04 04:31:28,41.1254,-98.2681,477724,4162,,,31.0,24696.13442458881,5399843.0,,0.8712143413351643,84000031.0,USA,279147.0568773496,,2022-04-03,,
Nebraska,US,2021-02-28 05:30:29,41.1254,-98.2681,200720,2082,154339.0,44299.0,31.0,10376.301173278853,2366126.0,,1.0372658429653248,84000031.0,USA,122317.83574096057,,2021-02-27,,
Nebraska,US,2023-01-21 04:31:50,41.1254,-98.2681,558923,4734,,,31.0,28893.74940550288,,,0.8469860785832753,84000031.0,USA,,
