Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Nevada,US,2022-01-22 04:32:02,38.3135,-117.0554,614505,8735,,,32.0,19950.45056159493,5389125.0,,1.421469312698839,84000032.0,USA,174962.7291604711,,2022-01-21,,
Nevada,US,2022-01-21 04:31:23,38.3135,-117.0554,607857,8708,,,32.0,19734.61733756342,5373490.0,,1.432573779688315,84000032.0,USA,174455.12500016234,,2022-01-20,,
Nevada,US,2021-07-05 04:31:17,38.3135,-117.0554,334763,5697,,,32.0,10868.378095135442,3535971.0,,1.7018009756155847,84000032.0,USA,114798.43878037346,,2021-07-04,,
Nevada,US,2021-07-06 04:30:55,38.3135,-117.0554,334763,5697,,,32.0,10868.378095135442,3535971.0,,1.7018009756155847,84000032.0,USA,114798.43878037346,,2021-07-05,,
Nevada,US,2022-02-13 04:31:01,38.3135,-117.0554,673322,9334,,,32.0,21859.99670146577,5664731.0,,1.3862609568675908,84000032.0,USA,183910.52271378465,,2022-02-12,,
Nevada,US,2022-02-14 04:31:03,38.3135,-117.0554,673322,9334,,,32.0,21859.99670146577,5664731.0,,1.3862609568675908,84000032.0,USA,183910.52271378465,,2022-02-13,,
Nevada,US,2022-01-01 04:32:44,38.3135,-117.0554,484641,8419,,,32.0,15734.300470495651,5065309.0,,1.7371621468262075,84000032.0,USA,164449.75514227198,,2021-12-31,,
Nevada,US,2021-12-31 04:33:06,38.3135,-117.0554,484641,8419,,,32.0,15734.300470495651,5043018.0,,1.7371621468262075,84000032.0,USA,163726.058030827,,2021-12-30,,
Nevada,US,2021-11-03 06:26:25,38.3135,-117.0554,441146,7667,,,32.0,14322.196667960974,4579418.0,,1.7379733693607105,84000032.0,USA,148674.87231166213,,2021-11-02,,
Nevada,US,2021-11-04 04:32:32,38.3135,-117.0554,441916,7676,,,32.0,14347.195401791338,4585702.0,,1.736981688827741,84000032.0,USA,148878.88795242837,,2021-11-03,,
Nevada,US,2021-08-22 04:31:19,38.3135,-117.0554,378700,6280,,,32.0,12294.83182020651,3925605.0,,1.6583047266965936,84000032.0,USA,127448.25262097117,,2021-08-21,,
Nevada,US,2021-08-21 04:31:06,38.3135,-117.0554,378700,6280,,,32.0,12294.83182020651,3916290.0,,1.6583047266965936,84000032.0,USA,127145.83287339992,,2021-08-20,,
Nevada,US,2022-11-10 04:33:11,38.3135,-117.0554,857473,11580,,,32.0,27838.622459381928,,,1.3504798401815568,84000032.0,USA,,
Nevada,US,2022-11-09 04:32:08,38.3135,-117.0554,854700,11570,,,32.0,27748.59455170453,,,1.3536913536913535,84000032.0,USA,,
Nevada,US,2021-03-26 05:30:37,38.3135,-117.0554,302171,5215,,,32.0,9810.249870461106,2902162.0,,1.7258439757620685,84000032.0,USA,94221.26671506248,,2021-03-25,,
Nevada,US,2021-03-25 05:30:43,38.3135,-117.0554,301727,5203,,,32.0,9795.835016148532,2895551.0,,1.7244064999154864,84000032.0,USA,94006.63472889038,,2021-03-24,,
Nevada,US,2020-06-08 03:33:42,38.3135,-117.0554,9669,438,522,8709.0,32,313.9126719555763,,,,84000032.0,USA,5704.159139991611,,2020-06-07,175697,4.52994104871238
Nevada,US,2020-06-07 03:53:50,38.3135,-117.0554,9491,437,522,8532.0,32,308.1337438753102,,,,84000032.0,USA,5576.698063344844,,2020-06-06,171771,4.604362027183647
Nevada,US,2022-05-02 04:32:00,38.3135,-117.0554,718675,10752,,,32.0,23125.030030946484,,,1.509503893795619,84000032.0,USA,,,2022-05-01,,
Nevada,US,2021-02-20 05:30:30,38.3135,-117.0554,290300,4831,,,32.0,9424.847312928308,2650086.0,,1.6641405442645538,84000032.0,USA,86037.39550853918,,2021-02-19,,
Nevada,US,2020-10-02 04:30:36,38.3135,-117.0554,80410,1603,2226.0,76581.0,32.0,2610.5820614280574,,,,84000032.0,USA,22776.67105172596,,2020-10-01,701557.0,1.993533142643949
Nevada,US,2021-02-19 05:31:04,38.3135,-117.0554,289880,4805,,,32.0,9411.211639929925,2642893.0,,1.6575824479094798,84000032.0,USA,85803.86837549787,,2021-02-18,,
