Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
New Hampshire,US,2022-01-22 04:32:02,43.4525,-71.5639,257795,2135,,,33.0,18959.543608899243,3350461.0,,0.8281774278011599,84000033.0,USA,246409.78855065524,,2022-01-21,,
New Hampshire,US,2022-01-21 04:31:23,43.4525,-71.5639,254715,2123,,,33.0,18733.02488543521,3335572.0,,0.8334805567006262,84000033.0,USA,245314.7764488189,,2022-01-20,,
New Hampshire,US,2021-07-05 04:31:17,43.4525,-71.5639,99555,1372,,,33.0,7321.776465734262,2101219.0,,1.378132690472603,84000033.0,USA,154534.2355838851,,2021-07-04,,
New Hampshire,US,2021-07-06 04:30:55,43.4525,-71.5639,99555,1372,,,33.0,7321.776465734262,2101971.0,,1.378132690472603,84000033.0,USA,154589.54145402956,,2021-07-05,,
New Hampshire,US,2022-02-13 04:31:01,43.4525,-71.5639,288191,2294,,,33.0,21195.01864734492,3495366.0,,0.7959998750828443,84000033.0,USA,257066.8325842771,,2022-02-12,,
New Hampshire,US,2022-02-14 04:31:03,43.4525,-71.5639,288191,2294,,,33.0,21195.01864734492,3498431.0,,0.7959998750828443,84000033.0,USA,257292.24813213985,,2022-02-13,,
New Hampshire,US,2022-01-01 04:32:44,43.4525,-71.5639,198667,1961,,,33.0,14610.97247871055,3146517.0,,0.987078880740133,84000033.0,USA,231410.7188954124,,2021-12-31,,
New Hampshire,US,2021-12-31 04:33:06,43.4525,-71.5639,198667,1961,,,33.0,14610.97247871055,3134767.0,,0.987078880740133,84000033.0,USA,230546.5646744051,,2021-12-30,,
New Hampshire,US,2021-11-03 06:26:25,43.4525,-71.5639,137156,1572,,,33.0,10087.143517997574,2695099.0,,1.1461401615678497,84000033.0,USA,198211.1639899949,,2021-11-02,,
New Hampshire,US,2021-11-04 04:32:32,43.4525,-71.5639,137778,1581,,,33.0,10132.888532930894,2705335.0,,1.1474981491965337,84000033.0,USA,198963.9710203124,,2021-11-03,,
New Hampshire,US,2021-08-22 04:31:19,43.4525,-71.5639,104571,1397,,,33.0,7690.678386804255,2230761.0,,1.3359344368897688,84000033.0,USA,164061.40716667,,2021-08-21,,
New Hampshire,US,2021-08-21 04:31:06,43.4525,-71.5639,104571,1397,,,33.0,7690.678386804255,2225139.0,,1.3359344368897688,84000033.0,USA,163647.93695130805,,2021-08-20,,
New Hampshire,US,2022-11-10 04:33:11,43.4525,-71.5639,358814,2782,,,33.0,26389.35773851944,,,0.7753212622519989,84000033.0,USA,,
New Hampshire,US,2022-11-09 04:32:08,43.4525,-71.5639,358581,2776,,,33.0,26372.22174417946,,,0.774151807376752,84000033.0,USA,,
New Hampshire,US,2021-03-26 05:30:37,43.4525,-71.5639,82039,1229,,,33.0,6033.561543592719,1625752.0,,1.4980679920525604,84000033.0,USA,119565.99600944611,,2021-03-25,,
New Hampshire,US,2021-03-25 05:30:43,43.4525,-71.5639,81521,1228,,,33.0,5995.465212828314,1616010.0,,1.5063603243336072,84000033.0,USA,118849.520228931,,2021-03-24,,
New Hampshire,US,2020-06-08 03:33:42,43.4525,-71.5639,5043,286,3319,1438.0,33,370.8876371523066,,487,,84000033.0,USA,7119.527605498522,9.656950228038866,2020-06-07,96805,5.671227443981757
New Hampshire,US,2020-06-07 03:53:50,43.4525,-71.5639,5019,283,3319,1417.0,33,369.12255619024927,,487,,84000033.0,USA,6962.876670115929,9.703128113169956,2020-06-06,94675,5.638573421000199
New Hampshire,US,2022-05-02 04:32:00,43.4525,-71.5639,309982,2480,,,33.0,22797.638615852928,3750843.0,,0.8000464543102502,84000033.0,USA,275855.89879025763,,2022-05-01,,
New Hampshire,US,2021-02-20 05:30:30,43.4525,-71.5639,72767,1152,68559.0,3056.0,33.0,5351.651931917885,1403616.0,,1.5831352123902318,84000033.0,USA,103228.99498496372,,2021-02-19,,
New Hampshire,US,2020-10-02 04:30:36,43.4525,-71.5639,8317,441,7534.0,342.0,33.0,611.6740983929674,,,,84000033.0,USA,33135.79135566308,,2020-10-01,450551.0,5.302392689671756
New Hampshire,US,2021-02-19 05:31:04,43.4525,-71.5639,72399,1150,68201.0,3048.0,33.0,5324.587357166339,1394748.0,,1.5884197295542757,84000033.0,USA,102576.79756948352,,2021-02-18,,
New Hampshire,US,2020-09-23 04:30:25,43.4525,-71.5639,7990,438,7259.0,293.0,33.0,587.6248702849356,,,,84000033.0,USA,30148.98018770165,,2020-09-22,409939.0,5.481852315394243
New Hampshire,US,2020-09-24 04:30:25,43.4525,-71.5639,8007,438,7303.0,266.0,33.0,588.8751359663928,,,,84000033.0,USA,30417.05185881412,,2020-09-23,413584.0,5.470213563132259
New Hampshire,US,2022-09-17 04:32:41,43.4525,-71.5639,347209,2682,,,33.0,25535.867548324608,,,0.7724342912440166,84000033.0,USA,,,2022-09-16,,
New Hampshire,US,2022-09-18 04:33:05,43.4525,-71.5639,347209,2682,,,33.0,25535.867548324608,,,0.7724342912440166,84000033.0,USA,,,2022-09-17,,
New Hampshire,US,2021-04-10 04:30:47,43.4525,-71.5639,87978,1253,,,33.0,6470.345536661835,1732284.0,,1.424219691286458,84000033.0,USA,127400.89621985848,,2021-04-09,,
New Hampshire,US,2021-04-09 04:30:59,43.4525,-71.5639,87441,1251,,,33.0,6430.851850135801,1724872.0,,1.4306789721069064,84000033.0,USA,126855.78038274308,,2021-04-08,,
New Hampshire,US,2021-09-24 04:31:40,43.4525,-71.5639,116710,1469,,,33.0,8583.44162840486,2414398.0,,1.258675349156028,84000033.0,USA,177566.9976928921,,2021-09-23,,
New Hampshire,US,2021-09-23 04:31:15,43.4525,-71.5639,115957,1466,,,33.0,8528.06221322031,2406908.0,,1.264261752201247,84000033.0,USA,177016.14534265,,2021-09-22,,
New Hampshire,US,2021-10-02 04:31:30,43.4525,-71.5639,120763,1481,,,33.0,8881.5196758723,2476828.0,,1.226369003751149,84000033.0,USA,182158.41454544384,,2021-10-01,,
New Hampshire,US,2021-06-07 04:31:14,43.4525,-71.5639,98877,1355,,,33.0,7271.912928556142,2036613.0,,1.3703894737906692,84000033.0,USA,149782.7847241068,,2021-06-06,,
New Hampshire,US,2021-06-08 04:31:10,43.4525,-71.5639,98941,1357,,,33.0,7276.619811121628,2037448.0,,1.3715244438604826,84000033.0,USA,149844.1948325784,,2021-06-07,,
New Hampshire,US,2022-03-11 04:31:19,43.4525,-71.5639,299999,2414,,,33.0,22063.438480677145,,,0.8046693488978297,84000033.0,USA,,,2022-03-10,,
New Hampshire,US,2022-03-12 04:31:16,43.4525,-71.5639,299999,2414,,,33.0,22063.438480677145,,,0.8046693488978297,84000033.0,USA,,,2022-03-11,,
New Hampshire,US,2020-08-21 04:30:30,43.4525,-71.5639,7050,428,6367.0,255.0,33.0,518.4925326043549,,710.0,,84000033.0,USA,21471.47445302715,10.070921985815604,2020-08-20,291950.0,6.070921985815603
New Hampshire,US,2020-08-22 04:30:29,43.4525,-71.5639,7071,428,6367.0,276.0,33.0,520.0369784461551,,710.0,,84000033.0,USA,21806.472110617626,10.041012586621411,2020-08-21,296505.0,6.052892094470372
New Hampshire,US,2022-12-05 04:33:33,43.4525,-71.5639,361890,2823,,,33.0,26615.582281823125,,,0.7800605147902016,84000033.0,USA,,
New Hampshire,US,2020-11-04 05:30:25,43.4525,-71.5639,11416,483,9515.0,1418.0,33.0,839.5901776186263,,,,84000033.0,USA,46322.12286287307,,2020-11-03,629847.0,4.230903994393834
New Hampshire,US,2022-12-06 04:32:02,43.4525,-71.5639,362244,2824,,,33.0,26641.61722601347,,,0.7795742707364272,84000033.0,USA,,
New Hampshire,US,2020-11-03 06:00:57,43.4525,-71.5639,11288,483,9430.0,1375.0,33.0,830.1764124876536,,,,84000033.0,USA,46026.98661700905,,2020-11-02,625834.0,4.278880226789511
New Hampshire,US,2022-08-15 04:32:40,43.4525,-71.5639,341139,2640,,,33.0,25089.081429803835,,,0.7738780966116451,84000033.0,USA,,,2022-08-14,,
New Hampshire,US,2022-08-16 04:32:37,43.4525,-71.5639,341573,2641,,,33.0,25120.99997720104,,,0.7731875763014056,84000033.0,USA,,,2022-08-15,,
New Hampshire,US,2020-12-31 05:30:27,43.4525,-71.5639,43879,741,36739.0,6399.0,33.0,3227.082813921488,1019681.0,,1.6887349301488184,84000033.0,USA,74992.48001965124,,2020-12-30,,
New Hampshire,US,2021-01-01 05:30:27,43.4525,-71.5639,44882,759,37350.0,6773.0,33.0,3300.848489127469,1027265.0,,1.691101109576222,84000033.0,USA,75550.24560366137,,2020-12-31,,
New Hampshire,US,2022-08-01 04:32:09,43.4525,-71.5639,338303,2627,,,33.0,24880.50769612072,,,0.7765228212578664,84000033.0,USA,,,2022-07-31,,
New Hampshire,US,2022-09-29 04:31:43,43.4525,-71.5639,349846,2703,,,33.0,25729.805819030666,,,0.7726146273699375,84000033.0,USA,,
New Hampshire,US,2022-09-30 04:32:37,43.4525,-71.5639,350117,2705,,,33.0,25749.73652489389,,,0.7725878408097748,84000033.0,USA,,
New Hampshire,US,2022-07-31 04:32:23,43.4525,-71.5639,338303,2627,,,33.0,24880.50769612072,,,0.7765228212578664,84000033.0,USA,,,2022-07-30,,
