Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
New Jersey,US,2022-01-22 04:32:02,40.2989,-74.521,2049573,30618,,,34.0,23075.086211846403,17332249.0,,1.4938721382453808,84000034.0,USA,195134.8597586857,,2022-01-21,,
New Jersey,US,2022-01-21 04:31:23,40.2989,-74.521,2037690,30476,,,34.0,22941.30163844728,17330213.0,,1.49561513282197,84000034.0,USA,195111.9374838863,,2022-01-20,,
New Jersey,US,2021-07-05 04:31:17,40.2989,-74.521,1024225,26473,,,34.0,11531.2214667779,14588564.0,,2.584685982084015,84000034.0,USA,164245.12423174913,,2021-07-04,,
New Jersey,US,2021-07-06 04:30:55,40.2989,-74.521,1024311,26477,,,34.0,11532.189696459996,14588510.0,,2.584859481153673,84000034.0,USA,164244.51627357668,,2021-07-05,,
New Jersey,US,2022-02-13 04:31:01,40.2989,-74.521,2144050,32374,,,34.0,24138.7540685349,17554640.0,,1.5099461299876402,84000034.0,USA,197638.64542415785,,2022-02-12,,
New Jersey,US,2022-02-14 04:31:03,40.2989,-74.521,2145147,32380,,,34.0,24151.10462622394,17555007.0,,1.5094536644808023,84000034.0,USA,197642.77728803369,,2022-02-13,,
New Jersey,US,2022-01-01 04:32:44,40.2989,-74.521,1564253,29037,,,34.0,17611.11842912615,16745933.0,,1.8562853962881964,84000034.0,USA,188533.8300576773,,2021-12-31,,
New Jersey,US,2021-12-31 04:33:06,40.2989,-74.521,1530529,29000,,,34.0,17231.43729192913,16707887.0,,1.8947697168756683,84000034.0,USA,188105.48974971267,,2021-12-30,,
New Jersey,US,2021-11-03 06:26:25,40.2989,-74.521,1200953,28004,,,34.0,13520.910946512064,16048928.0,,2.331814817066113,84000034.0,USA,180686.60994642085,,2021-11-02,,
New Jersey,US,2021-11-04 04:32:32,40.2989,-74.521,1202251,28011,,,34.0,13535.52445962088,16049172.0,,2.329879534306896,84000034.0,USA,180689.3570166817,,2021-11-03,,
New Jersey,US,2021-08-22 04:31:19,40.2989,-74.521,1072856,26750,,,34.0,12078.7328350328,15076166.0,,2.4933448664126407,84000034.0,USA,169734.78387649893,,2021-08-21,,
New Jersey,US,2021-08-21 04:31:06,40.2989,-74.521,1070698,26739,,,34.0,12054.437025103043,15055395.0,,2.497342854847959,84000034.0,USA,169500.93389130384,,2021-08-20,,
New Jersey,US,2022-11-10 04:33:11,40.2989,-74.521,2813645,34958,,,34.0,31677.379114835418,,,1.2424452978254186,84000034.0,USA,,
New Jersey,US,2022-11-09 04:32:08,40.2989,-74.521,2811812,34952,,,34.0,31656.7423124252,,,1.243041853438281,84000034.0,USA,,
New Jersey,US,2021-03-26 05:30:37,40.2989,-74.521,881882,24330,,,34.0,9928.65498261127,11830937.0,,2.7588725022168497,84000034.0,USA,133198.42291146665,,2021-03-25,,
New Jersey,US,2021-03-25 05:30:43,40.2989,-74.521,877936,24292,,,34.0,9884.229002081694,11784885.0,,2.766944287510707,84000034.0,USA,132679.9471751899,,2021-03-24,,
New Jersey,US,2020-06-08 03:33:42,40.2989,-74.521,164593,12176,27824,124593.0,34,1853.0677681968075,,18050,,84000034.0,USA,10812.930144480131,10.995102458517092,2020-06-07,960425,7.397641454982897
New Jersey,US,2020-06-07 03:53:50,40.2989,-74.521,164314,12106,27641,124567.0,34,1849.926650972339,,18023,,84000034.0,USA,10351.591217931613,10.996808893607415,2020-06-06,919448,7.367601056513748
