Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
North Carolina,US,2022-01-22 04:32:02,35.6301,-79.8064,2212752,20193,,,37.0,21097.77152814565,23778601.0,,0.91257402546693,84000037.0,USA,2.26720161661558e-05,,2022-01-21,,
North Carolina,US,2022-01-21 04:31:23,35.6301,-79.8064,2177357,20108,,,37.0,20760.293300473186,23663712.0,,0.923504964964404,84000037.0,USA,2.256247375593102e-05,,2022-01-20,,
North Carolina,US,2021-07-05 04:31:17,35.6301,-79.8064,1014359,13434,,,37.0,9671.537718424071,13841160.0,,1.324383181891224,84000037.0,USA,1.3197033891032908e-05,,2021-07-04,,
North Carolina,US,2021-07-06 04:30:55,35.6301,-79.8064,1014359,13434,,,37.0,9671.537718424071,13841160.0,,1.324383181891224,84000037.0,USA,1.3197033891032908e-05,,2021-07-05,,
North Carolina,US,2022-02-13 04:31:01,35.6301,-79.8064,2525734,21665,,,37.0,24081.9390843933,25139111.0,,0.8577704540541482,84000037.0,USA,2.3969212107759623e-05,,2022-02-12,,
North Carolina,US,2022-02-14 04:31:03,35.6301,-79.8064,2525734,21665,,,37.0,24081.9390843933,25139111.0,,0.8577704540541482,84000037.0,USA,2.3969212107759623e-05,,2022-02-13,,
North Carolina,US,2022-01-01 04:32:44,35.6301,-79.8064,1686667,19426,,,37.0,16081.745722097572,21716197.0,,1.1517389028183986,84000037.0,USA,2.0705590267965053e-05,,2021-12-31,,
North Carolina,US,2021-12-31 04:33:06,35.6301,-79.8064,1667493,19399,,,37.0,15898.928727115455,21716197.0,,1.1633632045231974,84000037.0,USA,2.0705590267965053e-05,,2021-12-30,,
North Carolina,US,2021-11-03 06:26:25,35.6301,-79.8064,1483678,18130,,,37.0,14146.320719780657,19258004.0,,1.2219632561782274,84000037.0,USA,1.8361794203784023e-05,,2021-11-02,,
North Carolina,US,2021-11-04 04:32:32,35.6301,-79.8064,1485455,18191,,,37.0,14163.26375723154,19296214.0,,1.2246079484063803,84000037.0,USA,1.839822602488691e-05,,2021-11-03,,
North Carolina,US,2021-08-22 04:31:19,35.6301,-79.8064,1144894,14059,,,37.0,10916.140641131402,15268810.0,,1.227973943439305,84000037.0,USA,1.455824533823337e-05,,2021-08-21,,
North Carolina,US,2021-08-21 04:31:06,35.6301,-79.8064,1144894,14059,,,37.0,10916.140641131402,15268810.0,,1.227973943439305,84000037.0,USA,1.455824533823337e-05,,2021-08-20,,
North Carolina,US,2022-11-10 04:33:11,35.6301,-79.8064,3255506,27258,,,37.0,31040.045064475074,,,0.8372891955966292,84000037.0,USA,,
North Carolina,US,2022-11-09 04:32:08,35.6301,-79.8064,3246175,27234,,,37.0,30951.0774322555,,,0.8389566181736967,84000037.0,USA,,
North Carolina,US,2021-03-26 05:30:37,35.6301,-79.8064,903374,11987,,,37.0,8613.336811566345,11018999.0,,1.3269144341103465,84000037.0,USA,1.050620780687874e-05,,2021-03-25,,
North Carolina,US,2021-03-25 05:30:43,35.6301,-79.8064,901262,11894,,,37.0,8593.199673076608,10979734.0,,1.3197050358275395,84000037.0,USA,1.0468770082314369e-05,,2021-03-24,,
North Carolina,US,2020-06-08 03:33:42,35.6301,-79.8064,35625,1032,18860,15733.0,37,339.67119256481925,,,,84000037.0,USA,,,2020-06-07,511226,2.896842105263158
North Carolina,US,2020-06-07 03:53:50,35.6301,-79.8064,34718,1028,18860,14830.0,37,331.02328318499355,,,,84000037.0,USA,,,2020-06-06,497350,2.961000057607005
North Carolina,US,2022-05-02 04:32:00,35.6301,-79.8064,2659255,23405,,,37.0,25355.01241218129,27093475.0,,0.8801337216626461,84000037.0,USA,2.58326258637898e-05,,2022-05-01,,
North Carolina,US,2021-02-20 05:30:30,35.6301,-79.8064,836650,10820,765456.0,60374.0,37.0,7977.148161666135,9836191.0,,1.2932528536425028,84000037.0,USA,9.378444146709732e-06,,2021-02-19,,
North Carolina,US,2020-10-02 04:30:36,35.6301,-79.8064,212898,3579,184422.0,24897.0,37.0,2029.90365065726,3061350.0,,,84000037.0,USA,2.91888394486543e-06,,2020-10-01,3063661.0,1.681086717583068
North Carolina,US,2021-02-19 05:31:04,35.6301,-79.8064,833423,10766,765456.0,57201.0,37.0,7946.379910763491,9784672.0,,1.2917810043639304,84000037.0,USA,9.329322686584128e-06,,2021-02-18,,
North Carolina,US,2020-09-23 04:30:25,35.6301,-79.8064,195548,3286,176422.0,15840.0,37.0,1864.477820734464,,,,84000037.0,USA,,,2020-09-22,2824929.0,1.680405833861763
North Carolina,US,2020-09-24 04:30:25,35.6301,-79.8064,196500,3316,176422.0,16762.0,37.0,1873.5547884627929,,,,84000037.0,USA,,,2020-09-23,2842427.0,1.687531806615776
North Carolina,US,2022-09-17 04:32:41,35.6301,-79.8064,3162491,26414,,,37.0,30153.18145811952,25454429.0,,0.835227673375197,84000037.0,USA,2.426985615294462e-05,,2022-09-16,,
North Carolina,US,2022-09-18 04:33:05,35.6301,-79.8064,3162491,26414,,,37.0,30153.18145811952,25454429.0,,0.835227673375197,84000037.0,USA,2.426985615294462e-05,,2022-09-17,,
North Carolina,US,2021-04-10 04:30:47,35.6301,-79.8064,929406,12248,,,37.0,8861.542298860306,11442849.0,,1.3178309586983514,84000037.0,USA,1.0910333098018666e-05,,2021-04-09,,
North Carolina,US,2021-04-09 04:30:59,35.6301,-79.8064,926897,12224,,,37.0,8837.619912273776,11405893.0,,1.3188088859927265,84000037.0,USA,1.0875096919513612e-05,,2021-04-08,,
North Carolina,US,2021-09-24 04:31:40,35.6301,-79.8064,1362938,16012,,,37.0,12995.109497597465,17333821.0,,1.174814995252902,84000037.0,USA,1.6527156914456444e-05,,2021-09-23,,
North Carolina,US,2021-09-23 04:31:15,35.6301,-79.8064,1356985,15941,,,37.0,12938.34984540551,17268421.0,,1.174736640419754,84000037.0,USA,1.646480043447402e-05,,2021-09-22,,
North Carolina,US,2021-10-02 04:31:30,35.6301,-79.8064,1400217,16605,,,37.0,13350.550968127258,17812784.0,,1.18588761599095,84000037.0,USA,1.698383041173202e-05,,2021-10-01,,
North Carolina,US,2021-06-07 04:31:14,35.6301,-79.8064,1004669,13151,,,37.0,9579.14715404644,13337545.0,,1.3089883334710235,84000037.0,USA,1.2716855623963348e-05,,2021-06-06,,
North Carolina,US,2021-06-08 04:31:10,35.6301,-79.8064,1005966,13199,,,37.0,9591.513569113293,13398916.0,,1.312072177389693,84000037.0,USA,1.2775370601532176e-05,,2021-06-07,,
North Carolina,US,2022-03-11 04:31:19,35.6301,-79.8064,2606754,22892,,,37.0,24854.434804297907,26073704.0,,0.8781802962611739,84000037.0,USA,2.48603119502094e-05,,2022-03-10,,
North Carolina,US,2022-03-12 04:31:16,35.6301,-79.8064,2608603,22922,,,37.0,24872.06433510639,26105083.0,,0.8787078754413761,84000037.0,USA,2.489023066558201e-05,,2022-03-11,,
North Carolina,US,2020-08-21 04:30:30,35.6301,-79.8064,149904,2465,127749.0,19690.0,37.0,1429.2791705329591,,,,84000037.0,USA,,,2020-08-20,2003307.0,1.6443857402070658
North Carolina,US,2020-08-22 04:30:29,35.6301,-79.8064,151910,2494,127749.0,21667.0,37.0,1448.4056382462231,,,,84000037.0,USA,,,2020-08-21,2030885.0,1.6417615693502732
North Carolina,US,2022-12-05 04:33:33,35.6301,-79.8064,3275343,27371,,,37.0,31229.18351912513,,,0.8356682032996239,84000037.0,USA,,
North Carolina,US,2020-11-04 05:30:25,35.6301,-79.8064,280377,4457,246318.0,29602.0,37.0,2673.2909461823533,4157703.0,,,84000037.0,USA,3.964215961657058e-06,,2020-11-03,4157478.0,1.5896453703406486
North Carolina,US,2022-12-06 04:32:02,35.6301,-79.8064,3275343,27371,,,37.0,31229.18351912513,,,0.8356682032996239,84000037.0,USA,,
North Carolina,US,2020-11-03 06:00:57,35.6301,-79.8064,278028,4390,246318.0,27320.0,37.0,2650.8941003905,4129464.0,,,84000037.0,USA,3.937291120094004e-06,,2020-11-02,4127596.0,1.5789776569266405
North Carolina,US,2022-08-15 04:32:40,35.6301,-79.8064,3047625,25724,,,37.0,29057.976652360907,29633470.0,,0.8440671014314425,84000037.0,USA,2.825441710802469e-05,,2022-08-14,,
North Carolina,US,2022-08-16 04:32:37,35.6301,-79.8064,3047625,25724,,,37.0,29057.976652360907,29633470.0,,0.8440671014314425,84000037.0,USA,2.825441710802469e-05,,2022-08-15,,
North Carolina,US,2020-12-31 05:30:27,35.6301,-79.8064,532830,6729,403488.0,122613.0,37.0,5080.336885173689,6865589.0,,1.2628793423793705,84000037.0,USA,6.5460850618664e-06,,2020-12-30,,
North Carolina,US,2021-01-01 05:30:27,35.6301,-79.8064,539545,6748,403488.0,129309.0,37.0,5144.361925400292,6931098.0,,1.2506834462371073,84000037.0,USA,6.608545469315463e-06,,2020-12-31,,
North Carolina,US,2022-08-01 04:32:09,35.6301,-79.8064,2983130,25483,,,37.0,28443.04069265654,29280713.0,,0.8542369926888872,84000037.0,USA,2.7918076361707247e-05,,2022-07-31,,
North Carolina,US,2022-09-29 04:31:43,35.6301,-79.8064,3198866,26525,,,37.0,30500.003623159388,,,0.8292000977846524,84000037.0,USA,,
North Carolina,US,2022-09-30 04:32:37,35.6301,-79.8064,3198866,26525,,,37.0,30500.003623159388,,,0.8292000977846524,84000037.0,USA,,
North Carolina,US,2022-07-31 04:32:23,35.6301,-79.8064,2983130,25483,,,37.0,28443.04069265654,29280713.0,,0.8542369926888872,84000037.0,USA,2.7918076361707247e-05,,2022-07-30,,
North Carolina,US,2023-02-14 04:32:27,35.6301,-79.8064,3438259,28235,,,37.0,32782.527294785206,,,0.8212004971120559,84000037.0,USA,,
North Carolina,US,2021-01-15 05:30:28,35.6301,-79.8064,650926,7825,521475.0,121626.0,37.0,6206.338545724843,7825069.0,,1.2021335758596214,84000037.0,USA,7.460913737914381e-06,,2021-01-14,,
North Carolina,US,2023-02-13 04:32:45,35.6301,-79.8064,3438259,28235,,,37.0,32782.527294785206,,,0.8212004971120559,84000037.0,USA,,
North Carolina,US,2021-01-16 05:30:49,35.6301,-79.8064,659840,7933,521475.0,130432.0,37.0,6291.33023724829,7904115.0,,1.2022611542192048,84000037.0,USA,7.536281173949408e-06,,2021-01-15,,
North Carolina,US,2020-07-06 04:34:10,35.6301,-79.8064,72992,1423,45538,26031.0,37,695.9517105316853,,,,84000037.0,USA,,,2020-07-05,1036838,1.9495287154756689
North Carolina,US,2022-04-03 04:31:44,35.6301,-79.8064,2630506,23215,,,37.0,25080.90133526772,26594083.0,,0.8825298250602736,84000037.0,USA,2.535647407095519e-05,,2022-04-02,,
North Carolina,US,2020-07-05 04:34:00,35.6301,-79.8064,71670,1422,45538,24710.0,37,683.3469297156659,,,,84000037.0,USA,,,2020-07-04,1018296,1.9840937630807869
North Carolina,US,2022-04-04 04:31:28,35.6301,-79.8064,2630506,23215,,,37.0,25080.90133526772,26594083.0,,0.8825298250602736,84000037.0,USA,2.535647407095519e-05,,2022-04-03,,
North Carolina,US,2021-02-28 05:30:29,35.6301,-79.8064,858548,11212,,,37.0,8185.937488677627,10222950.0,,1.3059258189408165,84000037.0,USA,9.747204541840054e-06,,2021-02-27,,
North Carolina,US,2023-01-21 04:31:50,35.6301,-79.8064,3398161,27967,,,37.0,32400.2077023792,,,0.8230039718541882,84000037.0,USA,,
North Carolina,US,2021-02-27 05:30:48,35.6301,-79.8064,855905,11186,,,37.0,8160.737461675555,10171561.0,,1.306920744708817,84000037.0,USA,9.698207031904017e-06,,2021-02-26,,
North Carolina,US,2023-01-22 04:31:47,35.6301,-79.8064,3398161,27967,,,37.0,32400.2077023792,,,0.8230039718541882,84000037.0,USA,,
