Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
North Dakota,US,2022-01-22 04:32:02,47.5289,-99.784,210540,2114,,,38.0,27294.367124984583,2131104.0,,1.0163461538461538,84000038.0,USA,279649.6872957844,,2022-01-21,,
North Dakota,US,2022-01-21 04:31:23,47.5289,-99.784,208028,2107,,,38.0,26945.05171495233,2123951.0,,1.026113042885389,84000038.0,USA,278711.0497571064,,2022-01-20,,
North Dakota,US,2021-07-05 04:31:17,47.5289,-99.784,110525,1559,,,38.0,14531.101144001406,1587793.0,,1.4078529114289842,84000038.0,USA,208354.8320215416,,2021-07-04,,
North Dakota,US,2021-07-06 04:30:55,47.5289,-99.784,110531,1559,,,38.0,14532.282150271238,1588222.0,,1.40773849835207,84000038.0,USA,208411.12665373684,,2021-07-05,,
North Dakota,US,2022-02-13 04:31:01,47.5289,-99.784,234574,2201,,,38.0,30794.738485844984,2218687.0,,0.9378928305102802,84000038.0,USA,291142.5841991859,,2022-02-12,,
North Dakota,US,2022-02-14 04:31:03,47.5289,-99.784,234685,2201,,,38.0,30820.983069619007,2221115.0,,0.9370941990420436,84000038.0,USA,291461.1934462025,,2022-02-13,,
North Dakota,US,2022-01-01 04:32:44,47.5289,-99.784,174359,2057,,,38.0,22855.75189420284,2042562.0,,1.1809961245873404,84000038.0,USA,268030.94761318626,,2021-12-31,,
North Dakota,US,2021-12-31 04:33:06,47.5289,-99.784,173906,2052,,,38.0,22751.29845078222,2038123.0,,1.1835343380686243,84000038.0,USA,267448.44907632185,,2021-12-30,,
North Dakota,US,2021-11-03 06:26:25,47.5289,-99.784,149588,1810,,,38.0,19579.37805585372,1874736.0,,1.2130798152901674,84000038.0,USA,246008.33003088983,,2021-11-02,,
North Dakota,US,2021-11-04 04:32:32,47.5289,-99.784,150189,1815,,,38.0,19664.54173020043,1876148.0,,1.211162716207559,84000038.0,USA,246193.6167923345,,2021-11-03,,
North Dakota,US,2021-08-22 04:31:19,47.5289,-99.784,114570,1582,,,38.0,15049.956565213854,1638417.0,,1.3793704769378323,84000038.0,USA,214997.86106642245,,2021-08-21,,
North Dakota,US,2021-08-21 04:31:06,47.5289,-99.784,114451,1581,,,38.0,15022.53097517,1636386.0,,1.381015190293586,84000038.0,USA,214731.3473181972,,2021-08-20,,
North Dakota,US,2022-11-10 04:33:11,47.5289,-99.784,274590,2232,,,38.0,35926.07950534209,,,0.8152561007235763,84000038.0,USA,,
North Dakota,US,2022-11-09 04:32:08,47.5289,-99.784,274405,2232,,,38.0,35926.07950534209,,,0.8152561007235763,84000038.0,USA,,
North Dakota,US,2021-03-26 05:30:37,47.5289,-99.784,102171,1497,,,38.0,13410.719862688338,1452436.0,,1.4648036165091294,84000038.0,USA,190592.89139203893,,2021-03-25,,
North Dakota,US,2021-03-25 05:30:43,47.5289,-99.784,101989,1495,,,38.0,13384.868947670924,1450582.0,,1.4656719051774003,84000038.0,USA,190349.6041004537,,2021-03-24,,
North Dakota,US,2020-06-08 03:33:42,47.5289,-99.784,2882,72,2307,482.0,38,375.4287708874081,,183,,84000038.0,USA,10489.041574045155,6.396364907375044,2020-06-07,79933,2.516602586508214
North Dakota,US,2020-06-07 03:53:50,47.5289,-99.784,2863,72,2268,476.0,38,369.5237395382528,,182,,84000038.0,USA,10350.863840474922,6.463068181818182,2020-06-06,78880,2.5568181818181817
North Dakota,US,2022-05-02 04:32:00,47.5289,-99.784,241017,2268,,,38.0,31641.388758394987,,,0.9405831781592272,84000038.0,USA,,,2022-05-01,,
North Dakota,US,2021-02-20 05:30:30,47.5289,-99.784,99012,1465,96864.0,824.0,38.0,13011.146074728827,1387253.0,,1.4775145482234526,84000038.0,USA,182039.38787132804,,2021-02-19,,
North Dakota,US,2020-10-02 04:30:36,47.5289,-99.784,22612,256,18272.0,3690.0,38.0,2915.510811456286,,,,84000038.0,USA,81270.42156674918,,2020-10-01,619331.0,1.152218921595103
North Dakota,US,2021-02-19 05:31:04,47.5289,-99.784,98930,1465,96763.0,806.0,38.0,12995.530547383283,1387253.0,,1.4792899408284024,84000038.0,USA,182039.38787132804,,2021-02-18,,
North Dakota,US,2020-09-23 04:30:25,47.5289,-99.784,18927,196,15220.0,3092.0,38.0,2428.6737824481474,,,,84000038.0,USA,74605.47829441699,,2020-09-22,568540.0,1.059001512859304
North Dakota,US,2020-09-24 04:30:25,47.5289,-99.784,19393,203,15476.0,3302.0,38.0,2490.7422230737134,,,,84000038.0,USA,75516.03412845674,,2020-09-23,575479.0,1.0694905431747537
North Dakota,US,2022-09-17 04:32:41,47.5289,-99.784,267570,2364,,,38.0,35074.18031603728,,,0.8844425654820474,84000038.0,USA,,,2022-09-16,,
North Dakota,US,2022-09-18 04:33:05,47.5289,-99.784,267606,2364,,,38.0,35074.18031603728,,,0.8844425654820474,84000038.0,USA,,,2022-09-17,,
North Dakota,US,2021-04-10 04:30:47,47.5289,-99.784,104491,1501,,,38.0,13711.22034690091,1481446.0,,1.436528596585254,84000038.0,USA,194399.6682684611,,2021-04-09,,
North Dakota,US,2021-04-09 04:30:59,47.5289,-99.784,104280,1499,,,38.0,13694.948704961014,1477574.0,,1.4363190372158985,84000038.0,USA,193891.573126596,,2021-04-08,,
North Dakota,US,2021-09-24 04:31:40,47.5289,-99.784,128294,1628,,,38.0,16784.985998514556,1737352.0,,1.2727500156357496,84000038.0,USA,227980.4005448375,,2021-09-23,,
North Dakota,US,2021-09-23 04:31:15,47.5289,-99.784,127658,1628,,,38.0,16702.446782545252,1732690.0,,1.2790396203734984,84000038.0,USA,227368.63929706503,,2021-09-22,,
North Dakota,US,2021-10-02 04:31:30,47.5289,-99.784,133255,1645,,,38.0,17427.453409302656,1767583.0,,1.2386302029998193,84000038.0,USA,231947.4006052001,,2021-10-01,,
North Dakota,US,2021-06-07 04:31:14,47.5289,-99.784,109989,1547,,,38.0,14460.634436568153,1567573.0,,1.4038239911432953,84000038.0,USA,205701.5046019877,,2021-06-06,,
North Dakota,US,2021-06-08 04:31:10,47.5289,-99.784,110028,1547,,,38.0,14462.734003270076,1568079.0,,1.403620196887901,84000038.0,USA,205767.9033989361,,2021-06-07,,
North Dakota,US,2022-03-11 04:31:19,47.5289,-99.784,238841,2223,,,38.0,31367.92019546966,2261351.0,,0.9299582083558188,84000038.0,USA,296741.07880986057,,2022-03-10,,
North Dakota,US,2022-03-12 04:31:16,47.5289,-99.784,238908,2223,,,38.0,31378.68047481701,2263051.0,,0.929639309984318,84000038.0,USA,296964.1577719398,,2022-03-11,,
North Dakota,US,2020-08-21 04:30:30,47.5289,-99.784,9458,130,7718.0,1394.0,38.0,1212.762216197632,,478.0,,84000038.0,USA,24248.28950925253,5.172040683834668,2020-08-20,184787.0,1.4066219433023155
North Dakota,US,2020-08-22 04:30:29,47.5289,-99.784,9714,132,7841.0,1501.0,38.0,1243.2059333754996,,491.0,,84000038.0,USA,24540.26050373854,5.182605024276969,2020-08-21,187012.0,1.3932868904369855
North Dakota,US,2022-12-05 04:33:33,47.5289,-99.784,277565,2232,,,38.0,36396.7761153292,,,0.8047129064124658,84000038.0,USA,,
North Dakota,US,2020-11-04 05:30:25,47.5289,-99.784,48602,555,38236.0,8396.0,38.0,6192.015872724267,,,,84000038.0,USA,112375.63347864084,,2020-11-03,856372.0,1.1761714031406956
North Dakota,US,2022-12-06 04:32:02,47.5289,-99.784,277797,2232,,,38.0,36396.7761153292,,,0.8047129064124658,84000038.0,USA,,
North Dakota,US,2020-11-03 06:00:57,47.5289,-99.784,47431,540,37035.0,8440.0,38.0,6038.222611808488,,,,84000038.0,USA,111377.42073479586,,2020-11-02,848765.0,1.1735303705313485
North Dakota,US,2022-08-15 04:32:40,47.5289,-99.784,261477,2326,,,38.0,34255.08685645,,,0.8910341128924132,84000038.0,USA,,,2022-08-14,,
North Dakota,US,2022-08-16 04:32:37,47.5289,-99.784,261835,2326,,,38.0,34255.08685645,,,0.8910341128924132,84000038.0,USA,,,2022-08-15,,
North Dakota,US,2020-12-31 05:30:27,47.5289,-99.784,91831,1282,89099.0,1822.0,38.0,12099.146788581507,1270216.0,,1.3904102903376243,84000038.0,USA,166681.45111552606,,2020-12-30,,
North Dakota,US,2021-01-01 05:30:27,47.5289,-99.784,92091,1299,89314.0,1882.0,38.0,12137.46388089158,1277930.0,,1.4044002378506946,84000038.0,USA,167693.70471169017,,2020-12-31,,
North Dakota,US,2022-08-01 04:32:09,47.5289,-99.784,257808,2309,,,38.0,33767.72493576638,,,0.8972879287765563,84000038.0,USA,,,2022-07-31,,
North Dakota,US,2022-09-29 04:31:43,47.5289,-99.784,269249,2364,,,38.0,35208.0276932848,,,0.8810802550809335,84000038.0,USA,,
North Dakota,US,2022-09-30 04:32:37,47.5289,-99.784,269405,2364,,,38.0,35208.0276932848,,,0.8810802550809335,84000038.0,USA,,
North Dakota,US,2022-07-31 04:32:23,47.5289,-99.784,257708,2309,,,38.0,33767.72493576638,,,0.8972879287765563,84000038.0,USA,,,2022-07-30,,
North Dakota,US,2023-02-14 04:32:27,47.5289,-99.784,285060,2458,,,38.0,37349.585729245126,,,0.8635863779613319,84000038.0,USA,,
North Dakota,US,2021-01-15 05:30:28,47.5289,-99.784,95006,1372,92249.0,1757.0,38.0,12515.779555994131,1294101.0,,1.438486862798549,84000038.0,USA,169815.7105327388,,2021-01-14,,
North Dakota,US,2023-02-13 04:32:45,47.5289,-99.784,284865,2458,,,38.0,37349.585729245126,,,0.8635863779613319,84000038.0,USA,,
North Dakota,US,2021-01-16 05:30:49,47.5289,-99.784,95131,1395,92551.0,1653.0,38.0,12544.779821064429,1298741.0,,1.4592202847310118,84000038.0,USA,170424.58487629614,,2021-01-15,,
North Dakota,US,2020-07-06 04:34:10,47.5289,-99.784,3849,80,3324,412.0,38,500.746658408371,,242,,84000038.0,USA,14844.98636593873,6.341719077568135,2020-07-05,113128,2.0964360587002098
North Dakota,US,2022-04-03 04:31:44,47.5289,-99.784,239645,2232,,,38.0,31475.52298894316,,,0.9305311782142306,84000038.0,USA,,,2022-04-02,,
North Dakota,US,2020-07-05 04:34:00,47.5289,-99.784,3816,80,3288,411.0,38,495.8914104101766,,241,,84000038.0,USA,14687.518863294588,6.377348504895475,2020-07-04,111928,2.1169621593014023
North Dakota,US,2022-04-04 04:31:28,47.5289,-99.784,239652,2232,,,38.0,31475.52298894316,,,0.9305311782142306,84000038.0,USA,,,2022-04-03,,
North Dakota,US,2021-02-28 05:30:29,47.5289,-99.784,99586,1475,97678.0,627.0,38.0,13093.422844860392,1409086.0,,1.478252154740429,84000038.0,USA,184904.37785901933,,2021-02-27,,
North Dakota,US,2023-01-21 04:31:50,47.5289,-99.784,282410,2442,,,38.0,37027.17101758125,,,0.8654357302335471,84000038.0,USA,,
North Dakota,US,2021-02-27 05:30:48,47.5289,-99.784,99555,1472,97562.0,677.0,38.0,13084.368463458351,1407119.0,,1.4762664099246825,84000038.0,USA,184646.26237760184,,2021-02-26,,
North Dakota,US,2023-01-22 04:31:47,47.5289,-99.784,282427,2442,,,38.0,37027.17101758125,,,0.8654357302335471,84000038.0,USA,,
North Dakota,US,2021-01-21 05:30:34,47.5289,-99.784,95789,1409,93658.0,1155.0,38.0,12626.531699520512,1311137.0,,1.4643220885036683,84000038.0,USA,172051.22417861017,,2021-01-20,,
North Dakota,US,2023-02-28 04:31:32,47.5289,-99.784,286624,2463,,,38.0,37562.16685781472,,,0.8604456989942253,84000038.0,USA,,
North Dakota,US,2021-01-22 05:30:39,47.5289,-99.784,95973,1422,93801.0,1146.0,38.0,12645.82146859442,1315777.0,,1.4755782461164897,84000038.0,USA,172660.09852216748,,2021-01-21,,
North Dakota,US,2023-02-27 04:31:24,47.5289,-99.784,286429,2463,,,38.0,37562.16685781472,,,0.8604456989942253,84000038.0,USA,,
