Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Ohio,US,2022-01-22 04:32:02,40.3888,-82.7649,2480566,35067,,,39.0,21221.188970921627,28135455.0,,1.4050019229482305,84000039.0,USA,2.406982145759725e-05,,2022-01-21,,
Ohio,US,2022-01-21 04:31:23,40.3888,-82.7649,2460869,34928,,,39.0,21052.6815580327,28060628.0,,1.4108837162807122,84000039.0,USA,2.400580711945317e-05,,2022-01-20,,
Ohio,US,2021-07-05 04:31:17,40.3888,-82.7649,1112289,20559,,,39.0,9515.60855840056,16930372.0,,1.848530372951634,84000039.0,USA,1.4483896963838106e-05,,2021-07-04,,
Ohio,US,2021-07-06 04:30:55,40.3888,-82.7649,1112499,20564,,,39.0,9517.405103900215,16944467.0,,1.8486308751738203,84000039.0,USA,1.4495955206132208e-05,,2021-07-05,,
Ohio,US,2022-02-13 04:31:01,40.3888,-82.7649,2630846,37310,,,39.0,22506.831150387967,29147376.0,,1.399777866131275,84000039.0,USA,2.493551770452816e-05,,2022-02-12,,
Ohio,US,2022-02-14 04:31:03,40.3888,-82.7649,2632336,37376,,,39.0,22519.57806845694,29162789.0,,1.4007330371198814,84000039.0,USA,2.4948703492997748e-05,,2022-02-13,,
Ohio,US,2022-01-01 04:32:44,40.3888,-82.7649,2016082,31898,,,39.0,17247.538304916547,26255941.0,,1.577564801431688,84000039.0,USA,2.246190125843735e-05,,2021-12-31,,
Ohio,US,2021-12-31 04:33:06,40.3888,-82.7649,1995497,31770,,,39.0,17071.43407105765,26177841.0,,1.5874741981571507,84000039.0,USA,2.239508687580737e-05,,2021-12-30,,
Ohio,US,2021-11-03 06:26:25,40.3888,-82.7649,1551705,26206,,,39.0,13274.80302161843,22661374.0,,1.687434145021122,84000039.0,USA,1.9386756893173985e-05,,2021-11-02,,
Ohio,US,2021-11-04 04:32:32,40.3888,-82.7649,1556208,26270,,,39.0,13313.326090118144,22719141.0,,1.6865997347398292,84000039.0,USA,1.9436176437878025e-05,,2021-11-03,,
