Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Oregon,US,2022-01-22 04:32:02,44.572,-122.0709,570892,5936,,,41.0,13535.504940208457,9458434.0,,1.0397763499926431,84000041.0,USA,224253.76451874548,,2022-01-21,,
Oregon,US,2022-01-21 04:31:23,44.572,-122.0709,559960,5916,,,41.0,13276.313814730504,9415239.0,,1.0565040360025717,84000041.0,USA,223229.63712531148,,2022-01-20,,
Oregon,US,2021-07-05 04:31:17,44.572,-122.0709,209037,2781,,,41.0,4956.141172386993,5439057.0,,1.3303864866028503,84000041.0,USA,128956.7604618306,,2021-07-04,,
Oregon,US,2021-07-06 04:30:55,44.572,-122.0709,209037,2781,,,41.0,4956.141172386993,5439057.0,,1.3303864866028503,84000041.0,USA,128956.7604618306,,2021-07-05,,
Oregon,US,2022-02-13 04:31:01,44.572,-122.0709,674500,6355,,,41.0,15991.988120643842,10157714.0,,0.9421793921423276,84000041.0,USA,240833.27149132345,,2022-02-12,,
Oregon,US,2022-02-14 04:31:03,44.572,-122.0709,674500,6355,,,41.0,15991.988120643842,10157714.0,,0.9421793921423276,84000041.0,USA,240833.27149132345,,2022-02-13,,
Oregon,US,2022-01-01 04:32:44,44.572,-122.0709,421263,5655,,,41.0,9987.891611070108,8660884.0,,1.342391807493181,84000041.0,USA,205344.33512568468,,2021-12-31,,
Oregon,US,2021-12-31 04:33:06,44.572,-122.0709,421263,5655,,,41.0,9987.891611070108,8636672.0,,1.342391807493181,84000041.0,USA,204770.2832111153,,2021-12-30,,
Oregon,US,2021-11-03 06:26:25,44.572,-122.0709,368696,4405,,,41.0,8741.55975111772,7586350.0,,1.1947512313667628,84000041.0,USA,179867.78217797837,,2021-11-02,,
Oregon,US,2021-11-04 04:32:32,44.572,-122.0709,369815,4469,,,41.0,8768.090566102153,7603852.0,,1.2084420588672715,84000041.0,USA,180282.7440402282,,2021-11-03,,
Oregon,US,2021-08-22 04:31:19,44.572,-122.0709,252977,3012,,,41.0,5997.932066413814,6073536.0,,1.1906220723623095,84000041.0,USA,143999.87481438505,,2021-08-21,,
Oregon,US,2021-08-21 04:31:06,44.572,-122.0709,252977,3012,,,41.0,5997.932066413814,6046852.0,,1.1906220723623095,84000041.0,USA,143367.2132710029,,2021-08-20,,
Oregon,US,2022-11-10 04:33:11,44.572,-122.0709,910693,8726,,,41.0,21591.98167168792,,,0.958171414516198,84000041.0,USA,,
Oregon,US,2022-11-09 04:32:08,44.572,-122.0709,910693,8726,,,41.0,21591.98167168792,,,0.958171414516198,84000041.0,USA,,
Oregon,US,2021-03-26 05:30:37,44.572,-122.0709,162804,2370,,,41.0,3859.9846315690143,4098594.0,,1.4557381882509028,84000041.0,USA,97175.19134075928,,2021-03-25,,
Oregon,US,2021-03-25 05:30:43,44.572,-122.0709,162383,2368,,,41.0,3850.0029755292944,4085646.0,,1.4582807313573465,84000041.0,USA,96868.20207139516,,2021-03-24,,
Oregon,US,2020-06-08 03:33:42,44.572,-122.0709,4662,163,2237,2262.0,41,110.53320773675551,,819,,84000041.0,USA,3518.4744805093346,17.56756756756757,2020-06-07,148400,3.496353496353497
Oregon,US,2020-06-07 03:53:50,44.572,-122.0709,4570,161,2237,2172.0,41,108.35194323401387,,819,,84000041.0,USA,3465.3417223501606,17.921225382932167,2020-06-06,146159,3.5229759299781183
Oregon,US,2022-05-02 04:32:00,44.572,-122.0709,721311,7502,,,41.0,17101.848692794265,11156417.0,,1.040050685487952,84000041.0,USA,264511.9171726449,,2022-05-01,,
Oregon,US,2021-02-20 05:30:30,44.572,-122.0709,152190,2149,,,41.0,3608.333094263583,3449326.0,,1.4120507260661015,84000041.0,USA,81781.43871938909,,2021-02-19,,
Oregon,US,2020-10-02 04:30:36,44.572,-122.0709,33862,560,5738.0,27564.0,41.0,802.8475933895356,,,,84000041.0,USA,16405.59854727784,,2020-10-01,691945.0,1.6537711889433584
Oregon,US,2021-02-19 05:31:04,44.572,-122.0709,151713,2149,,,41.0,3597.0237120048027,3431911.0,,1.4164903469050114,84000041.0,USA,81368.53957465816,,2021-02-18,,
Oregon,US,2020-09-23 04:30:25,44.572,-122.0709,31313,532,5431.0,25350.0,41.0,742.412341025531,,,,84000041.0,USA,15235.20788517634,,2020-09-22,642581.0,1.6989748666687956
Oregon,US,2020-09-24 04:30:25,44.572,-122.0709,31503,538,5475.0,25490.0,41.0,746.9171264116278,,,,84000041.0,USA,15319.233987325431,,2020-09-23,646125.0,1.7077738628067167
Oregon,US,2022-09-17 04:32:41,44.572,-122.0709,885963,8492,,,41.0,21005.648289592264,12549139.0,,0.9585050391494904,84000041.0,USA,297532.5156594638,,2022-09-16,,
Oregon,US,2022-09-18 04:33:05,44.572,-122.0709,885963,8492,,,41.0,21005.648289592264,12549139.0,,0.9585050391494904,84000041.0,USA,297532.5156594638,,2022-09-17,,
Oregon,US,2021-04-10 04:30:47,44.572,-122.0709,169338,2440,,,41.0,4014.901830057208,4304400.0,,1.4409051719047112,84000041.0,USA,102054.72745218583,,2021-04-09,,
Oregon,US,2021-04-09 04:30:59,44.572,-122.0709,168795,2439,,,41.0,4002.027627611679,4285327.0,,1.4449480138629698,84000041.0,USA,101602.51812761204,,2021-04-08,,
Oregon,US,2021-09-24 04:31:40,44.572,-122.0709,318914,3661,,,41.0,7561.258561166805,6777457.0,,1.147958383764902,84000041.0,USA,160689.4170973676,,2021-09-23,,
Oregon,US,2021-09-23 04:31:15,44.572,-122.0709,317107,3650,,,41.0,7518.415681205348,6747666.0,,1.1510310399959636,84000041.0,USA,159983.09045822438,,2021-09-22,,
Oregon,US,2021-10-02 04:31:30,44.572,-122.0709,331709,3815,,,41.0,7864.620292825276,6959207.0,,1.1501044590288476,84000041.0,USA,164998.5999601208,,2021-10-01,,
