Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Pennsylvania,US,2022-01-22 04:32:02,40.5908,-77.2098,2542816,39362,,,42.0,19862.66352830017,22879685.0,,1.547968866013113,84000042.0,USA,178719.76768609945,,2022-01-21,,
Pennsylvania,US,2022-01-21 04:31:23,40.5908,-77.2098,2523956,39093,,,42.0,19715.34267058033,22820638.0,,1.5488780311542674,84000042.0,USA,178258.53466988605,,2022-01-20,,
Pennsylvania,US,2021-07-05 04:31:17,40.5908,-77.2098,1226653,27706,,,42.0,9581.737650297937,14617965.0,,2.2586664688383755,84000042.0,USA,114185.10826716069,,2021-07-04,,
Pennsylvania,US,2021-07-06 04:30:55,40.5908,-77.2098,1226776,27706,,,42.0,9582.698438500454,14617965.0,,2.2584400086079284,84000042.0,USA,114185.10826716069,,2021-07-05,,
Pennsylvania,US,2022-02-13 04:31:01,40.5908,-77.2098,2722395,42203,,,42.0,21265.406492694223,23831749.0,,1.5502158944605762,84000042.0,USA,186156.6120702025,,2022-02-12,,
Pennsylvania,US,2022-02-14 04:31:03,40.5908,-77.2098,2724802,42203,,,42.0,21284.20825857607,23875295.0,,1.548846484992304,84000042.0,USA,186496.76233903965,,2022-02-13,,
Pennsylvania,US,2022-01-01 04:32:44,40.5908,-77.2098,2036424,36705,,,42.0,15907.09068723618,21414991.0,,1.802424249566888,84000042.0,USA,167278.62365762072,,2021-12-31,,
Pennsylvania,US,2021-12-31 04:33:06,40.5908,-77.2098,2015367,36639,,,42.0,15742.608433736352,21355349.0,,1.8179815388462743,84000042.0,USA,166812.74292611875,,2021-12-30,,
Pennsylvania,US,2021-11-03 06:26:25,40.5908,-77.2098,1587165,31530,,,42.0,12397.80006059996,18664133.0,,1.9865609435691944,84000042.0,USA,145790.88452583426,,2021-11-02,,
Pennsylvania,US,2021-11-04 04:32:32,40.5908,-77.2098,1591266,31711,,,42.0,12429.834145303515,18664133.0,,1.9928157831563045,84000042.0,USA,145790.88452583426,,2021-11-03,,
Pennsylvania,US,2021-08-22 04:31:19,40.5908,-77.2098,1280883,28074,,,42.0,10005.34370088898,15587766.0,,2.191769271666499,84000042.0,USA,121760.50143458176,,2021-08-21,,
Pennsylvania,US,2021-08-21 04:31:06,40.5908,-77.2098,1278084,28059,,,42.0,9983.479910816985,15553624.0,,2.1953956078004264,84000042.0,USA,121493.80850116338,,2021-08-20,,
Pennsylvania,US,2022-11-10 04:33:11,40.5908,-77.2098,3330062,47994,,,42.0,26012.067343597937,,,1.4412344274671165,84000042.0,USA,,
Pennsylvania,US,2022-11-09 04:32:08,40.5908,-77.2098,3318490,47840,,,42.0,25921.675139699,,,1.441619531774994,84000042.0,USA,,
Pennsylvania,US,2021-03-26 05:30:37,40.5908,-77.2098,1009812,24913,,,42.0,7887.930539543504,11389541.0,,2.467092884616146,84000042.0,USA,88966.96443029284,,2021-03-25,,
Pennsylvania,US,2021-03-25 05:30:43,40.5908,-77.2098,1006040,24872,,,42.0,7858.466367999535,11345465.0,,2.472267504274184,84000042.0,USA,88622.67417977004,,2021-03-24,,
Pennsylvania,US,2020-06-08 03:33:42,40.5908,-77.2098,79314,5953,53670,19691.0,42,619.5443536156764,,,,84000042.0,USA,4064.876168851575,,2020-06-07,602604,7.505610610989232
Pennsylvania,US,2020-06-07 03:53:50,40.5908,-77.2098,78885,5940,52560,20385.0,42,616.1933118361529,,,,84000042.0,USA,3990.223706644335,,2020-06-06,591961,7.529948659440958
Pennsylvania,US,2022-05-02 04:32:00,40.5908,-77.2098,2821667,44678,,,42.0,22040.848496276634,25396254.0,,1.5833902441358247,84000042.0,USA,198377.40838552508,,2022-05-01,,
Pennsylvania,US,2021-02-20 05:30:30,40.5908,-77.2098,916529,23490,799720.0,93319.0,42.0,7159.270329009031,10032502.0,,2.562930360086806,84000042.0,USA,78366.74441760572,,2021-02-19,,
Pennsylvania,US,2020-10-02 04:30:36,40.5908,-77.2098,164974,8148,131300.0,25526.0,42.0,1288.6591294524624,,,,84000042.0,USA,16011.27762256318,,2020-10-01,3079975.0,4.938960078557833
Pennsylvania,US,2021-02-19 05:31:04,40.5908,-77.2098,913732,23414,797275.0,93043.0,42.0,7137.422161509434,9991280.0,,2.5624581387102565,84000042.0,USA,78044.7475778959,,2021-02-18,,
Pennsylvania,US,2020-09-23 04:30:25,40.5908,-77.2098,156419,8007,122833.0,25579.0,42.0,1221.8335760169768,,,,84000042.0,USA,15072.36102140066,,2020-09-22,2833544.0,5.118943350871697
Pennsylvania,US,2020-09-24 04:30:25,40.5908,-77.2098,157209,8042,123560.0,25607.0,42.0,1228.0044921144674,,,,84000042.0,USA,15176.985388754823,,2020-09-23,2858086.0,5.115483210248777
Pennsylvania,US,2022-09-17 04:32:41,40.5908,-77.2098,3220994,46970,,,42.0,25160.10598040664,27723446.0,,1.4582454981288384,84000042.0,USA,216555.77113837545,,2022-09-16,,
Pennsylvania,US,2022-09-18 04:33:05,40.5908,-77.2098,3220994,46970,,,42.0,25160.10598040664,27723446.0,,1.4582454981288384,84000042.0,USA,216555.77113837545,,2022-09-17,,
Pennsylvania,US,2021-04-10 04:30:47,40.5908,-77.2098,1074874,25372,,,42.0,8396.148442245967,12029503.0,,2.360462714699584,84000042.0,USA,93965.89076900472,,2021-04-09,,
Pennsylvania,US,2021-04-09 04:30:59,40.5908,-77.2098,1069605,25327,,,42.0,8354.990775261564,11977359.0,,2.367883471000977,84000042.0,USA,93558.57906142555,,2021-04-08,,
Pennsylvania,US,2021-09-24 04:31:40,40.5908,-77.2098,1410714,29030,,,42.0,11019.490799437492,16900946.0,,2.057823201584446,84000042.0,USA,132018.12624585134,,2021-09-23,,
Pennsylvania,US,2021-09-23 04:31:15,40.5908,-77.2098,1405113,28998,,,42.0,10975.739785434904,16852816.0,,2.063748609542436,84000042.0,USA,131642.16904107635,,2021-09-22,,
Pennsylvania,US,2021-10-02 04:31:30,40.5908,-77.2098,1449092,29437,,,42.0,11319.272341196356,17298301.0,,2.0314100139949707,84000042.0,USA,135121.9798735962,,2021-10-01,,
Pennsylvania,US,2021-06-07 04:31:14,40.5908,-77.2098,1219067,27348,,,42.0,9522.481233189625,14098785.0,,2.243354959161392,84000042.0,USA,110129.64469817933,,2021-06-06,,
Pennsylvania,US,2021-06-08 04:31:10,40.5908,-77.2098,1219310,27360,,,42.0,9524.379375736067,14098785.0,,2.2438920372997844,84000042.0,USA,110129.64469817933,,2021-06-07,,
Pennsylvania,US,2022-03-11 04:31:19,40.5908,-77.2098,2767631,43767,,,42.0,21618.757835208264,24472220.0,,1.5813885593852648,84000042.0,USA,191159.51435358988,,2022-03-10,,
