Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
South Carolina,US,2022-01-22 04:32:02,33.8569,-80.945,1265710,15108,,,45.0,24583.03180172758,11645965.0,,1.193638353177268,84000045.0,USA,226191.72476855383,,2022-01-21,,
South Carolina,US,2022-01-21 04:31:23,33.8569,-80.945,1249632,15053,,,45.0,24270.75964988539,11608423.0,,1.2045946326598551,84000045.0,USA,225462.5718189047,,2022-01-20,,
South Carolina,US,2021-07-05 04:31:17,33.8569,-80.945,597261,9830,,,45.0,11600.19764158584,6683189.0,,1.6458466231680955,84000045.0,USA,129803.07315574336,,2021-07-04,,
South Carolina,US,2021-07-06 04:30:55,33.8569,-80.945,597961,9841,,,45.0,11613.793269542646,6683189.0,,1.6457595060547427,84000045.0,USA,129803.07315574336,,2021-07-05,,
South Carolina,US,2022-02-13 04:31:01,33.8569,-80.945,1431067,16136,,,45.0,27794.64930466132,12360486.0,,1.127550282411655,84000045.0,USA,240069.38431616127,,2022-02-12,,
South Carolina,US,2022-02-14 04:31:03,33.8569,-80.945,1431067,16136,,,45.0,27794.64930466132,12360486.0,,1.127550282411655,84000045.0,USA,240069.38431616127,,2022-02-13,,
South Carolina,US,2022-01-01 04:32:44,33.8569,-80.945,975320,14636,,,45.0,18942.982655474745,10626295.0,,1.5006356887995735,84000045.0,USA,206387.3619703872,,2021-12-31,,
South Carolina,US,2021-12-31 04:33:06,33.8569,-80.945,966259,14617,,,45.0,18766.99696273672,10602027.0,,1.5127414078419967,84000045.0,USA,205916.0209714504,,2021-12-30,,
South Carolina,US,2021-11-03 06:26:25,33.8569,-80.945,899912,13766,,,45.0,17478.38392266496,9592756.0,,1.5297051267235018,84000045.0,USA,186313.63093774483,,2021-11-02,,
South Carolina,US,2021-11-04 04:32:32,33.8569,-80.945,900464,13803,,,45.0,17489.105046425186,9605802.0,,1.5328763837310542,84000045.0,USA,186567.0145982084,,2021-11-03,,
South Carolina,US,2021-08-22 04:31:19,33.8569,-80.945,681659,10213,,,45.0,13239.403082012324,7347966.0,,1.4982564596081032,84000045.0,USA,142714.58853608882,,2021-08-21,,
South Carolina,US,2021-08-21 04:31:06,33.8569,-80.945,681659,10213,,,45.0,13239.403082012324,7311082.0,,1.4982564596081032,84000045.0,USA,141998.21547671905,,2021-08-20,,
South Carolina,US,2022-11-10 04:33:11,33.8569,-80.945,1729333,18660,,,45.0,33587.668687753874,,,1.0790287353563484,84000045.0,USA,,
South Carolina,US,2022-11-09 04:32:08,33.8569,-80.945,1729333,18660,,,45.0,33587.668687753874,,,1.0790287353563484,84000045.0,USA,,
South Carolina,US,2021-03-26 05:30:37,33.8569,-80.945,545254,9083,,,45.0,10590.10075137209,5504431.0,,1.6658291365125244,84000045.0,USA,106908.85141415895,,2021-03-25,,
South Carolina,US,2021-03-25 05:30:43,33.8569,-80.945,543925,9055,,,45.0,10564.288480579811,5489821.0,,1.6647515742060026,84000045.0,USA,106625.09123637476,,2021-03-24,,
South Carolina,US,2020-06-08 03:33:42,33.8569,-80.945,14286,546,7347,6393.0,45,277.467344272764,,1814,,84000045.0,USA,4619.774957397129,12.697746045079098,2020-06-07,237859,3.821923561528769
South Carolina,US,2020-06-07 03:53:50,33.8569,-80.945,13453,539,7347,5567.0,45,261.2885470041645,,1814,,84000045.0,USA,4492.364501116201,13.483981268118637,2020-06-06,231299,4.006541291905151
South Carolina,US,2022-05-02 04:32:00,33.8569,-80.945,1474274,17767,,,45.0,28633.82972913236,13124058.0,,1.2051355446816534,84000045.0,USA,254899.72835935344,,2022-05-01,,
South Carolina,US,2021-02-20 05:30:30,33.8569,-80.945,497937,8213,226443.0,263281.0,45.0,9671.09456846894,4780728.0,,1.6494054468738013,84000045.0,USA,92852.85607240952,,2021-02-19,,
South Carolina,US,2020-10-02 04:30:36,33.8569,-80.945,148323,3400,74499.0,70424.0,45.0,2880.777607767687,,,,84000045.0,USA,25568.59829464212,,2020-10-01,1316454.0,2.292294519393486
South Carolina,US,2021-02-19 05:31:04,33.8569,-80.945,495044,8155,225005.0,261884.0,45.0,9614.905780356026,4752459.0,,1.647328318290899,84000045.0,USA,92303.80634853676,,2021-02-18,,
South Carolina,US,2020-09-23 04:30:25,33.8569,-80.945,140789,3243,68748.0,68798.0,45.0,2734.449806301146,,,,84000045.0,USA,22772.366070440115,,2020-09-22,1172484.0,2.3034470022515965
South Carolina,US,2020-09-24 04:30:25,33.8569,-80.945,141686,3262,67491.0,70933.0,45.0,2751.8716324115107,,,,84000045.0,USA,23123.91016475181,,2020-09-23,1190584.0,2.302274042601245
South Carolina,US,2022-09-17 04:32:41,33.8569,-80.945,1696746,18316,,,45.0,32954.75336171324,12808249.0,,1.0794780126194492,84000045.0,USA,248765.9831173377,,2022-09-16,,
South Carolina,US,2022-09-18 04:33:05,33.8569,-80.945,1696746,18316,,,45.0,32954.75336171324,12808249.0,,1.0794780126194492,84000045.0,USA,248765.9831173377,,2022-09-17,,
South Carolina,US,2021-04-10 04:30:47,33.8569,-80.945,560762,9248,,,45.0,10891.302177592308,5777301.0,,1.649184502516219,84000045.0,USA,112208.62141497858,,2021-04-09,,
South Carolina,US,2021-04-09 04:30:59,33.8569,-80.945,559597,9237,,,45.0,10868.675168207052,5765567.0,,1.6506521657549986,84000045.0,USA,111980.7198457712,,2021-04-08,,
South Carolina,US,2021-09-24 04:31:40,33.8569,-80.945,838079,11957,,,45.0,16277.443260588954,8621617.0,,1.426715142605888,84000045.0,USA,167451.85302582354,,2021-09-23,,
South Carolina,US,2021-09-23 04:31:15,33.8569,-80.945,834880,11913,,,45.0,16215.31124082635,8603708.0,,1.4269116519739364,84000045.0,USA,167104.01859571147,,2021-09-22,,
South Carolina,US,2021-10-02 04:31:30,33.8569,-80.945,860369,12570,,,45.0,16710.36689938497,8840178.0,,1.461001035602166,84000045.0,USA,171696.81594277718,,2021-10-01,,
South Carolina,US,2021-06-07 04:31:14,33.8569,-80.945,594130,9754,,,45.0,11539.386339967612,6500539.0,,1.6417282412939929,84000045.0,USA,126255.58537529956,,2021-06-06,,
South Carolina,US,2021-06-08 04:31:10,33.8569,-80.945,594225,9754,,,45.0,11541.231460904606,6512720.0,,1.641465774748622,84000045.0,USA,126492.16872407364,,2021-06-07,,
South Carolina,US,2022-03-11 04:31:19,33.8569,-80.945,1464590,17331,,,45.0,28445.743927512773,12676113.0,,1.1833345851057293,84000045.0,USA,246199.59469490827,,2022-03-10,,
South Carolina,US,2022-03-12 04:31:16,33.8569,-80.945,1465127,17372,,,45.0,28456.17371638821,12682496.0,,1.1856992602006515,84000045.0,USA,246323.56739954872,,2022-03-11,,
South Carolina,US,2020-08-21 04:30:30,33.8569,-80.945,109320,2401,45205.0,61714.0,45.0,2123.2486403400926,,7146.0,,84000045.0,USA,17340.252342623808,6.536772777167947,2020-08-20,892800.0,2.196304427369191
South Carolina,US,2020-08-22 04:30:29,33.8569,-80.945,110378,2459,46118.0,61801.0,45.0,2143.797460880523,,7439.0,,84000045.0,USA,17541.875505223245,6.739567667469967,2020-08-21,903181.0,2.227799017920238
South Carolina,US,2022-12-05 04:33:33,33.8569,-80.945,1738379,18711,,,45.0,33763.36304560712,,,1.0763475628732284,84000045.0,USA,,
South Carolina,US,2020-11-04 05:30:25,33.8569,-80.945,179952,3968,92763.0,83221.0,45.0,3495.0863458331537,,,,84000045.0,USA,36030.80303159197,,2020-11-03,1855123.0,2.205032453098604
South Carolina,US,2022-12-06 04:32:02,33.8569,-80.945,1738379,18711,,,45.0,33763.36304560712,,,1.0763475628732284,84000045.0,USA,,
South Carolina,US,2020-11-03 06:00:57,33.8569,-80.945,178917,3946,91934.0,83037.0,45.0,3474.984238782733,,,,84000045.0,USA,35776.66190042795,,2020-11-02,1842038.0,2.2054919320131683
South Carolina,US,2022-08-15 04:32:40,33.8569,-80.945,1637108,18215,,,45.0,31796.44470444464,12808249.0,,1.1126327646068557,84000045.0,USA,248765.9831173377,,2022-08-14,,
South Carolina,US,2022-08-16 04:32:37,33.8569,-80.945,1637108,18215,,,45.0,31796.44470444464,12808249.0,,1.1126327646068557,84000045.0,USA,248765.9831173377,,2022-08-15,,
South Carolina,US,2020-12-31 05:30:27,33.8569,-80.945,303475,5249,149770.0,148456.0,45.0,5894.190277416847,3150834.0,,1.7296317653842983,84000045.0,USA,61196.52402522261,,2020-12-30,,
South Carolina,US,2021-01-01 05:30:27,33.8569,-80.945,307507,5296,151084.0,151127.0,45.0,5972.501094448051,3173021.0,,1.7222372173641576,84000045.0,USA,61627.44716447641,,2020-12-31,,
South Carolina,US,2022-08-01 04:32:09,33.8569,-80.945,1605165,18192,,,45.0,31176.037356124267,12808249.0,,1.133341432189214,84000045.0,USA,248765.9831173377,,2022-07-31,,
South Carolina,US,2022-09-29 04:31:43,33.8569,-80.945,1708074,18365,,,45.0,33174.769466705664,,,1.0751876089677614,84000045.0,USA,,
South Carolina,US,2022-09-30 04:32:37,33.8569,-80.945,1708074,18365,,,45.0,33174.769466705664,,,1.0751876089677614,84000045.0,USA,,
South Carolina,US,2022-07-31 04:32:23,33.8569,-80.945,1605165,18192,,,45.0,31176.037356124267,12808249.0,,1.133341432189214,84000045.0,USA,248765.9831173377,,2022-07-30,,
South Carolina,US,2023-02-14 04:32:27,33.8569,-80.945,1818546,19330,,,45.0,35320.39262619753,,,1.062937093700132,84000045.0,USA,,
South Carolina,US,2021-01-15 05:30:28,33.8569,-80.945,371180,5934,170072.0,195174.0,45.0,7209.178835724804,3576120.0,,1.5986852739910555,84000045.0,USA,69456.56721270594,,2021-01-14,,
South Carolina,US,2023-02-13 04:32:45,33.8569,-80.945,1818546,19330,,,45.0,35320.39262619753,,,1.062937093700132,84000045.0,USA,,
South Carolina,US,2021-01-16 05:30:49,33.8569,-80.945,375967,6037,171539.0,198391.0,45.0,7302.153508623707,3609752.0,,1.6057260344657909,84000045.0,USA,70109.77886905351,,2021-01-15,,
South Carolina,US,2020-07-06 04:34:10,33.8569,-80.945,44847,820,16994,27033.0,45,871.0330385412745,,2882,,84000045.0,USA,8367.312692062524,6.426293843512386,2020-07-05,430809,1.828438914531629
South Carolina,US,2022-04-03 04:31:44,33.8569,-80.945,1468140,17591,,,45.0,28514.693183579435,12761643.0,,1.1981827346165896,84000045.0,USA,247860.78620797352,,2022-04-02,,
South Carolina,US,2020-07-05 04:34:00,33.8569,-80.945,43386,813,16994,25579.0,45,842.6570207628546,,2882,,84000045.0,USA,8170.83644576102,6.642695800488637,2020-07-04,420693,1.873876365647905
South Carolina,US,2022-04-04 04:31:28,33.8569,-80.945,1468140,17591,,,45.0,28514.693183579435,12761643.0,,1.1981827346165896,84000045.0,USA,247860.78620797352,,2022-04-03,,
South Carolina,US,2021-02-28 05:30:29,33.8569,-80.945,515072,8498,230793.0,275781.0,45.0,10003.896118525909,5000460.0,,1.6498664264413518,84000045.0,USA,97120.56253270234,,2021-02-27,,
South Carolina,US,2023-01-21 04:31:50,33.8569,-80.945,1799966,19069,,,45.0,34959.52581557259,,,1.059408899945888,84000045.0,USA,,
South Carolina,US,2021-02-27 05:30:48,33.8569,-80.945,513295,8477,230793.0,274025.0,45.0,9969.382645841271,4966441.0,,1.6514869616886976,84000045.0,USA,96459.8344363272,,2021-02-26,,
South Carolina,US,2023-01-22 04:31:47,33.8569,-80.945,1799966,19069,,,45.0,34959.52581557259,,,1.059408899945888,84000045.0,USA,,
South Carolina,US,2021-01-21 05:30:34,33.8569,-80.945,399843,6328,179632.0,213883.0,45.0,7765.880955904717,3823586.0,,1.582621178812684,84000045.0,USA,74262.93245264741,,2021-01-20,,
South Carolina,US,2023-02-28 04:31:32,33.8569,-80.945,1827620,19490,,,45.0,35496.630809169044,,,1.066414243661155,84000045.0,USA,,
South Carolina,US,2021-01-22 05:30:39,33.8569,-80.945,404492,6373,181322.0,216797.0,45.0,7856.175347863564,3862267.0,,1.575556500499392,84000045.0,USA,75014.20743121486,,2021-01-21,,
South Carolina,US,2023-02-27 04:31:24,33.8569,-80.945,1827620,19490,,,45.0,35496.630809169044,,,1.066414243661155,84000045.0,USA,,
South Carolina,US,2022-07-06 04:32:28,33.8569,-80.945,1546406,18033,,,45.0,30034.80092310429,12808249.0,,1.1661232561177337,84000045.0,USA,248765.9831173377,,2022-07-05,,
South Carolina,US,2022-07-05 04:32:23,33.8569,-80.945,1546406,18033,,,45.0,30034.80092310429,12808249.0,,1.1661232561177337,84000045.0,USA,248765.9831173377,,2022-07-04,,
South Carolina,US,2023-01-15 04:31:18,33.8569,-80.945,1791933,18983,,,45.0,34803.50627360541,,,1.0593588041517177,84000045.0,USA,,
South Carolina,US,2021-02-14 05:30:42,33.8569,-80.945,483140,7911,217023.0,258206.0,45.0,9383.70241578771,4631748.0,,1.6374135861241048,84000045.0,USA,89959.3179966881,,2021-02-13,,
South Carolina,US,2023-01-16 04:31:46,33.8569,-80.945,1791933,18983,,,45.0,34803.50627360541,,,1.0593588041517177,84000045.0,USA,,
South Carolina,US,2021-02-13 05:30:30,33.8569,-80.945,480157,7894,215306.0,256957.0,45.0,9325.765618366062,4595965.0,,1.6440455934204854,84000045.0,USA,89264.32891786181,,2021-02-12,,
South Carolina,US,2020-09-29 04:30:25,33.8569,-80.945,146455,3337,70430.0,72688.0,45.0,2844.496703448667,,,,84000045.0,USA,24742.644473940483,,2020-09-28,1273928.0,2.278515584991977
South Carolina,US,2020-08-01 04:36:46,33.8569,-80.945,89016,1712,32859,54445.0,45,1728.8977402900996,,5117,,84000045.0,USA,13456.466993505564,5.748404781162937,2020-07-31,692835,1.92324975285342
