Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
South Dakota,US,2022-01-22 04:32:02,44.2998,-99.4388,216656,2601,,,46.0,24490.34034582817,1221070.0,,1.200520641016173,84000046.0,USA,1.3802719465918504e-05,,2022-01-21,,
South Dakota,US,2022-01-21 04:31:23,44.2998,-99.4388,214473,2582,,,46.0,24243.57859921168,1216946.0,,1.2038811412159107,84000046.0,USA,1.3756102633896226e-05,,2022-01-20,,
South Dakota,US,2021-07-05 04:31:17,44.2998,-99.4388,124592,2038,,,46.0,14083.618659845206,824441.0,,1.6357390522665982,84000046.0,USA,9.319308343666882e-06,,2021-07-04,,
South Dakota,US,2021-07-06 04:30:55,44.2998,-99.4388,124592,2038,,,46.0,14083.618659845206,824441.0,,1.6357390522665982,84000046.0,USA,9.319308343666882e-06,,2021-07-05,,
South Dakota,US,2022-02-13 04:31:01,44.2998,-99.4388,232725,2730,,,46.0,26306.746441284155,1262675.0,,1.1730583306477602,84000046.0,USA,1.4273013669673853e-05,,2022-02-12,,
South Dakota,US,2022-02-14 04:31:03,44.2998,-99.4388,232725,2730,,,46.0,26306.746441284155,1262675.0,,1.1730583306477602,84000046.0,USA,1.4273013669673853e-05,,2022-02-13,,
South Dakota,US,2022-01-01 04:32:44,44.2998,-99.4388,179204,2486,,,46.0,20256.844727742555,1137161.0,,1.3872458204057945,84000046.0,USA,1.2854229708848267e-05,,2021-12-31,,
South Dakota,US,2021-12-31 04:33:06,44.2998,-99.4388,179204,2486,,,46.0,20256.844727742555,1137161.0,,1.3872458204057945,84000046.0,USA,1.2854229708848267e-05,,2021-12-30,,
South Dakota,US,2021-11-03 06:26:25,44.2998,-99.4388,155603,2249,,,46.0,17589.037131821413,1006324.0,,1.445344884096065,84000046.0,USA,1.137527567119082e-05,,2021-11-02,,
South Dakota,US,2021-11-04 04:32:32,44.2998,-99.4388,156123,2253,,,46.0,17647.81684242177,1008905.0,,1.4430929459464652,84000046.0,USA,1.1404450754471498e-05,,2021-11-03,,
South Dakota,US,2021-08-22 04:31:19,44.2998,-99.4388,128297,2059,,,46.0,14502.42409787274,850034.0,,1.6048699501936912,84000046.0,USA,9.608606253935132e-06,,2021-08-21,,
South Dakota,US,2021-08-21 04:31:06,44.2998,-99.4388,128297,2059,,,46.0,14502.42409787274,850034.0,,1.6048699501936912,84000046.0,USA,9.608606253935132e-06,,2021-08-20,,
South Dakota,US,2022-11-10 04:33:11,44.2998,-99.4388,265890,3078,,,46.0,30055.64856063184,,,1.15762157283087,84000046.0,USA,,
South Dakota,US,2022-11-09 04:32:08,44.2998,-99.4388,265019,3065,,,46.0,29957.19254537624,,,1.1565208532218445,84000046.0,USA,,
South Dakota,US,2021-03-26 05:30:37,44.2998,-99.4388,116624,1927,,,46.0,13182.932632799757,726200.0,,1.652318562217039,84000046.0,USA,8.208812661149662e-06,,2021-03-25,,
South Dakota,US,2021-03-25 05:30:43,44.2998,-99.4388,116370,1924,,,46.0,13154.221004929585,718805.0,,1.6533470825814214,84000046.0,USA,8.125221130401658e-06,,2021-03-24,,
South Dakota,US,2020-06-08 03:33:42,44.2998,-99.4388,5438,65,4335,1038.0,46,614.700127393719,63241.0,478,,84000046.0,USA,7.14863015014825e-07,8.789996322177272,2020-06-07,57060,1.1952923869069512
South Dakota,US,2020-06-07 03:53:50,44.2998,-99.4388,5367,65,4273,1029.0,46,606.6744361386703,61365.0,474,,84000046.0,USA,6.936571040366967e-07,8.831749580771382,2020-06-06,55458,1.2111049003167504
South Dakota,US,2022-05-02 04:32:00,44.2998,-99.4388,237812,2912,,,46.0,26881.770264022634,1314137.0,,1.2244966612281971,84000046.0,USA,1.4854729336388372e-05,,2022-05-01,,
South Dakota,US,2021-02-20 05:30:30,44.2998,-99.4388,111018,1853,107137.0,2028.0,46.0,12549.242137365924,678808.0,,1.669098704714551,84000046.0,USA,7.673103421770423e-06,,2021-02-19,,
South Dakota,US,2020-10-02 04:30:36,44.2998,-99.4388,23136,236,19068.0,3832.0,46.0,2615.2449700958223,272734.0,,,84000046.0,USA,3.082927998245652e-06,,2020-10-01,195003.0,1.020055325034578
South Dakota,US,2021-02-19 05:31:04,44.2998,-99.4388,110871,1847,106956.0,2068.0,46.0,12532.625565330822,677153.0,,1.6659000099214405,84000046.0,USA,7.654395648492809e-06,,2021-02-18,,
South Dakota,US,2020-09-23 04:30:25,44.2998,-99.4388,19189,202,16170.0,2817.0,46.0,2169.084359058123,246977.0,,,84000046.0,USA,2.79177626633539e-06,,2020-09-22,178346.0,1.0526864349366825
South Dakota,US,2020-09-24 04:30:25,44.2998,-99.4388,19634,202,16324.0,3108.0,46.0,2219.3862267834274,249650.0,,,84000046.0,USA,2.821991298342073e-06,,2020-09-23,180132.0,1.028827544056229
