Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Texas,US,2022-01-22 04:32:02,31.0545,-97.5635,5821021,77833,,,48.0,20158.77358580689,42286486.0,,1.3326116032706417,84000048.0,USA,145836.18273229912,,2022-01-21,,
Texas,US,2022-01-21 04:31:23,31.0545,-97.5635,5753183,77642,,,48.0,19819.570234820592,42145432.0,,1.3520081143455929,84000048.0,USA,145349.72053444418,,2022-01-20,,
Texas,US,2021-07-05 04:31:17,31.0545,-97.5635,3044265,52388,,,48.0,10490.389997117176,25680483.0,,1.7253707614059,84000048.0,USA,88565.96907678025,,2021-07-04,,
Texas,US,2021-07-06 04:30:55,31.0545,-97.5635,3044615,52388,,,48.0,10491.583270051357,25704117.0,,1.7251745242719978,84000048.0,USA,88647.4772054693,,2021-07-05,,
Texas,US,2022-02-13 04:31:01,31.0545,-97.5635,6484255,81998,,,48.0,22450.97157075517,44896425.0,,1.2605499629254528,84000048.0,USA,154837.25084952582,,2022-02-12,,
Texas,US,2022-02-14 04:31:03,31.0545,-97.5635,6492275,82210,,,48.0,22478.13404945344,44979249.0,,1.262248699049194,84000048.0,USA,155122.89142033656,,2022-02-13,,
Texas,US,2022-01-01 04:32:44,31.0545,-97.5635,4626751,75640,,,48.0,15944.91990086454,38884870.0,,1.6382854930494424,84000048.0,USA,134104.8061274634,,2021-12-31,,
Texas,US,2021-12-31 04:33:06,31.0545,-97.5635,4610880,75639,,,48.0,15890.560455810948,38834900.0,,1.6438898447958246,84000048.0,USA,133932.47130514847,,2021-12-30,,
Texas,US,2021-11-03 06:26:25,31.0545,-97.5635,4278334,71306,,,48.0,14746.035824881472,35241353.0,,1.6694174556328572,84000048.0,USA,121539.16964964784,,2021-11-02,,
Texas,US,2021-11-04 04:32:32,31.0545,-97.5635,4283172,71461,,,48.0,14762.745094725697,35289050.0,,1.671195639477567,84000048.0,USA,121703.66542751364,,2021-11-03,,
Texas,US,2021-08-22 04:31:19,31.0545,-97.5635,3490811,55173,,,48.0,12029.470668609792,28606427.0,,1.5832910699986895,84000048.0,USA,98656.8644008437,,2021-08-21,,
Texas,US,2021-08-21 04:31:06,31.0545,-97.5635,3461175,54997,,,48.0,11927.269945686425,28511737.0,,1.5919132944349972,84000048.0,USA,98330.30077616886,,2021-08-20,,
Texas,US,2022-11-10 04:33:11,31.0545,-97.5635,8038337,91031,,,48.0,27782.27017830567,,,1.1327735815844504,84000048.0,USA,,
Texas,US,2022-11-09 04:32:08,31.0545,-97.5635,8034741,91017,,,48.0,27769.802890279483,,,1.1331082740040828,84000048.0,USA,,
Texas,US,2021-03-26 05:30:37,31.0545,-97.5635,2809714,47796,,,48.0,9681.292318726237,20903330.0,,1.703562583892139,84000048.0,USA,72090.68763939265,,2021-03-25,,
Texas,US,2021-03-25 05:30:43,31.0545,-97.5635,2806477,47665,,,48.0,9670.13901043393,20833344.0,,1.7007841103703287,84000048.0,USA,71849.32232271197,,2021-03-24,,
Texas,US,2020-06-08 03:33:42,31.0545,-97.5635,70049,1937,49758,18107.0,48,240.66176847670192,,,,84000048.0,USA,3795.180425799099,,2020-06-07,1100446,2.747126766214784
Texas,US,2020-06-07 03:53:50,31.0545,-97.5635,69674,1927,48895,18606.0,48,239.37193010276184,,,,84000048.0,USA,3770.456224454777,,2020-06-06,1093277,2.747521899492854
Texas,US,2022-05-02 04:32:00,31.0545,-97.5635,6810327,87914,,,48.0,23545.40287980904,48421803.0,,1.2905735692114937,84000048.0,USA,166995.45359563312,,2022-05-01,,
Texas,US,2021-02-20 05:30:30,31.0545,-97.5635,2627187,41859,2289773.0,292836.0,48.0,9051.082117491102,19212601.0,,1.5939394331973933,84000048.0,USA,66259.75944652276,,2021-02-19,,
Texas,US,2020-10-02 04:30:36,31.0545,-97.5635,788955,16412,668515.0,104027.0,48.0,2720.883010935243,,,,84000048.0,USA,21666.28080726362,,2020-10-01,6282329.0,2.0789815246709527
Texas,US,2021-02-19 05:31:04,31.0545,-97.5635,2624232,41651,2279684.0,300190.0,48.0,9040.953092613396,18810731.0,,1.5880197016674398,84000048.0,USA,64873.80397236421,,2021-02-18,,
Texas,US,2020-09-23 04:30:25,31.0545,-97.5635,752803,15548,613896.0,123054.0,48.0,2595.09617935044,,,,84000048.0,USA,19546.67975082392,,2020-09-22,5667732.0,2.062670853760477
Texas,US,2020-09-24 04:30:25,31.0545,-97.5635,757598,15670,618054.0,123556.0,48.0,2611.5916257209083,,,,84000048.0,USA,19798.239618930704,,2020-09-23,5740674.0,2.065885422856796
Texas,US,2022-09-17 04:32:41,31.0545,-97.5635,7920762,90338,,,48.0,27414.76970470392,52550010.0,,1.1402345457139214,84000048.0,USA,181232.6723233552,,2022-09-16,,
