Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Washington,US,2022-01-22 04:32:02,47.4009,-121.4905,1152026,10401,,,53.0,15128.59077599646,9958651.0,,0.9028442066411696,84000053.0,USA,130778.60713210286,,2022-01-21,,
Washington,US,2022-01-21 04:31:23,47.4009,-121.4905,1135778,10339,,,53.0,14915.21942593284,9958651.0,,0.9103011327917956,84000053.0,USA,130778.60713210286,,2022-01-20,,
Washington,US,2021-07-05 04:31:17,47.4009,-121.4905,452483,5939,,,53.0,5942.079553842713,7613620.0,,1.312535498571217,84000053.0,USA,99983.28275919308,,2021-07-04,,
Washington,US,2021-07-06 04:30:55,47.4009,-121.4905,452483,5939,,,53.0,5942.079553842713,7613620.0,,1.312535498571217,84000053.0,USA,99983.28275919308,,2021-07-05,,
Washington,US,2022-02-13 04:31:01,47.4009,-121.4905,1410596,11316,,,53.0,18524.17361609677,9958651.0,,0.8022140995720958,84000053.0,USA,130778.60713210286,,2022-02-12,,
Washington,US,2022-02-14 04:31:03,47.4009,-121.4905,1410596,11316,,,53.0,18524.17361609677,9958651.0,,0.8022140995720958,84000053.0,USA,130778.60713210286,,2022-02-13,,
Washington,US,2022-01-01 04:32:44,47.4009,-121.4905,849075,9853,,,53.0,11150.189503647654,9958651.0,,1.16043930159291,84000053.0,USA,130778.60713210286,,2021-12-31,,
Washington,US,2021-12-31 04:33:06,47.4009,-121.4905,849075,9853,,,53.0,11150.189503647654,9958651.0,,1.16043930159291,84000053.0,USA,130778.60713210286,,2021-12-30,,
Washington,US,2021-11-03 06:26:25,47.4009,-121.4905,731894,8693,,,53.0,9611.34975895262,9842443.0,,1.187740301191156,84000053.0,USA,129252.54497994916,,2021-11-02,,
Washington,US,2021-11-04 04:32:32,47.4009,-121.4905,733535,8727,,,53.0,9632.899634965324,9842443.0,,1.1897182820178995,84000053.0,USA,129252.54497994916,,2021-11-03,,
Washington,US,2021-08-22 04:31:19,47.4009,-121.4905,528453,6356,,,53.0,6939.729816295515,9230917.0,,1.202755968837342,84000053.0,USA,121221.88716243287,,2021-08-21,,
Washington,US,2021-08-21 04:31:06,47.4009,-121.4905,528453,6356,,,53.0,6939.729816295515,9211628.0,,1.202755968837342,84000053.0,USA,120968.5809111172,,2021-08-20,,
Washington,US,2022-11-10 04:33:11,47.4009,-121.4905,1843908,14653,,,53.0,24214.49651360827,,,0.7946708837968055,84000053.0,USA,,
Washington,US,2022-11-09 04:32:08,47.4009,-121.4905,1839317,14597,,,53.0,24154.206762984064,,,0.793609801899292,84000053.0,USA,,
Washington,US,2021-03-26 05:30:37,47.4009,-121.4905,358606,5213,,,53.0,4709.271686417656,5756387.0,,1.4536845451554072,84000053.0,USA,75593.80020178878,,2021-03-25,,
Washington,US,2021-03-25 05:30:43,47.4009,-121.4905,357499,5200,,,53.0,4694.734384317679,5733615.0,,1.4545495232154495,84000053.0,USA,75294.75463410976,,2021-03-24,,
Washington,US,2020-06-08 03:33:42,47.4009,-121.4905,24078,1170,,,53,316.19616979516326,,3652,,84000053.0,USA,5260.586064702419,15.390450503603184,2020-06-07,400588,4.859207575380015
Washington,US,2020-06-07 03:53:50,47.4009,-121.4905,23767,1159,,,53,312.112067759849,,3639,,84000053.0,USA,5132.875800093317,15.523419503455337,2020-06-06,390863,4.876509445870324
Washington,US,2022-05-02 04:32:00,47.4009,-121.4905,1498116,12703,,,53.0,19673.500336774265,,,0.8479316688427332,84000053.0,USA,,,2022-05-01,,
Washington,US,2021-02-20 05:30:30,47.4009,-121.4905,332904,4822,,,53.0,4371.748887344838,5025294.0,,1.4484656237233555,84000053.0,USA,65992.96930370525,,2021-02-19,,
