Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
West Virginia,US,2022-01-22 04:32:02,38.4912,-80.9545,407131,5609,,,54.0,22717.50029433969,5295892.0,,1.377689244985029,84000054.0,USA,295505.4468188157,,2022-01-21,,
West Virginia,US,2022-01-21 04:31:23,38.4912,-80.9545,401796,5590,,,54.0,22419.812660456984,5277694.0,,1.391253272805105,84000054.0,USA,294490.01672295853,,2022-01-20,,
West Virginia,US,2021-07-05 04:31:17,38.4912,-80.9545,164149,2899,,,54.0,9159.34909357324,3051935.0,,1.766078380008407,84000054.0,USA,170294.90326407374,,2021-07-04,,
West Virginia,US,2021-07-06 04:30:55,38.4912,-80.9545,164149,2899,,,54.0,9159.34909357324,3051935.0,,1.766078380008407,84000054.0,USA,170294.90326407374,,2021-07-05,,
West Virginia,US,2022-02-13 04:31:01,38.4912,-80.9545,474712,5992,,,54.0,26488.4521191621,5649856.0,,1.2622389996461012,84000054.0,USA,315256.2819902608,,2022-02-12,,
West Virginia,US,2022-02-14 04:31:03,38.4912,-80.9545,476060,5992,,,54.0,26563.669163299663,5664018.0,,1.2586648741755242,84000054.0,USA,316046.5073456586,,2022-02-13,,
West Virginia,US,2022-01-01 04:32:44,38.4912,-80.9545,328162,5336,,,54.0,18311.10952393972,4938024.0,,1.6260261700014018,84000054.0,USA,275536.7723741412,,2021-12-31,,
West Virginia,US,2021-12-31 04:33:06,38.4912,-80.9545,328162,5336,,,54.0,18311.10952393972,4919310.0,,1.6260261700014018,84000054.0,USA,274492.54999729374,,2021-12-30,,
West Virginia,US,2021-11-03 06:26:25,38.4912,-80.9545,273659,4475,,,54.0,15269.896944837672,4318211.0,,1.6352467852327166,84000054.0,USA,240951.8304023052,,2021-11-02,,
West Virginia,US,2021-11-04 04:32:32,38.4912,-80.9545,274508,4490,,,54.0,15317.270290885735,4324890.0,,1.6356536057236948,84000054.0,USA,241324.5118843488,,2021-11-03,,
West Virginia,US,2021-08-22 04:31:19,38.4912,-80.9545,177533,3008,,,54.0,9906.1628315088,3308857.0,,1.6943328845904706,84000054.0,USA,184630.8924435328,,2021-08-21,,
West Virginia,US,2021-08-21 04:31:06,38.4912,-80.9545,177533,3008,,,54.0,9906.1628315088,3298699.0,,1.6943328845904706,84000054.0,USA,184064.0862607811,,2021-08-20,,
West Virginia,US,2022-11-10 04:33:11,38.4912,-80.9545,610432,7538,,,54.0,34061.491607552285,,,1.2348631788634934,84000054.0,USA,,
West Virginia,US,2022-11-09 04:32:08,38.4912,-80.9545,609944,7536,,,54.0,34034.26169839862,,,1.2355232611518434,84000054.0,USA,,
West Virginia,US,2021-03-26 05:30:37,38.4912,-80.9545,139251,2624,,,54.0,7770.065736795029,2411199.0,,1.8843670781538373,84000054.0,USA,134542.47893727472,,2021-03-25,,
