Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Wisconsin,US,2022-01-22 04:32:02,44.2685,-89.6165,1446207,11946,,,55.0,24838.52972828889,14319266.0,,0.8260228307565929,84000055.0,USA,2.4593264603772236e-05,,2022-01-21,,
Wisconsin,US,2022-01-21 04:31:23,44.2685,-89.6165,1433225,11867,,,55.0,24615.56455599153,14266766.0,,0.8279928134103159,84000055.0,USA,2.450309612783932e-05,,2022-01-20,,
Wisconsin,US,2021-07-05 04:31:17,44.2685,-89.6165,677859,8135,,,55.0,11642.192938554565,9050320.0,,1.200102086127056,84000055.0,USA,1.554387735438478e-05,,2021-07-04,,
Wisconsin,US,2021-07-06 04:30:55,44.2685,-89.6165,678008,8144,,,55.0,11644.752005776278,9088419.0,,1.2011657679555403,84000055.0,USA,1.5609312187995604e-05,,2021-07-05,,
Wisconsin,US,2022-02-13 04:31:01,44.2685,-89.6165,1553551,12877,,,55.0,26682.15732458281,14937928.0,,0.8288752670494886,84000055.0,USA,2.5655813359155293e-05,,2022-02-12,,
Wisconsin,US,2022-02-14 04:31:03,44.2685,-89.6165,1553551,12877,,,55.0,26682.15732458281,14937928.0,,0.8288752670494886,84000055.0,USA,2.5655813359155293e-05,,2022-02-13,,
Wisconsin,US,2022-01-01 04:32:44,44.2685,-89.6165,1120663,11173,,,55.0,19247.32852274496,13355370.0,,0.996999097855466,84000055.0,USA,2.2937778255622992e-05,,2021-12-31,,
Wisconsin,US,2021-12-31 04:33:06,44.2685,-89.6165,1112655,11151,,,55.0,19109.79154078861,13306669.0,,1.002197446647883,84000055.0,USA,2.2854134542358057e-05,,2021-12-30,,
Wisconsin,US,2021-11-03 06:26:25,44.2685,-89.6165,890607,9467,,,55.0,15296.128732416715,11592982.0,,1.062982886952382,84000055.0,USA,1.9910886065861803e-05,,2021-11-02,,
Wisconsin,US,2021-11-04 04:32:32,44.2685,-89.6165,893028,9495,,,55.0,15337.70928103264,11618849.0,,1.0632365390558862,84000055.0,USA,1.9955312503327646e-05,,2021-11-03,,
Wisconsin,US,2021-08-22 04:31:19,44.2685,-89.6165,714600,8368,,,55.0,12273.217695554817,9668981.0,,1.171004757906521,84000055.0,USA,1.660642439227306e-05,,2021-08-21,,
Wisconsin,US,2021-08-21 04:31:06,44.2685,-89.6165,714600,8368,,,55.0,12273.217695554817,9668981.0,,1.171004757906521,84000055.0,USA,1.660642439227306e-05,,2021-08-20,,
Wisconsin,US,2022-11-10 04:33:11,44.2685,-89.6165,1907232,15511,,,55.0,32756.6100362838,,,0.8132728477710105,84000055.0,USA,,
Wisconsin,US,2022-11-09 04:32:08,44.2685,-89.6165,1906147,15509,,,55.0,32737.97521792433,,,0.8136308479881142,84000055.0,USA,,
Wisconsin,US,2021-03-26 05:30:37,44.2685,-89.6165,632123,7267,,,55.0,10856.67952612258,7489419.0,,1.149618033199235,84000055.0,USA,1.2863038035295891e-05,,2021-03-25,,
Wisconsin,US,2021-03-25 05:30:43,44.2685,-89.6165,631301,7263,,,55.0,10842.561719033654,7458664.0,,1.1504813076488078,84000055.0,USA,1.2810216483347e-05,,2021-03-24,,
Wisconsin,US,2020-06-08 03:33:42,44.2685,-89.6165,20835,647,14047,6141.0,55,357.8400373452065,426055.0,2848,,84000055.0,USA,7.31747238354269e-07,13.66930645548356,2020-06-07,346702,3.10535157187425
Wisconsin,US,2020-06-07 03:53:50,44.2685,-89.6165,20571,645,13770,6156.0,55,353.3058511268655,415936.0,2832,,84000055.0,USA,7.143679086787416e-07,13.766953478197465,2020-06-06,335373,3.1354819892081087
Wisconsin,US,2022-05-02 04:32:00,44.2685,-89.6165,1610601,14413,,,55.0,27661.98809638718,16105041.0,,0.894883338579822,84000055.0,USA,2.7660323843945678e-05,,2022-05-01,,
Wisconsin,US,2021-02-20 05:30:30,44.2685,-89.6165,610974,6852,542495.0,61627.0,55.0,10493.446555169196,6628082.0,,1.1214879847587622,84000055.0,USA,1.1383696234255296e-05,,2021-02-19,,
Wisconsin,US,2020-10-02 04:30:36,44.2685,-89.6165,125161,1348,101669.0,22144.0,55.0,2149.633641188548,2379952.0,,,84000055.0,USA,4.087555135876165e-06,,2020-10-01,1566844.0,1.077012807503935
Wisconsin,US,2021-02-19 05:31:04,44.2685,-89.6165,610055,6816,541515.0,61724.0,55.0,10477.662778143986,6599391.0,,1.1172763111522732,84000055.0,USA,1.1334419591531652e-05,,2021-02-18,,
Wisconsin,US,2020-09-23 04:30:25,44.2685,-89.6165,104170,1251,88131.0,14788.0,55.0,1789.1143119870487,2139687.0,,,84000055.0,USA,3.6749012526376426e-06,,2020-09-22,1458819.0,1.2009215705097438
Wisconsin,US,2020-09-24 04:30:25,44.2685,-89.6165,105932,1259,89393.0,15280.0,55.0,1819.3765700049155,2161328.0,,,84000055.0,USA,3.712069557164581e-06,,2020-09-23,1472405.0,1.1884982819167014
Wisconsin,US,2022-09-17 04:32:41,44.2685,-89.6165,1851886,15190,,,55.0,31806.04537552508,17834086.0,,0.8202448746845108,84000055.0,USA,3.062994960526817e-05,,2022-09-16,,
Wisconsin,US,2022-09-18 04:33:05,44.2685,-89.6165,1851886,15190,,,55.0,31806.04537552508,17834086.0,,0.8202448746845108,84000055.0,USA,3.062994960526817e-05,,2022-09-17,,
Wisconsin,US,2021-04-10 04:30:47,44.2685,-89.6165,643951,7375,,,55.0,11059.824808662494,7824065.0,,1.1452734757768837,84000055.0,USA,1.3437790793334883e-05,,2021-04-09,,
Wisconsin,US,2021-04-09 04:30:59,44.2685,-89.6165,642757,7370,,,55.0,11039.31792099318,7798869.0,,1.146623062837122,84000055.0,USA,1.3394516794866203e-05,,2021-04-08,,
Wisconsin,US,2021-09-24 04:31:40,44.2685,-89.6165,790569,8774,,,55.0,13577.981304725825,10525954.0,,1.1098335502656946,84000055.0,USA,1.8078271046095157e-05,,2021-09-23,,
Wisconsin,US,2021-09-23 04:31:15,44.2685,-89.6165,787097,8754,,,55.0,13518.349885975522,10477466.0,,1.1121882055197772,84000055.0,USA,1.799499315921829e-05,,2021-09-22,,
Wisconsin,US,2021-10-02 04:31:30,44.2685,-89.6165,814187,8901,,,55.0,13983.619221789377,10778541.0,,1.0932377942659364,84000055.0,USA,1.8512087900008827e-05,,2021-10-01,,
Wisconsin,US,2021-06-07 04:31:14,44.2685,-89.6165,675150,7954,,,55.0,11595.666004973178,8796612.0,,1.1781085684662669,84000055.0,USA,1.5108135188823095e-05,,2021-06-06,,
Wisconsin,US,2021-06-08 04:31:10,44.2685,-89.6165,675448,7965,,,55.0,11600.784139416608,8823028.0,,1.1792173490779454,84000055.0,USA,1.5153504530922978e-05,,2021-06-07,,
Wisconsin,US,2022-03-11 04:31:19,44.2685,-89.6165,1577169,13662,,,55.0,27087.795241646363,15453023.0,,0.8662356412026866,84000055.0,USA,2.654048633269179e-05,,2022-03-10,,
Wisconsin,US,2022-03-12 04:31:16,44.2685,-89.6165,1577659,13713,,,55.0,27096.21096606677,15467323.0,,0.8691992376045774,84000055.0,USA,2.6565046508041136e-05,,2022-03-11,,
Wisconsin,US,2020-08-21 04:30:30,44.2685,-89.6165,68233,1067,59076.0,8090.0,55.0,1171.8982130153815,1571354.0,5469.0,,84000055.0,USA,2.6987922920208284e-06,8.01518326909267,2020-08-20,1166197.0,1.5637594712236016
Wisconsin,US,2020-08-22 04:30:29,44.2685,-89.6165,69059,1068,60055.0,7936.0,55.0,1186.084719895494,1589087.0,5505.0,,84000055.0,USA,2.7292486269487985e-06,7.971444706700067,2020-08-21,1176789.0,1.546503714215381
Wisconsin,US,2022-12-05 04:33:33,44.2685,-89.6165,1929325,15624,,,55.0,33136.05615795731,,,0.8098169048760577,84000055.0,USA,,
Wisconsin,US,2020-11-04 05:30:25,44.2685,-89.6165,251031,2102,185241.0,63688.0,55.0,4311.444320364988,3377088.0,,,84000055.0,USA,5.8001310105017935e-06,,2020-11-03,3377088.0,0.8373467818715616
